model,h,N,seed,nll_train,nll_val,nll_test,delta_marginal
ho_k1,1,55,42,,3.842114210128784,3.9531219005584717,-0.054211284673999494
ho_k1,1,55,7,,3.839404344558716,3.9513673782348633,-0.05596580699760789
ho_k1,1,55,123,,3.842172145843506,3.950737237930298,-0.05659594730217332
ho_k1,5,55,42,,3.896519422531128,3.9671552181243896,-0.040177967108081525
ho_k1,5,55,7,,3.9043996334075928,3.9811367988586426,-0.026196386373828595
ho_k1,5,55,123,,3.901859998703003,3.981964588165283,-0.02536859706718797
ho_k1,21,55,42,,3.978100538253784,3.9968926906585693,-0.010440494573901837
ho_k1,21,55,7,,4.011396884918213,4.013754844665527,0.0064216594330561705
ho_k1,21,55,123,,3.9769480228424072,3.9970898628234863,-0.010243322408984845
ho_k1,63,55,42,,4.157151699066162,4.103582382202148,0.09624919696967726
ho_k1,63,55,7,,4.1538190841674805,4.093812465667725,0.08647928043525344
ho_k1,63,55,123,,4.0539398193359375,4.042461395263672,0.0351282100312007
ho_k2,1,55,42,,,,
ho_k2,1,55,7,,,,
ho_k2,1,55,123,,,,
ho_k2,5,55,42,,,,
ho_k2,5,55,7,,,,
ho_k2,5,55,123,,,,
ho_k2,21,55,42,,,,
ho_k2,21,55,7,,,,
ho_k2,21,55,123,,,,
ho_k2,63,55,42,,,,
ho_k2,63,55,7,,,,
ho_k2,63,55,123,,,,
ho_k3,1,55,42,,,,
ho_k3,1,55,7,,,,
ho_k3,1,55,123,,,,
ho_k3,5,55,42,,,,
ho_k3,5,55,7,,,,
ho_k3,5,55,123,,,,
ho_k3,21,55,42,,,,
ho_k3,21,55,7,,,,
ho_k3,21,55,123,,,,
ho_k3,63,55,42,,,,
ho_k3,63,55,7,,,,
ho_k3,63,55,123,,,,
ho_k5,1,55,42,,,,
ho_k5,1,55,7,,,,
ho_k5,1,55,123,,,,
ho_k5,5,55,42,,,,
ho_k5,5,55,7,,,,
ho_k5,5,55,123,,,,
ho_k5,21,55,42,,,,
ho_k5,21,55,7,,,,
ho_k5,21,55,123,,,,
ho_k5,63,55,42,,,,
ho_k5,63,55,7,,,,
ho_k5,63,55,123,,,,
ho_k10,1,55,42,,,,
ho_k10,1,55,7,,,,
ho_k10,1,55,123,,,,
ho_k10,5,55,42,,,,
ho_k10,5,55,7,,,,
ho_k10,5,55,123,,,,
ho_k10,21,55,42,,,,
ho_k10,21,55,7,,,,
ho_k10,21,55,123,,,,
ho_k10,63,55,42,,,,
ho_k10,63,55,7,,,,
ho_k10,63,55,123,,,,
