timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.016867440193891525,3.5561426,0.072310545,2020-03-27
1,0.012027265504002571,3.6205237,0.050358657,2020-03-30
2,0.017774619162082672,3.494572,0.07180395,2020-03-31
3,0.017451219260692596,3.492354,0.07727051,2020-04-01
4,0.007625622674822807,3.8272712,0.030933538,2020-04-02
5,0.010669078677892685,3.7384672,0.045406677,2020-04-03
6,0.012252249754965305,3.6701684,0.04257115,2020-04-06
7,0.013869578950107098,3.6946304,0.057904616,2020-04-07
8,0.009597096592187881,3.6801434,0.040422805,2020-04-08
9,0.012570266611874104,3.720627,0.045590173,2020-04-09
10,0.013246252201497555,3.8105803,0.064733684,2020-04-13
11,0.010180371813476086,3.9105582,0.045304343,2020-04-14
12,0.011914417147636414,3.763581,0.04924026,2020-04-15
13,0.007038424722850323,3.8174016,0.03130665,2020-04-16
14,0.016346009448170662,3.6277893,0.060578365,2020-04-17
15,0.008351433090865612,3.7633994,0.03666731,2020-04-20
16,0.010111954994499683,3.8177066,0.047986507,2020-04-21
17,0.006980725098401308,3.8015797,0.028548073,2020-04-22
18,0.005019130185246468,3.841443,0.022216298,2020-04-23
19,0.008603489026427269,3.7732804,0.03354787,2020-04-24
20,0.014657117426395416,3.8782983,0.058992013,2020-04-27
21,0.009394295513629913,3.7692945,0.043442026,2020-04-28
22,0.009555797092616558,3.8130782,0.03556366,2020-04-29
23,0.012067368254065514,3.7988744,0.059588566,2020-04-30
24,0.026128700003027916,3.8792212,0.12236941,2020-05-01
25,0.02885487861931324,3.9193926,0.124360256,2020-05-04
26,0.029444102197885513,3.9031723,0.13084139,2020-05-05
27,0.04478781297802925,3.9861863,0.19151914,2020-05-06
28,0.026835396885871887,3.8926034,0.108566865,2020-05-07
29,0.024106696248054504,3.8959858,0.09916086,2020-05-08
30,0.031312666833400726,3.9512641,0.14327557,2020-05-11
31,0.04873128607869148,3.9959693,0.20972717,2020-05-12
32,0.026889236643910408,3.9089522,0.12067411,2020-05-13
33,0.01558440737426281,3.897019,0.061945554,2020-05-14
34,0.04837987199425697,3.984902,0.19045359,2020-05-15
35,0.034565992653369904,3.9902015,0.13314164,2020-05-18
36,0.04447402060031891,3.9739916,0.19657421,2020-05-19
37,0.022176073864102364,3.882565,0.09064606,2020-05-20
38,0.03251565247774124,3.9072797,0.13726369,2020-05-21
39,0.04968429356813431,3.9895923,0.20380814,2020-05-22
40,0.015583967790007591,3.8729224,0.057681657,2020-05-26
41,0.012746850959956646,3.8569992,0.049691178,2020-05-27
42,0.009891601279377937,3.8175387,0.044985607,2020-05-28
43,0.037996113300323486,3.9943426,0.16341455,2020-05-29
44,0.04320622608065605,3.9647236,0.16336887,2020-06-01
45,0.01860305666923523,3.857991,0.077056654,2020-06-02
46,0.03210466727614403,3.9173596,0.12036308,2020-06-03
47,0.043688613921403885,3.9820843,0.16380908,2020-06-04
48,0.038010016083717346,3.9874618,0.13389678,2020-06-05
49,0.050368763506412506,3.9958136,0.18547338,2020-06-08
50,0.04415994882583618,3.9893527,0.18629736,2020-06-09
51,0.033442191779613495,3.9314713,0.150429,2020-06-10
52,0.008497245609760284,3.7968411,0.042707656,2020-06-11
53,0.0059115649200975895,3.8586524,0.025866127,2020-06-12
54,0.036244187504053116,3.963611,0.14403091,2020-06-15
