sigma,seed,nll_val,nll_test
0.5,42,3.941957473754883,3.997441053390503
0.5,7,3.952162981033325,4.003381729125977
0.5,123,3.938978433609009,4.0048909187316895
1.0,42,3.9332194328308105,3.9908432960510254
1.0,7,3.941037654876709,3.9927947521209717
1.0,123,3.9336180686950684,4.001615047454834
1.5,42,3.937311887741089,3.98644757270813
1.5,7,3.9404571056365967,3.9908981323242188
1.5,123,3.937100648880005,4.016435146331787
2.0,42,3.937091827392578,4.003131866455078
2.0,7,3.9396536350250244,3.990086317062378
2.0,123,3.9343340396881104,4.013221263885498
3.0,42,3.936694622039795,4.0005269050598145
3.0,7,3.949390172958374,4.006882190704346
3.0,123,3.93520188331604,4.010315418243408
