timestep,ck_kl,ck_tv,date
0,0.10429522786595512,0.19146746871951573,2020-04-13
1,0.12942697676424988,0.2047499513800428,2020-04-14
2,0.0453033573524122,0.12290194776338104,2020-04-15
3,0.04504466081172115,0.12473998946075225,2020-04-16
4,0.1187046927546465,0.17832647074734534,2020-04-17
5,0.02867153747002857,0.09211899037450787,2020-04-20
6,0.05842523888492366,0.1426579463588675,2020-04-21
7,0.10746972068173713,0.1611324723067476,2020-04-22
8,0.012786567847422714,0.06742738893605078,2020-04-23
9,0.054701634437566135,0.11910337975160673,2020-04-24
10,0.012935516720643867,0.05861118291422007,2020-04-27
11,0.22229570127768972,0.24090150482097927,2020-04-28
12,0.0293588249688328,0.10330751508926116,2020-04-29
13,0.03365261346288816,0.10471934621885452,2020-04-30
14,0.031113264157878417,0.10830788770719886,2020-05-01
15,0.17307753599421716,0.22373228523361705,2020-05-04
16,0.032645952920472426,0.09201791260717637,2020-05-05
17,0.008000137184117243,0.05248943362682303,2020-05-06
18,0.09027961443826973,0.18732881390737322,2020-05-07
19,0.0062217822922932715,0.04604463130267162,2020-05-08
20,0.036676942290260486,0.09966270626672484,2020-05-11
21,0.14676776973638953,0.23237840532481716,2020-05-12
22,0.009999080880961055,0.05622456745341686,2020-05-13
23,0.09381872855137807,0.18353447920204652,2020-05-14
24,0.10523701586820777,0.19571656637085308,2020-05-15
25,0.058743263932566334,0.12026299297580714,2020-05-18
26,0.39432307561499125,0.34222830344555527,2020-05-19
27,0.13500334230933336,0.22993286291356968,2020-05-20
28,0.00946552967156903,0.05972756588056223,2020-05-21
29,0.015519131698815827,0.07660926609430321,2020-05-22
30,0.01666978587450993,0.07648772325511369,2020-05-26
31,0.08093801206279738,0.15548364972217285,2020-05-27
32,0.21067735572253218,0.24309636272075033,2020-05-28
33,0.2755204400033632,0.31187844776380763,2020-05-29
34,0.0763102366456243,0.16384500476682085,2020-06-01
35,0.1550149734029118,0.23972087502186665,2020-06-02
36,0.00547928925674279,0.04548266965861004,2020-06-03
37,0.22293206883761804,0.21745864084169791,2020-06-04
38,0.14743008178532624,0.23819301787988892,2020-06-05
39,0.18096063634405074,0.262189083729419,2020-06-08
40,0.003527760731700669,0.03231138838732104,2020-06-09
41,0.010168083630907513,0.060883830812707096,2020-06-10
42,0.1569993778658431,0.18871205967898383,2020-06-11
43,0.04930704583153469,0.1380905347874122,2020-06-12
44,0.007725381166976583,0.0509827084292724,2020-06-15
45,0.007662585503516493,0.053127327843178015,2020-06-16
46,0.035738056810551144,0.10907178785299296,2020-06-17
47,0.137848118986579,0.17853755394680662,2020-06-18
48,0.030186814127041356,0.10695408846622222,2020-06-19
49,0.03215477904781067,0.08913572656767794,2020-06-22
50,0.006694210298573216,0.044523568797783554,2020-06-23
51,0.17517481001992363,0.2045017087889619,2020-06-24
52,0.05871933350666481,0.12166933500756541,2020-06-25
53,0.14573868533085865,0.2128322802194312,2020-06-26
54,0.11601810855737583,0.18674121887866077,2020-06-29
55,0.01789309268267074,0.06471633502735936,2020-06-30
56,0.10506723017389842,0.20027985162001355,2020-07-01
57,0.01255381819743635,0.06914622293146032,2020-07-02
58,0.08170867336484443,0.16059244235275413,2020-07-06
59,0.07886675908943364,0.1441125489240651,2020-07-07
60,0.05101601605863863,0.13791558080998428,2020-07-08
61,0.04978883013653293,0.12104870783697033,2020-07-09
62,0.006990142597865227,0.05172860751707751,2020-07-10
63,0.130349614245721,0.19409033301806802,2020-07-13
64,0.10558142485303429,0.15304037409889146,2020-07-14
65,0.0055655787478880265,0.04116398384742539,2020-07-15
66,0.08576318107455644,0.14535027001300663,2020-07-16
67,0.0492624437699476,0.11275185376470215,2020-07-17
68,0.0033810352255627496,0.02794526325793357,2020-07-20
69,0.012839873364331083,0.045537849146470404,2020-07-21
70,0.03935231757894523,0.11890868256660996,2020-07-22
71,0.34539347185824537,0.2941422457422594,2020-07-23
72,0.04089798348673635,0.09325978592963845,2020-07-24
73,0.05553794434638703,0.1283684326716851,2020-07-27
74,0.04405987930466464,0.08414724298301841,2020-07-28
75,0.15324967501615336,0.22995095987532715,2020-07-29
76,0.15429568954100542,0.20494220652222928,2020-07-30
77,0.04906331493825635,0.13467482738649875,2020-07-31
78,0.008082331012348242,0.051322976865958124,2020-08-03
79,0.024717303169638674,0.08234336208725095,2020-08-04
80,0.003485230016601338,0.03272297606609466,2020-08-05
81,0.14801446954455974,0.23482930698277335,2020-08-06
82,0.004889511279074756,0.030210974223594925,2020-08-07
83,0.008440841540020573,0.04778707407412701,2020-08-10
84,0.09228515251844689,0.17823345063365673,2020-08-11
85,0.03381766652020573,0.10399852898120006,2020-08-12
86,0.017080427486976354,0.07129189604909698,2020-08-13
87,0.058595624374151487,0.14677965904206633,2020-08-14
88,0.0028888831602935663,0.02785732444380602,2020-08-17
89,0.008883617979935468,0.056035819399067946,2020-08-18
90,0.011104188236440587,0.06308851395021799,2020-08-19
91,0.057722742957671005,0.14411906168471225,2020-08-20
92,0.31488487743275456,0.342627027064631,2020-08-21
93,0.07772614139965958,0.16491682005584343,2020-08-24
94,0.39327004617812283,0.3813252841115767,2020-08-25
95,0.017005185187149698,0.07893193171215941,2020-08-26
96,0.34794840304940267,0.35601456280933375,2020-08-27
97,0.009256512042129812,0.05754488324734497,2020-08-28
98,0.011810506624273288,0.06612375518693893,2020-08-31
99,0.058875534710481084,0.14644194941110492,2020-09-01
100,0.0038147105322671694,0.037096910393757336,2020-09-02
101,0.0648403683078413,0.13155291399204713,2020-09-03
102,0.009108115677912363,0.04585498919711531,2020-09-04
103,0.06318819662293515,0.12925834333007727,2020-09-08
104,0.03209710571499325,0.10964906348754146,2020-09-09
105,0.05823439516744396,0.1465314733202983,2020-09-10
106,0.0693364236148069,0.16004335317287513,2020-09-11
107,0.012010776317902594,0.054154654182080986,2020-09-14
108,0.05182068939496423,0.10304365993794298,2020-09-15
109,0.006256055395511661,0.03520101284913908,2020-09-16
110,0.007917512002450309,0.04055784106277841,2020-09-17
111,0.0191729240630624,0.06131545691128082,2020-09-18
112,0.028657012687210458,0.10375159652173979,2020-09-21
113,0.04846758015812532,0.13319182703913346,2020-09-22
114,0.037773858313336246,0.12039462561453187,2020-09-23
115,0.004394904762116459,0.03425552790005606,2020-09-24
116,0.005060957491758317,0.04369000536532644,2020-09-25
117,0.03651373546177032,0.11000929074334369,2020-09-28
118,0.027389696319262944,0.08753446880299263,2020-09-29
119,0.007175333930230996,0.035163514036776936,2020-09-30
120,0.045161258171961836,0.10387341524506077,2020-10-01
121,0.15868423366525009,0.2411381737475903,2020-10-02
122,0.08221146233714627,0.14893361002484334,2020-10-05
123,0.0033639157435783502,0.030630301576793768,2020-10-06
124,0.03957709446064748,0.09877073440849372,2020-10-07
125,0.017335559147361224,0.07845386764428783,2020-10-08
126,0.005680767361637762,0.046003479056612534,2020-10-09
127,0.09693154436296668,0.1895574481604555,2020-10-12
128,0.24116590246154487,0.2967098586629341,2020-10-13
129,0.0443293055129868,0.12947366617907577,2020-10-14
130,0.18642940135223207,0.2674243657243171,2020-10-15
131,0.1666492152335584,0.2519830044391503,2020-10-16
132,0.12233790166412262,0.21555652762502792,2020-10-19
133,0.08244378069268253,0.17791722683992436,2020-10-20
134,0.008569868333771088,0.053899476701506584,2020-10-21
135,0.07577896067759572,0.1696874941369509,2020-10-22
136,0.10534047060355904,0.20051686591513865,2020-10-23
137,0.0740791472944974,0.13595373217145845,2020-10-26
138,0.3539568170794562,0.35389216956043584,2020-10-27
139,0.011060010224966514,0.061750151945896635,2020-10-28
140,0.00977627382487841,0.053946273668543064,2020-10-29
141,0.2504645700201552,0.25430460144712386,2020-10-30
142,0.3797278674963576,0.2958094618325815,2020-11-02
143,0.056947184309623936,0.13976046781438087,2020-11-03
144,0.038636477132517826,0.11229104452473454,2020-11-04
145,0.04835787057850447,0.10417099228124528,2020-11-05
146,0.15173543347940532,0.20524490647954294,2020-11-06
147,0.25619889105274113,0.24357536339537547,2020-11-09
148,0.08690457969545932,0.15941759267600836,2020-11-10
149,0.017499788453991368,0.0667324931474419,2020-11-11
150,0.012839746833144693,0.06829783935259562,2020-11-12
151,0.024593108421817826,0.08700488208478263,2020-11-13
152,0.3420328545830179,0.28261131585122934,2020-11-16
153,0.02453339068199555,0.09489751255628537,2020-11-17
154,0.05635914657373236,0.1414224369223814,2020-11-18
155,0.006493779205143941,0.03389129164558108,2020-11-19
156,0.05312014844538776,0.12343847599082372,2020-11-20
157,0.04798075484113047,0.09262437922509528,2020-11-23
158,0.16423092222605562,0.1966740409193655,2020-11-24
159,0.02069258670117708,0.058212702936573886,2020-11-25
160,0.07326542368927925,0.13378297864397098,2020-11-27
161,0.002553653120452982,0.0263348563512628,2020-11-30
162,0.011839358758561059,0.05299024618663513,2020-12-01
163,0.07019422999450706,0.1578142176647523,2020-12-02
164,0.01634651289655517,0.07281338980361902,2020-12-03
165,0.07632038126881029,0.1418395995002804,2020-12-04
166,0.004732141625937669,0.03848726587755014,2020-12-07
167,0.1257824735724852,0.2112373182503915,2020-12-08
168,0.6383540728079975,0.38794469740343807,2020-12-09
169,0.08198708395773488,0.16756651348920576,2020-12-10
170,0.04261260827651152,0.12359417524602019,2020-12-11
171,0.0024217237464074417,0.028079447006656714,2020-12-14
172,0.030611464934449183,0.08971052216735927,2020-12-15
173,0.046144898280256204,0.11662869141174305,2020-12-16
174,0.028469761088634103,0.09881622485203227,2020-12-17
175,0.20911792247318634,0.2686862127266025,2020-12-18
176,0.03977734345273791,0.11310386671610573,2020-12-21
177,0.313665366156909,0.3348398434764313,2020-12-22
178,0.06641140245050284,0.14485279469027787,2020-12-23
179,0.007383416411514016,0.05410571156207785,2020-12-24
180,0.05814341494007309,0.13947400280692376,2020-12-28
181,0.02056372136129675,0.0819920191235118,2020-12-29
182,0.023364901958940584,0.08648846927801647,2020-12-30
183,0.003184176387858152,0.0319577850345731,2020-12-31
184,0.03550005747677229,0.08137120791609904,2021-01-04
185,0.07454643503254894,0.1642203902256901,2021-01-05
186,0.08355820142557936,0.14250864885630182,2021-01-06
187,0.11055292291874048,0.1697872689089232,2021-01-07
188,0.011106013792873994,0.0628676284342927,2021-01-08
189,0.05049724578413971,0.13428911816030661,2021-01-11
190,0.018484015312209844,0.08176414563413165,2021-01-12
191,0.36634541645734875,0.36287610054724306,2021-01-13
192,0.22334318655938762,0.2820105034461179,2021-01-14
193,0.21765177550929493,0.2822672090810059,2021-01-15
194,0.09776302814403161,0.1835724536709404,2021-01-19
195,0.2311764622797523,0.2857436778335813,2021-01-20
196,0.06431864811656497,0.14365180012546494,2021-01-21
