model,h,N,seed,nll_train,nll_val,nll_test,delta_marginal
state_cond,1,4,42,1.3400981426239014,1.3178926706314087,1.380368709564209,-0.0059256515556815
state_cond,1,4,7,1.3304831981658936,1.3173799514770508,1.378014326095581,-0.0082800350243095
state_cond,1,4,123,1.3385447263717651,1.314118266105652,1.379569172859192,-0.0067251882606986
state_free,1,4,42,1.343480944633484,1.3203184604644775,1.379069209098816,-0.0072251520210746
state_free,1,4,7,1.3484902381896973,1.3186917304992676,1.3800058364868164,-0.0062885246330741
state_free,1,4,123,1.338586926460266,1.3177322149276731,1.3811640739440918,-0.0051302871757987
state_cond,5,4,42,1.3201336860656738,1.3395113945007324,1.3807250261306765,-0.0055693349892143
state_cond,5,4,7,1.317193865776062,1.341639757156372,1.3836255073547363,-0.0026688537651542
state_cond,5,4,123,1.3327982425689695,1.3386461734771729,1.379655361175537,-0.0066389999443534
state_free,5,4,42,1.3469460010528564,1.336780667304993,1.379865646362305,-0.0064287147575858
state_free,5,4,7,1.3430979251861572,1.33759605884552,1.3822951316833496,-0.0039992294365409
state_free,5,4,123,1.342106819152832,1.33670175075531,1.379846453666687,-0.0064479074532035
state_cond,10,4,42,1.3274860382080078,1.3498789072036743,1.3861624002456665,-0.000131960874224
state_cond,10,4,7,1.321591854095459,1.3526290655136108,1.3853203058242798,-0.0009740552956107
state_cond,10,4,123,1.330922245979309,1.350138545036316,1.3865233659744265,0.0002290048545356
state_free,10,4,42,1.3414981365203855,1.3509044647216797,1.3879828453063965,0.0016884841865059
state_free,10,4,7,1.3334001302719116,1.349449634552002,1.3850435018539429,-0.0012508592659477
state_free,10,4,123,1.3412883281707764,1.349795937538147,1.3884272575378418,0.0021328964179512
state_cond,21,4,42,1.3080387115478516,1.337634563446045,1.3828924894332886,-0.0034018716866019
state_cond,21,4,7,1.3047151565551758,1.3403685092926023,1.3802169561386108,-0.0060774049812797
state_cond,21,4,123,1.298098087310791,1.3393663167953491,1.384036421775818,-0.0022579393440727
state_free,21,4,42,1.3066365718841553,1.340717315673828,1.3814176321029663,-0.0048767290169242
state_free,21,4,7,1.3123067617416382,1.340175747871399,1.3838536739349363,-0.002440687184954
state_free,21,4,123,1.3068749904632568,1.333469271659851,1.3847787380218506,-0.0015156230980399
state_cond,63,4,42,1.2563074827194214,1.3276324272155762,1.4512370824813845,0.0649427213614937
state_cond,63,4,7,1.2544842958450315,1.328371524810791,1.4383611679077148,0.0520668067878242
state_cond,63,4,123,1.2650879621505735,1.317947506904602,1.4006527662277222,0.0143584051078315
state_free,63,4,42,1.2721110582351685,1.321096897125244,1.4261233806610107,0.0398290195411201
state_free,63,4,7,1.2593867778778076,1.3257664442062378,1.4074524641036987,0.0211581029838081
state_free,63,4,123,1.267543911933899,1.3204864263534546,1.4177979230880735,0.0315035619681831
state_cond,1,10,42,2.1752541065216064,2.152214527130127,2.2547621726989746,-0.0478229202950712
state_cond,1,10,7,2.1581976413726807,2.1514434814453125,2.259910345077514,-0.0426747479165312
state_cond,1,10,123,2.158065795898437,2.1511826515197754,2.256620168685913,-0.0459649243081328
state_free,1,10,42,2.16526746749878,2.1559197902679443,2.255542993545532,-0.0470420994485136
state_free,1,10,7,2.155525922775269,2.1511356830596924,2.254896640777588,-0.047688452216458
state_free,1,10,123,2.154540061950684,2.153398275375366,2.2585673332214355,-0.0440177597726103
state_cond,5,10,42,2.1794180870056152,2.1972172260284424,2.270449638366699,-0.0321354546273466
state_cond,5,10,7,2.1781647205352783,2.194565773010254,2.275101661682129,-0.0274834313119169
state_cond,5,10,123,2.1462106704711914,2.200644016265869,2.281616687774658,-0.0209684052193876
state_free,5,10,42,2.163322687149048,2.1977453231811523,2.273467779159546,-0.0291173138345
state_free,5,10,7,2.1855275630950928,2.1943631172180176,2.2785215377807617,-0.0240635552132841
state_free,5,10,123,2.1720428466796875,2.197265148162842,2.277543067932129,-0.0250420250619169
state_cond,10,10,42,2.184855937957764,2.2376134395599365,2.28272008895874,-0.0198650040353056
state_cond,10,10,7,2.1750054359436035,2.239769220352173,2.2849385738372803,-0.0176465191567656
state_cond,10,10,123,2.186118602752685,2.235443353652954,2.283273935317993,-0.0193111576760527
state_free,10,10,42,2.188081979751587,2.2358179092407227,2.2833731174468994,-0.0192119755471464
state_free,10,10,7,2.172160387039185,2.247498035430908,2.288355827331543,-0.0142292656625029
state_free,10,10,123,2.170195817947388,2.248769521713257,2.285367012023926,-0.0172180809701201
state_cond,21,10,42,2.1695284843444824,2.2297682762146,2.2971346378326416,-0.0054504551614042
state_cond,21,10,7,2.169907331466675,2.2281010150909424,2.295078754425049,-0.007506338568997
state_cond,21,10,123,2.1659207344055176,2.229191303253174,2.2948572635650635,-0.0077278294289824
state_free,21,10,42,2.153369665145874,2.233229160308838,2.2918121814727783,-0.0107729115212675
state_free,21,10,7,2.1716079711914062,2.2256102561950684,2.293431282043457,-0.0091538109505888
state_free,21,10,123,2.1605045795440674,2.237424373626709,2.2930753231048584,-0.0095097698891875
state_cond,63,10,42,2.187305450439453,2.318453550338745,2.3204891681671143,0.0179040751730683
state_cond,63,10,7,2.1670022010803223,2.325929880142212,2.331827163696289,0.0292420707022431
state_cond,63,10,123,2.169367790222168,2.3160858154296875,2.3275060653686523,0.0249209723746064
state_free,63,10,42,2.168519735336304,2.321975946426392,2.3094093799591064,0.0068242869650605
state_free,63,10,7,2.172322988510132,2.3309035301208496,2.323158264160156,0.0205731711661103
state_free,63,10,123,2.181188106536865,2.311834812164306,2.309807777404785,0.0072226844107392
state_cond,1,20,42,2.811711549758911,2.8274991512298584,2.947310447692871,-0.0484218258611197
state_cond,1,20,7,2.828315496444702,2.8278849124908447,2.9380369186401367,-0.0576953549138541
state_cond,1,20,123,2.800747394561768,2.831244945526123,2.9474380016326904,-0.0482942719213004
state_free,1,20,42,2.8223397731781006,2.825152635574341,2.9391984939575195,-0.0565337795964713
state_free,1,20,7,2.8251802921295166,2.824143171310425,2.940205812454224,-0.0555264610997672
state_free,1,20,123,2.820850610733032,2.8237173557281494,2.9381606578826904,-0.0575716156713004
state_cond,5,20,42,2.8227977752685547,2.880500555038452,2.9635629653930664,-0.0321693081609244
state_cond,5,20,7,2.8258659839630127,2.883657693862915,2.967617511749268,-0.0281147618047232
state_cond,5,20,123,2.806183099746704,2.8887977600097656,2.970967531204224,-0.0247647423497672
state_free,5,20,42,2.840471029281616,2.8820667266845703,2.965066909790039,-0.0306653637639517
state_free,5,20,7,2.8234989643096924,2.882683277130127,2.972687244415283,-0.0230450291387076
state_free,5,20,123,2.828582525253296,2.8886282444000244,2.974578857421875,-0.0211534161321158
state_cond,10,20,42,2.8482251167297363,2.937326192855835,2.9742324352264404,-0.0214998383275504
state_cond,10,20,7,2.845850944519043,2.942213296890259,2.9747214317321777,-0.0210108418218131
state_cond,10,20,123,2.850440263748169,2.932151556015014,2.973987340927124,-0.0217449326268668
state_free,10,20,42,2.822523832321167,2.9661550521850586,2.9751346111297607,-0.0205976624242301
state_free,10,20,7,2.858363389968872,2.926999092102051,2.9695851802825928,-0.026147093271398
state_free,10,20,123,2.845947265625,2.954869747161865,2.981447219848633,-0.014285053705358
state_cond,21,20,42,2.828671932220459,2.9448330402374268,2.9854581356048584,-0.0102741379491324
state_cond,21,20,7,2.827573537826538,2.9508087635040283,2.9854023456573486,-0.0103299278966422
state_cond,21,20,123,2.8269362449646,2.936514139175415,2.982079267501831,-0.0136530060521598
state_free,21,20,42,2.8322243690490723,2.93776535987854,2.9835879802703857,-0.0121442932836051
state_free,21,20,7,2.831482172012329,2.935821771621704,2.980306625366211,-0.0154256481877799
state_free,21,20,123,2.8294870853424072,2.951786518096924,2.979050397872925,-0.016681875681066
state_cond,63,20,42,2.8343710899353027,3.115112066268921,3.077122449874878,0.081390176320887
state_cond,63,20,7,2.83611798286438,3.085756540298462,3.0530152320861816,0.0572829585321907
state_cond,63,20,123,2.834721088409424,3.0817527770996094,3.068112134933472,0.0723798613794808
state_free,63,20,42,2.836250305175781,3.123108386993408,3.083085536956787,0.0873532634027962
state_free,63,20,7,2.844844102859497,3.0816357135772705,3.0354325771331787,0.0397003035791878
state_free,63,20,123,2.8455467224121094,3.0639395713806152,3.027671813964844,0.0319395404108528
state_cond,1,35,42,3.3638370037078857,3.381719827651977,3.500476360321045,-0.0548717011683685
state_cond,1,35,7,3.3753795623779297,3.380405902862549,3.4979448318481445,-0.0574032296412689
state_cond,1,35,123,3.353008985519409,3.3850526809692383,3.498835563659668,-0.0565124978297455
state_free,1,35,42,3.353715658187866,3.3885836601257324,3.496572732925415,-0.0587753285639984
state_free,1,35,7,3.378546953201294,3.378964900970459,3.502140998840332,-0.0532070626490814
state_free,1,35,123,3.378641128540039,3.3771772384643555,3.4970345497131348,-0.0583135117762787
state_cond,5,35,42,3.3720571994781494,3.4415652751922607,3.5162017345428467,-0.0391463269465668
state_cond,5,35,7,3.3624606132507324,3.4509499073028564,3.5268564224243164,-0.0284916390650971
state_cond,5,35,123,3.3653595447540283,3.445424795150757,3.522447347640991,-0.0329007138484223
