timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.03663105145096779,1.3441112,0.1547732,2020-02-06
1,0.03449922800064087,1.340965,0.13862652,2020-02-07
2,0.036276523023843765,1.3381636,0.15327698,2020-02-10
3,0.0359325185418129,1.3252017,0.15507993,2020-02-11
4,0.03630921617150307,1.3485836,0.15369901,2020-02-12
5,0.038571275770664215,1.3399941,0.1625443,2020-02-13
6,0.03333176672458649,1.3006234,0.13553095,2020-02-14
7,0.034181855618953705,1.3144004,0.14342514,2020-02-18
8,0.03436920791864395,1.3184019,0.14052206,2020-02-19
9,0.03476348891854286,1.2928067,0.14788187,2020-02-20
10,0.03562644496560097,1.3412886,0.14565149,2020-02-21
11,0.033204082399606705,1.3205153,0.13204066,2020-02-24
12,0.027643410488963127,1.2451999,0.10866153,2020-02-25
13,0.027951283380389214,1.2462276,0.11700551,2020-02-26
14,0.0300309918820858,1.2967546,0.12197396,2020-02-27
15,0.024752981960773468,1.2201287,0.097749576,2020-02-28
16,0.04155733436346054,1.3312868,0.1791834,2020-03-02
17,0.031748250126838684,1.2599802,0.12219658,2020-03-03
18,0.038415197283029556,1.3451867,0.17179862,2020-03-04
19,0.028874676674604416,1.2581862,0.10932527,2020-03-05
20,0.02341526374220848,1.2000322,0.09096466,2020-03-06
21,0.022005978971719742,1.2198459,0.08966422,2020-03-09
22,0.032760195434093475,1.3023801,0.1384663,2020-03-10
23,0.043180789798498154,1.3516972,0.1711083,2020-03-11
24,0.029851896688342094,1.3383795,0.10892897,2020-03-12
25,0.05118270590901375,1.3814051,0.21690463,2020-03-13
26,0.01016878429800272,0.9732332,0.034465764,2020-03-16
27,0.03040335886180401,1.3511558,0.13077626,2020-03-17
28,0.04426843300461769,1.3067113,0.16175699,2020-03-18
29,0.030924176797270775,1.2708373,0.12013617,2020-03-19
30,0.01980673335492611,1.1322476,0.09050101,2020-03-20
31,0.037590477615594864,1.3593735,0.13254437,2020-03-23
32,0.048501156270504,1.3600247,0.21398205,2020-03-24
33,0.05328834429383278,1.317078,0.19306491,2020-03-25
34,0.03254823014140129,1.2682829,0.14178373,2020-03-26
35,0.03266317397356033,1.2989609,0.13130099,2020-03-27
36,0.02890608087182045,1.2728857,0.12422501,2020-03-30
37,0.035295188426971436,1.380478,0.16048738,2020-03-31
38,0.03288549184799194,1.3707937,0.123620324,2020-04-01
39,0.04075070470571518,1.3490568,0.17996924,2020-04-02
40,0.03739595413208008,1.3193828,0.1411165,2020-04-03
41,0.05182082578539848,1.3739519,0.22387871,2020-04-06
42,0.05314583331346512,1.3741555,0.20526868,2020-04-07
43,0.04194419085979462,1.380136,0.16516775,2020-04-08
44,0.050116587430238724,1.3817322,0.2035239,2020-04-09
45,0.04109443724155426,1.3599885,0.15562113,2020-04-13
46,0.03319797292351723,1.3649426,0.13433714,2020-04-14
47,0.017324984073638916,1.1359202,0.072230175,2020-04-15
48,0.02687189169228077,1.2360419,0.10883077,2020-04-16
49,0.04350031167268753,1.2945777,0.16671118,2020-04-17
50,0.040660254657268524,1.3471454,0.16612725,2020-04-20
51,0.034551024436950684,1.3524867,0.15052816,2020-04-21
52,0.019270747900009155,1.1343002,0.08373982,2020-04-22
53,0.04452929645776749,1.3616642,0.18382841,2020-04-23
54,0.03670189529657364,1.3529016,0.15434745,2020-04-24
55,0.04305577650666237,1.3415678,0.17480469,2020-04-27
56,0.046134620904922485,1.371729,0.17976439,2020-04-28
57,0.04272818937897682,1.3619568,0.17414476,2020-04-29
58,0.03820101171731949,1.3321482,0.16090792,2020-04-30
59,0.02035382390022278,1.1952105,0.08340209,2020-05-01
60,0.03321274742484093,1.2842982,0.13656342,2020-05-04
61,0.017338721081614494,1.1018741,0.075804844,2020-05-05
62,0.017292533069849014,1.094319,0.06671573,2020-05-06
63,0.025584815070033073,1.1582441,0.10935588,2020-05-07
64,0.02826370857656002,1.2019219,0.114954695,2020-05-08
65,0.021108971908688545,1.1617066,0.087942794,2020-05-11
66,0.017275216057896614,1.0887257,0.07553688,2020-05-12
67,0.011807006783783436,1.0186068,0.049382284,2020-05-13
68,0.011116360314190388,0.9955338,0.051699772,2020-05-14
69,0.021719088777899742,1.1303424,0.0951645,2020-05-15
70,0.023646455258131027,1.1412207,0.10288351,2020-05-18
71,0.02769206091761589,1.2051661,0.11353837,2020-05-19
72,0.03356955200433731,1.2634937,0.15492569,2020-05-20
73,0.031168771907687187,1.2494198,0.1298183,2020-05-21
74,0.031044956296682358,1.2423593,0.13597402,2020-05-22
75,0.028638388961553574,1.2084934,0.12530307,2020-05-26
76,0.03346268832683563,1.2507554,0.14226675,2020-05-27
77,0.030403578653931618,1.2648576,0.13322917,2020-05-28
78,0.026700835675001144,1.1960299,0.11412893,2020-05-29
79,0.022578828036785126,1.1576376,0.10348981,2020-06-01
80,0.026448208838701248,1.2025745,0.11174083,2020-06-02
81,0.03268944472074509,1.2758162,0.14554715,2020-06-03
82,0.031601596623659134,1.2071756,0.13723874,2020-06-04
83,0.030709687620401382,1.1957581,0.14188498,2020-06-05
84,0.036844078451395035,1.308095,0.16007268,2020-06-08
85,0.03179694712162018,1.3252897,0.13376194,2020-06-09
86,0.01910664141178131,1.1709096,0.07548662,2020-06-10
87,0.020422836765646935,1.1845179,0.08108954,2020-06-11
88,0.02769302949309349,1.2176253,0.12327032,2020-06-12
89,0.03653557971119881,1.3041168,0.14430039,2020-06-15
90,0.020724941045045853,1.1320722,0.08929229,2020-06-16
91,0.017316844314336777,1.1062561,0.07219843,2020-06-17
92,0.02933862805366516,1.2391205,0.11667715,2020-06-18
93,0.02331501431763172,1.1565131,0.09625332,2020-06-19
94,0.026568230241537094,1.2192808,0.10929765,2020-06-22
95,0.02645854838192463,1.185513,0.115373924,2020-06-23
96,0.023467352613806725,1.1879538,0.097420625,2020-06-24
97,0.028318611904978752,1.2321247,0.118884645,2020-06-25
98,0.02261405438184738,1.140843,0.09164654,2020-06-26
99,0.028113948181271553,1.2397894,0.119164795,2020-06-29
100,0.027800418436527252,1.1793401,0.12343116,2020-06-30
101,0.020458955317735672,1.1521846,0.08566323,2020-07-01
102,0.030238725244998932,1.2404553,0.12645362,2020-07-02
103,0.03483973443508148,1.2443856,0.14500657,2020-07-06
104,0.02742307260632515,1.2220699,0.10567631,2020-07-07
105,0.02829396165907383,1.2507911,0.11825769,2020-07-08
106,0.019886158406734467,1.1108136,0.08297205,2020-07-09
107,0.021939758211374283,1.1059505,0.101866856,2020-07-10
108,0.022153161466121674,1.1339622,0.097093366,2020-07-13
109,0.01948443241417408,1.1091751,0.08331932,2020-07-14
110,0.02577187865972519,1.1667142,0.11395986,2020-07-15
111,0.02661522850394249,1.2236922,0.10975401,2020-07-16
112,0.030853942036628723,1.3213408,0.1257508,2020-07-17
113,0.029163124039769173,1.2354809,0.123315625,2020-07-20
114,0.021227693185210228,1.1019444,0.101794004,2020-07-21
115,0.0327637754380703,1.2701563,0.13646492,2020-07-22
116,0.032432060688734055,1.3371751,0.1362333,2020-07-23
117,0.02629740722477436,1.19703,0.10696427,2020-07-24
118,0.02830914407968521,1.2643368,0.11851656,2020-07-27
119,0.028236590325832367,1.2462816,0.11860356,2020-07-28
120,0.03237725421786308,1.2137225,0.14597334,2020-07-29
121,0.03114526905119419,1.2667657,0.12511319,2020-07-30
122,0.028786523267626762,1.2450308,0.12286253,2020-07-31
123,0.023068726062774658,1.1695606,0.09719779,2020-08-03
124,0.031057339161634445,1.2674444,0.13241634,2020-08-04
