timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.0,1.3480319,0.0,2020-02-06
1,0.0,1.3220154,0.0,2020-02-07
2,0.0,1.3377748,0.0,2020-02-10
3,0.0,1.337005,0.0,2020-02-11
4,0.0,1.3494025,0.0,2020-02-12
5,0.0,1.3433319,0.0,2020-02-13
6,0.0,1.2993038,0.0,2020-02-14
7,0.0,1.3034337,0.0,2020-02-18
8,0.0,1.3139452,0.0,2020-02-19
9,0.0,1.3017375,0.0,2020-02-20
10,0.0,1.340304,0.0,2020-02-21
11,0.0,1.351844,0.0,2020-02-24
12,0.0,1.2755083,0.0,2020-02-25
13,0.0,1.2397953,0.0,2020-02-26
14,0.0,1.2891355,0.0,2020-02-27
15,0.0,1.2530559,0.0,2020-02-28
16,0.0,1.2898709,0.0,2020-03-02
17,0.0,1.2861469,0.0,2020-03-03
18,0.0,1.2935848,0.0,2020-03-04
19,0.0,1.265961,0.0,2020-03-05
20,0.0,1.217522,0.0,2020-03-06
21,0.0,1.3685942,0.0,2020-03-09
22,0.0,1.3375578,0.0,2020-03-10
23,0.0,1.3460127,0.0,2020-03-11
24,0.0,1.3341658,0.0,2020-03-12
25,0.0,1.3798159,0.0,2020-03-13
26,0.0,1.180961,0.0,2020-03-16
27,0.0,1.2702322,0.0,2020-03-17
28,0.0,1.3398883,0.0,2020-03-18
29,0.0,1.3801631,0.0,2020-03-19
30,0.0,1.1562259,0.0,2020-03-20
31,0.0,1.3858304,0.0,2020-03-23
32,0.0,1.3785775,0.0,2020-03-24
33,0.0,1.3439559,0.0,2020-03-25
34,0.0,1.0935928,0.0,2020-03-26
35,0.0,1.2898419,0.0,2020-03-27
36,0.0,1.193171,0.0,2020-03-30
37,0.0,1.3816698,0.0,2020-03-31
38,0.0,1.3097907,0.0,2020-04-01
39,0.0,1.3521162,0.0,2020-04-02
40,0.0,1.3251543,0.0,2020-04-03
41,0.0,1.3314055,0.0,2020-04-06
42,0.0,1.2069701,0.0,2020-04-07
43,0.0,1.1636777,0.0,2020-04-08
44,0.0,1.285149,0.0,2020-04-09
45,0.0,1.3613102,0.0,2020-04-13
46,0.0,1.3834069,0.0,2020-04-14
47,0.0,1.0748276,0.0,2020-04-15
48,0.0,1.1895803,0.0,2020-04-16
49,0.0,1.3755722,0.0,2020-04-17
50,0.0,1.2903744,0.0,2020-04-20
51,0.0,1.1766634,0.0,2020-04-21
52,0.0,1.0801594,0.0,2020-04-22
53,0.0,1.2798659,0.0,2020-04-23
54,0.0,1.362821,0.0,2020-04-24
55,0.0,1.35818,0.0,2020-04-27
56,0.0,1.3551774,0.0,2020-04-28
57,0.0,1.3736451,0.0,2020-04-29
58,0.0,1.3289137,0.0,2020-04-30
59,0.0,1.2140632,0.0,2020-05-01
60,0.0,1.3401213,0.0,2020-05-04
61,0.0,1.1675364,0.0,2020-05-05
62,0.0,1.1813027,0.0,2020-05-06
63,0.0,1.1794664,0.0,2020-05-07
64,0.0,1.1866974,0.0,2020-05-08
65,0.0,1.121346,0.0,2020-05-11
66,0.0,1.1167446,0.0,2020-05-12
67,0.0,1.1244262,0.0,2020-05-13
68,0.0,1.0670129,0.0,2020-05-14
69,0.0,1.1828036,0.0,2020-05-15
70,0.0,1.2303694,0.0,2020-05-18
71,0.0,1.2068527,0.0,2020-05-19
72,0.0,1.1573288,0.0,2020-05-20
73,0.0,1.2530735,0.0,2020-05-21
74,0.0,1.2348185,0.0,2020-05-22
75,0.0,1.3148619,0.0,2020-05-26
76,0.0,1.1277198,0.0,2020-05-27
77,0.0,1.1624581,0.0,2020-05-28
78,0.0,1.2182107,0.0,2020-05-29
79,0.0,1.167695,0.0,2020-06-01
80,0.0,1.2726413,0.0,2020-06-02
81,0.0,1.271569,0.0,2020-06-03
82,0.0,1.2535796,0.0,2020-06-04
83,0.0,1.1752119,0.0,2020-06-05
84,0.0,1.2862916,0.0,2020-06-08
85,0.0,1.314225,0.0,2020-06-09
86,0.0,1.1680671,0.0,2020-06-10
87,0.0,1.1770699,0.0,2020-06-11
88,0.0,1.2130705,0.0,2020-06-12
89,0.0,1.2932514,0.0,2020-06-15
90,0.0,1.1590321,0.0,2020-06-16
91,0.0,1.0669775,0.0,2020-06-17
92,0.0,1.2304976,0.0,2020-06-18
93,0.0,1.2256323,0.0,2020-06-19
94,0.0,1.2738461,0.0,2020-06-22
95,0.0,1.2860416,0.0,2020-06-23
96,0.0,1.2145554,0.0,2020-06-24
97,0.0,1.2673519,0.0,2020-06-25
98,0.0,1.2192373,0.0,2020-06-26
