timestep,ck_kl,ck_tv,date
0,0.345786034733988,0.3607210750153898,2020-04-17
1,0.03437703147763849,0.09520828126309407,2020-04-20
2,0.021288351269445182,0.08682625277259738,2020-04-21
3,0.04660830086804236,0.10665881200999187,2020-04-22
4,0.0640584886315462,0.1371287802309643,2020-04-23
5,0.015393745965641623,0.06797731725477305,2020-04-24
6,0.013288926019975751,0.06572219717966588,2020-04-27
7,0.028228531331895016,0.09441628111034647,2020-04-28
8,0.030519014262481825,0.10499523769185992,2020-04-29
9,0.00815315057763066,0.046078084590519534,2020-04-30
10,0.008758838267440398,0.0506426379714829,2020-05-01
11,0.24523005088866331,0.28369499497017303,2020-05-04
12,0.1719409523780717,0.23397954848880606,2020-05-05
13,0.010162335507472458,0.05491552679503973,2020-05-06
14,0.09855950749457834,0.18255186612684318,2020-05-07
15,0.010280143695549292,0.054477529178141026,2020-05-08
16,0.0795110369020314,0.1615562920901909,2020-05-11
17,0.01100608629869277,0.05849700826141656,2020-05-12
18,0.10620078081318876,0.16954420558405794,2020-05-13
19,0.008554532121424437,0.0506851145814731,2020-05-14
20,0.01088581279859483,0.05796349270996085,2020-05-15
21,0.06740441880267868,0.15786985029502018,2020-05-18
22,0.055443827048981195,0.12733720183491143,2020-05-19
23,0.012538157205599164,0.059604388566203134,2020-05-20
24,0.08115393317959914,0.16802543613708054,2020-05-21
25,0.07367896799846865,0.15777609955823263,2020-05-22
26,0.050156744326804205,0.13754127047936232,2020-05-26
27,0.41396734555793085,0.3430807626427141,2020-05-27
28,0.031042746355687174,0.10699085365904629,2020-05-28
29,0.005769052095401919,0.040765424197435104,2020-05-29
30,0.0324579736062711,0.09840470156392546,2020-06-01
31,0.03555666928705591,0.1124786944367489,2020-06-02
32,0.059593988518593474,0.13919093980386638,2020-06-03
33,0.08392400776670016,0.16548715883279425,2020-06-04
34,0.2272999229615428,0.2830672916319005,2020-06-05
35,0.25427829226625914,0.30674329497991837,2020-06-08
36,0.3269609437096209,0.3450986554328743,2020-06-09
37,0.02021513819664239,0.06686828889726419,2020-06-10
38,1.236827833487575,0.5695341048593453,2020-06-11
39,0.06447487164131957,0.15459861022841692,2020-06-12
40,0.011114352344535556,0.0570339835035491,2020-06-15
41,0.010616275885582031,0.05555243072306773,2020-06-16
42,0.03260285316015486,0.10731212918953978,2020-06-17
43,0.10395478369004836,0.20344414849610257,2020-06-18
44,0.03230233966190105,0.10224612564781267,2020-06-19
45,0.053625906986841304,0.13507755103418218,2020-06-22
46,0.06326407736373074,0.1455399509944719,2020-06-23
47,0.022938100716865573,0.08838537607071836,2020-06-24
48,0.2756752329956369,0.3001672015198855,2020-06-25
49,0.09013541134618896,0.15094834020066986,2020-06-26
50,0.032569172731602945,0.11096495266810105,2020-06-29
51,0.07399863368025625,0.15019120198716704,2020-06-30
52,0.013379542492055889,0.06561781944702472,2020-07-01
53,0.022894020082130845,0.09021300006295933,2020-07-02
54,0.01908587564825262,0.07696866294114625,2020-07-06
55,0.005916113708602688,0.041724142853788025,2020-07-07
56,0.06874317868826443,0.1475923515176581,2020-07-08
