timestep,ck_kl,ck_tv,date
0,0.2307768878331677,0.26600363373947256,2020-03-27
1,0.11622748242880632,0.1867373660730463,2020-03-30
2,0.15196146896371165,0.20919194690302156,2020-03-31
3,0.15228888022022796,0.2064871847362088,2020-04-01
4,0.1035542473235575,0.17309414195411674,2020-04-02
5,0.3077395904086253,0.27762128478873577,2020-04-03
6,0.0758320141844456,0.1458944273247689,2020-04-06
7,0.3064771853558945,0.2816462204761653,2020-04-07
8,0.058887946336667316,0.1396209885537049,2020-04-08
9,0.2179621684617317,0.2605820377120792,2020-04-09
10,0.4941901815097414,0.36499354649045546,2020-04-13
11,0.08182463286570299,0.1692652525394404,2020-04-14
12,0.11022514211844252,0.18747649167233718,2020-04-15
13,0.19273736733011604,0.23477431102411614,2020-04-16
14,0.22788097067196883,0.2515381025625257,2020-04-17
15,0.08460932888619617,0.1603541483498232,2020-04-20
16,0.29959435612466434,0.31000603829399576,2020-04-21
17,0.07570444914346847,0.14830203898883654,2020-04-22
18,0.1510478293253305,0.2097491704345327,2020-04-23
19,0.13043040923051602,0.1903987701406948,2020-04-24
20,0.053818003525460185,0.1312749346717304,2020-04-27
21,0.04858588738647254,0.11801418212492662,2020-04-28
22,0.0942666215042415,0.17520919525691137,2020-04-29
23,0.04474368687278024,0.12034095822215977,2020-04-30
24,0.2384602335735999,0.26942848828443244,2020-05-01
25,0.28273717473465887,0.2601540531528812,2020-05-04
26,0.08039702995972733,0.1438045609966405,2020-05-05
27,0.0949338431305715,0.172557097435931,2020-05-06
28,0.1471443595235664,0.18737649236344608,2020-05-07
29,0.06482074092774318,0.1332658449521986,2020-05-08
30,0.20992576110227584,0.23082581479707112,2020-05-11
31,0.2306008547649816,0.23428274702342797,2020-05-12
32,0.1069888371631943,0.17803820274924342,2020-05-13
33,0.018165345948594543,0.07059876869812015,2020-05-14
34,0.046619107509034884,0.1178458874170395,2020-05-15
35,0.10158276177862022,0.1673293407349677,2020-05-18
36,0.47481591600696876,0.35771178819661625,2020-05-19
37,0.14271138175556256,0.22255230506797352,2020-05-20
38,0.06308198650092041,0.13658990527682063,2020-05-21
39,0.04424461516361515,0.13160580527562812,2020-05-22
40,0.15041123973784282,0.19478210819584374,2020-05-26
41,0.14617540740898435,0.19948338351407652,2020-05-27
42,0.07225975562873764,0.14661629907210644,2020-05-28
43,0.035011933706481514,0.10489981351566682,2020-05-29
44,0.030035003037764733,0.10581178989476445,2020-06-01
45,0.04438515790608403,0.11558062633432781,2020-06-02
46,0.4492247727088928,0.33560939058968536,2020-06-03
47,0.07857348392986545,0.14592329892698885,2020-06-04
48,0.031342702461880555,0.09890750660017279,2020-06-05
49,0.1789285327004235,0.21205622472970023,2020-06-08
50,0.04815773786318767,0.12587358814919372,2020-06-09
51,0.2149244350026826,0.25189366529940793,2020-06-10
52,0.3441469795127218,0.3161533274186428,2020-06-11
53,0.266287501979552,0.2650234800299273,2020-06-12
54,0.6398780411899315,0.39788443837123005,2020-06-15
55,0.069004813133594,0.1612211334934346,2020-06-16
56,0.15737228538299955,0.22060735898266395,2020-06-17
57,0.26335776772917857,0.25639113517808493,2020-06-18
58,0.11334316049154602,0.17465635163730833,2020-06-19
59,0.02748304270247255,0.10310003126991826,2020-06-22
60,0.0710891387756,0.11195186117444164,2020-06-23
61,0.15605696207876446,0.2096914767400685,2020-06-24
62,0.5485545463465142,0.36314122197133836,2020-06-25
63,0.43149093773705977,0.3410863135144349,2020-06-26
64,0.3209701121664109,0.28883875698510036,2020-06-29
65,0.11172347563065037,0.1721305692345927,2020-06-30
66,0.0666687506060514,0.12154850990261853,2020-07-01
67,0.1445226234825811,0.19447691944681028,2020-07-02
68,0.24129594960117376,0.26004330718358665,2020-07-06
69,0.20284035998768024,0.23348240073396745,2020-07-07
70,0.3753728205323097,0.27844552046702875,2020-07-08
71,0.22623998206989226,0.23333596200742202,2020-07-09
72,0.14482922148310343,0.18677696471137695,2020-07-10
73,0.4383663487073919,0.33567842215359645,2020-07-13
74,0.041398053598994324,0.10093208006229898,2020-07-14
75,0.20531697936843435,0.19624651064520113,2020-07-15
76,0.03424121215591909,0.08773582651439536,2020-07-16
77,0.37085023923464805,0.2920440378015283,2020-07-17
78,0.19454673494120442,0.18918651317973212,2020-07-20
79,0.13006593584851314,0.16735320416742064,2020-07-21
80,0.10669973896220478,0.16773818231694707,2020-07-22
81,0.14894407392728717,0.17813541564564989,2020-07-23
82,0.06576273107580692,0.11606660621856894,2020-07-24
83,0.013299429999077626,0.07248571971054762,2020-07-27
84,0.21361075780978037,0.23635930870862787,2020-07-28
85,0.14194544891744304,0.16060836251776286,2020-07-29
86,0.026982624371167566,0.07695235847858224,2020-07-30
87,0.06406201228551854,0.11142448314476884,2020-07-31
88,0.11752708709011735,0.21528140813192798,2020-08-03
89,0.015901629326127063,0.06629881081919424,2020-08-04
90,0.010603157520518549,0.06340177943206761,2020-08-05
91,0.21017466443289953,0.28727925869338244,2020-08-06
92,0.06652116843255483,0.16118751786828353,2020-08-07
93,0.01563554992117388,0.07629961263436673,2020-08-10
94,0.07071838650489366,0.16627836690338443,2020-08-11
95,0.13739075136352605,0.23114404972271926,2020-08-12
96,0.01690242038022633,0.07975390244194872,2020-08-13
97,0.01797548234792032,0.07783130016571484,2020-08-14
98,0.004790011593703437,0.03298840540596886,2020-08-17
99,0.019800815219568328,0.07303401895903415,2020-08-18
100,0.120818414098384,0.1652011826801901,2020-08-19
101,0.15566992894302958,0.2497819887802451,2020-08-20
102,0.03456069408593177,0.11423715168159117,2020-08-21
103,0.008209799868890812,0.05515383952482429,2020-08-24
104,0.03200083008213941,0.11359040224316434,2020-08-25
105,0.12564312518254953,0.22102521127771269,2020-08-26
106,0.015494462502004673,0.0511424737546274,2020-08-27
107,0.008472612182013494,0.03899168385645587,2020-08-28
108,0.1420050721918794,0.19088957523846592,2020-08-31
109,0.030460799731480876,0.10885975498201649,2020-09-01
110,0.034443898394995946,0.1158834729175929,2020-09-02
111,0.03705824304185081,0.11533788421195883,2020-09-03
112,0.03866864800258598,0.09947909762691513,2020-09-04
113,0.02211543847187305,0.08413041780816784,2020-09-08
114,0.053192527094478026,0.10581804092702474,2020-09-09
115,0.05813085712427352,0.12277151191725136,2020-09-10
116,0.025156653971811826,0.07059174477710027,2020-09-11
117,0.04244429672772437,0.10358471222958464,2020-09-14
118,0.14100663947010011,0.19093791830588694,2020-09-15
119,0.0383718170211988,0.09921490324155328,2020-09-16
120,0.022673240200978727,0.08938022512658646,2020-09-17
121,0.015650743908050924,0.0768839729608225,2020-09-18
122,0.053342853358072484,0.11630929003218937,2020-09-21
123,0.0763304621574172,0.14172784297058477,2020-09-22
124,0.09290620871816198,0.16181344821105703,2020-09-23
125,0.026507584784201142,0.09407219545339393,2020-09-24
126,0.014198678157876876,0.06532126123666016,2020-09-25
127,0.05042627685342581,0.1395667362520765,2020-09-28
128,0.05232292348511565,0.1444871214847298,2020-09-29
129,0.07119559625981568,0.16076945151334676,2020-09-30
130,0.05620261775220775,0.14523781735002358,2020-10-01
131,0.09231773985195739,0.1849536509809765,2020-10-02
132,0.024707077389432498,0.09605344317054765,2020-10-05
133,0.012298908846169541,0.06847485406348269,2020-10-06
134,0.007305179082660429,0.05137365285886744,2020-10-07
135,0.11487575388684944,0.20959891252025775,2020-10-08
136,0.06899669365891378,0.10933267162009344,2020-10-09
137,0.10361619443959696,0.19722873895883208,2020-10-12
138,0.05817984405125542,0.1521416907331392,2020-10-13
139,0.06360304151958089,0.12184552496859789,2020-10-14
140,0.12120365498187552,0.15686735240062494,2020-10-15
141,0.014682811303890748,0.06394811318113,2020-10-16
142,0.059343156411421544,0.1516518473953526,2020-10-19
143,0.09654633340843226,0.15023840451005482,2020-10-20
144,0.08542308530873997,0.1390309959779871,2020-10-21
145,0.03845194400681287,0.0951359656588676,2020-10-22
146,0.1629838225575286,0.17540162195195327,2020-10-23
147,0.11508612833506948,0.14954789863117407,2020-10-26
148,0.06587167861889653,0.12483121578907228,2020-10-27
149,0.45929500521507405,0.35043842992102264,2020-10-28
150,0.2547047039716425,0.252848984524995,2020-10-29
151,0.28954976634535007,0.2725290251521398,2020-10-30
152,0.11783536671514937,0.1558640653678549,2020-11-02
153,0.17936682542928373,0.19809762383792456,2020-11-03
154,0.36346277401071364,0.29484021438098756,2020-11-04
155,0.19752371585825423,0.21561419135987075,2020-11-05
156,0.2807743389894877,0.2534580588645435,2020-11-06
157,0.7953896525292226,0.3859662216665739,2020-11-09
158,0.2296937728349201,0.244242050148167,2020-11-10
159,0.3742910837019302,0.30897368991263,2020-11-11
160,0.1930790521577638,0.1979339197002095,2020-11-12
