model,h,N,seed,nll_train,nll_val,nll_test,delta_marginal
state_cond,1,4,42,1.364295244216919,1.3374409675598145,1.3704445362091064,-0.0158498249107841
state_cond,1,4,7,1.3654977083206177,1.3367100954055786,1.3697983026504517,-0.0164960584694389
state_cond,1,4,123,1.3685343265533447,1.3392937183380127,1.3702797889709473,-0.0160145721489433
state_free,1,4,42,1.3638882637023926,1.3357287645339966,1.370774507522583,-0.0155198535973075
state_free,1,4,7,1.3644665479660034,1.3327178955078125,1.3692487478256226,-0.017045613294268
state_free,1,4,123,1.360319972038269,1.330019235610962,1.37012779712677,-0.0161665639931205
state_cond,5,4,42,1.3880444765090942,1.3565988540649414,1.3801554441452026,-0.0061389169746879
state_cond,5,4,7,1.385281324386597,1.3550546169281006,1.3802592754364014,-0.0060350856834892
state_cond,5,4,123,1.387281060218811,1.3535135984420776,1.3810365200042725,-0.0052578411156181
state_free,5,4,42,1.3849139213562012,1.354979395866394,1.381294846534729,-0.0049995145851615
state_free,5,4,7,1.385853886604309,1.3515070676803589,1.3827311992645264,-0.0035631618553642
state_free,5,4,123,1.3851444721221924,1.355236291885376,1.3801730871200562,-0.0061212739998344
state_cond,10,4,42,1.3447457551956177,1.3500407934188845,1.3896145820617676,0.003320220941877
state_cond,10,4,7,1.3418755531311035,1.3496615886688232,1.39021635055542,0.0039219894355293
state_cond,10,4,123,1.3352595567703247,1.351212739944458,1.387761116027832,0.0014667549079414
state_free,10,4,42,1.3462425470352173,1.350841403007507,1.38555908203125,-0.0007352790886405
state_free,10,4,7,1.3537604808807373,1.354198932647705,1.3933318853378296,0.007037524217939
state_free,10,4,123,1.3410861492156982,1.3505256175994873,1.388233661651611,0.0019393005317207
state_cond,21,4,42,1.3471897840499878,1.3443751335144043,1.37495756149292,-0.0113367996269706
state_cond,21,4,7,1.3248915672302246,1.3448833227157593,1.387969732284546,0.0016753711646553
state_cond,21,4,123,1.3244364261627195,1.343287706375122,1.383656620979309,-0.0026377401405814
state_free,21,4,42,1.3448448181152344,1.345147967338562,1.3760744333267212,-0.0102199277931693
state_free,21,4,7,1.3429301977157593,1.3479981422424316,1.376699924468994,-0.0095944366508964
state_free,21,4,123,1.3380173444747925,1.3401542901992798,1.3749737739562988,-0.0113205871635917
state_cond,63,4,42,1.310618281364441,1.339279294013977,1.3348368406295776,-0.0514575204903129
state_cond,63,4,7,1.3269022703170776,1.341643452644348,1.3375424146652222,-0.0487519464546684
state_cond,63,4,123,1.3234152793884275,1.3424257040023804,1.3408194780349731,-0.0454748830849174
state_free,63,4,42,1.3280115127563477,1.351231336593628,1.3544676303863523,-0.031826730733538
state_free,63,4,7,1.3252371549606323,1.3491673469543457,1.357343316078186,-0.0289510450417045
state_free,63,4,123,1.327888250350952,1.3421013355255127,1.344203233718872,-0.0420911274010185
state_cond,1,10,42,2.178128719329834,2.169219255447388,2.262942314147949,-0.0396427788460966
state_cond,1,10,7,2.19073486328125,2.170758008956909,2.261571884155273,-0.0410132088387724
state_cond,1,10,123,2.166165351867676,2.1662633419036865,2.264831781387329,-0.0377533116067168
state_free,1,10,42,2.1776440143585205,2.17252779006958,2.262678384780884,-0.0399067082131621
state_free,1,10,7,2.19926118850708,2.1722569465637207,2.2590818405151367,-0.0435032524789091
state_free,1,10,123,2.19360613822937,2.173442840576172,2.2608482837677,-0.0417368092263457
state_cond,5,10,42,2.2234485149383545,2.204108238220215,2.2837026119232178,-0.0188824810708281
state_cond,5,10,7,2.197298049926758,2.1985175609588623,2.291065692901612,-0.0115194000924345
state_cond,5,10,123,2.1941213607788086,2.2025675773620605,2.2980759143829346,-0.0045091786111113
state_free,5,10,42,2.1818408966064453,2.1979801654815674,2.291187286376953,-0.0113978066170927
state_free,5,10,7,2.218604326248169,2.207182168960572,2.2943365573883057,-0.0082485356057402
state_free,5,10,123,2.183943748474121,2.1983795166015625,2.2963223457336426,-0.0062627472604033
state_cond,10,10,42,2.2398242950439453,2.2328357696533203,2.2950117588043213,-0.0075733341897246
state_cond,10,10,7,2.242870807647705,2.229510307312012,2.297036409378052,-0.0055486836159941
state_cond,10,10,123,2.238612413406372,2.2347657680511475,2.2954137325286865,-0.0071713604653593
state_free,10,10,42,2.2465689182281494,2.2350783348083496,2.2943356037139893,-0.0082494892800566
state_free,10,10,7,2.232893705368042,2.2319459915161133,2.301557779312134,-0.0010273136819121
state_free,10,10,123,2.195533514022827,2.228127241134644,2.2873668670654297,-0.0152182259286162
state_cond,21,10,42,2.205747127532959,2.2168638706207275,2.29182505607605,-0.010760036917996
state_cond,21,10,7,2.199432611465454,2.2187631130218506,2.2962539196014404,-0.0063311733926054
state_cond,21,10,123,2.189333915710449,2.212730646133423,2.2933804988861084,-0.0092045941079375
state_free,21,10,42,2.192669630050659,2.214838743209839,2.2923974990844727,-0.0101875939095732
state_free,21,10,7,2.234699249267578,2.218432664871216,2.289188861846924,-0.013396231147122
state_free,21,10,123,2.1676621437072754,2.2087652683258057,2.287171125411988,-0.0154139675820585
state_cond,63,10,42,2.2130441665649414,2.279226064682007,2.266026496887207,-0.0365585961068388
state_cond,63,10,7,2.2070443630218506,2.278085231781006,2.268174171447754,-0.0344109215462919
state_cond,63,10,123,2.204949378967285,2.270683765411377,2.285771131515503,-0.0168139614785429
state_free,63,10,42,2.217280864715576,2.2872228622436523,2.2647244930267334,-0.0378605999673125
state_free,63,10,7,2.229130983352661,2.2880029678344727,2.266148805618286,-0.0364362873757597
state_free,63,10,123,2.222251892089844,2.276966094970703,2.27384877204895,-0.0287363209450957
state_cond,1,20,42,2.844007730484009,2.846766710281372,2.962735891342163,-0.0329963822118277
state_cond,1,20,7,2.853766679763794,2.8457508087158203,2.9524736404418945,-0.0432586331120963
state_cond,1,20,123,2.824979782104492,2.845287322998047,2.9553980827331543,-0.0403341908208365
state_free,1,20,42,2.8513686656951904,2.8453831672668457,2.955935001373291,-0.0397972721806998
state_free,1,20,7,2.8312175273895264,2.843541383743286,2.9701972007751465,-0.0255350727788443
state_free,1,20,123,2.8513543605804443,2.841947555541992,2.9544601440429688,-0.0412721295110221
state_cond,5,20,42,2.853069543838501,2.888744115829468,2.98734450340271,-0.0083877701512808
state_cond,5,20,7,2.859684705734253,2.8855531215667725,2.982430458068848,-0.0133018154851431
state_cond,5,20,123,2.831398725509644,2.8766417503356934,3.001283645629883,0.0055513720758919
state_free,5,20,42,2.865303039550781,2.884982824325561,2.9798572063446045,-0.0158750672093863
state_free,5,20,7,2.844244241714477,2.8781299591064453,2.990344524383545,-0.0053877491704459
state_free,5,20,123,2.852516889572144,2.881686449050904,2.9795708656311035,-0.0161614079228873
state_cond,10,20,42,2.9264228343963623,2.930920124053955,3.0053353309631348,0.0096030574091439
state_cond,10,20,7,2.879412651062012,2.9085123538970947,2.979275941848755,-0.0164563317052359
state_cond,10,20,123,2.895484447479248,2.9137206077575684,2.986704111099243,-0.0090281624547476
