timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.0,3.0718482,0.0,2020-03-27
1,0.0,3.1985579,0.0,2020-03-30
2,0.0,2.8540938,0.0,2020-03-31
3,0.0,2.868927,0.0,2020-04-01
4,0.0,3.164608,0.0,2020-04-02
5,0.0,3.0753655,0.0,2020-04-03
6,0.0,3.4079301,0.0,2020-04-06
7,0.0,3.252231,0.0,2020-04-07
8,0.0,3.358751,0.0,2020-04-08
9,0.0,3.4271913,0.0,2020-04-09
10,0.0,3.2760913,0.0,2020-04-13
11,0.0,3.0226803,0.0,2020-04-14
12,0.0,3.0358987,0.0,2020-04-15
13,0.0,3.1487134,0.0,2020-04-16
14,0.0,3.380742,0.0,2020-04-17
15,0.0,3.2717805,0.0,2020-04-20
16,0.0,3.2030232,0.0,2020-04-21
17,0.0,3.3061044,0.0,2020-04-22
18,0.0,3.1256728,0.0,2020-04-23
19,0.0,3.2724116,0.0,2020-04-24
20,0.0,3.3690403,0.0,2020-04-27
21,0.0,3.449826,0.0,2020-04-28
22,0.0,3.4932961,0.0,2020-04-29
23,0.0,3.445606,0.0,2020-04-30
24,0.0,3.2794561,0.0,2020-05-01
25,0.0,3.2610369,0.0,2020-05-04
26,0.0,3.4051604,0.0,2020-05-05
27,0.0,3.0930681,0.0,2020-05-06
28,0.0,3.4544725,0.0,2020-05-07
29,0.0,3.4291625,0.0,2020-05-08
30,0.0,3.3903875,0.0,2020-05-11
31,0.0,3.3667011,0.0,2020-05-12
32,0.0,3.217462,0.0,2020-05-13
33,0.0,3.4143586,0.0,2020-05-14
34,0.0,3.4517121,0.0,2020-05-15
35,0.0,3.3650005,0.0,2020-05-18
36,0.0,3.490673,0.0,2020-05-19
37,0.0,3.400974,0.0,2020-05-20
38,0.0,3.4004533,0.0,2020-05-21
39,0.0,3.514892,0.0,2020-05-22
40,0.0,3.4235394,0.0,2020-05-26
41,0.0,3.4209914,0.0,2020-05-27
42,0.0,3.3651257,0.0,2020-05-28
43,0.0,3.3494906,0.0,2020-05-29
44,0.0,3.5332367,0.0,2020-06-01
45,0.0,3.3843093,0.0,2020-06-02
46,0.0,3.488641,0.0,2020-06-03
47,0.0,3.4966447,0.0,2020-06-04
48,0.0,3.4608412,0.0,2020-06-05
49,0.0,3.4562378,0.0,2020-06-08
50,0.0,3.4380558,0.0,2020-06-09
51,0.0,3.4072506,0.0,2020-06-10
52,0.0,2.7948916,0.0,2020-06-11
53,0.0,3.3650258,0.0,2020-06-12
54,0.0,3.2654214,0.0,2020-06-15
55,0.0,3.4876842,0.0,2020-06-16
56,0.0,3.4200351,0.0,2020-06-17
57,0.0,3.3470442,0.0,2020-06-18
58,0.0,3.3797655,0.0,2020-06-19
59,0.0,3.4844508,0.0,2020-06-22
60,0.0,3.5409412,0.0,2020-06-23
61,0.0,3.267933,0.0,2020-06-24
62,0.0,3.4119282,0.0,2020-06-25
63,0.0,3.3296964,0.0,2020-06-26
64,0.0,3.479786,0.0,2020-06-29
65,0.0,3.475693,0.0,2020-06-30
66,0.0,3.5444813,0.0,2020-07-01
67,0.0,3.452881,0.0,2020-07-02
68,0.0,3.4501379,0.0,2020-07-06
69,0.0,3.423248,0.0,2020-07-07
70,0.0,3.4985642,0.0,2020-07-08
71,0.0,3.5520697,0.0,2020-07-09
72,0.0,3.5374513,0.0,2020-07-10
73,0.0,3.394612,0.0,2020-07-13
74,0.0,3.4510546,0.0,2020-07-14
75,0.0,3.5422487,0.0,2020-07-15
76,0.0,3.5239408,0.0,2020-07-16
77,0.0,3.4373324,0.0,2020-07-17
78,0.0,3.5522168,0.0,2020-07-20
79,0.0,3.5499303,0.0,2020-07-21
80,0.0,3.5080833,0.0,2020-07-22
81,0.0,3.5314317,0.0,2020-07-23
82,0.0,3.5483568,0.0,2020-07-24
83,0.0,3.5519373,0.0,2020-07-27
84,0.0,3.5172474,0.0,2020-07-28
85,0.0,3.5518456,0.0,2020-07-29
86,0.0,3.5198197,0.0,2020-07-30
87,0.0,3.5519104,0.0,2020-07-31
88,0.0,3.5221999,0.0,2020-08-03
89,0.0,3.538245,0.0,2020-08-04
90,0.0,3.513217,0.0,2020-08-05
91,0.0,3.4908402,0.0,2020-08-06
92,0.0,3.5235183,0.0,2020-08-07
93,0.0,3.53662,0.0,2020-08-10
94,0.0,3.5511003,0.0,2020-08-11
95,0.0,3.4942522,0.0,2020-08-12
96,0.0,3.5518498,0.0,2020-08-13
97,0.0,3.512843,0.0,2020-08-14
98,0.0,3.5146482,0.0,2020-08-17
99,0.0,3.552234,0.0,2020-08-18
100,0.0,3.549367,0.0,2020-08-19
101,0.0,3.5078835,0.0,2020-08-20
102,0.0,3.5498018,0.0,2020-08-21
103,0.0,3.5496151,0.0,2020-08-24
104,0.0,3.5009186,0.0,2020-08-25
105,0.0,3.5510187,0.0,2020-08-26
106,0.0,3.551734,0.0,2020-08-27
107,0.0,3.5122344,0.0,2020-08-28
108,0.0,3.4964206,0.0,2020-08-31
109,0.0,3.5310721,0.0,2020-09-01
110,0.0,3.5227606,0.0,2020-09-02
111,0.0,3.4672058,0.0,2020-09-03
112,0.0,3.5299091,0.0,2020-09-04
113,0.0,3.4312696,0.0,2020-09-08
114,0.0,3.4918997,0.0,2020-09-09
115,0.0,3.4373658,0.0,2020-09-10
116,0.0,3.5363612,0.0,2020-09-11
117,0.0,3.5072432,0.0,2020-09-14
118,0.0,3.4714353,0.0,2020-09-15
119,0.0,3.5488124,0.0,2020-09-16
120,0.0,3.5503745,0.0,2020-09-17
121,0.0,3.5220978,0.0,2020-09-18
122,0.0,3.4845734,0.0,2020-09-21
123,0.0,3.536818,0.0,2020-09-22
124,0.0,3.3462112,0.0,2020-09-23
125,0.0,3.5195277,0.0,2020-09-24
126,0.0,3.5485961,0.0,2020-09-25
127,0.0,3.517236,0.0,2020-09-28
128,0.0,3.5502076,0.0,2020-09-29
129,0.0,3.5139513,0.0,2020-09-30
130,0.0,3.5404296,0.0,2020-10-01
131,0.0,3.543262,0.0,2020-10-02
132,0.0,3.4789617,0.0,2020-10-05
133,0.0,3.5133884,0.0,2020-10-06
134,0.0,3.5156832,0.0,2020-10-07
135,0.0,3.5514896,0.0,2020-10-08
136,0.0,3.5448418,0.0,2020-10-09
137,0.0,3.5472019,0.0,2020-10-12
138,0.0,3.5498807,0.0,2020-10-13
139,0.0,3.5497594,0.0,2020-10-14
140,0.0,3.5411086,0.0,2020-10-15
141,0.0,3.5472417,0.0,2020-10-16
142,0.0,3.5222573,0.0,2020-10-19
143,0.0,3.5350363,0.0,2020-10-20
144,0.0,3.5487554,0.0,2020-10-21
145,0.0,3.5326436,0.0,2020-10-22
146,0.0,3.547831,0.0,2020-10-23
147,0.0,3.4955635,0.0,2020-10-26
148,0.0,3.444582,0.0,2020-10-27
149,0.0,3.3614194,0.0,2020-10-28
150,0.0,3.4015923,0.0,2020-10-29
151,0.0,3.4523804,0.0,2020-10-30
152,0.0,3.446622,0.0,2020-11-02
153,0.0,3.4832513,0.0,2020-11-03
154,0.0,3.4980168,0.0,2020-11-04
155,0.0,3.5509374,0.0,2020-11-05
156,0.0,3.530506,0.0,2020-11-06
157,0.0,3.4034986,0.0,2020-11-09
158,0.0,3.4261577,0.0,2020-11-10
159,0.0,3.4833465,0.0,2020-11-11
160,0.0,3.5465846,0.0,2020-11-12
161,0.0,3.550276,0.0,2020-11-13
162,0.0,3.342434,0.0,2020-11-16
163,0.0,3.5269737,0.0,2020-11-17
164,0.0,3.5430665,0.0,2020-11-18
165,0.0,3.5494602,0.0,2020-11-19
166,0.0,3.5482802,0.0,2020-11-20
167,0.0,3.5490084,0.0,2020-11-23
168,0.0,3.5452862,0.0,2020-11-24
169,0.0,3.551889,0.0,2020-11-25
170,0.0,3.5489092,0.0,2020-11-27
171,0.0,3.5260158,0.0,2020-11-30
172,0.0,3.5514266,0.0,2020-12-01
173,0.0,3.5245993,0.0,2020-12-02
