timestep,ck_kl,ck_tv,date
0,0.192809635115394,0.24194467813349504,2020-03-27
1,0.07262791686728204,0.13850314032000233,2020-03-30
2,0.5461088397148081,0.38632315975887027,2020-03-31
3,0.06101630102649651,0.12310470662541982,2020-04-01
4,0.07962235656831448,0.14447424429534492,2020-04-02
5,0.030088703895982324,0.10109417662841058,2020-04-03
6,0.08757419152406089,0.16027221731270286,2020-04-06
7,0.03572774945377818,0.10675883488673722,2020-04-07
8,0.182655715983456,0.23424236501794957,2020-04-08
9,0.07679519907985474,0.15561094840707057,2020-04-09
10,0.2517977305729871,0.2742890886135793,2020-04-13
11,0.5521759058498856,0.3844861640888788,2020-04-14
12,0.205868151112555,0.24944116730149413,2020-04-15
13,0.16237791245575822,0.2127939245438257,2020-04-16
14,0.13546800469703346,0.19956698516380145,2020-04-17
15,0.03309722838503948,0.07876005848261675,2020-04-20
16,0.028547282223608993,0.08771322928772493,2020-04-21
17,0.0744890830949284,0.1477745755530964,2020-04-22
18,0.3792337232179288,0.32650249209135235,2020-04-23
19,0.052353921588765756,0.11902241647472381,2020-04-24
20,0.09770400204948344,0.17223827971655212,2020-04-27
21,0.02551131146930813,0.08795794244557499,2020-04-28
22,0.28365971294412146,0.30878278124105074,2020-04-29
23,0.19637209435357864,0.2522693475946156,2020-04-30
24,0.016831799368747596,0.06349121226126825,2020-05-01
25,0.07046242899402752,0.13360175524146775,2020-05-04
26,0.04492761135798367,0.11053497410106998,2020-05-05
27,0.041965686460642714,0.0991980465687399,2020-05-06
28,0.03038070507712152,0.08916633452840875,2020-05-07
29,0.044852453583049304,0.10049720343298355,2020-05-08
30,0.022093165915292163,0.06685975236554896,2020-05-11
31,0.035599928517177984,0.08096217787803185,2020-05-12
32,0.02487855373183156,0.07503788013125834,2020-05-13
33,0.02591494458804527,0.08807451826812153,2020-05-14
34,0.12544271750701302,0.19558739235267233,2020-05-15
35,0.038630800549202385,0.10269258953613394,2020-05-18
36,0.07984976453908388,0.1518712486434013,2020-05-19
37,0.02749153226727538,0.09400331028727796,2020-05-20
38,0.06663538951612774,0.1384730614180605,2020-05-21
39,0.038496898215544535,0.08721566342079384,2020-05-22
40,0.3068069392113722,0.28851596800365287,2020-05-26
