timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.02021990343928337,3.9335384,0.08622381,2020-04-22
1,0.01445942372083664,3.8516455,0.0773821,2020-04-23
2,0.03539049252867699,3.6507938,0.1713981,2020-04-24
3,0.016191406175494194,3.8441262,0.0800755,2020-04-27
4,0.03955014795064926,3.9188232,0.16808271,2020-04-28
5,0.04071035236120224,3.8643913,0.18822159,2020-04-29
6,0.04068644717335701,3.903392,0.18284829,2020-04-30
7,0.025331901386380196,3.853566,0.11749413,2020-05-01
8,0.03673749417066574,3.7451084,0.18484348,2020-05-04
9,0.05881394445896149,3.8910172,0.26651824,2020-05-05
10,0.01727420464158058,3.870862,0.092593916,2020-05-06
11,0.05794030800461769,3.9498272,0.22830991,2020-05-07
12,0.05493723601102829,3.9834259,0.22411361,2020-05-08
13,0.04113350063562393,3.9843764,0.16967511,2020-05-11
14,0.038916390389204025,3.7969592,0.17087324,2020-05-12
15,0.04988899081945419,3.7986495,0.22052401,2020-05-13
16,0.04269421845674515,3.852849,0.19050796,2020-05-14
17,0.08071534335613251,3.9551618,0.35001326,2020-05-15
18,0.021937748417258263,3.858821,0.09843067,2020-05-18
19,0.05119439959526062,3.9806783,0.20780768,2020-05-19
20,0.035241998732089996,3.916124,0.14581911,2020-05-20
21,0.049613140523433685,3.8627539,0.23625222,2020-05-21
22,0.0648704543709755,3.951058,0.27179188,2020-05-22
23,0.03483932837843895,3.7343497,0.1725887,2020-05-26
24,0.036101337522268295,3.8763518,0.15561177,2020-05-27
25,0.03388805314898491,3.6603663,0.1532967,2020-05-28
26,0.04149786755442619,3.8501863,0.1877998,2020-05-29
27,0.0637163296341896,3.9585822,0.25791147,2020-06-01
28,0.09409919381141663,3.9669218,0.41247183,2020-06-02
29,0.05585062503814697,3.8809865,0.2667317,2020-06-03
30,0.04704646021127701,3.9197204,0.1981573,2020-06-04
31,0.06364256888628006,3.9831624,0.27034998,2020-06-05
32,0.04381858929991722,3.8744264,0.20335609,2020-06-08
33,0.05949128419160843,3.9840226,0.2640479,2020-06-09
34,0.05813853442668915,3.9421484,0.2640704,2020-06-10
35,0.0415617935359478,3.5641496,0.195274,2020-06-11
36,0.04228932410478592,3.4831126,0.18052495,2020-06-12
37,0.025117749348282814,3.6592283,0.11602348,2020-06-15
38,0.06332586705684662,3.9801874,0.26591703,2020-06-16
39,0.05571616813540459,3.9877505,0.2298562,2020-06-17
40,0.040126532316207886,3.9892888,0.16375212,2020-06-18
41,0.03768923878669739,3.851368,0.18624474,2020-06-19
42,0.06978344917297363,3.946665,0.29810572,2020-06-22
43,0.07177554816007614,3.9715593,0.31120414,2020-06-23
44,0.04165944084525108,3.956206,0.17662603,2020-06-24
45,0.028764909133315086,3.7876296,0.13891292,2020-06-25
46,0.04125659912824631,3.81867,0.17877041,2020-06-26
47,0.04671187326312065,3.8801458,0.19689365,2020-06-29
48,0.04137033969163895,3.803284,0.18572627,2020-06-30
49,0.05890583246946335,3.9156487,0.2638959,2020-07-01
50,0.033783700317144394,3.8935337,0.15992194,2020-07-02
51,0.06060722842812538,3.9762907,0.23349082,2020-07-06
52,0.047530852258205414,3.9693124,0.2086405,2020-07-07
53,0.04504780471324921,3.889364,0.20096338,2020-07-08
54,0.0642997995018959,3.9733498,0.2596094,2020-07-09
55,0.05449604243040085,3.961602,0.23336372,2020-07-10
56,0.03561849147081375,3.9191444,0.1592651,2020-07-13
57,0.06434234976768494,3.9715028,0.27475047,2020-07-14
58,0.037949804216623306,3.8676045,0.17861833,2020-07-15
59,0.06834298372268677,3.9855368,0.27675796,2020-07-16
60,0.07669380307197571,3.964623,0.3432665,2020-07-17
61,0.07113423198461533,3.9685044,0.29148626,2020-07-20
62,0.047413963824510574,3.9162412,0.19454844,2020-07-21
63,0.08601934462785721,3.9501257,0.39446226,2020-07-22
64,0.06697182357311249,3.9772866,0.28764412,2020-07-23
65,0.06112079694867134,3.9618852,0.2662904,2020-07-24
66,0.0677880272269249,3.9753487,0.28624758,2020-07-27
67,0.07055959105491638,3.9242043,0.34023917,2020-07-28
68,0.07246129959821701,3.984097,0.29823178,2020-07-29
69,0.06812500208616257,3.9758253,0.30635762,2020-07-30
70,0.06880414485931396,3.9593961,0.30785048,2020-07-31
71,0.07046124339103699,3.9834588,0.29734987,2020-08-03
72,0.06904232501983643,3.964866,0.3017778,2020-08-04
73,0.0668296292424202,3.8584065,0.34801683,2020-08-05
74,0.06061241403222084,3.9031503,0.2806658,2020-08-06
75,0.07415667921304703,3.9521964,0.32796124,2020-08-07
76,0.057445067912340164,3.9710968,0.25305063,2020-08-10
77,0.06713349372148514,3.978535,0.28118855,2020-08-11
78,0.0602235309779644,3.8867526,0.31461862,2020-08-12
