timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.02709011733531952,3.0317054,0.12544048,2020-03-27
1,0.02752535231411457,3.2389646,0.13027924,2020-03-30
2,0.02730899676680565,3.3133693,0.13019148,2020-03-31
3,0.026598116382956505,3.3907585,0.12897952,2020-04-01
4,0.026439255103468895,3.512654,0.13060549,2020-04-02
5,0.026420898735523224,3.5773973,0.13128679,2020-04-03
6,0.026538698002696037,3.6049197,0.13188922,2020-04-06
7,0.02656572125852108,3.6142418,0.13166158,2020-04-07
8,0.026412250474095345,3.6738446,0.1309765,2020-04-08
9,0.026445535942912102,3.7191854,0.13080445,2020-04-09
10,0.026469897478818893,3.756463,0.13067494,2020-04-13
11,0.027141742408275604,3.8083959,0.1346736,2020-04-14
12,0.026745377108454704,3.763623,0.13201535,2020-04-15
13,0.02688453160226345,3.7777405,0.13290845,2020-04-16
14,0.027364570647478104,3.808192,0.13554141,2020-04-17
15,0.02957013063132763,3.7229655,0.14200252,2020-04-20
16,0.027292124927043915,3.7027237,0.1337384,2020-04-21
17,0.02705077826976776,3.7522888,0.13286825,2020-04-22
18,0.027052458375692368,3.7637155,0.13320652,2020-04-23
19,0.028341498225927353,3.8312893,0.14097613,2020-04-24
20,0.03066728450357914,3.8703718,0.15272406,2020-04-27
21,0.030273715034127235,3.8648043,0.15050332,2020-04-28
22,0.03250459209084511,3.8920965,0.16235583,2020-04-29
23,0.02939884178340435,3.8589053,0.14631946,2020-04-30
24,0.028761470690369606,3.7443998,0.13896647,2020-05-01
25,0.028849057853221893,3.7596858,0.13954373,2020-05-04
26,0.029140876606106758,3.7956011,0.14153177,2020-05-05
27,0.02893814630806446,3.7928212,0.1406462,2020-05-06
28,0.029888808727264404,3.8213563,0.14554618,2020-05-07
29,0.03227465972304344,3.8665352,0.15707883,2020-05-08
30,0.03249300643801689,3.8696396,0.15827443,2020-05-11
31,0.02891685999929905,3.7908595,0.14069171,2020-05-12
32,0.028484385460615158,3.7486725,0.13802534,2020-05-13
33,0.02892523817718029,3.789236,0.1407344,2020-05-14
34,0.0290132537484169,3.7994914,0.14114739,2020-05-15
35,0.03037993796169758,3.844876,0.14856562,2020-05-18
36,0.02997468039393425,3.8375115,0.14645162,2020-05-19
37,0.032587930560112,3.8772347,0.1587998,2020-05-20
38,0.03144761547446251,3.864117,0.15304215,2020-05-21
39,0.032959625124931335,3.880569,0.16057567,2020-05-22
