timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.016494328156113625,3.7065563,0.06710845,2020-03-27
1,0.011127586476504803,3.6832457,0.038535174,2020-03-30
2,0.007286177948117256,3.487357,0.035413247,2020-03-31
3,0.016417408362030983,3.5549417,0.075380385,2020-04-01
4,0.008265920914709568,3.5658555,0.039054364,2020-04-02
5,0.01245686411857605,3.578402,0.059660655,2020-04-03
6,0.004804805852472782,3.87125,0.016629618,2020-04-06
7,0.011889826506376266,3.797882,0.042550426,2020-04-07
8,0.006405755411833525,3.8603888,0.023326542,2020-04-08
9,0.004163629375398159,3.9036863,0.012630111,2020-04-09
10,0.017688274383544922,3.5939326,0.06606206,2020-04-13
11,0.010961633175611496,3.3843737,0.0499271,2020-04-14
12,0.00920577347278595,3.3676205,0.034188904,2020-04-15
13,0.013325211592018604,3.5693812,0.0696836,2020-04-16
14,0.007894668728113174,3.808927,0.034958325,2020-04-17
15,0.011509929783642292,3.836667,0.05578272,2020-04-20
16,0.01896124705672264,3.6711528,0.07350538,2020-04-21
17,0.013474401086568832,3.6808174,0.05034406,2020-04-22
18,0.010775345377624035,3.6819072,0.05854794,2020-04-23
19,0.010612119920551777,3.806752,0.050122455,2020-04-24
20,0.0037841959856450558,3.88749,0.012700176,2020-04-27
21,0.007682980969548225,3.8844354,0.024970774,2020-04-28
22,0.008738305419683456,3.9143836,0.032251336,2020-04-29
23,0.014805939979851246,3.8855722,0.061057355,2020-04-30
24,0.020861584693193436,3.6675212,0.08248253,2020-05-01
25,0.016580738127231598,3.702449,0.088351935,2020-05-04
26,0.03895345330238342,3.938089,0.17747909,2020-05-05
27,0.015463774092495441,3.7092984,0.08040576,2020-05-06
28,0.03733363375067711,3.9844627,0.1536296,2020-05-07
29,0.009773019701242447,3.88972,0.045701236,2020-05-08
30,0.013520265929400921,3.8517675,0.074037924,2020-05-11
31,0.0336984246969223,3.8781097,0.13603735,2020-05-12
32,0.023120196536183357,3.7552226,0.11736321,2020-05-13
33,0.02128683216869831,3.8335605,0.08868368,2020-05-14
34,0.017065662890672684,3.885224,0.0772482,2020-05-15
35,0.003856104798614979,3.9091477,0.012152277,2020-05-18
36,0.008284698240458965,3.8832483,0.03320667,2020-05-19
37,0.010016486980021,3.7973344,0.032931477,2020-05-20
38,0.017995968461036682,3.8754458,0.08846479,2020-05-21
39,0.05587387457489967,3.990688,0.20989121,2020-05-22
40,0.005267597734928131,3.8983388,0.018987497,2020-05-26
41,0.004059782717376947,3.9012034,0.015169991,2020-05-27
42,0.009793698787689209,3.836359,0.039868344,2020-05-28
43,0.01496521383523941,3.7921908,0.066755325,2020-05-29
44,0.05543478578329086,3.9970107,0.21734293,2020-06-01
45,0.012782873585820198,3.8413708,0.059377335,2020-06-02
46,0.009956585243344307,3.900479,0.040772174,2020-06-03
47,0.005119043868035078,3.9035087,0.014849054,2020-06-04
48,0.00467248959466815,3.900278,0.014576559,2020-06-05
49,0.006347778253257275,3.9001687,0.023443969,2020-06-08
50,0.021302351728081703,3.9130387,0.095542595,2020-06-09
51,0.02157106064260006,3.7757697,0.10067454,2020-06-10
52,0.010254312306642532,3.2601562,0.048825927,2020-06-11
53,0.010259551927447319,3.6703308,0.043048695,2020-06-12
54,0.008384829387068748,3.7339988,0.042956516,2020-06-15
55,0.023588137701153755,3.950163,0.09544189,2020-06-16
56,0.00999478530138731,3.853795,0.050870158,2020-06-17
57,0.00995436031371355,3.6523626,0.03414555,2020-06-18
58,0.02408534102141857,3.8661892,0.12517467,2020-06-19
59,0.07201209664344788,3.9758584,0.2991872,2020-06-22
60,0.06745993345975876,3.9304528,0.28758845,2020-06-23
61,0.018983963876962662,3.7454042,0.10552417,2020-06-24
62,0.008807286620140076,3.8376834,0.040826116,2020-06-25
63,0.017025386914610863,3.7727783,0.0881001,2020-06-26
64,0.017182698473334312,3.8394482,0.064267874,2020-06-29
65,0.026422962546348572,3.925752,0.12927553,2020-06-30
66,0.0354672446846962,3.9634993,0.14602417,2020-07-01
67,0.029326342046260834,3.915868,0.14731854,2020-07-02
68,0.00851048156619072,3.889694,0.03441796,2020-07-06
69,0.03347359970211983,3.9280944,0.18041298,2020-07-07
70,0.04287350922822952,3.9699028,0.19000077,2020-07-08
71,0.05381181463599205,3.9916568,0.23690496,2020-07-09
72,0.018784858286380768,3.9109042,0.06465937,2020-07-10
73,0.011573479510843754,3.8269334,0.04818896,2020-07-13
74,0.013202107511460781,3.864522,0.05860513,2020-07-14
75,0.055772218853235245,3.9910815,0.22855364,2020-07-15
76,0.04190360754728317,3.9767828,0.17926356,2020-07-16
77,0.025369811803102493,3.86658,0.107701145,2020-07-17
78,0.07108663767576218,3.959417,0.31570843,2020-07-20
79,0.04503418877720833,3.9917598,0.17408657,2020-07-21
80,0.024743886664509773,3.9342513,0.10375896,2020-07-22
81,0.049369245767593384,3.9839325,0.19682406,2020-07-23
82,0.0497128888964653,3.9836261,0.17159885,2020-07-24
83,0.0667736753821373,3.9792728,0.32205495,2020-07-27
84,0.027089716866612434,3.8857644,0.10540139,2020-07-28
85,0.05124927684664726,3.9921105,0.20949513,2020-07-29
86,0.043504491448402405,3.9623632,0.19597217,2020-07-30
87,0.05951672047376633,3.9945695,0.2216021,2020-07-31
88,0.06330965459346771,3.899282,0.28173402,2020-08-03
89,0.0671914592385292,3.927671,0.30859584,2020-08-04
90,0.05463779345154762,3.9944413,0.20230392,2020-08-05
91,0.06353204697370529,3.9271703,0.261648,2020-08-06
92,0.057337407022714615,3.988525,0.20419717,2020-08-07
93,0.028532084077596664,3.9479527,0.13765256,2020-08-10
94,0.04118872061371803,3.9809606,0.15278311,2020-08-11
95,0.06398645043373108,3.9782732,0.23894681,2020-08-12
96,0.06634999066591263,3.9828,0.31143364,2020-08-13
97,0.0689578726887703,3.9647927,0.29471567,2020-08-14
98,0.06192570552229881,3.9940045,0.26308846,2020-08-17
99,0.06756613403558731,3.9929128,0.2965977,2020-08-18
100,0.055145423859357834,3.991521,0.2813464,2020-08-19
101,0.06624510139226913,3.927767,0.29124552,2020-08-20
102,0.07122925668954849,3.9331582,0.31311327,2020-08-21
103,0.045677874237298965,3.9927654,0.17647775,2020-08-24
104,0.05294639989733696,3.9863377,0.18723407,2020-08-25
105,0.06692439317703247,3.961506,0.2536246,2020-08-26
106,0.04634713754057884,3.9917045,0.20473547,2020-08-27
107,0.05991784483194351,3.985503,0.21050413,2020-08-28
108,0.05378769338130951,3.9797003,0.22445458,2020-08-31
109,0.06497808545827866,3.897463,0.2832932,2020-09-01
110,0.05778065323829651,3.8781257,0.23523624,2020-09-02
111,0.04173443093895912,3.9594703,0.1950837,2020-09-03
112,0.04279852285981178,3.9702628,0.1615707,2020-09-04
113,0.03657742962241173,3.8968983,0.19796722,2020-09-08
114,0.03636995702981949,3.9244425,0.15413977,2020-09-09
115,0.03523522987961769,3.9143,0.1892783,2020-09-10
116,0.05470055341720581,3.9931355,0.21810508,2020-09-11
117,0.04541827365756035,3.9707437,0.18844785,2020-09-14
118,0.024954862892627716,3.887939,0.10898507,2020-09-15
119,0.051768481731414795,3.9907618,0.18509032,2020-09-16
120,0.05870554596185684,3.9923317,0.2425729,2020-09-17
121,0.06687977910041809,3.9916942,0.28014874,2020-09-18
122,0.05001062527298927,3.9606075,0.23673005,2020-09-21
123,0.056702692061662674,3.9897964,0.26278237,2020-09-22
124,0.025952395051717758,3.8111017,0.14644915,2020-09-23
125,0.0459933765232563,3.9746573,0.20608033,2020-09-24
126,0.06211845204234123,3.909924,0.2728102,2020-09-25
127,0.029576972126960754,3.9667065,0.113520145,2020-09-28
128,0.056710053235292435,3.9843652,0.21835226,2020-09-29
129,0.02849804051220417,3.936741,0.09989615,2020-09-30
130,0.0657544732093811,3.9142733,0.28340375,2020-10-01
131,0.06031782925128937,3.9903278,0.25181827,2020-10-02
132,0.02692371979355812,3.9361684,0.09828615,2020-10-05
133,0.045419614762067795,3.970989,0.19537047,2020-10-06
134,0.03509804606437683,3.9500272,0.119169384,2020-10-07
135,0.05598754808306694,3.988307,0.2195563,2020-10-08
