timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.06224793195724487,3.898233,0.306249,2020-04-22
1,0.03461004048585892,3.5048907,0.21193418,2020-04-23
2,0.09040354937314987,3.9605157,0.42410728,2020-04-24
3,0.08890783786773682,3.9719577,0.41328242,2020-04-27
4,0.0774504691362381,3.9658034,0.3570719,2020-04-28
5,0.08549685776233673,3.9832113,0.38811928,2020-04-29
6,0.09278376400470734,3.9739194,0.41866547,2020-04-30
7,0.07417933642864227,3.9612582,0.36233848,2020-05-01
8,0.058716241270303726,3.912175,0.36510357,2020-05-04
9,0.09357202053070068,3.9617395,0.42922345,2020-05-05
10,0.06190260499715805,3.9517393,0.36770967,2020-05-06
11,0.09171044826507568,3.9793108,0.4091436,2020-05-07
12,0.08259584754705429,3.9863505,0.3890444,2020-05-08
13,0.08796843886375427,3.97516,0.40497726,2020-05-11
14,0.08684589713811874,3.9821665,0.39634475,2020-05-12
15,0.09041846543550491,3.9806604,0.40357435,2020-05-13
16,0.08688310533761978,3.9827774,0.3933983,2020-05-14
17,0.09177897870540619,3.9764388,0.4252569,2020-05-15
18,0.09013713896274567,3.9702947,0.41352198,2020-05-18
19,0.0852343738079071,3.9809482,0.37172577,2020-05-19
20,0.05169607698917389,3.796477,0.26256222,2020-05-20
21,0.08930720388889313,3.9786456,0.4184086,2020-05-21
22,0.08668924868106842,3.983338,0.40332383,2020-05-22
23,0.06242360919713974,3.9452646,0.36875957,2020-05-26
24,0.06426692008972168,3.9550488,0.3057038,2020-05-27
25,0.04469696059823036,3.799042,0.22630906,2020-05-28
26,0.05965122953057289,3.9207022,0.31681433,2020-05-29
27,0.08786160498857498,3.9818351,0.3834689,2020-06-01
28,0.07843882590532303,3.9799485,0.37980223,2020-06-02
29,0.08186593651771545,3.983281,0.38325912,2020-06-03
30,0.08328907191753387,3.9814918,0.37175322,2020-06-04
31,0.08735071122646332,3.9822416,0.39315993,2020-06-05
32,0.08699655532836914,3.9795392,0.3980557,2020-06-08
33,0.08827995508909225,3.9760325,0.410142,2020-06-09
34,0.09174633026123047,3.962995,0.42168838,2020-06-10
35,0.08854387700557709,3.9825726,0.4009966,2020-06-11
36,0.06506182253360748,3.9198253,0.33517438,2020-06-12
37,0.05642150342464447,3.8886409,0.31942716,2020-06-15
38,0.08960971981287003,3.979528,0.40936834,2020-06-16
39,0.08491204679012299,3.9798274,0.38962704,2020-06-17
40,0.05464427173137665,3.8407824,0.26815736,2020-06-18
41,0.06860146671533585,3.9661505,0.38490775,2020-06-19
42,0.09358474612236023,3.9535792,0.43207648,2020-06-22
43,0.09273885190486908,3.9452546,0.42958155,2020-06-23
44,0.07764919847249985,3.9865913,0.38492045,2020-06-24
45,0.07831259816884995,3.98567,0.38881177,2020-06-25
46,0.08177631348371506,3.9755728,0.3620628,2020-06-26
47,0.08760127425193787,3.9832916,0.40589702,2020-06-29
48,0.09149711579084396,3.9772384,0.42080626,2020-06-30
49,0.09112407267093658,3.9469266,0.42211807,2020-07-01
50,0.08784642070531845,3.979925,0.40700427,2020-07-02
51,0.08991770446300507,3.9748049,0.39864498,2020-07-06
52,0.09048272669315338,3.93535,0.42748716,2020-07-07
53,0.09011272341012955,3.9738798,0.41540456,2020-07-08
54,0.09361721575260162,3.962146,0.41626877,2020-07-09
55,0.08581416308879852,3.982488,0.3946892,2020-07-10
56,0.08030420541763306,3.9714437,0.3647532,2020-07-13
57,0.08324632048606873,3.9850569,0.37882972,2020-07-14
58,0.08724693208932877,3.9808767,0.4102367,2020-07-15
59,0.08246460556983948,3.9850955,0.36317024,2020-07-16
60,0.0876215472817421,3.9813023,0.397316,2020-07-17
61,0.09221357852220535,3.9568753,0.43031698,2020-07-20
62,0.09367624670267105,3.9530742,0.43049186,2020-07-21
63,0.09193835407495499,3.9575145,0.42717424,2020-07-22
64,0.09054263681173325,3.9724483,0.41481644,2020-07-23
65,0.09522078186273575,3.9683692,0.42594773,2020-07-24
