timestep,ck_kl,ck_tv,date
0,0.4010613706136249,0.36537791185310986,2020-02-06
1,0.19148080007596766,0.24820895080455782,2020-02-07
2,0.1330349625619753,0.19588986438484138,2020-02-10
3,0.14275492642877335,0.20616385887579725,2020-02-11
4,0.5505960418936711,0.4342726921579086,2020-02-12
5,0.6017888591289516,0.46042867113607316,2020-02-13
6,0.475607631008154,0.4036212495206813,2020-02-14
7,0.19545709255409505,0.24269748535442598,2020-02-18
8,0.40370868432955925,0.3711721472492234,2020-02-19
9,0.028960684144766585,0.08744232521990923,2020-02-20
10,0.29389972602829306,0.3148158000905241,2020-02-21
11,0.17854339131260674,0.24687695007445953,2020-02-24
12,0.015279195831511891,0.07043944849905867,2020-02-25
13,0.1398476650219933,0.21861133045046363,2020-02-26
14,0.049823126988604985,0.12695738367251275,2020-02-27
15,0.14460573870410387,0.19909950076947855,2020-02-28
16,0.0459307533120316,0.12169799240276623,2020-03-02
17,0.028249543726381176,0.08919364724754496,2020-03-03
18,0.07129875382988204,0.1319593684366813,2020-03-04
19,0.12001341288330825,0.18618437827286008,2020-03-05
20,0.05517911328884801,0.12812793958700602,2020-03-06
21,2.596937778788416,0.8200366898135574,2020-03-09
22,0.4780138126587958,0.3624644790332884,2020-03-10
23,0.5021710759082136,0.3460055857082397,2020-03-11
24,1.843989718436995,0.7078282978509766,2020-03-12
25,0.17418037452533097,0.2303218178134024,2020-03-13
26,0.7667381920959051,0.5199568564507251,2020-03-16
27,0.19278779149443634,0.27394188678919673,2020-03-17
28,2.488093000289662,0.8255442814567528,2020-03-18
29,2.581683200343466,0.8320711383220198,2020-03-19
30,1.757493877383287,0.7269783773011266,2020-03-20
31,1.6691269046068196,0.7264934418705813,2020-03-23
32,0.8238604087454636,0.49408148876786245,2020-03-24
33,0.4757496790143419,0.38043376299867915,2020-03-25
34,0.16295827597598314,0.2378824971096856,2020-03-26
35,0.5483089425949896,0.42175397309907986,2020-03-27
36,0.5595982164697493,0.4315306464461872,2020-03-30
37,0.6398128758602843,0.4369585728734381,2020-03-31
38,0.8320450069853442,0.5268881188362436,2020-04-01
39,1.7165591803596476,0.6107141531234151,2020-04-02
40,0.5258384351659078,0.36290283430532666,2020-04-03
41,0.10345481784938211,0.17533303269145356,2020-04-06
42,0.2003991415616406,0.23501641023091563,2020-04-07
43,0.13650023771289957,0.20149153067819423,2020-04-08
44,0.09126978317026443,0.14512267288587147,2020-04-09
