timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.03670380264520645,1.3627008,0.14167583,2020-04-13
1,0.0325830802321434,1.2006046,0.10551645,2020-04-14
2,0.029019933193922043,1.3756111,0.11090837,2020-04-15
3,0.02437533065676689,1.2137427,0.07637204,2020-04-16
4,0.020934294909238815,1.1383893,0.092359506,2020-04-17
5,0.043747857213020325,1.3825278,0.16685969,2020-04-20
6,0.040392905473709106,1.3213749,0.17095464,2020-04-21
7,0.03164086118340492,1.3211241,0.132192,2020-04-22
8,0.03718659654259682,1.2135711,0.13960844,2020-04-23
9,0.05016443133354187,1.3818293,0.16446567,2020-04-24
10,0.04968816414475441,1.3757689,0.2021159,2020-04-27
11,0.03513374924659729,1.3735206,0.14876786,2020-04-28
12,0.04286695271730423,1.3812789,0.18062994,2020-04-29
13,0.03813427314162254,1.3835044,0.1416185,2020-04-30
14,0.03510668873786926,1.3806367,0.12591311,2020-05-01
15,0.029177265241742134,1.2815722,0.10376697,2020-05-04
16,0.0334867462515831,1.3629831,0.12147175,2020-05-05
17,0.035002000629901886,1.2658641,0.11255291,2020-05-06
18,0.04279940202832222,1.3637741,0.18755718,2020-05-07
19,0.04612356796860695,1.3679632,0.1970686,2020-05-08
20,0.050310682505369186,1.3802618,0.19819972,2020-05-11
21,0.03898230195045471,1.3757262,0.14863755,2020-05-12
22,0.03498406335711479,1.3162553,0.120661125,2020-05-13
23,0.04196050390601158,1.3728721,0.16792253,2020-05-14
24,0.026429643854498863,1.3485856,0.08538993,2020-05-15
25,0.02351542003452778,1.2551103,0.10155462,2020-05-18
26,0.032212428748607635,1.3559369,0.12792113,2020-05-19
27,0.02281704545021057,1.3288914,0.10268673,2020-05-20
28,0.03432182967662811,1.383081,0.12185405,2020-05-21
29,0.049379244446754456,1.378259,0.21323472,2020-05-22
30,0.04074501618742943,1.3663179,0.16674136,2020-05-26
31,0.023581968620419502,1.2878078,0.10446982,2020-05-27
32,0.03830086812376976,1.3827704,0.1433076,2020-05-28
33,0.049762457609176636,1.3757157,0.18919197,2020-05-29
34,0.04089898243546486,1.3784565,0.16907704,2020-06-01
35,0.027308544144034386,1.3815087,0.09463814,2020-06-02
36,0.03931649774312973,1.3785911,0.16354354,2020-06-03
37,0.025362608954310417,1.3273461,0.10419296,2020-06-04
38,0.026310520246624947,1.3362429,0.11469832,2020-06-05
39,0.04243677854537964,1.382661,0.17436936,2020-06-08
40,0.045083772391080856,1.3823829,0.17973979,2020-06-09
41,0.026940274983644485,1.3374224,0.08846268,2020-06-10
42,0.0283579770475626,1.3026348,0.098807365,2020-06-11
43,0.03435207158327103,1.3331407,0.12519735,2020-06-12
44,0.03346119448542595,1.3734366,0.12109174,2020-06-15
45,0.028427353128790855,1.3387164,0.1195557,2020-06-16
46,0.0332595631480217,1.2752982,0.13482064,2020-06-17
47,0.027730342000722885,1.328694,0.11937983,2020-06-18
48,0.037238944321870804,1.3642495,0.13596207,2020-06-19
49,0.03803013265132904,1.3722094,0.1425763,2020-06-22
50,0.03873820975422859,1.3668026,0.14992313,2020-06-23
51,0.040381889790296555,1.3251835,0.15268506,2020-06-24
52,0.052606865763664246,1.3805964,0.21867996,2020-06-25
53,0.02875201590359211,1.3759124,0.10768979,2020-06-26
54,0.04658667743206024,1.3811537,0.19600195,2020-06-29
55,0.04729877784848213,1.3795418,0.19664706,2020-06-30
56,0.036747951060533524,1.3657223,0.15237267,2020-07-01
57,0.05089949816465378,1.3807439,0.1975536,2020-07-02
58,0.033026792109012604,1.3365091,0.13937864,2020-07-06
59,0.03983306884765625,1.3658342,0.14069408,2020-07-07
60,0.044071272015571594,1.3735058,0.17113581,2020-07-08
61,0.028424663469195366,1.3393909,0.10880798,2020-07-09
62,0.038984548300504684,1.3784745,0.17118502,2020-07-10
63,0.03211717680096626,1.3808497,0.12415102,2020-07-13
64,0.04024891182780266,1.3546885,0.16452621,2020-07-14
65,0.04756713658571243,1.3764603,0.19949698,2020-07-15
66,0.042213842272758484,1.3780744,0.16756399,2020-07-16
67,0.03830139338970184,1.3771683,0.13675079,2020-07-17
68,0.04680274799466133,1.3759556,0.18943015,2020-07-20
69,0.03624946251511574,1.3512762,0.15942216,2020-07-21
70,0.03611087054014206,1.3772974,0.13118145,2020-07-22
71,0.04932389780879021,1.3771235,0.21180156,2020-07-23
72,0.03505242243409157,1.3569152,0.1471058,2020-07-24
73,0.044191960245370865,1.3667185,0.1743837,2020-07-27
74,0.03705882653594017,1.3804346,0.14244273,2020-07-28
75,0.05324308201670647,1.3738834,0.22292666,2020-07-29
76,0.043814435601234436,1.3767086,0.1671116,2020-07-30
77,0.046925704926252365,1.3779932,0.19283116,2020-07-31
78,0.03362106531858444,1.3521187,0.13719137,2020-08-03
79,0.04443209990859032,1.3760065,0.1794771,2020-08-04
80,0.03734411299228668,1.3690208,0.14735994,2020-08-05
81,0.03533485531806946,1.3499329,0.1385881,2020-08-06
82,0.03377910703420639,1.3616573,0.14401856,2020-08-07
83,0.048316750675439835,1.373721,0.20236245,2020-08-10
84,0.03954402729868889,1.3667952,0.16934228,2020-08-11
85,0.03771667554974556,1.3699449,0.14526019,2020-08-12
86,0.04618160426616669,1.3679515,0.18508112,2020-08-13
87,0.0427197702229023,1.3685633,0.16675885,2020-08-14
88,0.035264257341623306,1.3645873,0.13296682,2020-08-17
