timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.0,1.9170294,0.0,2020-03-27
1,0.0,2.0613039,0.0,2020-03-30
2,0.0,1.9889024,0.0,2020-03-31
3,0.0,1.9737414,0.0,2020-04-01
4,0.0,2.0860932,0.0,2020-04-02
5,0.0,2.024634,0.0,2020-04-03
6,0.0,2.2223818,0.0,2020-04-06
7,0.0,2.0458086,0.0,2020-04-07
8,0.0,2.187928,0.0,2020-04-08
9,0.0,2.225505,0.0,2020-04-09
10,0.0,2.0587924,0.0,2020-04-13
11,0.0,2.1353304,0.0,2020-04-14
12,0.0,1.9545879,0.0,2020-04-15
13,0.0,2.1234596,0.0,2020-04-16
14,0.0,2.2257938,0.0,2020-04-17
15,0.0,2.1793015,0.0,2020-04-20
16,0.0,2.1287453,0.0,2020-04-21
17,0.0,2.165556,0.0,2020-04-22
18,0.0,2.1669335,0.0,2020-04-23
19,0.0,2.2134087,0.0,2020-04-24
20,0.0,2.219907,0.0,2020-04-27
21,0.0,2.2295241,0.0,2020-04-28
22,0.0,2.2471633,0.0,2020-04-29
23,0.0,2.2146974,0.0,2020-04-30
24,0.0,2.1388721,0.0,2020-05-01
25,0.0,2.192342,0.0,2020-05-04
26,0.0,2.2487824,0.0,2020-05-05
27,0.0,2.1715772,0.0,2020-05-06
28,0.0,2.2562592,0.0,2020-05-07
29,0.0,2.252795,0.0,2020-05-08
30,0.0,2.242312,0.0,2020-05-11
31,0.0,2.1777546,0.0,2020-05-12
32,0.0,2.129366,0.0,2020-05-13
33,0.0,2.2311945,0.0,2020-05-14
34,0.0,2.2203448,0.0,2020-05-15
35,0.0,2.214843,0.0,2020-05-18
36,0.0,2.2201722,0.0,2020-05-19
37,0.0,2.2103927,0.0,2020-05-20
38,0.0,2.2352242,0.0,2020-05-21
39,0.0,2.2851913,0.0,2020-05-22
40,0.0,2.2400641,0.0,2020-05-26
41,0.0,2.225232,0.0,2020-05-27
42,0.0,2.1989033,0.0,2020-05-28
43,0.0,2.227285,0.0,2020-05-29
44,0.0,2.265226,0.0,2020-06-01
45,0.0,2.233322,0.0,2020-06-02
46,0.0,2.267847,0.0,2020-06-03
47,0.0,2.2570252,0.0,2020-06-04
48,0.0,2.2600906,0.0,2020-06-05
49,0.0,2.2481005,0.0,2020-06-08
50,0.0,2.2617614,0.0,2020-06-09
51,0.0,2.2674623,0.0,2020-06-10
52,0.0,1.9123626,0.0,2020-06-11
53,0.0,2.2038522,0.0,2020-06-12
54,0.0,2.221474,0.0,2020-06-15
55,0.0,2.2800033,0.0,2020-06-16
56,0.0,2.24605,0.0,2020-06-17
57,0.0,2.143542,0.0,2020-06-18
58,0.0,2.2193496,0.0,2020-06-19
59,0.0,2.2810256,0.0,2020-06-22
60,0.0,2.2936425,0.0,2020-06-23
61,0.0,2.2075012,0.0,2020-06-24
62,0.0,2.235112,0.0,2020-06-25
63,0.0,2.205595,0.0,2020-06-26
64,0.0,2.2613082,0.0,2020-06-29
65,0.0,2.2639287,0.0,2020-06-30
66,0.0,2.299042,0.0,2020-07-01
67,0.0,2.256926,0.0,2020-07-02
68,0.0,2.2611718,0.0,2020-07-06
69,0.0,2.2481904,0.0,2020-07-07
70,0.0,2.2821908,0.0,2020-07-08
71,0.0,2.2832854,0.0,2020-07-09
72,0.0,2.2964783,0.0,2020-07-10
73,0.0,2.1918075,0.0,2020-07-13
74,0.0,2.2709053,0.0,2020-07-14
75,0.0,2.2973113,0.0,2020-07-15
76,0.0,2.2877853,0.0,2020-07-16
77,0.0,2.2866073,0.0,2020-07-17
78,0.0,2.2944946,0.0,2020-07-20
79,0.0,2.2838616,0.0,2020-07-21
80,0.0,2.2660956,0.0,2020-07-22
81,0.0,2.29235,0.0,2020-07-23
82,0.0,2.2928562,0.0,2020-07-24
83,0.0,2.2963085,0.0,2020-07-27
84,0.0,2.294925,0.0,2020-07-28
85,0.0,2.2924185,0.0,2020-07-29
86,0.0,2.2912648,0.0,2020-07-30
87,0.0,2.2965903,0.0,2020-07-31
88,0.0,2.2933064,0.0,2020-08-03
89,0.0,2.2920828,0.0,2020-08-04
90,0.0,2.2854688,0.0,2020-08-05
91,0.0,2.2816677,0.0,2020-08-06
92,0.0,2.292593,0.0,2020-08-07
93,0.0,2.2918363,0.0,2020-08-10
94,0.0,2.295891,0.0,2020-08-11
95,0.0,2.2687192,0.0,2020-08-12
96,0.0,2.2956283,0.0,2020-08-13
97,0.0,2.2753522,0.0,2020-08-14
98,0.0,2.288765,0.0,2020-08-17
99,0.0,2.2952142,0.0,2020-08-18
100,0.0,2.2948472,0.0,2020-08-19
101,0.0,2.2917244,0.0,2020-08-20
102,0.0,2.2847576,0.0,2020-08-21
103,0.0,2.2964556,0.0,2020-08-24
104,0.0,2.2917404,0.0,2020-08-25
105,0.0,2.290468,0.0,2020-08-26
106,0.0,2.297141,0.0,2020-08-27
107,0.0,2.2957406,0.0,2020-08-28
108,0.0,2.2841773,0.0,2020-08-31
109,0.0,2.2864792,0.0,2020-09-01
110,0.0,2.296962,0.0,2020-09-02
111,0.0,2.2653344,0.0,2020-09-03
112,0.0,2.2898746,0.0,2020-09-04
113,0.0,2.254233,0.0,2020-09-08
114,0.0,2.2920775,0.0,2020-09-09
115,0.0,2.2561288,0.0,2020-09-10
116,0.0,2.296878,0.0,2020-09-11
117,0.0,2.2885423,0.0,2020-09-14
118,0.0,2.2841468,0.0,2020-09-15
119,0.0,2.2850704,0.0,2020-09-16
120,0.0,2.2894115,0.0,2020-09-17
121,0.0,2.293347,0.0,2020-09-18
122,0.0,2.277469,0.0,2020-09-21
123,0.0,2.2904937,0.0,2020-09-22
124,0.0,2.2336113,0.0,2020-09-23
125,0.0,2.286406,0.0,2020-09-24
126,0.0,2.29569,0.0,2020-09-25
127,0.0,2.2870584,0.0,2020-09-28
128,0.0,2.2960942,0.0,2020-09-29
129,0.0,2.2916937,0.0,2020-09-30
130,0.0,2.2933657,0.0,2020-10-01
131,0.0,2.284956,0.0,2020-10-02
132,0.0,2.2770684,0.0,2020-10-05
