timestep,ck_kl,ck_tv,date
0,0.22825734314607826,0.278958273170092,2020-04-17
1,0.06662839814690465,0.14759677617781206,2020-04-20
2,0.04263839636193411,0.11468988305220355,2020-04-21
3,0.0403150154385194,0.12165262190131275,2020-04-22
4,0.06320238575768226,0.14823143568496733,2020-04-23
5,0.04618357632434266,0.12930091404617033,2020-04-24
6,0.09587928239156154,0.1796372415456714,2020-04-27
7,0.16283685327549724,0.250746891452731,2020-04-28
8,0.028580312726605273,0.10372410601371197,2020-04-29
9,0.25121547502961894,0.31043218664292044,2020-04-30
10,0.028713792197110274,0.0914621353990805,2020-05-01
11,0.032380209475772526,0.10905939758306508,2020-05-04
12,0.02411125043242612,0.09474296790247384,2020-05-05
13,0.05255776243603084,0.13009342839029783,2020-05-06
14,0.2508883304022493,0.3120685695485797,2020-05-07
15,0.17472257975305047,0.258545176044357,2020-05-08
16,0.07010777322367931,0.16140396857065262,2020-05-11
17,0.1415886413334189,0.22838758516826868,2020-05-12
18,0.03734463927440592,0.11118113437738342,2020-05-13
19,0.10272479327310284,0.19022435293515513,2020-05-14
20,0.13472877618073661,0.22833577051169487,2020-05-15
21,0.04846562119344797,0.13236562303005248,2020-05-18
22,0.11285237924492687,0.2041195427911059,2020-05-19
23,0.08193288779592418,0.17112468820815405,2020-05-20
24,0.32399101182447493,0.35307064443615965,2020-05-21
25,0.15327878676000256,0.2437747864250803,2020-05-22
26,0.031585529818887716,0.10856780336742758,2020-05-26
27,0.028678263428342746,0.09519116145041799,2020-05-27
28,0.040345833774666585,0.12159645864587747,2020-05-28
29,0.03392571414354214,0.1111430554508462,2020-05-29
30,0.048288139277135066,0.1345149767357565,2020-06-01
31,0.12751695547736364,0.22134164820255003,2020-06-02
32,0.03589883333922179,0.11580360867083073,2020-06-03
33,0.12370992188172963,0.21798516512740912,2020-06-04
34,0.6127103967227717,0.4792638146221266,2020-06-05
35,0.39095052648563333,0.3871393875539751,2020-06-08
36,0.3540630896500072,0.3706995819796819,2020-06-09
37,0.012479002014677762,0.06560414662801184,2020-06-10
38,0.07456489630862506,0.16180837404242085,2020-06-11
39,0.1108677484308151,0.18624885198048202,2020-06-12
40,0.1268236014140791,0.21392772701256565,2020-06-15
41,0.014109936300839591,0.0722936604626989,2020-06-16
42,0.1779514617592199,0.24560999312920603,2020-06-17
43,0.0561311902798701,0.13597169885741325,2020-06-18
44,0.09939177432577721,0.19284179810242313,2020-06-19
45,0.32091019980720736,0.35716375462906996,2020-06-22
46,0.22588337740250358,0.2979938555469006,2020-06-23
47,0.03234307035526727,0.10269533798005309,2020-06-24
48,0.026672378725224398,0.09265166942873644,2020-06-25
49,0.013142806055507042,0.06349329341328913,2020-06-26
50,0.061792776857690385,0.15087521588174777,2020-06-29
51,0.03526673889176251,0.11506625181979768,2020-06-30
52,0.028979652050923246,0.10363935334237723,2020-07-01
53,0.03173699349907885,0.10791667654696391,2020-07-02
54,0.04529912691484378,0.13076613436104675,2020-07-06
55,0.046962439411586246,0.13221296818313039,2020-07-07
56,0.0035933858845647974,0.03577988517959674,2020-07-08
57,0.016909649391626317,0.07898138792610551,2020-07-09
58,0.016235052926621273,0.0780938114626769,2020-07-10
59,0.014830914504471859,0.07486517874243256,2020-07-13
60,0.02390738064353267,0.08600118527502547,2020-07-14
61,0.07954139666491351,0.17381938348790432,2020-07-15
62,0.015137687955779234,0.07518055827137234,2020-07-16
63,0.04133987119223057,0.12426797022752445,2020-07-17
64,0.013161564391614979,0.06883007397279393,2020-07-20
65,0.0222792298572636,0.07217188367996986,2020-07-21
66,0.03742129456581805,0.11789279967347174,2020-07-22
67,0.01477329205765513,0.07420587172784149,2020-07-23
68,0.00417255047342995,0.03213327292148033,2020-07-24
69,0.022495057282158323,0.0908621922069747,2020-07-27
70,0.016446602788274162,0.06655768001037705,2020-07-28
71,0.03304461376308226,0.08289143990528626,2020-07-29
72,0.004996411732130794,0.03224104302481606,2020-07-30
73,0.026508203623879442,0.07949980130508047,2020-07-31
74,0.007006343012068694,0.04898996257652635,2020-08-03
75,0.0036695628227294596,0.02881333431307364,2020-08-04
76,0.0029371244102255507,0.030770670004887358,2020-08-05
77,0.02036077720650259,0.0626117186759988,2020-08-06
78,0.003192357821383675,0.03236009904715045,2020-08-07
79,0.024464285658160403,0.07930122954264372,2020-08-10
80,0.005385755295616192,0.03328984391502078,2020-08-11
81,0.0026463816318078636,0.02718010280162319,2020-08-12
82,0.05167231862696191,0.13988122363519953,2020-08-13
83,0.007157076669692606,0.03631060746231353,2020-08-14
84,0.002081602034387753,0.022731310902398504,2020-08-17
85,0.017849244984143857,0.08111027809162259,2020-08-18
86,0.004969660372822144,0.03335725711927311,2020-08-19
87,0.008071594696363366,0.03874010670523949,2020-08-20
88,0.003877775522651009,0.03611135792332728,2020-08-21
89,0.010519297423119378,0.044929401045348656,2020-08-24
90,0.07064677078662267,0.1631749440445057,2020-08-25
91,0.005829000711220246,0.03358499754087978,2020-08-26
92,0.005504680296434545,0.04461004829092455,2020-08-27
93,0.11621525043206296,0.2118406246396979,2020-08-28
94,0.004801041486685235,0.04116853561166496,2020-08-31
95,0.21295422963321858,0.29025297534616196,2020-09-01
96,0.02389778206415063,0.09258544715103835,2020-09-02
97,0.17395047077613002,0.26083544336986064,2020-09-03
98,0.0020335249103103884,0.025231376349757896,2020-09-04
99,0.015074249955995253,0.06622362758408654,2020-09-08
100,0.0018785494319473745,0.02494041992662512,2020-09-09
101,0.07327971950843792,0.16627047431789596,2020-09-10
102,0.0019125103861096322,0.022071131090424065,2020-09-11
103,0.11183706293415224,0.2070517704503979,2020-09-14
104,0.03947269818338439,0.12150104388872308,2020-09-15
105,0.06252947805315577,0.1533795489239874,2020-09-16
106,0.22659797355090358,0.2983163948348089,2020-09-17
107,0.08294204907600605,0.17771626780319283,2020-09-18
108,0.0019157294899888912,0.025753785303798172,2020-09-21
109,0.021932672530460842,0.08990615775780561,2020-09-22
110,0.032029585784745296,0.09760840852442798,2020-09-23
111,0.04219400621074362,0.12530951057360265,2020-09-24
112,0.0018071547434120358,0.02383450804125937,2020-09-25
113,0.06563547020056475,0.1574236288147322,2020-09-28
114,0.004629293473526282,0.04030762895892641,2020-09-29
115,0.04712756612203167,0.13278924101856687,2020-09-30
116,0.012330623924017542,0.0653851510470931,2020-10-01
117,0.0012555200611495709,0.01951663129510093,2020-10-02
118,0.0028848322103147733,0.02997605093715174,2020-10-05
