model,h,N,seed,nll_train,nll_val,nll_test,delta_marginal
state_cond,1,4,42,1.370989441871643,1.3745496273040771,1.4186419248580933,0.0323475637382026
state_cond,1,4,7,1.374145746231079,1.376185417175293,1.4311455488204956,0.044851187700605
state_cond,1,4,123,1.373745083808899,1.375734567642212,1.4230762720108032,0.0367819108909126
state_free,1,4,42,1.3743624687194824,1.3755186796188354,1.4266120195388794,0.0403176584189888
state_free,1,4,7,1.3761814832687378,1.3754390478134155,1.4316177368164062,0.0453233756965156
state_free,1,4,123,1.36318838596344,1.3731327056884766,1.415987491607666,0.0296931304877754
state_cond,5,4,42,1.3663886785507202,1.3831040859222412,1.4232769012451172,0.0369825401252266
state_cond,5,4,7,1.369160532951355,1.3828108310699463,1.426086664199829,0.0397923030799385
state_cond,5,4,123,1.370493769645691,1.3817142248153689,1.422781467437744,0.0364871063178535
state_free,5,4,42,1.3670237064361572,1.3824461698532104,1.424514889717102,0.0382205285972114
state_free,5,4,7,1.3769304752349854,1.3833703994750977,1.4274654388427734,0.0411710777228828
state_free,5,4,123,1.346898913383484,1.3814704418182373,1.42628014087677,0.0399857797568794
state_cond,10,4,42,1.3892881870269775,1.3933192491531372,1.4426889419555664,0.0563945808356758
state_cond,10,4,7,1.388319492340088,1.3930763006210327,1.448426365852356,0.0621320047324653
state_cond,10,4,123,1.374180793762207,1.3903294801712036,1.4328957796096802,0.0466014184897896
state_free,10,4,42,1.3778551816940308,1.3917670249938965,1.441372990608215,0.0550786294883247
state_free,10,4,7,1.3753018379211426,1.388408899307251,1.430737853050232,0.0444434919303413
state_free,10,4,123,1.3887434005737305,1.3924427032470703,1.4472819566726685,0.0609875955527778
state_cond,21,4,42,1.3490757942199707,1.396215558052063,1.4267525672912598,0.0404582061713691
state_cond,21,4,7,1.346543788909912,1.3966652154922483,1.4273557662963867,0.0410614051764961
state_cond,21,4,123,1.339923858642578,1.3951400518417358,1.4310840368270874,0.0447896757071968
state_free,21,4,42,1.3465402126312256,1.3948678970336914,1.4235492944717407,0.0372549333518501
state_free,21,4,7,1.3511102199554443,1.3934704065322876,1.422135591506958,0.0358412303870674
state_free,21,4,123,1.3242740631103516,1.3941223621368408,1.4388800859451294,0.0525857248252388
state_cond,63,4,42,1.335354924201965,1.390695571899414,1.4364633560180664,0.0501689948981758
state_cond,63,4,7,1.3215277194976809,1.3879337310791016,1.4407501220703125,0.0544557609504219
state_cond,63,4,123,1.3124994039535522,1.3925122022628784,1.437011480331421,0.0507171192115303
state_free,63,4,42,1.3142247200012207,1.3960832357406616,1.4526164531707764,0.0663220920508858
state_free,63,4,7,1.2888710498809814,1.395642876625061,1.4659125804901123,0.0796182193702217
state_free,63,4,123,1.3202531337738037,1.389417052268982,1.4488235712051392,0.0625292100852485
state_cond,1,10,42,2.210855960845948,2.237046957015991,2.253286838531494,-0.0492982544625517
state_cond,1,10,7,2.2059807777404785,2.230283260345459,2.270751476287842,-0.0318336167062041
state_cond,1,10,123,2.202620029449463,2.23279356956482,2.255887746810913,-0.0466973461831328
state_free,1,10,42,2.18276596069336,2.2383060455322266,2.241795539855957,-0.0607895531380888
state_free,1,10,7,2.21610164642334,2.237619638442993,2.2725043296813965,-0.0300807633126494
state_free,1,10,123,2.209423065185547,2.232808351516724,2.262125015258789,-0.0404600777352568
state_cond,5,10,42,2.2275390625,2.2769198417663574,2.30102014541626,-0.0015649475777861
state_cond,5,10,7,2.2310690879821777,2.277503252029419,2.313931941986084,0.011346848992038
state_cond,5,10,123,2.226629734039306,2.272078275680542,2.309599637985229,0.0070145449911835
state_free,5,10,42,2.243275880813598,2.278367280960083,2.3481807708740234,0.0455956778799775
state_free,5,10,7,2.21709942817688,2.2715303897857666,2.295850276947021,-0.0067348160470244
state_free,5,10,123,2.248586654663086,2.2782371044158936,2.3375942707061768,0.0350091777121308
state_cond,10,10,42,2.2764036655426025,2.290743112564087,2.308113813400269,0.0055287204062226
state_cond,10,10,7,2.2906436920166016,2.296703577041626,2.314804792404175,0.0122196994101289
state_cond,10,10,123,2.29160475730896,2.2992961406707764,2.308176279067993,0.0055911860739472
state_free,10,10,42,2.2845795154571533,2.2989256381988525,2.3062336444854736,0.0036485514914277
state_free,10,10,7,2.288540840148926,2.297494411468506,2.295976161956787,-0.0066089310372587
state_free,10,10,123,2.282036781311035,2.2952585220336914,2.29660439491272,-0.0059806980813261
state_cond,21,10,42,2.284446954727173,2.3025851249694824,2.3047029972076416,0.0021179042135957
state_cond,21,10,7,2.288435220718384,2.3053908348083496,2.3138043880462646,0.0112192950522187
state_cond,21,10,123,2.2922439575195312,2.3042521476745605,2.3127145767211914,0.0101294837271455
state_free,21,10,42,2.2814595699310303,2.3087332248687744,2.305267095565796,0.0026820025717499
state_free,21,10,7,2.287614583969116,2.300280809402466,2.29764461517334,-0.004940477820706
state_free,21,10,123,2.282073974609375,2.3043782711029053,2.2946584224700928,-0.0079266705239531
state_cond,63,10,42,2.2547006607055664,2.301748752593994,2.339142084121704,0.0365569911276582
state_cond,63,10,7,2.282606601715088,2.310130834579468,2.322181224822998,0.0195961318289521
state_cond,63,10,123,2.2853333950042725,2.3014752864837646,2.313093662261963,0.0105085692679169
state_free,63,10,42,2.2671358585357666,2.305347204208374,2.328088998794556,0.0255039058005097
state_free,63,10,7,2.277915477752685,2.298612117767334,2.298261880874634,-0.0043232121194121
state_free,63,10,123,2.263664722442627,2.300076961517334,2.321030378341675,0.0184452853476289
state_cond,1,20,42,2.884269952774048,2.912175178527832,2.9277379512786865,-0.0679943222753043
state_cond,1,20,7,2.8520798683166504,2.9125497341156006,2.9233758449554443,-0.0723564285985465
state_cond,1,20,123,2.8486366271972656,2.910201072692871,2.922682762145996,-0.0730495114079947
state_free,1,20,42,2.8590404987335205,2.915011167526245,2.9335529804229736,-0.0621792931310172
state_free,1,20,7,2.869759321212769,2.9148335456848145,2.9422974586486816,-0.0534348149053092
state_free,1,20,123,2.8555057048797607,2.9118216037750244,2.934120416641236,-0.0616118569127555
state_cond,5,20,42,2.924455642700196,2.957336902618408,3.005350112915039,0.0096178393610482
state_cond,5,20,7,2.90185284614563,2.9625818729400635,3.0060505867004395,0.0103183131464485
