timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.01430099830031395,3.015733,0.05878613,2020-04-22
1,0.01532017532736063,2.9495223,0.06943583,2020-04-23
2,0.01724882423877716,3.2390912,0.07831876,2020-04-24
3,0.027732370421290398,3.2723644,0.11610812,2020-04-27
4,0.03315499424934387,3.458882,0.14133489,2020-04-28
5,0.03320077434182167,3.4221265,0.14076984,2020-04-29
6,0.02279091253876686,3.3570037,0.10269446,2020-04-30
7,0.012194725684821606,3.2232106,0.05468364,2020-05-01
8,0.023292865604162216,3.1774306,0.10858083,2020-05-04
9,0.030352463945746422,3.2696142,0.14528206,2020-05-05
10,0.03010609745979309,3.2877939,0.13901052,2020-05-06
11,0.03546079248189926,3.344354,0.15562126,2020-05-07
12,0.0424482598900795,3.4399726,0.17388757,2020-05-08
13,0.02804425172507763,3.311862,0.11932771,2020-05-11
14,0.02242976427078247,3.2468874,0.10413417,2020-05-12
15,0.02614855207502842,3.0764163,0.12568802,2020-05-13
16,0.013777193613350391,3.1768446,0.059993755,2020-05-14
17,0.020120365545153618,3.1824539,0.09210359,2020-05-15
18,0.0218009315431118,3.0978227,0.09860219,2020-05-18
19,0.020606588572263718,3.3187826,0.08870506,2020-05-19
20,0.018908463418483734,3.1250231,0.086364284,2020-05-20
21,0.030115503817796707,3.3237867,0.13612008,2020-05-21
22,0.04088654741644859,3.458212,0.17848563,2020-05-22
23,0.018933767452836037,3.297012,0.08183426,2020-05-26
24,0.018069995567202568,3.202868,0.06810494,2020-05-27
25,0.01584298349916935,3.2785175,0.06711294,2020-05-28
26,0.02753996104001999,3.33362,0.12323969,2020-05-29
27,0.03415554389357567,3.3987188,0.16390976,2020-06-01
28,0.021066928282380104,3.2819047,0.101899564,2020-06-02
29,0.03290248289704323,3.3952146,0.1490802,2020-06-03
30,0.021540533751249313,3.2881782,0.0865651,2020-06-04
31,0.03413734212517738,3.4449914,0.14151348,2020-06-05
32,0.030162444338202477,3.2893045,0.12424517,2020-06-08
33,0.038417644798755646,3.4762185,0.16429242,2020-06-09
34,0.017748484387993813,3.23553,0.08655467,2020-06-10
35,0.013826025649905205,2.642695,0.05952706,2020-06-11
36,0.009582980535924435,2.997995,0.03731929,2020-06-12
37,0.011847849935293198,3.1404066,0.04640197,2020-06-15
38,0.03556414693593979,3.4441018,0.15264443,2020-06-16
39,0.023039689287543297,3.2272825,0.098679766,2020-06-17
40,0.01876818761229515,3.1526368,0.08566318,2020-06-18
41,0.024586180225014687,3.208939,0.11260198,2020-06-19
42,0.04793669283390045,3.4714031,0.22523484,2020-06-22
43,0.05228257179260254,3.5395722,0.24591997,2020-06-23
44,0.025317156687378883,3.0825176,0.10961591,2020-06-24
45,0.03192048519849777,3.2757256,0.14415081,2020-06-25
46,0.021738428622484207,3.2019436,0.10200129,2020-06-26
47,0.029658179730176926,3.2124329,0.1362423,2020-06-29
48,0.02764996327459812,3.3411286,0.11799852,2020-06-30
49,0.040030013769865036,3.513127,0.1750571,2020-07-01
50,0.04115454852581024,3.454293,0.1862048,2020-07-02
51,0.038642518222332,3.40582,0.16256574,2020-07-06
52,0.049594696611166,3.517289,0.22104067,2020-07-07
