timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.0,3.554043,0.0,2020-02-06
1,0.0,3.5539556,0.0,2020-02-07
2,0.0,3.5540624,0.0,2020-02-10
3,0.0,3.5540667,0.0,2020-02-11
4,0.0,3.5540514,0.0,2020-02-12
5,0.0,3.5540757,0.0,2020-02-13
6,0.0,3.554072,0.0,2020-02-14
7,0.0,3.5540266,0.0,2020-02-18
8,0.0,3.5540671,0.0,2020-02-19
9,0.0,3.5539956,0.0,2020-02-20
10,0.0,3.5540206,0.0,2020-02-21
11,0.0,3.552839,0.0,2020-02-24
12,0.0,3.5510995,0.0,2020-02-25
13,0.0,3.551373,0.0,2020-02-26
14,0.0,3.5477111,0.0,2020-02-27
15,0.0,3.5515344,0.0,2020-02-28
16,0.0,3.5516021,0.0,2020-03-02
17,0.0,3.5377083,0.0,2020-03-03
18,0.0,3.552816,0.0,2020-03-04
19,0.0,3.5310345,0.0,2020-03-05
20,0.0,3.5452793,0.0,2020-03-06
21,0.0,3.4668736,0.0,2020-03-09
22,0.0,3.5019665,0.0,2020-03-10
23,0.0,3.4113357,0.0,2020-03-11
24,0.0,3.464457,0.0,2020-03-12
25,0.0,3.464132,0.0,2020-03-13
26,0.0,3.0217257,0.0,2020-03-16
27,0.0,3.3175833,0.0,2020-03-17
28,0.0,3.3043337,0.0,2020-03-18
29,0.0,3.5144296,0.0,2020-03-19
30,0.0,3.3743658,0.0,2020-03-20
31,0.0,3.441528,0.0,2020-03-23
32,0.0,3.471313,0.0,2020-03-24
33,0.0,3.3832343,0.0,2020-03-25
34,0.0,3.529522,0.0,2020-03-26
35,0.0,3.5176234,0.0,2020-03-27
36,0.0,3.5362036,0.0,2020-03-30
37,0.0,3.4434905,0.0,2020-03-31
38,0.0,3.5183067,0.0,2020-04-01
39,0.0,3.4671783,0.0,2020-04-02
40,0.0,3.5213163,0.0,2020-04-03
41,0.0,3.5449233,0.0,2020-04-06
42,0.0,3.4797075,0.0,2020-04-07
43,0.0,3.5126193,0.0,2020-04-08
44,0.0,3.5377066,0.0,2020-04-09
45,0.0,3.5120192,0.0,2020-04-13
46,0.0,3.3379047,0.0,2020-04-14
47,0.0,3.4475808,0.0,2020-04-15
48,0.0,3.5206175,0.0,2020-04-16
49,0.0,3.480886,0.0,2020-04-17
50,0.0,3.5077922,0.0,2020-04-20
51,0.0,3.5430279,0.0,2020-04-21
52,0.0,3.5447931,0.0,2020-04-22
53,0.0,3.4656372,0.0,2020-04-23
54,0.0,3.5279796,0.0,2020-04-24
55,0.0,3.5208151,0.0,2020-04-27
56,0.0,3.5486538,0.0,2020-04-28
57,0.0,3.5491354,0.0,2020-04-29
58,0.0,3.54913,0.0,2020-04-30
59,0.0,3.5416768,0.0,2020-05-01
60,0.0,3.5430362,0.0,2020-05-04
61,0.0,3.5519464,0.0,2020-05-05
62,0.0,3.50935,0.0,2020-05-06
63,0.0,3.5531328,0.0,2020-05-07
64,0.0,3.5471156,0.0,2020-05-08
65,0.0,3.5473144,0.0,2020-05-11
66,0.0,3.550714,0.0,2020-05-12
67,0.0,3.5489159,0.0,2020-05-13
68,0.0,3.5378692,0.0,2020-05-14
69,0.0,3.5481045,0.0,2020-05-15
70,0.0,3.536963,0.0,2020-05-18
71,0.0,3.5350847,0.0,2020-05-19
72,0.0,3.550586,0.0,2020-05-20
73,0.0,3.5484114,0.0,2020-05-21
74,0.0,3.5539885,0.0,2020-05-22
75,0.0,3.5344024,0.0,2020-05-26
76,0.0,3.5236223,0.0,2020-05-27
77,0.0,3.5435305,0.0,2020-05-28
78,0.0,3.548587,0.0,2020-05-29
79,0.0,3.5518498,0.0,2020-06-01
80,0.0,3.543674,0.0,2020-06-02
81,0.0,3.550815,0.0,2020-06-03
82,0.0,3.5515726,0.0,2020-06-04
83,0.0,3.5532022,0.0,2020-06-05
84,0.0,3.5508852,0.0,2020-06-08
85,0.0,3.5523043,0.0,2020-06-09
86,0.0,3.5506377,0.0,2020-06-10
87,0.0,3.509164,0.0,2020-06-11
88,0.0,3.5076256,0.0,2020-06-12
89,0.0,3.5152557,0.0,2020-06-15
90,0.0,3.5537384,0.0,2020-06-16
91,0.0,3.5365021,0.0,2020-06-17
92,0.0,3.5383184,0.0,2020-06-18
93,0.0,3.5459564,0.0,2020-06-19
94,0.0,3.5538502,0.0,2020-06-22
95,0.0,3.5536318,0.0,2020-06-23
96,0.0,3.5372574,0.0,2020-06-24
97,0.0,3.5483975,0.0,2020-06-25
98,0.0,3.5414135,0.0,2020-06-26
99,0.0,3.5513663,0.0,2020-06-29
100,0.0,3.5495148,0.0,2020-06-30
101,0.0,3.5530884,0.0,2020-07-01
102,0.0,3.5502925,0.0,2020-07-02
103,0.0,3.5511284,0.0,2020-07-06
104,0.0,3.5495095,0.0,2020-07-07
105,0.0,3.5524087,0.0,2020-07-08
106,0.0,3.5527205,0.0,2020-07-09
107,0.0,3.5520904,0.0,2020-07-10
108,0.0,3.538691,0.0,2020-07-13
109,0.0,3.5519037,0.0,2020-07-14
110,0.0,3.553697,0.0,2020-07-15
111,0.0,3.5515354,0.0,2020-07-16
112,0.0,3.553192,0.0,2020-07-17
113,0.0,3.5538874,0.0,2020-07-20
114,0.0,3.553175,0.0,2020-07-21
115,0.0,3.55276,0.0,2020-07-22
116,0.0,3.553903,0.0,2020-07-23
117,0.0,3.5534825,0.0,2020-07-24
118,0.0,3.553753,0.0,2020-07-27
119,0.0,3.5517073,0.0,2020-07-28
120,0.0,3.553763,0.0,2020-07-29
121,0.0,3.5535367,0.0,2020-07-30
122,0.0,3.5540044,0.0,2020-07-31
123,0.0,3.55402,0.0,2020-08-03
124,0.0,3.5539656,0.0,2020-08-04
125,0.0,3.5536222,0.0,2020-08-05
126,0.0,3.5539532,0.0,2020-08-06
127,0.0,3.5539958,0.0,2020-08-07
128,0.0,3.5506628,0.0,2020-08-10
129,0.0,3.5540211,0.0,2020-08-11
130,0.0,3.554052,0.0,2020-08-12
131,0.0,3.5534563,0.0,2020-08-13
132,0.0,3.5537589,0.0,2020-08-14
133,0.0,3.5539522,0.0,2020-08-17
134,0.0,3.5538774,0.0,2020-08-18
135,0.0,3.5529985,0.0,2020-08-19
136,0.0,3.5540402,0.0,2020-08-20
137,0.0,3.5540156,0.0,2020-08-21
138,0.0,3.55387,0.0,2020-08-24
139,0.0,3.5537872,0.0,2020-08-25
140,0.0,3.5540495,0.0,2020-08-26
141,0.0,3.55379,0.0,2020-08-27
142,0.0,3.553746,0.0,2020-08-28
143,0.0,3.5536463,0.0,2020-08-31
144,0.0,3.5540514,0.0,2020-09-01
145,0.0,3.5539668,0.0,2020-09-02
146,0.0,3.5532975,0.0,2020-09-03
147,0.0,3.5537834,0.0,2020-09-04
148,0.0,3.551654,0.0,2020-09-08
149,0.0,3.5537553,0.0,2020-09-09
150,0.0,3.5521507,0.0,2020-09-10
151,0.0,3.55396,0.0,2020-09-11
152,0.0,3.5538573,0.0,2020-09-14
153,0.0,3.5533967,0.0,2020-09-15
154,0.0,3.553533,0.0,2020-09-16
155,0.0,3.5534668,0.0,2020-09-17
156,0.0,3.553697,0.0,2020-09-18
157,0.0,3.5532732,0.0,2020-09-21
158,0.0,3.5536332,0.0,2020-09-22
159,0.0,3.5505688,0.0,2020-09-23
160,0.0,3.553609,0.0,2020-09-24
161,0.0,3.5537548,0.0,2020-09-25
162,0.0,3.5532637,0.0,2020-09-28
163,0.0,3.5538142,0.0,2020-09-29
164,0.0,3.5538805,0.0,2020-09-30
165,0.0,3.5536518,0.0,2020-10-01
166,0.0,3.5536819,0.0,2020-10-02
167,0.0,3.5533261,0.0,2020-10-05
168,0.0,3.5533924,0.0,2020-10-06
169,0.0,3.553728,0.0,2020-10-07
170,0.0,3.553952,0.0,2020-10-08
171,0.0,3.5540054,0.0,2020-10-09
172,0.0,3.5533385,0.0,2020-10-12
173,0.0,3.5535784,0.0,2020-10-13
174,0.0,3.553462,0.0,2020-10-14
175,0.0,3.5529695,0.0,2020-10-15
176,0.0,3.553862,0.0,2020-10-16
177,0.0,3.5539334,0.0,2020-10-19
178,0.0,3.5536833,0.0,2020-10-20
179,0.0,3.5536604,0.0,2020-10-21
180,0.0,3.5538683,0.0,2020-10-22
181,0.0,3.5535533,0.0,2020-10-23
182,0.0,3.5535731,0.0,2020-10-26
183,0.0,3.5529087,0.0,2020-10-27
184,0.0,3.5509949,0.0,2020-10-28
185,0.0,3.5501404,0.0,2020-10-29
186,0.0,3.5530486,0.0,2020-10-30
187,0.0,3.5538378,0.0,2020-11-02
188,0.0,3.5532594,0.0,2020-11-03
189,0.0,3.5534647,0.0,2020-11-04
