timestep,ck_kl,ck_tv,date
0,0.0645821068084436,0.13907868751048696,2020-03-27
1,0.11624647694683209,0.17229170701909888,2020-03-30
2,0.05766431765694848,0.13212137242057703,2020-03-31
3,0.05676629711882864,0.14739076220562358,2020-04-01
4,0.04073972770931892,0.1178263487966267,2020-04-02
5,0.02923734724199701,0.10348706692635833,2020-04-03
6,0.038558930030586476,0.11631577416968238,2020-04-06
7,0.14818727782898455,0.22362860591607783,2020-04-07
8,0.07116819716274855,0.14210879283906463,2020-04-08
9,0.050501244926247114,0.12380988729498982,2020-04-09
10,0.06190976584998508,0.13928443882634145,2020-04-13
11,0.049943543410866514,0.11896636959196354,2020-04-14
12,0.10884087555852141,0.1996783554494618,2020-04-15
13,0.04356555052026713,0.12156162688458806,2020-04-16
14,0.029722132306510225,0.10336674570123847,2020-04-17
15,0.29198641013189003,0.3233341765787062,2020-04-20
16,0.057699181877289674,0.1463224041631022,2020-04-21
17,0.1896550381280903,0.25062497311466053,2020-04-22
18,0.033580507816406306,0.1092977560447044,2020-04-23
19,0.017747981080016708,0.07349123345795981,2020-04-24
20,0.009418420202872663,0.054149141238374894,2020-04-27
21,0.21801111620367825,0.287140103765549,2020-04-28
22,0.2595805260597696,0.3171343491094509,2020-04-29
23,0.02611603416760981,0.09527394631500959,2020-04-30
24,0.0586329834097552,0.13436036806757004,2020-05-01
25,0.07720828044633471,0.16840424076541077,2020-05-04
26,0.012755359232955923,0.06560711724272099,2020-05-05
27,0.0401445951293452,0.11630233762541627,2020-05-06
28,0.05589702716023423,0.1368006793444193,2020-05-07
29,0.20338114513136926,0.27483585455509535,2020-05-08
30,0.05480574365907216,0.14322948429120466,2020-05-11
31,0.13559119313379286,0.22562595956158032,2020-05-12
32,0.5144338405697617,0.4197420930570218,2020-05-13
33,0.23788493655957235,0.3007794011192944,2020-05-14
34,0.1518303594043089,0.23468609336728763,2020-05-15
35,0.0322317648572766,0.10494836511150542,2020-05-18
36,0.1190840739390688,0.2106316222113818,2020-05-19
37,0.16856980252810402,0.2487149260220585,2020-05-20
38,0.24865192491470092,0.3079725830297844,2020-05-21
39,0.10446276776758198,0.2028958004363776,2020-05-22
40,0.013143842807038708,0.06240097395446475,2020-05-26
41,0.19420155769975733,0.2638768711777475,2020-05-27
42,0.03264625091064451,0.11288840844351286,2020-05-28
43,0.09024168696604026,0.18149185584424027,2020-05-29
44,0.10617560417435079,0.20052083322828496,2020-06-01
45,0.12447024438303708,0.21773990152313746,2020-06-02
46,0.013976420063174738,0.06759894115935627,2020-06-03
47,0.043370635749061325,0.12949952250872157,2020-06-04
48,0.2103738902528761,0.28809776965454553,2020-06-05
49,0.08503826308745906,0.1772433129909256,2020-06-08
50,0.06604933119593634,0.1610638198707797,2020-06-09
51,0.05187478503634461,0.1350183516446449,2020-06-10
52,0.08963726164609195,0.18091786324346767,2020-06-11
53,0.06280040889773528,0.15333360244551555,2020-06-12
54,0.07572978711987724,0.15014534911791744,2020-06-15
55,0.08805359784904293,0.18662594272762312,2020-06-16
56,0.013608997256779012,0.066411915488,2020-06-17
57,0.015030353557214998,0.07161289530623642,2020-06-18
58,0.018908752523481336,0.07866980539478949,2020-06-19
59,0.14630377841543782,0.24071470138433979,2020-06-22
60,0.15464243295555813,0.2421002181734288,2020-06-23
61,0.014494163470833982,0.07248592562935988,2020-06-24
62,0.05009734131617274,0.133109813027345,2020-06-25
63,0.11823169287215918,0.18044195792312495,2020-06-26
64,0.03438499261082361,0.11057881347222086,2020-06-29
65,0.01605659530548974,0.07226944739506438,2020-06-30
66,0.015452362156397354,0.07366960327236237,2020-07-01
67,0.028613190501368558,0.10106494996662302,2020-07-02
68,0.04801336351442867,0.1098426289520507,2020-07-06
69,0.02715360430418937,0.0771337141306031,2020-07-07
70,0.023995938564713076,0.07730116715679071,2020-07-08
71,0.1010296746305612,0.15196924503615208,2020-07-09
72,0.02550229722698262,0.09272551538607925,2020-07-10
73,0.190650111272647,0.24333948493422522,2020-07-13
74,0.013901401187781147,0.06931326175971222,2020-07-14
75,0.02002867370529878,0.08483763518770343,2020-07-15
76,0.00897909148544311,0.055362413363936144,2020-07-16
77,0.017298450960632365,0.06907701928734386,2020-07-17
78,0.020956101510095415,0.08678478116209082,2020-07-20
79,0.04665441069921903,0.10229749548779267,2020-07-21
80,0.2458628154349778,0.3085941389295033,2020-07-22
81,0.039085764998399546,0.11991824949240538,2020-07-23
82,0.014865055004623824,0.0712574312842794,2020-07-24
83,0.10388749883941116,0.20077574352566155,2020-07-27
84,0.023339700057422814,0.08090805373402955,2020-07-28
85,0.00990793306664032,0.057781066330390124,2020-07-29
86,0.15818845699054668,0.24293159777401074,2020-07-30
87,0.014712827806431744,0.06505167120232734,2020-07-31
88,0.17394664518620234,0.2586666556416043,2020-08-03
89,0.021854770085721422,0.08872626391027164,2020-08-04
90,0.06702071837115174,0.16055898762178006,2020-08-05
91,0.3661603274977871,0.37536903818992884,2020-08-06
92,0.11257486355761674,0.20128210154114975,2020-08-07
93,0.4872739702465033,0.4311136271787505,2020-08-10
94,0.28965281235909607,0.3232535179782333,2020-08-11
95,0.5280909136666074,0.4496317177038074,2020-08-12
96,0.0295350491170626,0.10365330425567926,2020-08-13
97,0.0688022273290704,0.16026388395039662,2020-08-14
98,0.028739991060902713,0.10320047242486546,2020-08-17
99,0.12414029139029148,0.22028267492794418,2020-08-18
100,0.04074223535167107,0.09134326489871036,2020-08-19
101,0.17725649881664005,0.26301913850543285,2020-08-20
102,0.23432003813128652,0.2996473596670359,2020-08-21
103,0.2169567863275511,0.29125508185627663,2020-08-24
104,0.6620188236924358,0.4996996628594137,2020-08-25
105,0.2864823123839721,0.3297306752654109,2020-08-26
106,0.047358727069206276,0.1337773653489234,2020-08-27
107,0.2849059314227165,0.33262355747241246,2020-08-28
108,0.03767357737765937,0.11913078688760215,2020-08-31
109,0.1425658213275927,0.2341226513693496,2020-09-01
110,0.03348901310050291,0.11167071207303349,2020-09-02
111,0.15472651309594587,0.2445029152976087,2020-09-03
112,0.06145420899196714,0.151999996450036,2020-09-04
113,0.22088886852105044,0.2914674387755755,2020-09-08
114,0.04656760501097024,0.13185804955418406,2020-09-09
115,0.027004731132638706,0.10116923705067978,2020-09-10
116,0.05032185820167356,0.13883307730324182,2020-09-11
117,0.024790053469170587,0.0921596279251236,2020-09-14
118,0.09835221820784883,0.15223657726370043,2020-09-15
119,0.013200161690304003,0.06718540410474123,2020-09-16
120,0.12131926437581787,0.2199809239965853,2020-09-17
121,0.17061374948549776,0.2588571951006001,2020-09-18
122,0.01623035188009561,0.0763546558179045,2020-09-21
123,0.10713295282948572,0.1958821952861383,2020-09-22
124,0.06787592239431313,0.12364000569970673,2020-09-23
125,0.08254540764340827,0.17822814071644463,2020-09-24
126,0.06840073053277469,0.16476522491381979,2020-09-25
127,0.08459074301191037,0.18260983646998066,2020-09-28
128,0.23747825585871385,0.30363305059884454,2020-09-29
129,0.5216568972684985,0.4380273283223129,2020-09-30
130,0.17774354741962903,0.2623473249911808,2020-10-01
131,0.43415825236151356,0.40863359760321183,2020-10-02
132,0.34329013869749875,0.36394092939770145,2020-10-05
133,0.28740908468534543,0.3337853515421999,2020-10-06
134,0.37353104979677726,0.3786299236287339,2020-10-07
135,0.2375745899632482,0.3010764584711166,2020-10-08
136,0.2323569948233117,0.29903659536770133,2020-10-09
137,0.7931754857083985,0.5483400234630715,2020-10-12
138,0.46782871731360304,0.4262596951417423,2020-10-13
139,0.27553261219050906,0.3186771363537896,2020-10-14
140,0.1213793179816247,0.21636874819209884,2020-10-15
141,0.292069341273649,0.3369413189766155,2020-10-16
142,0.49636418735671967,0.44134514480059994,2020-10-19
143,0.02423597662946173,0.09383035156862903,2020-10-20
144,0.01299588686665652,0.06793245956570461,2020-10-21
145,0.1587839514522254,0.24413976903876777,2020-10-22
146,0.06379109862312493,0.15480168527200827,2020-10-23
147,0.016612707250186143,0.07722802330261089,2020-10-26
148,0.03294675339979908,0.1098303466759233,2020-10-27
149,0.028558915530473707,0.10201346110643587,2020-10-28
150,0.030169763246471984,0.09157690383452376,2020-10-29
151,0.03140515337060534,0.10713307275468795,2020-10-30
152,0.04665727022469628,0.13559207965244613,2020-11-02
153,0.07332537019008066,0.16265992289421635,2020-11-03
154,0.08264946793849076,0.15133844877768918,2020-11-04
155,0.03536575091549202,0.11435989627131488,2020-11-05
156,0.06498409117047152,0.12289961382092243,2020-11-06
157,0.009924817807579723,0.0513097263527858,2020-11-09
158,0.2348228786149805,0.29846602703832864,2020-11-10
159,0.05993672446375216,0.12225791035155889,2020-11-11
160,0.011887118016885393,0.05994368274210389,2020-11-12
161,0.03156548294388654,0.10813847674792518,2020-11-13
162,0.055514862226834986,0.13103729490604693,2020-11-16
163,0.02891831815203271,0.09063855142138492,2020-11-17
164,0.05916151717207809,0.14134981224433715,2020-11-18
165,0.09663807120648567,0.19270095607740684,2020-11-19
166,0.09452475007115853,0.18949148279462535,2020-11-20
167,0.04170587398439797,0.12325857863059615,2020-11-23
168,0.17554772076179018,0.258114382649373,2020-11-24
169,0.0030941825916968,0.02973937927176878,2020-11-25
170,0.026139151478801605,0.09391882925355026,2020-11-27
171,0.014031635197023756,0.05155046304122443,2020-11-30
172,0.020088442539393663,0.07829367630751974,2020-12-01
173,0.020217136137419635,0.07826355144073326,2020-12-02
174,0.12168455837283722,0.20761326804494182,2020-12-03
175,0.018668027098360258,0.08092079872856504,2020-12-04
176,0.3792398053770875,0.38303247781844263,2020-12-07
177,0.16667256033172165,0.24373480074424736,2020-12-08
178,0.014921003688146663,0.06565808375977822,2020-12-09
179,0.10099206856583426,0.1824408318593563,2020-12-10
180,0.06651563764125275,0.14909502434072336,2020-12-11
181,0.18330213506167323,0.2638933481846599,2020-12-14
182,0.023352098774317865,0.09206877170338855,2020-12-15
183,0.03678753148637378,0.10973827983113006,2020-12-16
184,0.20123911759059498,0.2676112885942077,2020-12-17
185,0.19141034586564257,0.26653905467981065,2020-12-18
186,0.019329510056423423,0.08307208756941767,2020-12-21
187,0.12330381404198346,0.21106435123563677,2020-12-22
188,0.18861005525782387,0.26487792414744726,2020-12-23
189,0.04882791315448942,0.13563378816540658,2020-12-24
190,0.7844022333402392,0.5404961840650525,2020-12-28
191,0.2814323621018739,0.32430071387353554,2020-12-29
192,0.3321594133266198,0.3572400115808986,2020-12-30
193,0.20062446908627185,0.2701465202144206,2020-12-31
194,0.2636565087122074,0.31524440547992083,2021-01-04
195,0.11036616172233422,0.20282693795036677,2021-01-05
196,0.03927362229484696,0.12005562310601527,2021-01-06
197,0.033824943357208336,0.10395134368419146,2021-01-07
198,0.011961823765591595,0.062440068039984295,2021-01-08
199,0.03706291773682664,0.10996966452138314,2021-01-11
200,0.08218023209328194,0.163106431370524,2021-01-12
201,0.009747653831850263,0.0492925709280966,2021-01-13
202,0.01857909479873381,0.0791376374652362,2021-01-14
203,0.03325902636516885,0.10666487018520439,2021-01-15
204,0.047357303550776435,0.1352237329971479,2021-01-19
205,0.00852373031121932,0.05404296144235303,2021-01-20
