timestep,ck_kl,ck_tv,date
0,0.07027271619507001,0.15697629247790584,2020-03-27
1,0.028675866386500475,0.10124453519128547,2020-03-30
2,0.05027107883167277,0.13185503991206152,2020-03-31
3,0.020045422819094025,0.08036818851524724,2020-04-01
4,0.04329291756458942,0.11497939001630579,2020-04-02
5,0.021291484135988293,0.08132662813608742,2020-04-03
6,0.018654482833420197,0.07826887377686156,2020-04-06
7,0.11592785001362658,0.21444039593007064,2020-04-07
8,0.11756744106743355,0.1840145957352192,2020-04-08
9,0.04500508667967869,0.11144670203901379,2020-04-09
10,0.04806454153494258,0.12655555878762,2020-04-13
11,0.09197567800518625,0.18249285023172365,2020-04-14
12,0.07946816176248386,0.16656155837400138,2020-04-15
13,0.029999732716419557,0.10064701530974414,2020-04-16
14,0.041443026389342226,0.1179368844627892,2020-04-17
15,0.13349997569381852,0.21369432755517295,2020-04-20
16,0.044763482289304816,0.11941199674835483,2020-04-21
17,0.1478442654002107,0.22131312776874926,2020-04-22
18,0.02826024911731737,0.09770614314106545,2020-04-23
19,0.1579485036480899,0.21172452130172043,2020-04-24
20,0.036627822820822886,0.11373245930099624,2020-04-27
21,0.15899959633822078,0.23678846623701275,2020-04-28
22,0.14936506364802432,0.23124403083108053,2020-04-29
23,0.07556716660478899,0.1623453843461308,2020-04-30
24,0.02527952709870243,0.08442858831775742,2020-05-01
25,0.01838717458279568,0.07799917195884438,2020-05-04
26,0.03177338232576437,0.10472238141756092,2020-05-05
27,0.026748959568853693,0.09577138902239742,2020-05-06
28,0.10726338319698991,0.19059807928039346,2020-05-07
29,0.07563380877151263,0.16237809571175546,2020-05-08
30,0.02348769010854893,0.0872036513019009,2020-05-11
31,0.06051779393782082,0.14478444774791657,2020-05-12
32,0.5388941608021169,0.4137014822888613,2020-05-13
33,0.07988183346565293,0.16567843084757422,2020-05-14
34,0.16558733182309085,0.2395175289219992,2020-05-15
35,0.0672546119614679,0.1258425350054699,2020-05-18
36,0.029030132006702663,0.09820829032939157,2020-05-19
37,0.12855933337636885,0.2021495416086462,2020-05-20
38,0.057583782545108674,0.14764892267476895,2020-05-21
39,0.007068992143761201,0.03471538027964906,2020-05-22
40,0.5760694869088507,0.35278802087750366,2020-05-26
41,0.07783291611976594,0.16119341376088386,2020-05-27
42,0.016251938256873894,0.07079005410073665,2020-05-28
43,0.06972751096041219,0.1503303208832894,2020-05-29
44,0.0709974442983876,0.15637552956432618,2020-06-01
45,0.03710004187997209,0.11295399497585339,2020-06-02
46,0.18530685546275155,0.2228047682763299,2020-06-03
47,0.013553842441575713,0.06817105632526987,2020-06-04
48,0.026009555946358412,0.09674924881474292,2020-06-05
49,0.024989436015007204,0.07925259924739955,2020-06-08
50,0.02355125301223191,0.08146737797842692,2020-06-09
51,0.05080583385618316,0.11293584042807825,2020-06-10
52,0.05175082298315799,0.13447916452741432,2020-06-11
53,0.03234028120215084,0.10781164914655247,2020-06-12
54,0.05797886581505943,0.12395577544060563,2020-06-15
55,0.013372294915513472,0.060669889762188,2020-06-16
56,0.18564645406960542,0.22910715685306654,2020-06-17
57,0.011311360931651025,0.0620878631939911,2020-06-18
58,0.09275894563755308,0.15483042248856616,2020-06-19
59,0.018489773052956196,0.07950235147727355,2020-06-22
60,0.05613657364232258,0.13838659878791684,2020-06-23
61,0.111038617424126,0.1864279229125662,2020-06-24
62,0.10672375181242204,0.16962591337534588,2020-06-25
63,0.4414962033979481,0.31799545418532515,2020-06-26
64,0.016032258158369873,0.06981713684222367,2020-06-29
65,0.11760171918160706,0.17889246772076306,2020-06-30
66,0.12683534602509558,0.17635868979204752,2020-07-01
67,0.04346038050114868,0.10644138833856263,2020-07-02
68,0.2683537367165249,0.2613664871407541,2020-07-06
69,0.3908831136236108,0.2915082905985596,2020-07-07
70,0.06290684703077577,0.12904192496774217,2020-07-08
71,0.3433798757542049,0.2605394427574451,2020-07-09
72,0.20513074199006784,0.2316488265983155,2020-07-10
73,0.5164829047607685,0.3481093336774434,2020-07-13
74,0.10756443796760354,0.17246257291345216,2020-07-14
75,0.009124825198118875,0.03892042670865468,2020-07-15
76,0.02019667645654008,0.06578297527162616,2020-07-16
77,0.16920823897215553,0.22066041215281823,2020-07-17
78,0.007224625469650472,0.036360171455468646,2020-07-20
79,0.02385273926153935,0.07629616792196854,2020-07-21
80,0.03899979586173701,0.1201844723904221,2020-07-22
81,0.07843518848476663,0.11944112150605012,2020-07-23
82,0.13792627171054214,0.17321421890761718,2020-07-24
83,0.019654190879704162,0.061952762397961686,2020-07-27
84,0.21037678516285632,0.2342363553808714,2020-07-28
85,0.003816659853875308,0.029901474246974334,2020-07-29
86,0.018725983073506102,0.05378651481301928,2020-07-30
87,0.13226479542286948,0.16180977454003076,2020-07-31
88,0.04768227051872333,0.12794622217539411,2020-08-03
89,0.030479821527667067,0.07627999808895095,2020-08-04
90,0.15860527475545902,0.19023470101983714,2020-08-05
91,0.026345574485202042,0.09288349857821922,2020-08-06
92,0.04941587269477868,0.09569795715627391,2020-08-07
93,0.12902555767623228,0.22035709602593162,2020-08-10
94,0.07124529726773605,0.1577398326242196,2020-08-11
95,0.207723517281609,0.2756064689506663,2020-08-12
96,0.059326804687325665,0.10509791521406793,2020-08-13
97,0.006073864908293741,0.040895379828347116,2020-08-14
98,0.012291913001996908,0.06369796081931849,2020-08-17
99,0.012886020520724725,0.06637726259972371,2020-08-18
100,0.14043230604861096,0.17414180336076032,2020-08-19
101,0.01975081654602488,0.08029284435973034,2020-08-20
102,0.15054780918304875,0.22396253535394928,2020-08-21
103,0.019420427531628485,0.08239110863013838,2020-08-24
104,0.30217891047022427,0.3375397720887318,2020-08-25
105,0.04853715172528482,0.12844183442198046,2020-08-26
106,0.007294790251506268,0.04474519066996167,2020-08-27
107,0.011524922344146905,0.05565045434852466,2020-08-28
108,0.14828499021598482,0.17647031545894465,2020-08-31
109,0.04945848999374128,0.13082507105294702,2020-09-01
110,0.07620560751998202,0.12329464987070375,2020-09-02
111,0.03791660417271542,0.11592366080859776,2020-09-03
112,0.023956382255767475,0.06506727751568037,2020-09-04
113,0.04694789159243189,0.11017602629804153,2020-09-08
114,0.03716618055830779,0.0906831502681297,2020-09-09
115,0.05905713986274478,0.1165358467939586,2020-09-10
116,0.005943501245095907,0.03264538804041153,2020-09-11
117,0.027529433163158902,0.07739061275113593,2020-09-14
118,0.24038048268827714,0.22396119573450893,2020-09-15
119,0.007287953190838092,0.04408348186429039,2020-09-16
120,0.055337248699626924,0.14418891346978865,2020-09-17
121,0.0261250882792117,0.09466652760560282,2020-09-18
122,0.08478111546955365,0.1491441532795643,2020-09-21
123,0.03590387819074386,0.09163832806292177,2020-09-22
124,0.32398400677722744,0.2786197461380291,2020-09-23
125,0.024995095477467016,0.07504977368236543,2020-09-24
126,0.1492144623310252,0.17504302093746998,2020-09-25
127,0.008628688150085138,0.050912327578497445,2020-09-28
128,0.05892666730441416,0.1469056987172191,2020-09-29
129,0.15445537485174374,0.24113476964957775,2020-09-30
130,0.08433220572824789,0.16065060572499618,2020-10-01
131,0.05797320709597197,0.1420781033013032,2020-10-02
132,0.018957553494215136,0.08065279584356483,2020-10-05
133,0.01831594620888875,0.07834365407698826,2020-10-06
134,0.015949867129882105,0.06474359187342667,2020-10-07
135,0.11466437496386317,0.19750353504298343,2020-10-08
136,0.021385960772241634,0.08346000624404656,2020-10-09
137,0.6911088037511428,0.5008219866041441,2020-10-12
138,0.3025668285080682,0.33448658313155116,2020-10-13
139,0.2800329885217087,0.3096025936016598,2020-10-14
140,0.057440718248124446,0.1457766530054826,2020-10-15
141,0.00917902070261795,0.05185628008275639,2020-10-16
142,0.4348588331465326,0.40543367100513344,2020-10-19
143,0.09245548482174115,0.1526630960214807,2020-10-20
144,0.10559938958993667,0.15512221331061352,2020-10-21
145,0.0970210072888305,0.1374174814320371,2020-10-22
146,0.01782794508805434,0.07030848783605215,2020-10-23
147,0.0325514807929188,0.0861200075580492,2020-10-26
148,0.025270486828085543,0.08991001389210085,2020-10-27
149,0.02526155015635838,0.0809024397035127,2020-10-28
150,0.022528303999047695,0.08858158387553759,2020-10-29
151,0.008159684464160257,0.037545868867652196,2020-10-30
152,0.0038750132755206975,0.03279807148732255,2020-11-02
153,0.0509745332857171,0.1393513195707033,2020-11-03
154,0.1228191168817267,0.16905620836522126,2020-11-04
155,0.052308614358355675,0.10570829202488624,2020-11-05
156,0.1928799911116543,0.19318635585480867,2020-11-06
157,0.22816444624261026,0.25200153240050976,2020-11-09
158,0.079332755378878,0.1668007379875486,2020-11-10
159,0.3575501769734829,0.292573599069602,2020-11-11
160,0.08717314196876544,0.15356071973698374,2020-11-12
161,0.01122739633885497,0.047962804973283465,2020-11-13
162,0.33773017165344227,0.2963757631844565,2020-11-16
163,0.013814204456468117,0.04746236167964133,2020-11-17
164,0.031651871854856475,0.07986346183106628,2020-11-18
165,0.02171054115068211,0.05795033850885434,2020-11-19
166,0.008855972330440267,0.040770010119883654,2020-11-20
167,0.04037276699368502,0.09342585843128921,2020-11-23
168,0.01275274952755359,0.06492522500229579,2020-11-24
169,0.06926193482006526,0.13289158810093302,2020-11-25
170,0.13710829060254343,0.17802909753906698,2020-11-27
171,0.12338798816634898,0.16328070674826042,2020-11-30
172,0.090560264647605,0.13174256951668123,2020-12-01
173,0.11238258067217374,0.1658450134825643,2020-12-02
174,0.04377700571657457,0.09088707491504196,2020-12-03
175,0.20800691553346937,0.2011467661227182,2020-12-04
176,0.09237220725848787,0.18460054992199976,2020-12-07
177,0.049482182649133344,0.1330333538605257,2020-12-08
178,0.011424730091124482,0.06090228868088085,2020-12-09
179,0.04481096324544082,0.11268543877704165,2020-12-10
180,0.03854448513669275,0.08764540668937303,2020-12-11
181,0.07703331717297036,0.16530189843151197,2020-12-14
182,0.0047263172108250396,0.037767696674566274,2020-12-15
183,0.013544341136404682,0.04481443876655869,2020-12-16
184,0.06927418868847923,0.14409347469254208,2020-12-17
185,0.1221813424239658,0.20302511005015628,2020-12-18
186,0.05029581046117617,0.09804599074283782,2020-12-21
187,0.013918720591813342,0.06460518613565071,2020-12-22
188,0.015857119646028962,0.060190285252136086,2020-12-23
189,0.044794352379145565,0.10702659538590399,2020-12-24
190,0.07556090011942959,0.16169650749097803,2020-12-28
191,0.03092048837687324,0.10138892611312146,2020-12-29
192,0.08529897813665319,0.17902740892085475,2020-12-30
193,0.037114801945890945,0.11034429719730368,2020-12-31
194,0.06140518116959409,0.14173222565107702,2021-01-04
195,0.08728353087544148,0.1673392194107047,2021-01-05
196,0.012141643025115074,0.06271263962541324,2021-01-06
197,0.02061082951717481,0.0769084767076646,2021-01-07
198,0.07175707655300854,0.14075161658195015,2021-01-08
199,0.003630455851660812,0.02847717291784092,2021-01-11
200,0.036072193758904664,0.09821699362409467,2021-01-12
201,0.18092534817755157,0.21780182249573812,2021-01-13
202,0.07363124028435769,0.11855133203015641,2021-01-14
203,0.032178214417312855,0.08958984529433713,2021-01-15
204,0.02476695918887229,0.07403149623538474,2021-01-19
205,0.04130925167480372,0.09843639303478997,2021-01-20
206,0.00858016905777263,0.049230168218928345,2021-01-21
207,0.08611500743088481,0.13275937384424424,2021-01-22
208,0.07292918202864968,0.14102518820551224,2021-01-25
209,0.007310202187159302,0.04759337956295619,2021-01-26
210,0.06338266611669943,0.12600393990044914,2021-01-27
211,0.02477173442242944,0.09404699353513894,2021-01-28
212,0.010030190705294862,0.05794443132079774,2021-01-29
213,0.04958241727451342,0.13529198437529333,2021-02-01
214,0.008026120377271904,0.04262521473603432,2021-02-02
215,0.12889587338803202,0.17544840691273972,2021-02-03
216,0.01644891442112148,0.0657175781449413,2021-02-04
217,0.00950536347990478,0.05728305985070547,2021-02-05
218,0.05337950179298617,0.10487053168778263,2021-02-08
219,0.006271897609212853,0.04382286943281055,2021-02-09
220,0.01573424550046817,0.05478737779763884,2021-02-10
221,0.05252372144621342,0.13567051889767692,2021-02-11
222,0.01036199768791847,0.051818733908365514,2021-02-12
223,0.009305764370084036,0.0517815445763935,2021-02-16
224,0.04758767441705421,0.11449186278209013,2021-02-17
225,0.014088842834814074,0.04683024276597884,2021-02-18
226,0.07182208651719009,0.12709167728836623,2021-02-19
227,0.03189444919507076,0.09932200358716349,2021-02-22
228,0.05016581448744163,0.1314821988106929,2021-02-23
229,0.026588699078243107,0.08586945587625215,2021-02-24
230,0.007742752517196621,0.03837030129011077,2021-02-25
231,0.1327481376254185,0.18337212806471906,2021-02-26
232,0.03189083330741278,0.08463172089841622,2021-03-01
233,0.08121915817236056,0.13908550169739264,2021-03-02
234,0.10597008865534953,0.14540503174141148,2021-03-03
235,0.008966954876476996,0.04793456803469595,2021-03-04
236,0.10335602303788398,0.14497618685868796,2021-03-05
237,0.16009552118157422,0.1724386400288186,2021-03-08
238,0.04073779689873259,0.09221889725202491,2021-03-09
239,0.06633378539910377,0.10932662727809257,2021-03-10
240,0.021089617458052077,0.06361547939314754,2021-03-11
241,0.07782558411821407,0.12487118768584933,2021-03-12
242,0.017400020264562027,0.05728646950232996,2021-03-15
243,0.005089568147964243,0.03296781864850903,2021-03-16
244,0.18324180222375044,0.18164189205200287,2021-03-17
245,0.010151620562595862,0.051682593042947846,2021-03-18
246,0.006834173863238192,0.03592405957624391,2021-03-19
247,0.05738459529268264,0.11317856596221176,2021-03-22
248,0.011655232287967793,0.06327089907411225,2021-03-23
249,0.012352352209275563,0.047734148556213205,2021-03-24
250,0.020968047096120736,0.0845272935253375,2021-03-25
251,0.018406185206724924,0.053370598472331277,2021-03-26
252,0.051933084213228606,0.09852518105545713,2021-03-29
253,0.15127698587652788,0.18691730812960342,2021-03-30
254,0.006559493132396471,0.03826376329139558,2021-03-31
255,0.003602305616234023,0.02695280346782765,2021-04-01
256,0.004729035511736359,0.034429038713889644,2021-04-05
257,0.005963141995209573,0.03185879244247283,2021-04-06
258,0.022224376230035873,0.06655914556249469,2021-04-07
259,0.007417795273844881,0.03700558128618254,2021-04-08
260,0.022468744607230907,0.06512380252055915,2021-04-09
261,0.0057529253193177475,0.03877040114518439,2021-04-12
262,0.005101783207024787,0.03084630093842352,2021-04-13
263,0.01851905877137849,0.07904475933174905,2021-04-14
264,0.005127679271988652,0.033329947148840834,2021-04-15
265,0.018916538792263488,0.056524425921156335,2021-04-16
266,0.005354409402455338,0.03816884131558498,2021-04-19
267,0.07934626699477045,0.13040594670432504,2021-04-20
268,0.03647903591340999,0.08540098548473592,2021-04-21
269,0.032630809290219775,0.0838165393680759,2021-04-22
270,0.015578120619780814,0.05089105997632423,2021-04-23
271,0.08422498914995505,0.12834872192584446,2021-04-26
272,0.07819254860338204,0.12318947740053786,2021-04-27
273,0.051395854638746415,0.096843849451723,2021-04-28
274,0.03277255030365371,0.07674662883207913,2021-04-29
275,0.12671000345336272,0.15772459688878582,2021-04-30
276,0.02796982895468524,0.07110261584221321,2021-05-03
277,0.039906651847805764,0.08631315769815068,2021-05-04
278,0.008038990778233026,0.04852601692166279,2021-05-05
279,0.008827186742626395,0.05017842715273917,2021-05-06
280,0.007696814160598418,0.040655911483100673,2021-05-07
281,0.019010662993122353,0.06405874852077371,2021-05-10
282,0.040700682310382645,0.08444844923192006,2021-05-11
283,0.04109940529975998,0.08610341530244409,2021-05-12
284,0.008763928875077247,0.03975009459171875,2021-05-13
285,0.03356390746532644,0.07766075101203149,2021-05-14
286,0.013959757175040326,0.050232081409867055,2021-05-17
287,0.03631199518083623,0.07734026369112744,2021-05-18
288,0.01410634337152708,0.06875393460026999,2021-05-19
289,0.18568583236013367,0.2625663625398324,2021-05-20
290,0.2088486595182375,0.2746453133087773,2021-05-21
291,0.03738959649253386,0.10376507645959977,2021-05-24
292,0.007192326925322378,0.03672614363983734,2021-05-25
293,0.019614691505426086,0.07924830912294137,2021-05-26
294,0.018518429361804027,0.07472913888806748,2021-05-27
295,0.01514245146025118,0.061725775975566555,2021-05-28
296,0.005867900703695184,0.03912101771380823,2021-06-01
297,0.00955860676799387,0.04793744664068948,2021-06-02
298,0.0359728919363279,0.09933426594965215,2021-06-03
299,0.01977672394558248,0.07220457491909736,2021-06-04
300,0.006833425419583266,0.038228182395056286,2021-06-07
301,0.00696587749340835,0.04353763627100396,2021-06-08
302,0.05007127748680175,0.12381696164799967,2021-06-09
303,0.01986376388270032,0.08254367123661006,2021-06-10
304,0.020190145453593107,0.07729249790138065,2021-06-11
305,0.011518372080044912,0.04304665933060658,2021-06-14
306,0.008125111612578374,0.039402398018894114,2021-06-15
307,0.02629232545126738,0.09188326070747344,2021-06-16
308,0.05124067176645318,0.11633943634263018,2021-06-17
309,0.02054441979949842,0.08251001069935911,2021-06-18
310,0.022318069870297896,0.08531192869058284,2021-06-21
311,0.11023400261541809,0.2022197220805241,2021-06-22
312,0.0038355051250092242,0.03037351837756387,2021-06-23
313,0.12278483660628287,0.16487003986153156,2021-06-24
314,0.009844202237268684,0.05346008353365014,2021-06-25
315,0.00402625233428868,0.03183881469536711,2021-06-28
316,0.004686586154549843,0.034536723407517435,2021-06-29
317,0.010110339653001895,0.05378341389495226,2021-06-30
318,0.015508679021549518,0.057589872985468714,2021-07-01
