timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.022741563618183136,3.4379666,0.114426866,2020-04-22
1,0.044719189405441284,3.1066763,0.20701714,2020-04-23
2,0.016471045091748238,3.6585286,0.059544712,2020-04-24
3,0.11281328648328781,3.8963501,0.4483379,2020-04-27
4,0.049321822822093964,3.8469021,0.22313477,2020-04-28
5,0.06011968106031418,3.7924652,0.23939592,2020-04-29
6,0.03553316742181778,3.6314945,0.16435501,2020-04-30
7,0.03509950265288353,3.5122712,0.17278811,2020-05-01
8,0.03328542783856392,3.6555314,0.15422381,2020-05-04
9,0.044967666268348694,3.7297614,0.23537825,2020-05-05
10,0.047048717737197876,3.6931312,0.20592728,2020-05-06
11,0.044365838170051575,3.7513123,0.22170018,2020-05-07
12,0.09170090407133102,3.881187,0.396034,2020-05-08
13,0.0752783715724945,3.779871,0.32361084,2020-05-11
14,0.04694962501525879,3.6929512,0.24827404,2020-05-12
15,0.04770543798804283,3.515797,0.24913917,2020-05-13
16,0.027521971613168716,3.6273797,0.13583744,2020-05-14
17,0.028117666020989418,3.602276,0.12403542,2020-05-15
18,0.04711587727069855,3.2339365,0.19792101,2020-05-18
19,0.03023454360663891,3.7025795,0.14269745,2020-05-19
20,0.044038787484169006,3.3834212,0.20414263,2020-05-20
21,0.028843794018030167,3.5588582,0.119640335,2020-05-21
22,0.06117076426744461,3.9014149,0.292132,2020-05-22
23,0.0480492077767849,3.8090632,0.19485176,2020-05-26
24,0.04652920737862587,3.3986335,0.18725713,2020-05-27
25,0.04234609007835388,3.5464697,0.17817609,2020-05-28
26,0.05782302841544151,3.8317187,0.26127943,2020-05-29
27,0.0472000315785408,3.8747807,0.24130589,2020-06-01
28,0.029048727825284004,3.593236,0.12684871,2020-06-02
29,0.07338270545005798,3.8921018,0.3086329,2020-06-03
30,0.03937143087387085,3.6885853,0.16473334,2020-06-04
31,0.0693545937538147,3.7790334,0.29867965,2020-06-05
32,0.06443993747234344,3.4675918,0.26527074,2020-06-08
33,0.07513193041086197,3.8597283,0.32214144,2020-06-09
34,0.02938121184706688,3.5408618,0.14305565,2020-06-10
35,0.017657117918133736,2.9027555,0.08019149,2020-06-11
36,0.02230536751449108,3.3652208,0.0957555,2020-06-12
37,0.015510888770222664,3.5770023,0.051532757,2020-06-15
38,0.05665970221161842,3.8277402,0.25538212,2020-06-16
39,0.06670152395963669,3.636202,0.30396968,2020-06-17
40,0.025957738980650902,3.6459756,0.13092731,2020-06-18
41,0.018334124237298965,3.6015697,0.07016213,2020-06-19
42,0.05870763957500458,3.8618975,0.28978172,2020-06-22
43,0.07045172154903412,3.974414,0.3357157,2020-06-23
44,0.0533597506582737,3.3845594,0.2518437,2020-06-24
45,0.07235750555992126,3.858478,0.32473877,2020-06-25
46,0.040432158857584,3.699427,0.21203116,2020-06-26
47,0.05003964155912399,3.7336128,0.2512484,2020-06-29
48,0.030783936381340027,3.6327002,0.14949629,2020-06-30
49,0.06458499282598495,3.9748979,0.30916286,2020-07-01
50,0.053507983684539795,3.8485057,0.2405892,2020-07-02
51,0.06398113071918488,3.7568688,0.30835783,2020-07-06
52,0.07695190608501434,3.9474633,0.35066983,2020-07-07
53,0.06412353366613388,3.901036,0.301187,2020-07-08
54,0.04623747989535332,3.8408766,0.25380924,2020-07-09
55,0.04250191152095795,3.7669752,0.20581135,2020-07-10
56,0.024568716064095497,3.7917426,0.11917482,2020-07-13
57,0.07725799828767776,3.9733882,0.33720466,2020-07-14
58,0.062269601970911026,3.8244402,0.27269563,2020-07-15
59,0.0649939700961113,3.8609827,0.30101064,2020-07-16
60,0.05350324884057045,3.8467214,0.24833773,2020-07-17
61,0.06552086025476456,3.9374473,0.33017126,2020-07-20
62,0.0398341603577137,3.7917752,0.1999006,2020-07-21
63,0.06457135081291199,3.7892873,0.28980565,2020-07-22
64,0.08083894103765488,3.8876474,0.36040673,2020-07-23
65,0.04835917800664902,3.8693767,0.25625527,2020-07-24
66,0.08136240392923355,3.9801686,0.38501492,2020-07-27
67,0.04796694964170456,3.8778155,0.23894684,2020-07-28
68,0.06775033473968506,3.8888614,0.3105724,2020-07-29
69,0.08508098125457764,3.9408858,0.37692046,2020-07-30
70,0.05621390417218208,3.9125152,0.27210122,2020-07-31
71,0.07059449702501297,3.9655154,0.35362116,2020-08-03
72,0.07018539309501648,3.978801,0.33184472,2020-08-04
73,0.06287001073360443,3.9703486,0.3037457,2020-08-05
74,0.07205051183700562,3.9755592,0.351372,2020-08-06
75,0.06439826637506485,3.9390666,0.30813047,2020-08-07
76,0.08478513360023499,3.9831054,0.37469903,2020-08-10
77,0.08075083047151566,3.9055004,0.3551983,2020-08-11
78,0.06502382457256317,3.9634588,0.29912004,2020-08-12
79,0.08230064064264297,3.9553902,0.38262373,2020-08-13
80,0.07245873659849167,3.9801698,0.34286255,2020-08-14
81,0.06434009969234467,3.9635868,0.3311565,2020-08-17
82,0.06548433005809784,3.9797244,0.32212043,2020-08-18
83,0.06463704258203506,3.787467,0.32572135,2020-08-19
84,0.06601577997207642,3.9731698,0.34119448,2020-08-20
85,0.07613615691661835,3.9641893,0.37225372,2020-08-21
86,0.061787199229002,3.899335,0.29126722,2020-08-24
87,0.0697091817855835,3.9583352,0.32533333,2020-08-25
88,0.07290469855070114,3.9815671,0.33725545,2020-08-26
89,0.07588899880647659,3.905179,0.34521714,2020-08-27
90,0.06223031133413315,3.9721413,0.3019959,2020-08-28
91,0.056355856359004974,3.8336675,0.26053178,2020-08-31
92,0.06605294346809387,3.9809651,0.32430416,2020-09-01
93,0.06369934231042862,3.9304013,0.3124572,2020-09-02
94,0.05867793411016464,3.7489398,0.26417246,2020-09-03
95,0.06240447610616684,3.961822,0.28657675,2020-09-04
96,0.060943666845560074,3.6361318,0.3080271,2020-09-08
97,0.06669808179140091,3.9063191,0.32246917,2020-09-09
98,0.05583496019244194,3.616764,0.2789069,2020-09-10
99,0.06273957341909409,3.979879,0.3029904,2020-09-11
100,0.07258451730012894,3.9467807,0.33286232,2020-09-14
101,0.07161860913038254,3.9618888,0.34335992,2020-09-15
102,0.05170273035764694,3.8492258,0.25118306,2020-09-16
103,0.06414814293384552,3.972585,0.3212506,2020-09-17
104,0.0643974095582962,3.8178713,0.31101203,2020-09-18
105,0.060608260333538055,3.851144,0.30859342,2020-09-21
106,0.058881137520074844,3.79482,0.31392452,2020-09-22
107,0.0482996329665184,3.4696887,0.24548487,2020-09-23
108,0.059560876339673996,3.8641558,0.3026989,2020-09-24
109,0.06290134787559509,3.9340198,0.30733526,2020-09-25
110,0.07327556610107422,3.7638597,0.3258908,2020-09-28
111,0.06869671493768692,3.9603698,0.32507917,2020-09-29
112,0.058170948177576065,3.861201,0.28575486,2020-09-30
113,0.07131697237491608,3.964351,0.33573595,2020-10-01
114,0.07356703281402588,3.8211782,0.3205937,2020-10-02
115,0.07609241455793381,3.9558697,0.3440587,2020-10-05
116,0.06288813054561615,3.6842659,0.28785977,2020-10-06
117,0.06107128784060478,3.9306583,0.29493314,2020-10-07
118,0.0816912055015564,3.9272115,0.36290973,2020-10-08
119,0.0715445950627327,3.9320185,0.32534862,2020-10-09
120,0.077564537525177,3.979396,0.3391817,2020-10-12
121,0.06857894361019135,3.974421,0.3355634,2020-10-13
122,0.055980801582336426,3.9715843,0.28390303,2020-10-14
123,0.05416746810078621,3.836567,0.26921263,2020-10-15
124,0.05089280381798744,3.856959,0.25280333,2020-10-16
125,0.06338544189929962,3.9380414,0.30469072,2020-10-19
