timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.01852237991988659,3.7059069,0.06020012,2020-03-27
1,0.01696075312793255,3.798708,0.054816037,2020-03-30
2,0.0166058037430048,3.81498,0.053827137,2020-03-31
3,0.023289263248443604,3.653588,0.07359178,2020-04-01
4,0.022462494671344757,3.7257624,0.072864756,2020-04-02
5,0.022004853934049606,3.7635121,0.072511464,2020-04-03
6,0.02164074406027794,3.7887187,0.07243705,2020-04-06
7,0.021305928006768227,3.7984352,0.071406655,2020-04-07
8,0.020685449242591858,3.833316,0.07207109,2020-04-08
9,0.01994825340807438,3.8670971,0.07159226,2020-04-09
10,0.019271349534392357,3.8899503,0.07041183,2020-04-13
11,0.018559571355581284,3.9221761,0.07036278,2020-04-14
12,0.018978703767061234,3.9012299,0.06994424,2020-04-15
13,0.01876354031264782,3.9098077,0.06975122,2020-04-16
14,0.018384262919425964,3.9269474,0.06977703,2020-04-17
15,0.01623108610510826,3.9701602,0.06383345,2020-04-20
16,0.019064802676439285,3.8912945,0.06875656,2020-04-21
17,0.018761225044727325,3.9069805,0.06926917,2020-04-22
18,0.018656050786376,3.910988,0.06918232,2020-04-23
19,0.018147090449929237,3.9432125,0.07042051,2020-04-24
20,0.017915062606334686,3.9629855,0.07136097,2020-04-27
21,0.01793546974658966,3.9607832,0.0712435,2020-04-28
22,0.018130067735910416,3.9688427,0.07286948,2020-04-29
23,0.01816495694220066,3.950555,0.071232066,2020-04-30
24,0.013762170448899269,3.953861,0.04825117,2020-05-01
25,0.013844447210431099,3.9572997,0.04867482,2020-05-04
26,0.014124234206974506,3.9642093,0.049685393,2020-05-05
27,0.01401230227202177,3.962435,0.049402967,2020-05-06
28,0.01435187365859747,3.9711454,0.050784156,2020-05-07
29,0.014984887093305588,3.9818661,0.054470696,2020-05-08
30,0.01499983761459589,3.9824862,0.05472764,2020-05-11
31,0.014180381782352924,3.9615045,0.049749378,2020-05-12
32,0.014031089842319489,3.950539,0.048706636,2020-05-13
33,0.014292620122432709,3.961082,0.049914822,2020-05-14
34,0.014423461630940437,3.9627535,0.050285894,2020-05-15
35,0.01489188987761736,3.97343,0.05258394,2020-05-18
36,0.014731913805007935,3.9712842,0.051832236,2020-05-19
37,0.01541912741959095,3.9819443,0.05541624,2020-05-20
38,0.015121916308999062,3.9781053,0.053581357,2020-05-21
39,0.015468509867787361,3.983107,0.055652317,2020-05-22
40,0.015601875260472298,3.9845371,0.05619449,2020-05-26
41,0.015714384615421295,3.9873044,0.057080396,2020-05-27
42,0.015446363016963005,3.9844804,0.055553116,2020-05-28
43,0.015903301537036896,3.9874825,0.05757966,2020-05-29
44,0.01562010683119297,3.984818,0.056160547,2020-06-01
45,0.016174910590052605,3.9891694,0.058740593,2020-06-02
46,0.016749480739235878,3.9943638,0.061505355,2020-06-03
47,0.016736341640353203,3.9949286,0.061470505,2020-06-04
48,0.017786197364330292,3.999822,0.06572945,2020-06-05
49,0.017247486859560013,3.998426,0.0635338,2020-06-08
50,0.016532890498638153,3.994443,0.060085356,2020-06-09
51,0.016445951536297798,3.9924552,0.0594972,2020-06-10
52,0.013829352334141731,3.9383154,0.04668826,2020-06-11
53,0.014136390760540962,3.9608004,0.04921647,2020-06-12
54,0.014400600455701351,3.966487,0.050470497,2020-06-15
55,0.014580179005861282,3.9704423,0.051345084,2020-06-16
56,0.014623655006289482,3.9722764,0.05164339,2020-06-17
57,0.014786197803914547,3.9738984,0.05225452,2020-06-18
58,0.01438095048069954,3.9639266,0.05017264,2020-06-19
59,0.015121717005968094,3.97752,0.05356404,2020-06-22
60,0.015199926681816578,3.9789753,0.053939626,2020-06-23
