timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.004870577249675989,3.859449,0.024334267,2020-03-27
1,0.00233289017342031,3.8988924,0.011031977,2020-03-30
2,0.007068918086588383,3.7374783,0.027379263,2020-03-31
3,0.003391851903870702,3.8722208,0.0127926115,2020-04-01
4,0.007134490646421909,3.7464957,0.028896717,2020-04-02
5,0.005899625830352306,3.8174896,0.027889479,2020-04-03
6,0.0040094852447509766,3.8796182,0.016073339,2020-04-06
7,0.007390229031443596,3.5036032,0.034027252,2020-04-07
8,0.004961647558957338,3.8298013,0.024634006,2020-04-08
9,0.005840457510203123,3.8456383,0.023343442,2020-04-09
10,0.0057861050590872765,3.7710268,0.027945803,2020-04-13
11,0.007454073987901211,3.6304772,0.031318203,2020-04-14
12,0.007717255037277937,3.6318595,0.030046897,2020-04-15
13,0.00417660316452384,3.8542566,0.017333787,2020-04-16
14,0.006890447344630957,3.7110395,0.027414737,2020-04-17
15,0.0032513763289898634,3.8808305,0.01609692,2020-04-20
16,0.0023248062934726477,3.898841,0.009891503,2020-04-21
17,0.004190934356302023,3.8736007,0.018543972,2020-04-22
18,0.006104938220232725,3.7642057,0.02667049,2020-04-23
19,0.002593844896182418,3.8886125,0.009722256,2020-04-24
20,0.002257381798699498,3.890762,0.010666541,2020-04-27
21,0.00309728248976171,3.9053278,0.014938113,2020-04-28
22,0.011530064046382904,3.9551673,0.05266023,2020-04-29
23,0.010020815767347813,3.942986,0.047218546,2020-04-30
24,0.0031189611181616783,3.8856878,0.0114031825,2020-05-01
25,0.003079149406403303,3.88254,0.011688965,2020-05-04
26,0.010068223811686039,3.9242659,0.039282847,2020-05-05
27,0.0035930448211729527,3.8600545,0.014263907,2020-05-06
28,0.018039187416434288,3.9756303,0.08147631,2020-05-07
29,0.0041956291534006596,3.9086647,0.021462446,2020-05-08
30,0.0037070962134748697,3.8948362,0.017471517,2020-05-11
31,0.006263624876737595,3.9149225,0.023879323,2020-05-12
32,0.0031762595754116774,3.885361,0.0120465765,2020-05-13
33,0.00447674049064517,3.8704338,0.01743704,2020-05-14
34,0.007311583496630192,3.915347,0.032146,2020-05-15
35,0.0023024638649076223,3.8937714,0.010744674,2020-05-18
36,0.0032166969031095505,3.8950608,0.015882002,2020-05-19
37,0.0022900551557540894,3.9077754,0.010425983,2020-05-20
38,0.021493002772331238,3.9971485,0.091585204,2020-05-21
39,0.02637694589793682,4.002531,0.11685761,2020-05-22
40,0.002889523981139064,3.8890526,0.01151367,2020-05-26
41,0.0032208412885665894,3.8854861,0.016200319,2020-05-27
42,0.003541085170581937,3.8835554,0.017915206,2020-05-28
43,0.0025595484767109156,3.891749,0.010586866,2020-05-29
44,0.011373923160135746,3.9346771,0.045959543,2020-06-01
45,0.0033517242409288883,3.8895686,0.012689872,2020-06-02
46,0.004047155845910311,3.9070191,0.015449847,2020-06-03
