timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.015164591372013092,3.8319767,0.07564284,2020-03-27
1,0.009891997091472149,3.7822137,0.04679893,2020-03-30
2,0.009715402498841286,3.720227,0.044861108,2020-03-31
3,0.02424066700041294,3.8342896,0.12353284,2020-04-01
4,0.011595623567700386,3.7363377,0.055999376,2020-04-02
5,0.012224987149238586,3.7601442,0.048074517,2020-04-03
6,0.038421183824539185,3.904364,0.19031763,2020-04-06
7,0.009423889219760895,3.6337988,0.037434362,2020-04-07
8,0.008518058806657791,3.758411,0.038247116,2020-04-08
9,0.054919496178627014,3.9749331,0.24705285,2020-04-09
10,0.014615673571825027,3.820921,0.06991793,2020-04-13
11,0.008296818472445011,3.6538556,0.03654103,2020-04-14
12,0.013974442146718502,3.757912,0.06294122,2020-04-15
13,0.009321940131485462,3.69748,0.043953598,2020-04-16
14,0.010322813875973225,3.7028058,0.046148278,2020-04-17
15,0.011413720436394215,3.7810204,0.048004434,2020-04-20
16,0.01929093711078167,3.8515,0.10530956,2020-04-21
17,0.01150842010974884,3.7560995,0.051870346,2020-04-22
18,0.011142568662762642,3.7798095,0.052805267,2020-04-23
19,0.014286109246313572,3.7916036,0.072631314,2020-04-24
20,0.061405591666698456,3.996913,0.2776821,2020-04-27
21,0.05962343513965607,3.991871,0.2629439,2020-04-28
22,0.05986170843243599,3.9940524,0.28506833,2020-04-29
23,0.0532614141702652,3.9734247,0.23966439,2020-04-30
24,0.017522379755973816,3.8105202,0.09438948,2020-05-01
25,0.0146317258477211,3.7769032,0.0711028,2020-05-04
26,0.04363875463604927,3.912238,0.19952247,2020-05-05
27,0.009820234030485153,3.7347498,0.047120873,2020-05-06
28,0.04836234822869301,3.9487762,0.22153473,2020-05-07
29,0.056303735822439194,3.9787562,0.24480549,2020-05-08
30,0.04375464469194412,3.9477646,0.19920363,2020-05-11
31,0.03714313358068466,3.9078233,0.19181658,2020-05-12
32,0.02228703536093235,3.8368347,0.10430042,2020-05-13
33,0.01142346952110529,3.7355924,0.0529244,2020-05-14
34,0.035079993307590485,3.8877125,0.15084301,2020-05-15
35,0.01150462869554758,3.7942214,0.05704976,2020-05-18
36,0.015996254980564117,3.823566,0.06891117,2020-05-19
37,0.013409683480858803,3.8159003,0.06931225,2020-05-20
38,0.03963012620806694,3.91591,0.17213865,2020-05-21
39,0.05719432234764099,3.9909956,0.26921275,2020-05-22
40,0.0278798658400774,3.873119,0.14403321,2020-05-26
41,0.009286141023039818,3.7676258,0.042209424,2020-05-27
42,0.01384599506855011,3.8216891,0.07381302,2020-05-28
43,0.03353853151202202,3.9037843,0.17643161,2020-05-29
44,0.044412482529878616,3.9173255,0.20478508,2020-06-01
45,0.01582244783639908,3.7954834,0.074911,2020-06-02
46,0.05062296986579895,3.951148,0.25452152,2020-06-03
47,0.02483612298965454,3.8692017,0.107455894,2020-06-04
48,0.027558667585253716,3.8954353,0.14229035,2020-06-05
49,0.054739806801080704,3.9835758,0.25460917,2020-06-08
50,0.054810941219329834,3.9879098,0.25195515,2020-06-09
51,0.02082338184118271,3.8244865,0.109981105,2020-06-10
52,0.015283827669918537,3.7822177,0.075402744,2020-06-11
53,0.008715640753507614,3.6408494,0.038205255,2020-06-12
54,0.013708127662539482,3.787677,0.061905324,2020-06-15
55,0.060778938233852386,3.994127,0.27844176,2020-06-16
56,0.021595744416117668,3.859014,0.09932949,2020-06-17
57,0.014528155326843262,3.8130546,0.0701632,2020-06-18
58,0.007732975762337446,3.760495,0.03801921,2020-06-19
59,0.05938705429434776,3.9813192,0.27133173,2020-06-22
60,0.06400272250175476,3.9922504,0.29956168,2020-06-23
61,0.018295617774128914,3.8319163,0.089077055,2020-06-24
62,0.03585303574800491,3.902334,0.18767197,2020-06-25
63,0.038507699966430664,3.9082682,0.16805217,2020-06-26
64,0.057070598006248474,3.9742937,0.27756193,2020-06-29
65,0.05461423844099045,3.9679327,0.24181628,2020-06-30
66,0.059959009289741516,3.9907162,0.26806158,2020-07-01
67,0.04043670371174812,3.9239419,0.20899247,2020-07-02
68,0.04981475695967674,3.9562712,0.2272369,2020-07-06
69,0.06227561831474304,3.996717,0.28366107,2020-07-07
70,0.05956839770078659,3.9856765,0.28860915,2020-07-08
71,0.06313477456569672,3.9869328,0.26562664,2020-07-09
72,0.04423641040921211,3.9238293,0.21701378,2020-07-10
73,0.019577428698539734,3.8234632,0.08344069,2020-07-13
