timestep,ck_kl,ck_tv,date
0,0.10962316576587144,0.1923691348565428,2020-03-27
1,0.06810951683759374,0.1518151172245326,2020-03-30
2,0.11257901450251298,0.1904040945257716,2020-03-31
3,0.14411146013240697,0.21109873913883978,2020-04-01
4,0.10659935833681937,0.18619954893929752,2020-04-02
5,0.1348381529953976,0.21863077133390338,2020-04-03
6,0.10872150255161343,0.19816877162259677,2020-04-06
7,0.11978127177903745,0.20388382073564434,2020-04-07
8,0.07322939535191905,0.16102344772217944,2020-04-08
9,0.08891624214910557,0.17432819296755608,2020-04-09
10,0.1576023311930345,0.22330968160964715,2020-04-13
11,0.10255275536365477,0.18763340061027137,2020-04-14
12,0.25319125382572794,0.28631164927034336,2020-04-15
13,0.30285618010244475,0.33290316607749537,2020-04-16
14,0.09560420628219737,0.18146483702423316,2020-04-17
15,0.10708939385113976,0.19386426575345045,2020-04-20
16,0.08770299555968299,0.16674055182068626,2020-04-21
17,0.09117070113088724,0.17798797954995846,2020-04-22
18,0.10122447520371423,0.18786787111384268,2020-04-23
19,0.0351380912931783,0.09637684643046986,2020-04-24
20,0.37402835961330105,0.37345724513267575,2020-04-27
21,0.17539193128647462,0.26158252155389317,2020-04-28
22,0.2205786140188468,0.29567698517659646,2020-04-29
23,0.051196360583069034,0.13451069410811842,2020-04-30
24,0.09442591513570016,0.1731096667573522,2020-05-01
25,0.19443897344106156,0.26836105772863894,2020-05-04
26,0.23116772548541115,0.2929964133715844,2020-05-05
27,0.09858243774611966,0.1880948666611343,2020-05-06
28,0.043755212542770774,0.12925613384707413,2020-05-07
29,0.21064026711904005,0.2885137237103078,2020-05-08
30,0.02860284389220374,0.09423365962829643,2020-05-11
31,0.10897545881218788,0.19311432408534937,2020-05-12
32,0.29827908845145906,0.3317018699620153,2020-05-13
33,0.2857681637827555,0.31889388309995376,2020-05-14
34,0.270936327232538,0.32109815680526366,2020-05-15
35,0.056019081631294654,0.1446241120914485,2020-05-18
36,0.12763108083649877,0.21785549237264945,2020-05-19
37,0.21546634854266042,0.28681198456363083,2020-05-20
38,0.27782542633221124,0.32567679410684663,2020-05-21
39,0.04612254775643008,0.13297656180706277,2020-05-22
40,0.0375373393270117,0.10350140696266642,2020-05-26
41,0.24561106340548833,0.30738388820182133,2020-05-27
42,0.15364936104798463,0.2360046033155952,2020-05-28
43,0.21394864524087154,0.2895659412569749,2020-05-29
44,0.09176363883060401,0.18772110762499927,2020-06-01
45,0.11564949388725014,0.20734230754380933,2020-06-02
46,0.026362867881604062,0.09724574988277221,2020-06-03
47,0.08164675021679195,0.17873026391468885,2020-06-04
48,0.17663702700762351,0.26575728041982544,2020-06-05
49,0.08305360725072111,0.17999164824772196,2020-06-08
50,0.05868231170905425,0.14807213676146924,2020-06-09
51,0.04479328196960474,0.12548631884256517,2020-06-10
52,0.12069877561447367,0.1982587330705794,2020-06-11
53,0.09291986675855125,0.17665369590665367,2020-06-12
54,0.040300240479444346,0.11348910463665428,2020-06-15
55,0.09477126587951258,0.1921915415448815,2020-06-16
56,0.03616121532272088,0.10947808316361445,2020-06-17
57,0.06461956589785799,0.14791810096949376,2020-06-18
