model,h,N,seed,nll_train,nll_val,nll_test,delta_marginal
state_cond,1,4,42,1.3637090921401978,1.3550450801849363,1.4047430753707886,0.018448714250898
state_cond,1,4,7,1.3678061962127686,1.35735285282135,1.4115266799926758,0.0252323188727852
state_cond,1,4,123,1.3639543056488037,1.3561184406280518,1.4055509567260742,0.0192565956061836
state_free,1,4,42,1.365148425102234,1.356537699699402,1.4049400091171265,0.0186456479972358
state_free,1,4,7,1.3716596364974976,1.358442306518555,1.4097845554351809,0.02349019431529
state_free,1,4,123,1.3608156442642212,1.352649807929993,1.4059616327285769,0.019667271608686
state_cond,5,4,42,1.3476943969726562,1.3602927923202517,1.40872323513031,0.0224288740104194
state_cond,5,4,7,1.3671704530715942,1.364885687828064,1.4071285724639893,0.0208342113440986
state_cond,5,4,123,1.347692370414734,1.3610060214996338,1.4059640169143677,0.0196696557944771
state_free,5,4,42,1.3705229759216309,1.3665082454681396,1.4121015071868896,0.025807146066999
state_free,5,4,7,1.37096905708313,1.3637351989746094,1.411084771156311,0.0247904100364204
state_free,5,4,123,1.334901213645935,1.3582372665405271,1.407986760139465,0.0216923990195747
state_cond,10,4,42,1.3888051509857178,1.3921161890029907,1.4222733974456787,0.0359790363257881
state_cond,10,4,7,1.356451392173767,1.3891440629959106,1.4155075550079346,0.0292131938880439
state_cond,10,4,123,1.3771693706512451,1.3905593156814575,1.4224380254745483,0.0361436643546577
state_free,10,4,42,1.39008629322052,1.3948724269866943,1.431692600250244,0.0453982391303535
state_free,10,4,7,1.378440499305725,1.389575481414795,1.420230746269226,0.0339363851493355
state_free,10,4,123,1.3874008655548096,1.3928439617156982,1.427830457687378,0.0415360965674873
state_cond,21,4,42,1.3893173933029177,1.4000142812728882,1.416669487953186,0.0303751268332954
state_cond,21,4,7,1.3800251483917236,1.3987401723861694,1.4131730794906616,0.026878718370771
state_cond,21,4,123,1.3780750036239624,1.397680401802063,1.4111183881759644,0.0248240270560737
state_free,21,4,42,1.3886244297027588,1.4009177684783936,1.42171311378479,0.0354187526648994
state_free,21,4,7,1.3789199590682983,1.395751953125,1.409887671470642,0.0235933103507515
state_free,21,4,123,1.3900898694992063,1.401950478553772,1.4222824573516846,0.035988096231794
