timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.0009477981366217136,2.299568,0.0034804791,2020-03-27
1,0.0015889640199020505,2.2876084,0.005963642,2020-03-30
2,0.0007793055847287178,2.2993646,0.0026924945,2020-03-31
3,0.0010603716364130378,2.2957413,0.004282061,2020-04-01
4,0.0011239306768402457,2.2945213,0.004301049,2020-04-02
5,0.0009042876190505922,2.301016,0.0034987032,2020-04-03
6,0.0012120839674025774,2.2979934,0.0049874075,2020-04-06
7,0.0010117061901837587,2.2982533,0.0042682067,2020-04-07
8,0.0015573811251670122,2.278261,0.0053528063,2020-04-08
9,0.0007016721647232771,2.3017297,0.0030170642,2020-04-09
10,0.0011354784946888685,2.2936366,0.003941104,2020-04-13
11,0.0012020121794193983,2.2813282,0.0050051995,2020-04-14
12,0.0011483478592708707,2.2866304,0.0046326295,2020-04-15
13,0.0009641938959248364,2.2975845,0.0035564452,2020-04-16
14,0.0009516180725768209,2.2999496,0.004756443,2020-04-17
15,0.0008074714569374919,2.3012912,0.003114611,2020-04-20
16,0.0011606212938204408,2.2965877,0.004393652,2020-04-21
17,0.001234030001796782,2.2913096,0.004821889,2020-04-22
18,0.0013998469803482294,2.2849345,0.005556397,2020-04-23
19,0.0007330884109251201,2.3016741,0.0025563724,2020-04-24
20,0.0011955497320741415,2.2975698,0.0050549246,2020-04-27
21,0.0008248697849921882,2.3015883,0.0029901527,2020-04-28
22,0.0008537807152606547,2.3015742,0.0028906167,2020-04-29
23,0.0007307796040549874,2.3017642,0.002873093,2020-04-30
24,0.0010733084054663777,2.2969494,0.0047303624,2020-05-01
25,0.0008372746524401009,2.3011427,0.0029298812,2020-05-04
26,0.0007003855425864458,2.3018665,0.0026910305,2020-05-05
27,0.0008677815203554928,2.3001404,0.003578294,2020-05-06
28,0.000917624041903764,2.3015091,0.0038547553,2020-05-07
29,0.0009070993401110172,2.3015366,0.003654752,2020-05-08
30,0.0008195369737222791,2.3016598,0.0030268654,2020-05-11
31,0.0009728370932862163,2.3002264,0.0036858134,2020-05-12
32,0.0008543232106603682,2.3005817,0.003353402,2020-05-13
33,0.0009568886598572135,2.2999005,0.0049016103,2020-05-14
34,0.000541280722245574,2.3017285,0.0020479746,2020-05-15
35,0.0013921071076765656,2.293148,0.006124709,2020-05-18
36,0.0005971063510514796,2.3018606,0.0023580492,2020-05-19
37,0.001357617205940187,2.296615,0.004913565,2020-05-20
38,0.000399265467422083,2.3015742,0.0017106868,2020-05-21
39,0.0007540591759607196,2.3018456,0.0028558783,2020-05-22
40,0.0006637853221036494,2.301894,0.0026789717,2020-05-26
41,0.0009139521862380207,2.3010802,0.003255751,2020-05-27
42,0.000730761035811156,2.3014963,0.0037027001,2020-05-28
43,0.001084528979845345,2.300234,0.0038275681,2020-05-29
44,0.0007625381695106626,2.3017714,0.0037237182,2020-06-01
45,0.0006254114559851587,2.3018343,0.0026421584,2020-06-02
46,0.0005450203898362815,2.301788,0.0023316294,2020-06-03
47,0.0006919095176272094,2.301889,0.0022910312,2020-06-04
48,0.0008005736162886024,2.3016446,0.0027267113,2020-06-05
49,0.0006459983997046947,2.301863,0.0026215017,2020-06-08
50,0.0006797706009820104,2.3018441,0.002671782,2020-06-09
51,0.0008873774204403162,2.3009064,0.0036491752,2020-06-10
52,0.000975753297097981,2.2976599,0.0037248805,2020-06-11
53,0.0010949611896649003,2.2930868,0.005684413,2020-06-12
54,0.0006279096705839038,2.3018315,0.0024924502,2020-06-15
55,0.0007634846842847764,2.3018525,0.0024659485,2020-06-16
56,0.001052694278769195,2.300123,0.0037739612,2020-06-17
57,0.0012717540375888348,2.2962089,0.0049066767,2020-06-18
58,0.000537535292096436,2.3018572,0.0019980967,2020-06-19
59,0.00048251901171170175,2.3016732,0.0020479485,2020-06-22
60,0.00044670907664112747,2.301665,0.0018720515,2020-06-23
61,0.0008818635251373053,2.3011847,0.0031366497,2020-06-24
62,0.0009732111357152462,2.3004746,0.0043603405,2020-06-25
63,0.000515621853992343,2.301816,0.0018231757,2020-06-26
64,0.0009853540686890483,2.300914,0.0047397837,2020-06-29
65,0.0005168110365048051,2.3018525,0.0019968972,2020-06-30
66,0.0007358833681792021,2.3018606,0.0026982203,2020-07-01
67,0.0006960748578421772,2.3018007,0.0025977828,2020-07-02
68,0.0008437480428256094,2.301697,0.0038221963,2020-07-06
69,0.0004994992632418871,2.3017588,0.0018829145,2020-07-07
70,0.0007109130383469164,2.3018196,0.0028698035,2020-07-08
71,0.0005855676135979593,2.3018308,0.0021172166,2020-07-09
72,0.0008116605458781123,2.3016405,0.0039076544,2020-07-10
73,0.0007259379490278661,2.3017476,0.0029487647,2020-07-13
74,0.0009461623849347234,2.3014224,0.003729675,2020-07-14
75,0.0006269646692089736,2.3018525,0.0028187595,2020-07-15
76,0.000609790557064116,2.301827,0.002308134,2020-07-16
77,0.0006433572270907462,2.301826,0.0028502531,2020-07-17
78,0.000599762424826622,2.3018463,0.0028115325,2020-07-20
79,0.0006015319377183914,2.3018692,0.0027008168,2020-07-21
80,0.00043203160748817027,2.3016198,0.0020106994,2020-07-22
81,0.0007051528664305806,2.301847,0.002827607,2020-07-23
82,0.0007092590094543993,2.3018622,0.003012415,2020-07-24
83,0.0006308938609436154,2.3018627,0.002290517,2020-07-27
84,0.0007121973321773112,2.3018556,0.0033480562,2020-07-28
85,0.0006066425121389329,2.3018434,0.0025608651,2020-07-29
86,0.0004478541959542781,2.3016346,0.0021287538,2020-07-30
87,0.0007657750975340605,2.3018363,0.003385406,2020-07-31
88,0.0005006807623431087,2.3016949,0.0019597486,2020-08-03
89,0.0005329557461664081,2.3017426,0.0020739362,2020-08-04
90,0.0005441188695840538,2.3017378,0.002712775,2020-08-05
91,0.0004964713589288294,2.3016279,0.0019801408,2020-08-06
92,0.0005885151331312954,2.3017952,0.002749268,2020-08-07
93,0.0005995925166644156,2.3018482,0.0023105033,2020-08-10
94,0.0005677478038705885,2.3017642,0.0020684823,2020-08-11
95,0.0004570991441141814,2.3016012,0.0018956847,2020-08-12
96,0.0005882959812879562,2.301792,0.0022148006,2020-08-13
97,0.0005111789796501398,2.301691,0.0025462657,2020-08-14
98,0.000517014239449054,2.3017287,0.0022762455,2020-08-17
99,0.0006181992357596755,2.301846,0.0027336888,2020-08-18
100,0.000612843781709671,2.3018615,0.00258407,2020-08-19
101,0.000477664201753214,2.3016446,0.0019989125,2020-08-20
102,0.0005011328030377626,2.3016748,0.0020956919,2020-08-21
103,0.000598843558691442,2.3017745,0.0025079995,2020-08-24
104,0.0004795726272277534,2.3016381,0.0020334162,2020-08-25
105,0.0005955857341177762,2.3017762,0.002254121,2020-08-26
106,0.0006668012938462198,2.3018622,0.0029995404,2020-08-27
107,0.00042943208245560527,2.3014834,0.0017129406,2020-08-28
108,0.0004556200292427093,2.3016436,0.002046436,2020-08-31
109,0.000605949608143419,2.301834,0.0026614033,2020-09-01
110,0.0005059103714302182,2.3016465,0.001925908,2020-09-02
111,0.0004126323910895735,2.3015945,0.0017070957,2020-09-03
112,0.0005766422837041318,2.3018217,0.0025133975,2020-09-04
113,0.000490764039568603,2.301777,0.0018913448,2020-09-08
