timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.0,3.531569,0.0,2020-04-13
1,0.0,3.5419123,0.0,2020-04-14
2,0.0,3.1207728,0.0,2020-04-15
3,0.0,3.6603582,0.0,2020-04-16
4,0.0,3.845905,0.0,2020-04-17
5,0.0,3.704298,0.0,2020-04-20
6,0.0,3.73773,0.0,2020-04-21
7,0.0,3.5337625,0.0,2020-04-22
8,0.0,3.6270196,0.0,2020-04-23
9,0.0,3.9481113,0.0,2020-04-24
10,0.0,3.9352384,0.0,2020-04-27
11,0.0,3.9422138,0.0,2020-04-28
12,0.0,4.0065007,0.0,2020-04-29
13,0.0,3.9525626,0.0,2020-04-30
14,0.0,3.7633803,0.0,2020-05-01
15,0.0,3.903487,0.0,2020-05-04
16,0.0,3.9236856,0.0,2020-05-05
17,0.0,3.8171237,0.0,2020-05-06
18,0.0,3.937893,0.0,2020-05-07
19,0.0,3.9378116,0.0,2020-05-08
20,0.0,3.9504237,0.0,2020-05-11
21,0.0,3.7489812,0.0,2020-05-12
22,0.0,3.6628175,0.0,2020-05-13
23,0.0,3.8599262,0.0,2020-05-14
24,0.0,3.9862547,0.0,2020-05-15
25,0.0,3.9229293,0.0,2020-05-18
26,0.0,3.8521757,0.0,2020-05-19
27,0.0,3.8856034,0.0,2020-05-20
28,0.0,4.00557,0.0,2020-05-21
29,0.0,4.005308,0.0,2020-05-22
30,0.0,4.0066423,0.0,2020-05-26
31,0.0,3.9734817,0.0,2020-05-27
32,0.0,3.9892642,0.0,2020-05-28
33,0.0,3.9204037,0.0,2020-05-29
34,0.0,3.991028,0.0,2020-06-01
35,0.0,3.986294,0.0,2020-06-02
36,0.0,4.0064254,0.0,2020-06-03
37,0.0,4.0048637,0.0,2020-06-04
38,0.0,4.0062523,0.0,2020-06-05
39,0.0,3.987883,0.0,2020-06-08
40,0.0,4.005173,0.0,2020-06-09
41,0.0,3.9072742,0.0,2020-06-10
42,0.0,3.4494493,0.0,2020-06-11
43,0.0,3.7445512,0.0,2020-06-12
44,0.0,3.9079483,0.0,2020-06-15
45,0.0,4.005434,0.0,2020-06-16
46,0.0,3.8548005,0.0,2020-06-17
47,0.0,3.653671,0.0,2020-06-18
48,0.0,3.9880831,0.0,2020-06-19
49,0.0,4.0066066,0.0,2020-06-22
50,0.0,4.0018144,0.0,2020-06-23
51,0.0,3.778137,0.0,2020-06-24
52,0.0,3.9176936,0.0,2020-06-25
53,0.0,3.768912,0.0,2020-06-26
54,0.0,3.9265273,0.0,2020-06-29
55,0.0,3.9825501,0.0,2020-06-30
56,0.0,3.9811976,0.0,2020-07-01
57,0.0,3.9831913,0.0,2020-07-02
58,0.0,3.878648,0.0,2020-07-06
59,0.0,3.9981894,0.0,2020-07-07
60,0.0,3.9843278,0.0,2020-07-08
61,0.0,3.9107516,0.0,2020-07-09
62,0.0,3.992281,0.0,2020-07-10
63,0.0,3.8601809,0.0,2020-07-13
64,0.0,3.9672122,0.0,2020-07-14
65,0.0,4.00655,0.0,2020-07-15
66,0.0,3.987627,0.0,2020-07-16
67,0.0,3.9960136,0.0,2020-07-17
68,0.0,4.0053096,0.0,2020-07-20
69,0.0,4.000455,0.0,2020-07-21
70,0.0,3.972699,0.0,2020-07-22
71,0.0,3.9960735,0.0,2020-07-23
72,0.0,3.9895134,0.0,2020-07-24
73,0.0,4.0063014,0.0,2020-07-27
74,0.0,3.9938085,0.0,2020-07-28
75,0.0,3.9952345,0.0,2020-07-29
76,0.0,4.00026,0.0,2020-07-30
77,0.0,4.0062304,0.0,2020-07-31
78,0.0,4.006358,0.0,2020-08-03
79,0.0,4.0028725,0.0,2020-08-04
80,0.0,3.9921012,0.0,2020-08-05
81,0.0,4.0054917,0.0,2020-08-06
82,0.0,3.9911652,0.0,2020-08-07
83,0.0,4.0044928,0.0,2020-08-10
84,0.0,3.9884522,0.0,2020-08-11
85,0.0,3.9776218,0.0,2020-08-12
86,0.0,4.004913,0.0,2020-08-13
87,0.0,3.992233,0.0,2020-08-14
88,0.0,4.0053816,0.0,2020-08-17
89,0.0,4.006637,0.0,2020-08-18
90,0.0,3.9926744,0.0,2020-08-19
91,0.0,4.002263,0.0,2020-08-20
92,0.0,4.003832,0.0,2020-08-21
93,0.0,4.0057344,0.0,2020-08-24
94,0.0,3.999735,0.0,2020-08-25
95,0.0,3.9973907,0.0,2020-08-26
96,0.0,4.0043244,0.0,2020-08-27
97,0.0,3.996913,0.0,2020-08-28
98,0.0,4.0027447,0.0,2020-08-31
99,0.0,4.0008407,0.0,2020-09-01
100,0.0,4.0038805,0.0,2020-09-02
101,0.0,4.000666,0.0,2020-09-03
102,0.0,3.9997926,0.0,2020-09-04
103,0.0,3.9455554,0.0,2020-09-08
104,0.0,4.0030384,0.0,2020-09-09
105,0.0,3.9823241,0.0,2020-09-10
106,0.0,4.006638,0.0,2020-09-11
107,0.0,3.9896686,0.0,2020-09-14
108,0.0,3.994641,0.0,2020-09-15
109,0.0,4.0053163,0.0,2020-09-16
110,0.0,4.001718,0.0,2020-09-17
111,0.0,4.005976,0.0,2020-09-18
112,0.0,3.9900348,0.0,2020-09-21
113,0.0,3.941968,0.0,2020-09-22
114,0.0,3.9028485,0.0,2020-09-23
115,0.0,3.973433,0.0,2020-09-24
116,0.0,4.005725,0.0,2020-09-25
117,0.0,4.0063567,0.0,2020-09-28
