timestep,ck_kl,ck_tv,date
0,0.03130994953163287,0.09681849936887865,2020-03-27
1,0.04549995025350822,0.12532112756948197,2020-03-30
2,0.03664901354667187,0.10481068525923294,2020-03-31
3,0.03428048131724638,0.11205030126289882,2020-04-01
4,0.04616662490883615,0.11195887683205856,2020-04-02
5,0.033163700089667764,0.09612996834808325,2020-04-03
6,0.02638996919038831,0.09639684646079172,2020-04-06
7,0.08664124994735516,0.16815233278184175,2020-04-07
8,0.28444877669740015,0.2823493869376317,2020-04-08
9,0.023726616928318126,0.09165844741337496,2020-04-09
10,0.0978685583028818,0.18241167924456586,2020-04-13
11,0.1936199907167687,0.2503591347414421,2020-04-14
12,0.16572673329435822,0.24653498492285567,2020-04-15
13,0.05674351362964284,0.12946594532323308,2020-04-16
14,0.08391378026080687,0.17199480185439625,2020-04-17
15,0.044626298237379236,0.11365042805801788,2020-04-20
16,0.018820053270296008,0.07999516354686888,2020-04-21
17,0.03401922074292367,0.0946157302210624,2020-04-22
18,0.06375443830270341,0.1443849244445758,2020-04-23
19,0.2491940840310001,0.2670990163421326,2020-04-24
20,0.1532008804765204,0.22636230830556914,2020-04-27
21,0.1262235095181649,0.21150994577273338,2020-04-28
22,0.1412585078860599,0.21900599476250962,2020-04-29
23,0.02515476249647877,0.08932088228175197,2020-04-30
24,0.11871872932309022,0.19366122695783697,2020-05-01
25,0.0912557873922793,0.17259649834061713,2020-05-04
26,0.12978670084317878,0.20718491475452816,2020-05-05
27,0.02417517564971489,0.0910639114909519,2020-05-06
28,0.1474038219658965,0.23546535521154882,2020-05-07
29,0.06414506695288265,0.14698507188313023,2020-05-08
30,0.0287790611247158,0.09392869392995637,2020-05-11
31,0.04340471827000734,0.11451637973591881,2020-05-12
32,0.55306140361683,0.4183367906784899,2020-05-13
33,0.24478183605302517,0.28509282990355195,2020-05-14
34,0.1770188044704566,0.2443562044954182,2020-05-15
35,0.09435038975307115,0.16436769982783836,2020-05-18
36,0.0320142128648068,0.09696554636563658,2020-05-19
37,0.03577184741413,0.10476401148404339,2020-05-20
38,0.025432130750106943,0.0941049133060663,2020-05-21
39,0.008237355583697824,0.03999457388816615,2020-05-22
40,0.6278979323036015,0.39406995193070055,2020-05-26
41,0.04095533775449222,0.1114258304330589,2020-05-27
42,0.028809001763063138,0.09738772684064127,2020-05-28
43,0.027503443514857635,0.08926346437678394,2020-05-29
44,0.05501124529559017,0.140518036819089,2020-06-01
45,0.02508770178109822,0.09478901707707138,2020-06-02
46,0.062190324775543135,0.131790969708712,2020-06-03
47,0.023045839308394697,0.08938505264647291,2020-06-04
48,0.054838822937754175,0.14252613007991394,2020-06-05
49,0.02821725498222254,0.09546702179297303,2020-06-08
50,0.030197713969381035,0.09078412838355149,2020-06-09
51,0.08406141075786691,0.1574356488887266,2020-06-10
52,0.04035560200747648,0.1185197550188624,2020-06-11
53,0.046556168763779666,0.12631926476979408,2020-06-12
54,0.053519222259436484,0.12586648057789362,2020-06-15
55,0.05413452390162919,0.14122617747893093,2020-06-16
56,0.09789935946370028,0.17061098891485793,2020-06-17
57,0.029715555506057575,0.1001014081769635,2020-06-18
58,0.18409188921483022,0.2155603379544644,2020-06-19
59,0.013427326515620642,0.06185791400869016,2020-06-22
60,0.23358717014657834,0.29723194532878766,2020-06-23
61,0.19395261995760937,0.24072422336625124,2020-06-24
62,0.06401527512726322,0.13577745681813966,2020-06-25
63,0.19346902919216027,0.23609016643154532,2020-06-26
64,0.02133261817503606,0.08137612266919013,2020-06-29
65,0.17417579635111616,0.22023453631439582,2020-06-30
66,0.009229442285125839,0.047078072986349986,2020-07-01
67,0.16805291504621614,0.21919242640185208,2020-07-02
68,0.13513264694195898,0.19532382476265223,2020-07-06
69,0.390849732479945,0.30565965491433644,2020-07-07
70,0.019088619616371486,0.06772463549804135,2020-07-08
71,0.25641821172020723,0.26448226544611614,2020-07-09
72,0.07182277395056479,0.14169646354823268,2020-07-10
73,0.27062091451634734,0.2780344462975297,2020-07-13
74,0.08750208023527982,0.1603932732051428,2020-07-14
75,0.040321483129219016,0.09402913869098076,2020-07-15
76,0.010335675930940836,0.05316590929835114,2020-07-16
77,0.19538651278032299,0.23679720431137896,2020-07-17
78,0.025343322834890006,0.09071628973604748,2020-07-20
79,0.08114181829135374,0.13910748205054557,2020-07-21
80,0.016854543998405636,0.07527847194061632,2020-07-22
81,0.021463105872651305,0.06199977355146769,2020-07-23
82,0.3082043414734801,0.26559456978403684,2020-07-24
83,0.016337802750349645,0.05661754856964884,2020-07-27
84,0.26538329314058745,0.2794810385435372,2020-07-28
85,0.03830050832717326,0.08950902663302605,2020-07-29
86,0.012869371186965491,0.044865552934620814,2020-07-30
87,0.03373474197970144,0.08397824760037359,2020-07-31
88,0.14074232921153323,0.21314045475152527,2020-08-03
89,0.03872556060093439,0.08849518853801619,2020-08-04
90,0.1306233123928535,0.1750567768174711,2020-08-05
91,0.06529348603096649,0.14332457600606077,2020-08-06
92,0.056698735139276736,0.13090070621866512,2020-08-07
93,0.08596944970669965,0.1780505306971553,2020-08-10
94,0.07027345075326373,0.14536137871860624,2020-08-11
95,0.20496924086087054,0.27662849498483544,2020-08-12
96,0.06148825767711305,0.12445960792558064,2020-08-13
97,0.040653750523794704,0.11398378089619896,2020-08-14
98,0.01097696243760374,0.05819579901012946,2020-08-17
99,0.009232690839795003,0.04944440808928981,2020-08-18
100,0.025202404293820098,0.07585688118657308,2020-08-19
101,0.01943810686584475,0.07674897527546312,2020-08-20
102,0.11845576769140993,0.20482935214962422,2020-08-21
103,0.06413140887213761,0.14655705405603683,2020-08-24
104,0.26287613356845585,0.3154515626219048,2020-08-25
105,0.12211128530173478,0.2104869518569234,2020-08-26
106,0.009145760110658506,0.04795378857456204,2020-08-27
107,0.045247879568970514,0.12329050177621009,2020-08-28
108,0.05786312085395317,0.11987980488424185,2020-08-31
109,0.07065282837193713,0.15183313148876404,2020-09-01
110,0.031233970291242925,0.07766482449856056,2020-09-02
111,0.04528050923963409,0.12139058631351912,2020-09-03
112,0.0883647255543465,0.17671442136795687,2020-09-04
113,0.052626800897364,0.1208544358007759,2020-09-08
114,0.015991375011685148,0.07403709216505457,2020-09-09
115,0.07560836014375248,0.1434460363184574,2020-09-10
116,0.05895598113881532,0.12081866045331918,2020-09-11
117,0.02909650902870519,0.07843148018542773,2020-09-14
118,0.014122090854098646,0.05593294899298155,2020-09-15
119,0.017455018554855557,0.05938963543032666,2020-09-16
120,0.017793867079508124,0.07648013660283269,2020-09-17
121,0.019918887562489954,0.07802624014860998,2020-09-18
122,0.14522968804930547,0.19899591319306925,2020-09-21
123,0.06459130042007331,0.13252918122369578,2020-09-22
124,0.04127857152273653,0.10450326889739665,2020-09-23
125,0.05400924711090515,0.1411253073190561,2020-09-24
126,0.04775390623947294,0.10923987953876932,2020-09-25
127,0.031087846898281413,0.10524608198822659,2020-09-28
128,0.16564981658163214,0.24850798636414312,2020-09-29
129,0.182565342028454,0.26294530094518653,2020-09-30
130,0.2198373900879591,0.29004625960317487,2020-10-01
131,0.09707256490492754,0.18734837871367088,2020-10-02
132,0.02140866952553225,0.08195332062375565,2020-10-05
133,0.07608766328702044,0.16411274945892143,2020-10-06
134,0.09892625081812807,0.1923413720245553,2020-10-07
135,0.27932496274343876,0.32724431175204627,2020-10-08
136,0.3098151010902516,0.34313189052975035,2020-10-09
137,0.9309678548284498,0.5684585727349114,2020-10-12
138,0.7438392449667728,0.5228342767197788,2020-10-13
139,0.16709952806073988,0.23895226708899212,2020-10-14
140,0.017395089602260858,0.07709933104467982,2020-10-15
141,0.01196327478286084,0.05292180946724816,2020-10-16
142,1.2273559806949041,0.6557963360059348,2020-10-19
143,0.010867065214709905,0.053667101485723505,2020-10-20
144,0.018485657180256194,0.07708110926771429,2020-10-21
145,0.01685154637675862,0.06820871658530887,2020-10-22
146,0.018282737423936594,0.06513724507480216,2020-10-23
147,0.11152280425331536,0.20683636456516374,2020-10-26
148,0.0207311137210309,0.08455786927174393,2020-10-27
149,0.0138069310543818,0.06472121199372839,2020-10-28
150,0.04167502926403216,0.12332396058862152,2020-10-29
151,0.03261484358847141,0.09638605296967333,2020-10-30
152,0.008550469228552151,0.0454849677372161,2020-11-02
153,0.18520084547214452,0.26669210097688784,2020-11-03
154,0.21458588082955327,0.24699438630811874,2020-11-04
155,0.018290369600468988,0.07961235861409545,2020-11-05
156,0.027756763311023613,0.08089999684273817,2020-11-06
157,0.27441956967884773,0.2766469187362388,2020-11-09
158,0.03305076300470812,0.09905245973513072,2020-11-10
159,0.49369639865222453,0.3699121762158128,2020-11-11
160,0.03361592680865029,0.08945541719088637,2020-11-12
161,0.08085224019288204,0.1457924045807694,2020-11-13
162,0.422236635405351,0.3337781240003693,2020-11-16
163,0.01063365228135477,0.049405989977561,2020-11-17
164,0.2936432256810044,0.2652333889335607,2020-11-18
165,0.1746021102161851,0.20838991986857572,2020-11-19
166,0.017761196199758834,0.07758254129627894,2020-11-20
167,0.09216112804001277,0.15629836106870731,2020-11-23
168,0.04316867276763828,0.12510935753176738,2020-11-24
169,0.018300937485133745,0.0788467364189096,2020-11-25
170,0.21126454537887615,0.24428435609518748,2020-11-27
171,0.09792082478630187,0.15215588903009286,2020-11-30
172,0.14786376903176388,0.1935019798111218,2020-12-01
173,0.08213288382934204,0.14808553365604724,2020-12-02
174,0.0656993890808653,0.12832787086320774,2020-12-03
175,0.02442906886429798,0.06699867270083511,2020-12-04
176,0.13367572528968835,0.22515162312769396,2020-12-07
177,0.2955416236986568,0.3345049361305356,2020-12-08
178,0.04754472904055026,0.12441547001513521,2020-12-09
179,0.014043137919912713,0.051575625433303254,2020-12-10
180,0.039632903476985816,0.0916921905229439,2020-12-11
181,0.257614792168501,0.3126293404442189,2020-12-14
182,0.07299343896027713,0.163799266693034,2020-12-15
183,0.03214124144145811,0.10732546545399492,2020-12-16
184,0.06969960069104346,0.14589807014080397,2020-12-17
185,0.16909402330529172,0.24627086770482223,2020-12-18
186,0.08886578040572232,0.13533238634054506,2020-12-21
187,0.05766316637878634,0.11625775355536858,2020-12-22
188,0.014199640703058196,0.05634116723644602,2020-12-23
189,0.14227699704573094,0.1962041413720368,2020-12-24
190,0.24736464164271355,0.3047762589316335,2020-12-28
191,0.10434535737103333,0.19356975668446977,2020-12-29
192,0.15843063899835155,0.24455989551984875,2020-12-30
193,0.021603456062101657,0.0631998284928452,2020-12-31
194,0.06574661400631947,0.1445665167530552,2021-01-04
195,0.048343826448761396,0.12078363064160316,2021-01-05
196,0.02358450483461307,0.09001484657933444,2021-01-06
197,0.01858729699196658,0.08067102019687157,2021-01-07
198,0.05419409828810724,0.1187016561625168,2021-01-08
199,0.00885613726470233,0.043715245199058936,2021-01-11
200,0.014346751239310684,0.05207593816489961,2021-01-12
201,0.256970448265413,0.2616520369739362,2021-01-13
202,0.09425005212887062,0.14167271771439274,2021-01-14
203,0.012295801011760839,0.05562597967130462,2021-01-15
204,0.03889808498235309,0.11650174887619927,2021-01-19
205,0.01739397123068945,0.058666501742601754,2021-01-20
206,0.10045691269881184,0.1915239893095189,2021-01-21
207,0.05915578562856142,0.11920237116914535,2021-01-22
208,0.021346937412282548,0.08606999171691458,2021-01-25
209,0.013799664375183108,0.06533929151203448,2021-01-26
210,0.10037567873593445,0.17016753103299312,2021-01-27
211,0.05085900124685573,0.1364925850514866,2021-01-28
212,0.03787723384403383,0.11624024391116161,2021-01-29
213,0.022337552546253105,0.08779073712588104,2021-02-01
214,0.10608623736620967,0.19782353247853757,2021-02-02
215,0.03450693550621877,0.1047744230259073,2021-02-03
216,0.014995394773776843,0.060988515452430406,2021-02-04
217,0.022489665142322434,0.08778862199963053,2021-02-05
218,0.10657570072711621,0.16542667240370906,2021-02-08
219,0.08822422070321184,0.17812939044875042,2021-02-09
220,0.02067357370095248,0.06196720103488469,2021-02-10
221,0.1234563989747376,0.213256082754604,2021-02-11
222,0.038444720533637775,0.08643495619161957,2021-02-12
223,0.04417624146254081,0.0944090499653715,2021-02-16
224,0.03027104065848107,0.07664360996853702,2021-02-17
225,0.011195760803150863,0.048593617170414015,2021-02-18
226,0.10476904862439788,0.16617424972926867,2021-02-19
227,0.017909227028640458,0.06967712908806736,2021-02-22
228,0.014583265970217658,0.05649712729234619,2021-02-23
229,0.012744307097056774,0.048580255941338496,2021-02-24
230,0.05278324021668333,0.13623869770666994,2021-02-25
231,0.30299083733081034,0.2955160241696854,2021-02-26
232,0.026267077999935096,0.08014427420851378,2021-03-01
233,0.015814419505616528,0.07115918098919738,2021-03-02
234,0.054959309438342346,0.1131900654292914,2021-03-03
235,0.012647361493597098,0.04858479381659093,2021-03-04
236,0.11191991061636884,0.15779561508906528,2021-03-05
237,0.13732999994063336,0.18748125016237038,2021-03-08
238,0.12706798984334408,0.17074796796099975,2021-03-09
239,0.2046882598709154,0.2333492383927391,2021-03-10
240,0.014864123972894725,0.04800283860910246,2021-03-11
241,0.1244970901621777,0.1672573079050373,2021-03-12
242,0.057994572053233086,0.11009863699848053,2021-03-15
243,0.020281806950408664,0.07723828586083156,2021-03-16
244,0.17062630306652737,0.19590562352242127,2021-03-17
245,0.04363110082332985,0.10740170079631003,2021-03-18
246,0.03847539024638338,0.08761940072673707,2021-03-19
247,0.04477107302732513,0.10418609044127532,2021-03-22
248,0.013023126780487197,0.05454058708527452,2021-03-23
249,0.020051845298936888,0.07792981151355947,2021-03-24
250,0.010039556381529206,0.05282651009162223,2021-03-25
251,0.04343203085827243,0.1094342454265711,2021-03-26
252,0.013475601739538417,0.05267343217102022,2021-03-29
253,0.20021856036437669,0.2336228002662364,2021-03-30
254,0.01152887029970051,0.04863142879613815,2021-03-31
255,0.008669238598986974,0.042325926745295936,2021-04-01
256,0.023409591838064965,0.06808181880516621,2021-04-05
257,0.012920696132189255,0.048851524892272895,2021-04-06
258,0.014724026100430514,0.05198672878555928,2021-04-07
259,0.019182480305844136,0.06271323277057408,2021-04-08
260,0.09668442022133907,0.1454447819890625,2021-04-09
261,0.01143570055090046,0.04689612997083517,2021-04-12
262,0.008494822378944146,0.03979277035309081,2021-04-13
263,0.03860126983822897,0.10598104807228709,2021-04-14
264,0.048963585736927384,0.13100632361586656,2021-04-15
265,0.018206119233164418,0.06134025562176049,2021-04-16
266,0.009334717931417696,0.04214641493358518,2021-04-19
267,0.09858375515165736,0.16172850779865036,2021-04-20
268,0.03610535404994254,0.0908055686416032,2021-04-21
269,0.03523490948911942,0.08757121209144597,2021-04-22
270,0.09456752484171804,0.14692344760824674,2021-04-23
271,0.04510322912344632,0.0964916884955922,2021-04-26
272,0.024446770255628126,0.06807811409557837,2021-04-27
273,0.022659993118114008,0.06305161320342065,2021-04-28
274,0.06966019252092695,0.12014124555391917,2021-04-29
275,0.07594774462170917,0.1305887225427357,2021-04-30
