timestep,ck_kl,ck_tv,date
0,0.12178633516938289,0.2094160412756436,2020-03-27
1,0.2024447874308562,0.2591424753803834,2020-03-30
2,0.4219771718491756,0.3516885230186583,2020-03-31
3,0.07580812434031099,0.14305508160802724,2020-04-01
4,0.04274634434712863,0.11736852599765654,2020-04-02
5,0.020686127967923372,0.08261740853925667,2020-04-03
6,0.026002816716700027,0.083910598596333,2020-04-06
7,0.037168883985098385,0.10218054875417618,2020-04-07
8,0.06170719040689487,0.13961168895208062,2020-04-08
9,0.03272024958338513,0.10170778390311577,2020-04-09
10,0.13856944521849365,0.19195301450183566,2020-04-13
11,0.034695250341494795,0.1045508105627544,2020-04-14
12,0.19757416723500196,0.2591728257114583,2020-04-15
13,0.01604423927316775,0.07080191550071993,2020-04-16
14,0.10547277337819129,0.1762399615535859,2020-04-17
15,0.06827696312313913,0.15817749488697622,2020-04-20
16,0.027988830788282484,0.0881862535020218,2020-04-21
17,0.035601513181786934,0.10671818850267063,2020-04-22
18,0.15450075506213995,0.21855731222096245,2020-04-23
19,0.28107268144490904,0.28217411524521874,2020-04-24
20,0.027939252287355085,0.09577356862418078,2020-04-27
21,0.09711808763965334,0.184876654619962,2020-04-28
22,0.31769629368591357,0.3438086902711801,2020-04-29
23,0.08456078577665359,0.17116504412563807,2020-04-30
24,0.22728798610455714,0.2559959771916015,2020-05-01
25,0.023994467997276454,0.08270587536190066,2020-05-04
26,0.05717312877680142,0.13622210224879164,2020-05-05
27,0.25961188381003,0.2890416856965385,2020-05-06
28,0.022916734614574143,0.0694789974037383,2020-05-07
29,0.023942437435806513,0.08488134887440837,2020-05-08
30,0.022198007297730082,0.07659514610857922,2020-05-11
31,0.04891372800314071,0.12057552476349574,2020-05-12
32,0.09332223003268895,0.1828354647915185,2020-05-13
33,0.26899426898536133,0.3124438669076857,2020-05-14
34,0.49414363748012186,0.43072375545363084,2020-05-15
35,0.15962708201844347,0.22989132405338714,2020-05-18
36,0.14970036912451545,0.23564989731987804,2020-05-19
37,0.20414564413109107,0.2752762769086504,2020-05-20
38,0.4514273449210971,0.4177993940001573,2020-05-21
39,0.04446262403761998,0.11531314577794026,2020-05-22
40,0.08677382105725806,0.13824467685879935,2020-05-26
41,0.02489393087863889,0.08399090157338585,2020-05-27
42,0.17762145435525883,0.2581822690029919,2020-05-28
43,0.03138179842231004,0.10308057037397096,2020-05-29
44,0.13430136260253916,0.22045453957224342,2020-06-01
45,0.08408802542713409,0.1707627810735754,2020-06-02
46,0.04922084848200066,0.10341069911409492,2020-06-03
47,0.09764906759787326,0.18362090114269392,2020-06-04
48,0.12510888903899317,0.21431249953982917,2020-06-05
49,0.07270520128442723,0.1564013811658829,2020-06-08
50,0.05926838764891644,0.1403681060547169,2020-06-09
51,0.02586781919086669,0.0859240757306857,2020-06-10
52,0.04154683832221865,0.101264066117812,2020-06-11
53,0.056248525657438,0.13678384507766603,2020-06-12
54,0.08742961439537365,0.15413785327563492,2020-06-15
55,0.026877902668177536,0.08315122737056055,2020-06-16
56,0.06372953057838324,0.12171565956383357,2020-06-17
57,0.20348120104773135,0.24957914385378085,2020-06-18
58,0.2127112836263712,0.24626994097760804,2020-06-19
59,0.028112253844845756,0.08229825566195892,2020-06-22
60,0.0910448565167585,0.17476129522970987,2020-06-23
61,0.030693224500482636,0.07914544083785861,2020-06-24
62,0.08867800258876819,0.15555832772165254,2020-06-25
63,0.0967905437437697,0.14400970518643397,2020-06-26
64,0.0262803539743648,0.08921822464590681,2020-06-29
65,0.03815210949074527,0.08318371291156512,2020-06-30
66,0.02320053732171161,0.07239779017055799,2020-07-01
67,0.023306808619528885,0.08021004410848756,2020-07-02
68,0.0635984764890642,0.1217444320957558,2020-07-06
69,0.0661502809955896,0.11152820317900279,2020-07-07
70,0.02516978289250894,0.07842088167686188,2020-07-08
71,0.09736776417229136,0.15118719543869233,2020-07-09
72,0.16910077546105842,0.20204613744302788,2020-07-10
73,0.41794657537871366,0.3333853391822748,2020-07-13
74,0.06737610424371451,0.11409692591123544,2020-07-14
75,0.06394320154537976,0.11189963800458953,2020-07-15
76,0.06444061590254561,0.10799947571896673,2020-07-16
77,0.03126048692996356,0.0716538591485526,2020-07-17
78,0.03626898073441981,0.07452614492214928,2020-07-20
79,0.047265923276960616,0.08721875946387725,2020-07-21
80,0.10077877710553144,0.18250707761724713,2020-07-22
81,0.03290246065121968,0.09305398089795158,2020-07-23
82,0.08398638211477814,0.12583148042277498,2020-07-24
83,0.03653954548084174,0.07664895870271313,2020-07-27
84,0.12104652543480944,0.171177102404147,2020-07-28
85,0.051001933391951325,0.09670805993893958,2020-07-29
86,0.025074052547298227,0.06790515841128489,2020-07-30
87,0.07056139061514573,0.11749160742841998,2020-07-31
88,0.03185252097060017,0.07100479371305503,2020-08-03
89,0.031480023033197975,0.07069739176321059,2020-08-04
90,0.10188713874682964,0.13981373431189018,2020-08-05
91,0.038641692274420894,0.07669320161223198,2020-08-06
92,0.04143753156428859,0.0824027369641914,2020-08-07
93,0.02464859748972675,0.06258128872263147,2020-08-10
94,0.02414906887782654,0.06465945827816645,2020-08-11
95,0.047435565747205435,0.11256313321688032,2020-08-12
96,0.023130611550249213,0.06439285770983823,2020-08-13
97,0.03199446407534081,0.07039029588488785,2020-08-14
98,0.02942716207556405,0.06946533048495857,2020-08-17
99,0.039570679323747526,0.10564187767645447,2020-08-18
100,0.045896608881948776,0.09866341955305505,2020-08-19
101,0.03264459771632607,0.07302692086330165,2020-08-20
102,0.03250305778572572,0.090846739019882,2020-08-21
103,0.08792006944999615,0.17052529129994629,2020-08-24
104,0.08342700504651165,0.16935009003733237,2020-08-25
105,0.1531920387788875,0.23146338634593586,2020-08-26
106,0.021833824100342996,0.0628146100899055,2020-08-27
107,0.027789757858129083,0.06779738601449437,2020-08-28
108,0.025666205992726603,0.07253658565657034,2020-08-31
109,0.053626139518026944,0.12636247152879293,2020-09-01
110,0.024950961976469375,0.06803981784884808,2020-09-02
111,0.02596827220500331,0.068192097421338,2020-09-03
112,0.03586986263616229,0.09685913413803547,2020-09-04
113,0.031881484898259295,0.07327628020496323,2020-09-08
114,0.027972702799055095,0.08445829372606153,2020-09-09
115,0.04143467774527854,0.08220742697242446,2020-09-10
116,0.0296750954333594,0.06937647612525472,2020-09-11
117,0.027982822444540034,0.06852655681397087,2020-09-14
118,0.025989803862060335,0.07432372655286155,2020-09-15
119,0.04292171872271438,0.11516062492963267,2020-09-16
120,0.05040996947894832,0.127679472743918,2020-09-17
121,0.025715694691724925,0.0727289360094982,2020-09-18
122,0.05388519949587702,0.09765243477392872,2020-09-21
123,0.038103793095897856,0.11091413536811934,2020-09-22
124,0.036202089922944554,0.08683648260755303,2020-09-23
125,0.05585267481748075,0.1080796872356463,2020-09-24
126,0.036693690096587586,0.1020168558211012,2020-09-25
127,0.02290802129447796,0.07032695619860016,2020-09-28
128,0.032156385994350264,0.09174304926350829,2020-09-29
129,0.06023375991829646,0.1418225747125897,2020-09-30
130,0.17676155616272543,0.25097311522588944,2020-10-01
131,0.0246917441402999,0.06755223873321999,2020-10-02
132,0.032311899261748274,0.08504952458271949,2020-10-05
133,0.026003136355925636,0.07331030182613377,2020-10-06
134,0.03221670906441387,0.07387555080427394,2020-10-07
135,0.2032727172771913,0.2745754538409622,2020-10-08
136,0.30674738933922135,0.33970434112107073,2020-10-09
137,0.13099437630440633,0.2138939830933964,2020-10-12
138,0.542961483433479,0.44663403121716383,2020-10-13
139,0.3205441138997266,0.3424287459560618,2020-10-14
140,0.030875368293303496,0.09811751076648234,2020-10-15
141,0.09556222456083381,0.18166159288588762,2020-10-16
142,1.0996567065609153,0.6321353769642927,2020-10-19
143,0.02671649246115728,0.08663028192498308,2020-10-20
144,0.039651870516563874,0.08193790164745116,2020-10-21
145,0.026183566460193083,0.07533207968278445,2020-10-22
146,0.03880532383769993,0.10036739558192646,2020-10-23
147,0.023852614672552914,0.07032369672776473,2020-10-26
148,0.026595044169253557,0.07034861920239843,2020-10-27
149,0.030933522147391035,0.09794882778417023,2020-10-28
150,0.027884387808178458,0.07098038643770554,2020-10-29
151,0.038782226443244354,0.10104783743381245,2020-10-30
152,0.059473366682720984,0.1416652376973745,2020-11-02
153,0.17325632246109515,0.25170763036978094,2020-11-03
154,0.049895343980448925,0.11761117335052437,2020-11-04
155,0.025789663357536734,0.07356642134451798,2020-11-05
156,0.04588765431001382,0.0889287106891993,2020-11-06
157,0.08913884375266953,0.13745428445137503,2020-11-09
158,0.1582504659392604,0.24544844079465536,2020-11-10
159,0.3350864860749979,0.3244647022511202,2020-11-11
160,0.09120118723368863,0.13484950731789952,2020-11-12
161,0.061916629148057095,0.11239795335262555,2020-11-13
162,0.6025633842216094,0.40065760709755466,2020-11-16
163,0.026805207637016947,0.07119837262844728,2020-11-17
164,0.06808807822995402,0.11425956455037076,2020-11-18
165,0.027402521961200653,0.0705738461559514,2020-11-19
166,0.03031842309009476,0.06636690428739425,2020-11-20
167,0.042423003126217676,0.08221912923202271,2020-11-23
168,0.03240047286826427,0.07020507914531407,2020-11-24
169,0.049568230977413724,0.1215181640023114,2020-11-25
170,0.028706729430824227,0.07044209626606227,2020-11-27
171,0.08996076854637859,0.1358143079238073,2020-11-30
