timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.0130423279479146,3.689324,0.045451656,2020-03-27
1,0.012591597624123096,3.7169855,0.042273704,2020-03-30
2,0.009011681191623211,3.709135,0.035623968,2020-03-31
3,0.010009456425905228,3.594378,0.03641986,2020-04-01
4,0.008081228472292423,3.7110856,0.028901642,2020-04-02
5,0.010364001616835594,3.7538297,0.039455496,2020-04-03
6,0.007781984284520149,3.802914,0.028456766,2020-04-06
7,0.012563864700496197,3.5876403,0.043015365,2020-04-07
8,0.009175477549433708,3.6063218,0.03143575,2020-04-08
9,0.00821535475552082,3.8861964,0.029939959,2020-04-09
10,0.012294427491724491,3.689489,0.042144034,2020-04-13
11,0.009860413148999214,3.6061566,0.033979803,2020-04-14
12,0.010509784333407879,3.3489616,0.04040512,2020-04-15
13,0.008132054470479488,3.774177,0.028403794,2020-04-16
14,0.01010881457477808,3.5630696,0.03562671,2020-04-17
15,0.009803866036236286,3.8039076,0.034019362,2020-04-20
16,0.009388483129441738,3.8491726,0.030856976,2020-04-21
17,0.010565629228949547,3.7025719,0.036031354,2020-04-22
18,0.008272399194538593,3.6519806,0.031034023,2020-04-23
19,0.006441827397793531,3.879554,0.024703559,2020-04-24
20,0.006625937297940254,3.8353481,0.023538517,2020-04-27
21,0.011034741066396236,3.9204865,0.037352912,2020-04-28
22,0.010674181394279003,3.9319694,0.036011465,2020-04-29
23,0.009993616491556168,3.8684494,0.037211034,2020-04-30
24,0.009720143862068653,3.8253431,0.035897776,2020-05-01
25,0.00785739254206419,3.9015226,0.028871585,2020-05-04
26,0.011913557536900043,3.9162045,0.045589447,2020-05-05
27,0.007995936088263988,3.8989615,0.02843183,2020-05-06
28,0.012560862116515636,3.9312665,0.040316757,2020-05-07
29,0.012651773169636726,3.932025,0.044482566,2020-05-08
30,0.01637803576886654,3.9568517,0.059751198,2020-05-11
31,0.00912322849035263,3.8533204,0.03183533,2020-05-12
32,0.008839791640639305,3.8364065,0.034455553,2020-05-13
33,0.008605881594121456,3.8591442,0.03046453,2020-05-14
34,0.011815126985311508,3.9221842,0.04925717,2020-05-15
35,0.005636719986796379,3.8583684,0.019243976,2020-05-18
36,0.010563909076154232,3.9065845,0.039722,2020-05-19
37,0.02032947912812233,3.9791367,0.06571726,2020-05-20
38,0.023174067959189415,3.9934657,0.09289739,2020-05-21
39,0.032095298171043396,4.0018525,0.11085877,2020-05-22
40,0.006939352955669165,3.9199936,0.028195223,2020-05-26
41,0.008046976290643215,3.8882117,0.028711272,2020-05-27
42,0.01178359892219305,3.9349632,0.041882392,2020-05-28
43,0.012093840166926384,3.9328349,0.041779593,2020-05-29
44,0.01914377138018608,3.970115,0.0633102,2020-06-01
45,0.008843677118420601,3.9108734,0.036399335,2020-06-02
46,0.014600529335439205,3.9679437,0.06226064,2020-06-03
47,0.024351943284273148,3.9911082,0.08519946,2020-06-04
48,0.029084181413054466,4.0033665,0.10620504,2020-06-05
49,0.016877306625247,3.973534,0.072837725,2020-06-08
50,0.017403336241841316,3.9653728,0.06373359,2020-06-09
51,0.008727926760911942,3.864761,0.03357263,2020-06-10
52,0.009296948090195656,3.7193246,0.03582576,2020-06-11
53,0.007617846596986055,3.7987983,0.02699696,2020-06-12
54,0.009083043783903122,3.9196625,0.036921177,2020-06-15
55,0.027077265083789825,3.9963927,0.08874147,2020-06-16
56,0.00942193903028965,3.873217,0.0339827,2020-06-17
57,0.00959767960011959,3.8918757,0.033403233,2020-06-18
58,0.01045167539268732,3.9356263,0.040648006,2020-06-19
59,0.02643963135778904,3.9956365,0.09685261,2020-06-22
60,0.027060318738222122,3.9994226,0.10249026,2020-06-23
61,0.009305089712142944,3.888626,0.032366302,2020-06-24
62,0.00830567441880703,3.917165,0.027949471,2020-06-25
63,0.011785785667598248,3.9231296,0.04780896,2020-06-26
64,0.01299249567091465,3.9373286,0.04354354,2020-06-29
65,0.018333563581109047,3.9714577,0.06978285,2020-06-30
66,0.0281254593282938,3.9918277,0.094486155,2020-07-01
