timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.020129594951868057,3.7374704,0.088185094,2020-03-27
1,0.0182295273989439,3.8058019,0.07913808,2020-03-30
2,0.01812061481177807,3.820178,0.07767218,2020-03-31
3,0.024238239973783493,3.6452026,0.09474301,2020-04-01
4,0.023394940420985222,3.6999433,0.09075578,2020-04-02
5,0.023034442216157913,3.7292888,0.089742504,2020-04-03
6,0.022603144869208336,3.74618,0.08840147,2020-04-06
7,0.021836992353200912,3.7569695,0.085735455,2020-04-07
8,0.0211015734821558,3.7858162,0.08328925,2020-04-08
9,0.019850892946124077,3.8147583,0.07887073,2020-04-09
10,0.01856967993080616,3.838198,0.07417425,2020-04-13
11,0.017673373222351074,3.8632612,0.07103709,2020-04-14
12,0.018066955730319023,3.847003,0.07226711,2020-04-15
13,0.01771865226328373,3.8549025,0.07095909,2020-04-16
14,0.0172926876693964,3.867716,0.06953476,2020-04-17
15,0.015977539122104645,3.8618045,0.06558987,2020-04-20
16,0.018060000613331795,3.8310618,0.07229035,2020-04-21
17,0.017793815582990646,3.846779,0.07134508,2020-04-22
18,0.017590811476111412,3.8521886,0.07053438,2020-04-23
19,0.016956191509962082,3.880188,0.068331674,2020-04-24
20,0.016555847600102425,3.8961434,0.06707621,2020-04-27
21,0.016621679067611694,3.8939035,0.06729905,2020-04-28
22,0.016629524528980255,3.9047022,0.06730559,2020-04-29
23,0.016798462718725204,3.889984,0.067794986,2020-04-30
24,0.01488079410046339,3.9387941,0.06233933,2020-05-01
25,0.015218941494822502,3.942428,0.063866265,2020-05-04
26,0.01615716889500618,3.9514675,0.06793799,2020-05-05
27,0.015867287293076515,3.9489987,0.06695918,2020-05-06
28,0.017190463840961456,3.9583802,0.07235289,2020-05-07
29,0.019897831603884697,3.971642,0.08353212,2020-05-08
30,0.02009570226073265,3.9721594,0.0844418,2020-05-11
31,0.0162443108856678,3.9492965,0.0686108,2020-05-12
32,0.01546500064432621,3.9385252,0.06525226,2020-05-13
33,0.016454266384243965,3.9499898,0.06942466,2020-05-14
34,0.016826801002025604,3.952754,0.07103311,2020-05-15
35,0.018672330304980278,3.9650059,0.07884485,2020-05-18
36,0.018021434545516968,3.9626882,0.076106764,2020-05-19
37,0.020732583478093147,3.975259,0.08710845,2020-05-20
38,0.019458742812275887,3.9709165,0.08186861,2020-05-21
39,0.0209282748401165,3.976522,0.08770285,2020-05-22
40,0.02140495926141739,3.9785223,0.08965468,2020-05-26
41,0.022110549733042717,3.9811924,0.09222651,2020-05-27
42,0.020986303687095642,3.9778032,0.08794189,2020-05-28
43,0.02251453883945942,3.9823606,0.09389997,2020-05-29
44,0.02143118903040886,3.9789903,0.08976324,2020-06-01
45,0.02345994859933853,3.9848986,0.097722284,2020-06-02
46,0.02593017742037773,3.991359,0.10739086,2020-06-03
47,0.02600254863500595,3.9918828,0.10779448,2020-06-04
48,0.029825348407030106,3.9987602,0.1223954,2020-06-05
49,0.027913210913538933,3.9964426,0.11482072,2020-06-08
50,0.024969633668661118,3.9910452,0.10357073,2020-06-09
51,0.024358151480555534,3.98898,0.10115826,2020-06-10
52,0.014254244044423103,3.934893,0.059901744,2020-06-11
53,0.01572657935321331,3.9538646,0.066275954,2020-06-12
54,0.016606763005256653,3.9596615,0.070021026,2020-06-15
55,0.01724376156926155,3.963984,0.07263228,2020-06-16
56,0.017471209168434143,3.9656188,0.073512375,2020-06-17
57,0.01794460229575634,3.967783,0.07543025,2020-06-18
58,0.016364431008696556,3.9584754,0.06901777,2020-06-19
59,0.01902582123875618,3.972283,0.07996323,2020-06-22
60,0.01937125250697136,3.97368,0.08143435,2020-06-23
61,0.017129026353359222,3.9631596,0.072063,2020-06-24
62,0.01828792504966259,3.9685538,0.07689567,2020-06-25
63,0.01646033488214016,3.958186,0.069335125,2020-06-26
64,0.01858278177678585,3.969292,0.07808899,2020-06-29
65,0.01998717524111271,3.9752889,0.08383723,2020-06-30
66,0.02252749353647232,3.9838278,0.093918055,2020-07-01
67,0.024059321731328964,3.987875,0.09986578,2020-07-02
68,0.02403370290994644,3.9881845,0.099718116,2020-07-06
69,0.022054921835660934,3.9830194,0.09184726,2020-07-07
70,0.024374186992645264,3.9893389,0.10085482,2020-07-08
71,0.02294081449508667,3.9861379,0.094991714,2020-07-09
72,0.025952564552426338,3.9928296,0.10670726,2020-07-10
73,0.019278787076473236,3.974554,0.08066017,2020-07-13
74,0.022758211940526962,3.9858701,0.09438071,2020-07-14
75,0.025448095053434372,3.9919496,0.10472431,2020-07-15
76,0.025238974019885063,3.9916453,0.1037826,2020-07-16
77,0.029563404619693756,3.9988306,0.12023259,2020-07-17
78,0.03220934793353081,4.001344,0.12983263,2020-07-20
79,0.03181976079940796,4.0011287,0.12843426,2020-07-21
80,0.033153828233480453,4.0019965,0.13323858,2020-07-22
81,0.02993069589138031,3.9995337,0.12108351,2020-07-23
82,0.03041473776102066,4.000067,0.12298674,2020-07-24
83,0.03285606577992439,4.00199,0.13202342,2020-07-27
84,0.03129701688885689,4.000926,0.1261957,2020-07-28
85,0.03356143459677696,4.002193,0.13465956,2020-07-29
86,0.03228539973497391,4.0015864,0.12978595,2020-07-30
87,0.032905761152505875,4.001934,0.1320718,2020-07-31
88,0.03293849527835846,4.001864,0.13237529,2020-08-03
89,0.03415067121386528,4.0023155,0.13663235,2020-08-04
90,0.03611983731389046,4.002378,0.14382613,2020-08-05
91,0.0370212122797966,4.0019827,0.14695376,2020-08-06
92,0.03785818815231323,4.001351,0.14985208,2020-08-07
93,0.03814733028411865,4.00106,0.15096343,2020-08-10
94,0.033960338681936264,4.002363,0.13617872,2020-08-11
95,0.03797197341918945,4.00111,0.15076898,2020-08-12
96,0.03782806545495987,4.0013313,0.15044484,2020-08-13
97,0.037761278450489044,4.0014143,0.15034536,2020-08-14
98,0.038837730884552,4.0004625,0.15421055,2020-08-17
99,0.03856069594621658,4.0008197,0.15314274,2020-08-18
100,0.036399614065885544,4.0023074,0.1455438,2020-08-19
101,0.036021072417497635,4.0024076,0.14406666,2020-08-20
102,0.03649575635790825,4.0022836,0.14551766,2020-08-21
103,0.0369567945599556,4.0020676,0.14729048,2020-08-24
104,0.03765933960676193,4.001619,0.1499993,2020-08-25
105,0.034781116992235184,4.0024343,0.13972457,2020-08-26
106,0.031713370233774185,4.000892,0.12883742,2020-08-27
107,0.03482698276638985,4.0024242,0.14033997,2020-08-28
108,0.02834181860089302,3.997314,0.1160799,2020-08-31
109,0.028883639723062515,3.9979792,0.11801297,2020-09-01
110,0.028364041820168495,3.997352,0.11585403,2020-09-02
111,0.01846993900835514,3.972348,0.07734432,2020-09-03
112,0.021371277049183846,3.9826813,0.08916481,2020-09-04
113,0.020549755543470383,3.9804657,0.085672475,2020-09-08
114,0.023991994559764862,3.9895751,0.09927024,2020-09-09
115,0.02265746332705021,3.9862974,0.0939594,2020-09-10
116,0.02719469740986824,3.9957628,0.1112737,2020-09-11
117,0.02941974252462387,3.999047,0.119595535,2020-09-14
118,0.029711486771702766,3.9992301,0.12080684,2020-09-15
119,0.02899666503071785,3.9983068,0.118269876,2020-09-16
120,0.028444964438676834,3.997636,0.11623756,2020-09-17
121,0.029533306136727333,3.9989793,0.12036668,2020-09-18
122,0.025947878137230873,3.9936182,0.10661085,2020-09-21
123,0.02757219970226288,3.9963868,0.11282049,2020-09-22
124,0.024446917697787285,3.9903812,0.10099214,2020-09-23
125,0.024364788085222244,3.9899993,0.100695744,2020-09-24
126,0.027572672814130783,3.9958584,0.112990625,2020-09-25
127,0.027701478451490402,3.9958856,0.11350928,2020-09-28
128,0.027764055877923965,3.9962656,0.11369522,2020-09-29
129,0.02748868800699711,3.9957185,0.11277343,2020-09-30
130,0.026869922876358032,3.994759,0.11024674,2020-10-01
131,0.025179672986268997,3.9917393,0.10389874,2020-10-02
132,0.024883881211280823,3.9912791,0.10311231,2020-10-05
133,0.02294066734611988,3.9868772,0.09553165,2020-10-06
134,0.025219909846782684,3.992283,0.10436286,2020-10-07
135,0.028321871533989906,3.997511,0.116218045,2020-10-08
136,0.031057490035891533,4.000679,0.12634484,2020-10-09
137,0.030894452705979347,4.000597,0.1256524,2020-10-12
138,0.02917502075433731,3.9987025,0.11901199,2020-10-13
139,0.028677675873041153,3.9980793,0.117211044,2020-10-14
140,0.027514897286891937,3.9963796,0.11286371,2020-10-15
141,0.026839980855584145,3.9954133,0.11033522,2020-10-16
142,0.024202607572078705,3.9905317,0.10023187,2020-10-19
143,0.023680929094552994,3.9892244,0.09850105,2020-10-20
144,0.02486184611916542,3.9920802,0.10300924,2020-10-21
145,0.0259629525244236,3.994329,0.1072617,2020-10-22
146,0.02702191285789013,3.9961457,0.1110836,2020-10-23
147,0.019902613013982773,3.9792335,0.08336156,2020-10-26
148,0.01894919015467167,3.9756165,0.079524666,2020-10-27
149,0.014415660873055458,3.9487123,0.060696125,2020-10-28
150,0.015605420805513859,3.9598517,0.06583476,2020-10-29
151,0.01536429300904274,3.9585602,0.06493023,2020-10-30
152,0.015906063839793205,3.9619448,0.067129776,2020-11-02
153,0.017082395032048225,3.9686167,0.07203253,2020-11-03
154,0.02387658879160881,3.9902582,0.09888701,2020-11-04
155,0.027810651808977127,3.9977908,0.11374828,2020-11-05
156,0.033135298639535904,4.002493,0.13348,2020-11-06
157,0.031909018754959106,4.002089,0.12964617,2020-11-09
158,0.034155093133449554,4.0026655,0.13788252,2020-11-10
159,0.03676799684762955,4.001513,0.14730938,2020-11-11
160,0.0329517126083374,4.002465,0.13312696,2020-11-12
161,0.037397511303424835,4.000911,0.1490958,2020-11-13
162,0.038780175149440765,3.9987907,0.1540262,2020-11-16
163,0.03835109621286392,3.9996438,0.15237994,2020-11-17
164,0.036583803594112396,4.0016384,0.14620219,2020-11-18
165,0.038321610540151596,3.9993367,0.15204968,2020-11-19
166,0.03729558736085892,4.0008774,0.14841013,2020-11-20
167,0.03927832096815109,3.9972522,0.15557353,2020-11-23
168,0.04093175753951073,3.9914963,0.1615195,2020-11-24
169,0.041403476148843765,3.9895575,0.16320449,2020-11-25
170,0.04187439754605293,3.9868364,0.16464901,2020-11-27
171,0.04216613993048668,3.9832206,0.16545258,2020-11-30
172,0.041904266923666,3.9839747,0.16479662,2020-12-01
173,0.041646379977464676,3.9847736,0.16405505,2020-12-02
174,0.0416317954659462,3.9851918,0.16388126,2020-12-03
175,0.041987523436546326,3.9810607,0.16532908,2020-12-04
176,0.04159712418913841,3.98467,0.16391753,2020-12-07
177,0.04207296296954155,3.9795833,0.1653568,2020-12-08
178,0.04046880453824997,3.9921725,0.16010502,2020-12-09
179,0.040327031165361404,3.9928443,0.15963523,2020-12-10
180,0.039104901254177094,3.9969468,0.15544096,2020-12-11
181,0.03662892431020737,4.0013294,0.14661834,2020-12-14
182,0.03955274820327759,3.9960566,0.15729699,2020-12-15
183,0.04021508991718292,3.9938877,0.1595052,2020-12-16
184,0.0410495400428772,3.9897044,0.16245103,2020-12-17
185,0.04142601415514946,3.9877524,0.1638818,2020-12-18
186,0.03591208532452583,4.001902,0.14431569,2020-12-21
187,0.037680961191654205,3.9998405,0.15046157,2020-12-22
188,0.039053723216056824,3.997199,0.1556143,2020-12-23
189,0.04146949201822281,3.9869633,0.16385208,2020-12-24
190,0.04129839316010475,3.9876473,0.163167,2020-12-28
191,0.039557550102472305,3.99562,0.15726294,2020-12-29
192,0.0401536226272583,3.9934082,0.15926391,2020-12-30
193,0.0403120294213295,3.9925475,0.159709,2020-12-31
194,0.03285636380314827,4.002687,0.13304605,2021-01-04
195,0.03562512993812561,4.00214,0.14349277,2021-01-05
196,0.03569738566875458,4.0021276,0.14425851,2021-01-06
197,0.04049127921462059,3.9921975,0.16138254,2021-01-07
198,0.04155762121081352,3.984826,0.16524625,2021-01-08
199,0.03856200724840164,3.997613,0.15484507,2021-01-11
200,0.039656344801187515,3.9946904,0.15882596,2021-01-12
201,0.04120263457298279,3.9866421,0.16378692,2021-01-13
