timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.012307893484830856,3.675586,0.0586749,2020-04-22
1,0.008631625212728977,3.473962,0.037729535,2020-04-23
2,0.017937185242772102,3.5863187,0.080747575,2020-04-24
3,0.013483752496540546,3.6634607,0.059063256,2020-04-27
4,0.01782999560236931,3.8409486,0.08452107,2020-04-28
5,0.024346372112631798,3.6936283,0.10657252,2020-04-29
6,0.02008274756371975,3.8228064,0.09260335,2020-04-30
7,0.025000283494591713,3.5914083,0.118883155,2020-05-01
8,0.0266672745347023,3.6612449,0.119727865,2020-05-04
9,0.036579351872205734,3.8723998,0.15448962,2020-05-05
10,0.017816908657550812,3.562242,0.08173278,2020-05-06
11,0.054895080626010895,3.9908867,0.23101218,2020-05-07
12,0.020168326795101166,3.8183541,0.086544484,2020-05-08
13,0.01907232217490673,3.7283547,0.08272835,2020-05-11
14,0.037924524396657944,3.877439,0.17758454,2020-05-12
15,0.029437458142638206,3.6453986,0.13552335,2020-05-13
16,0.02267216145992279,3.5776396,0.106564894,2020-05-14
17,0.018903324380517006,3.7496054,0.08474329,2020-05-15
18,0.012832971289753914,3.592216,0.05828141,2020-05-18
19,0.009212424978613853,3.8040154,0.043249078,2020-05-19
20,0.014898832887411118,3.6094751,0.074616924,2020-05-20
21,0.027348430827260017,3.7845948,0.11601344,2020-05-21
22,0.06383617967367172,3.978053,0.30646843,2020-05-22
23,0.01299035269767046,3.3341153,0.058941606,2020-05-26
24,0.013183845207095146,3.6835477,0.060368836,2020-05-27
25,0.014784492552280426,3.5968566,0.062681966,2020-05-28
26,0.02476435713469982,3.8097656,0.1128457,2020-05-29
27,0.04464910179376602,3.9178138,0.18445344,2020-06-01
28,0.021280087530612946,3.6032636,0.09632483,2020-06-02
29,0.019671233370900154,3.5452657,0.08768141,2020-06-03
30,0.022678129374980927,3.8069625,0.11004059,2020-06-04
31,0.022092673927545547,3.8011081,0.10380509,2020-06-05
32,0.020611485466361046,3.6972218,0.091827855,2020-06-08
33,0.04070236161351204,3.930326,0.18107611,2020-06-09
34,0.028756162151694298,3.6650846,0.136149,2020-06-10
35,0.014005410484969616,2.7527766,0.06462823,2020-06-11
36,0.01731688156723976,3.1464427,0.082699366,2020-06-12
37,0.015970496460795403,3.3785915,0.06688672,2020-06-15
38,0.05302957445383072,3.97185,0.23734675,2020-06-16
39,0.012575708329677582,3.6898706,0.05460789,2020-06-17
40,0.013036157935857773,3.703144,0.067901954,2020-06-18
41,0.04438929632306099,3.9189582,0.18285018,2020-06-19
42,0.06924376636743546,3.9630828,0.33109975,2020-06-22
43,0.06130624935030937,3.9226983,0.29743698,2020-06-23
44,0.018151188269257545,3.6489532,0.0822247,2020-06-24
45,0.019929317757487297,3.755615,0.08899503,2020-06-25
46,0.015379240736365318,3.7223492,0.07240893,2020-06-26
47,0.033384617418050766,3.8347993,0.15167214,2020-06-29
48,0.02477133460342884,3.8061993,0.10425583,2020-06-30
49,0.04570362716913223,3.9749916,0.19959292,2020-07-01
50,0.04038102924823761,3.92022,0.16351044,2020-07-02
51,0.019643083214759827,3.8415456,0.086061835,2020-07-06
52,0.03703542798757553,3.9074895,0.15479366,2020-07-07
53,0.050378624349832535,3.9472227,0.21150859,2020-07-08
54,0.04470158740878105,3.9510365,0.18751398,2020-07-09
55,0.0211167111992836,3.7039104,0.095551774,2020-07-10
56,0.01249424833804369,3.702927,0.056738943,2020-07-13
57,0.033325597643852234,3.9258904,0.14798367,2020-07-14
58,0.05080210790038109,3.9460812,0.20191076,2020-07-15
59,0.042668890208005905,3.957372,0.18513973,2020-07-16
60,0.03530249372124672,3.8472385,0.15235272,2020-07-17
61,0.05897807702422142,3.91635,0.2917002,2020-07-20
62,0.06117480620741844,3.9873917,0.26225597,2020-07-21
63,0.0345146618783474,3.846991,0.14802265,2020-07-22
