timestep,ck_kl,ck_tv,date
0,1.0490688738889467,0.6205805992075636,2020-02-06
1,0.3228156762942803,0.353825937454343,2020-02-07
2,0.3952596094946041,0.38515883747181073,2020-02-10
3,0.35024166873215884,0.3588029363490971,2020-02-11
4,0.8736006236157966,0.5719272789605104,2020-02-12
5,1.117891215739203,0.6395279605006151,2020-02-13
6,0.988913636847337,0.6058317786316691,2020-02-14
7,0.675307538399861,0.5084113152109804,2020-02-18
8,0.5688673648586992,0.4653334203207315,2020-02-19
9,0.4122137757709949,0.3927927807117988,2020-02-20
10,0.6200576874568305,0.48544556466319666,2020-02-21
11,0.4317445595267953,0.4085586467640035,2020-02-24
12,0.0093023896130904,0.05241929686656865,2020-02-25
13,0.4129196458360956,0.3839390523770993,2020-02-26
14,0.026390955715862335,0.09600758451873098,2020-02-27
15,0.03544336134949129,0.11200015853719844,2020-02-28
16,0.023188424627755413,0.0820849896467763,2020-03-02
17,0.019441152111313052,0.07550024696993046,2020-03-03
18,0.16038119086244212,0.24493116806276657,2020-03-04
19,0.0972098688712478,0.18598767257473955,2020-03-05
20,0.018941864297679085,0.08138466054463461,2020-03-06
21,0.19613200693425242,0.2331362982567635,2020-03-09
22,0.10237269370948947,0.18260432168782648,2020-03-10
23,0.5934681682522751,0.4039938766413908,2020-03-11
24,0.35761801655746145,0.35063301165164346,2020-03-12
25,0.05573114068216985,0.12920158530823303,2020-03-13
26,0.6296096355862827,0.4965013751454281,2020-03-16
27,0.36947669628160534,0.36791624246711374,2020-03-17
28,1.0538922883841464,0.6006251848122642,2020-03-18
29,0.5200452940387168,0.4140687398282652,2020-03-19
30,0.20174995070653817,0.2701921479791867,2020-03-20
31,0.27628327919182855,0.3052081796884857,2020-03-23
32,0.4200035628196141,0.3455473501156346,2020-03-24
33,0.5881922719489017,0.40751524943957806,2020-03-25
34,0.05644580104256758,0.13147144404923478,2020-03-26
35,0.06580675879436351,0.14101634678354966,2020-03-27
36,0.030543680800920663,0.10514770404725524,2020-03-30
37,0.09579153738136402,0.16411200911466253,2020-03-31
38,0.12466480459068716,0.19503067711963365,2020-04-01
39,0.21116075463499934,0.24292007686925204,2020-04-02
40,0.1890595602434999,0.22822198323911838,2020-04-03
41,0.029235013327018916,0.09479926140999421,2020-04-06
42,0.47468981893150314,0.35847162206029515,2020-04-07
43,0.1720961128796738,0.20950835018600159,2020-04-08
44,0.02612581888732598,0.08490388510223122,2020-04-09
45,0.09945857038153173,0.16688474157439123,2020-04-13
46,0.1421398562194982,0.20225605328473245,2020-04-14
47,0.6304899131884785,0.4244741404251555,2020-04-15
48,0.0241557269360381,0.09424230468583379,2020-04-16
49,0.24286248503320287,0.2599097839898624,2020-04-17
50,0.03423151868350222,0.1097596527646097,2020-04-20
51,0.22183599949779753,0.24418967768084535,2020-04-21
52,0.08597338907629405,0.15111464699094954,2020-04-22
53,0.06111689841797382,0.13054506357076154,2020-04-23
54,0.09907689553785312,0.16399617434864405,2020-04-24
55,0.024065202642080386,0.07874705817130886,2020-04-27
56,0.21504652586778675,0.23829274864015343,2020-04-28
57,0.023191116833295864,0.07959529538473731,2020-04-29
58,0.06128938749675124,0.12603599578057004,2020-04-30
59,0.20287764901097363,0.23882124800259732,2020-05-01
60,0.09771522368615516,0.16282291337672228,2020-05-04
