timestep,ck_kl,ck_tv,date
0,0.952880600121571,0.6009310218971262,2020-02-06
1,0.39277554198286785,0.3893353948467212,2020-02-07
2,0.46157176069563627,0.4210399680003118,2020-02-10
3,0.4163401828621964,0.4001408257685442,2020-02-11
4,0.8988649369771762,0.5813311158451242,2020-02-12
5,0.9418224505615872,0.5937030896888673,2020-02-13
6,0.9213087156758112,0.5867759525436282,2020-02-14
7,0.6734181871978228,0.5056275089443844,2020-02-18
8,0.5758468224833905,0.47400702922659055,2020-02-19
9,0.35527396777423403,0.3698984135450809,2020-02-20
10,0.5852667972713036,0.47587104616232245,2020-02-21
11,0.14040926474651585,0.2380573924407978,2020-02-24
12,0.025001777788986778,0.07914933905714129,2020-02-25
13,0.26957518829047994,0.30815897032158795,2020-02-26
14,0.018682172599043537,0.07864953225486108,2020-02-27
15,0.029867181702432154,0.09678971256245375,2020-02-28
16,0.020832862671963708,0.07773581263673128,2020-03-02
17,0.013625676585116488,0.06941922198205734,2020-03-03
18,0.09414746748588898,0.18607634761710165,2020-03-04
19,0.07592799928818196,0.1643476779020058,2020-03-05
20,0.024261185564806675,0.0949615085151219,2020-03-06
21,0.33118924416068013,0.3235405553893911,2020-03-09
22,0.04895886904808575,0.13201212406338456,2020-03-10
23,0.4452182260836607,0.3344992858197198,2020-03-11
24,0.46570142102134726,0.3963721730532789,2020-03-12
25,0.05146246857365805,0.12130194538192345,2020-03-13
26,0.7390568359193115,0.5146654626390695,2020-03-16
27,0.6409646334612364,0.4858707875486775,2020-03-17
28,0.8481864899519681,0.5391772908358569,2020-03-18
29,0.35716252615910654,0.3350156927137718,2020-03-19
30,0.35609990711200756,0.35035276318803216,2020-03-20
31,0.43814822541155535,0.3908378842496812,2020-03-23
32,0.3980505094591606,0.3435380707600478,2020-03-24
33,0.7480676392895756,0.4803743780062928,2020-03-25
34,0.040119757327847824,0.12417594005364375,2020-03-26
35,0.06447772254110458,0.14946356817419812,2020-03-27
36,0.03305574211537249,0.11043225687551948,2020-03-30
37,0.12138091350477903,0.187063954753398,2020-03-31
38,0.08903326081614428,0.16785408816635614,2020-04-01
39,0.1551396104913392,0.19815802844575692,2020-04-02
40,0.1846215979589156,0.22628500827814163,2020-04-03
41,0.018709008771702434,0.08010940678380299,2020-04-06
42,0.20668338435359174,0.2360826085478648,2020-04-07
43,0.10761614009893795,0.1678249101732725,2020-04-08
44,0.017864539373916858,0.07429402965658205,2020-04-09
45,0.05408104293758083,0.12770121634434667,2020-04-13
46,0.07309888432777238,0.15324699567310351,2020-04-14
47,0.27898018924814333,0.2665353257688547,2020-04-15
48,0.06304625546985779,0.13779907802172212,2020-04-16
49,0.12727697080411896,0.19116975086504004,2020-04-17
50,0.03343887810333257,0.10488563377675025,2020-04-20
51,0.19169200547765575,0.22592715665316512,2020-04-21
52,0.05673679705731418,0.12156915907793273,2020-04-22
53,0.08453907786048118,0.14420944070114386,2020-04-23
54,0.0938616105447798,0.15702898986704036,2020-04-24
55,0.020383539379594015,0.07182414710790362,2020-04-27
56,0.17662893361012164,0.21141639350298363,2020-04-28
57,0.049443405551600275,0.14097082093278548,2020-04-29
58,0.06912906299068136,0.13416425604638843,2020-04-30
59,0.17522214295698627,0.2140388436576413,2020-05-01
60,0.14649959748467214,0.20063709099667612,2020-05-04
61,0.07213607687772228,0.13841683002816643,2020-05-05
62,0.31544061749731284,0.2840760259268594,2020-05-06
63,0.06645541579961982,0.1345015266239955,2020-05-07
64,0.16274975973980393,0.2043230674320423,2020-05-08
65,0.06382276636342236,0.13135677093948156,2020-05-11
66,0.24697617612350742,0.24736665546833322,2020-05-12
67,0.14985026265865353,0.19803228900362016,2020-05-13
68,0.40301862719122605,0.32219844069180065,2020-05-14
69,0.21668382187144883,0.2333053595273178,2020-05-15
70,0.14415462157686743,0.19406676169616002,2020-05-18
71,0.18850734235240346,0.22679182435661305,2020-05-19
72,0.18855250402479085,0.22667685896591633,2020-05-20
73,0.029226182709081783,0.08452014487851187,2020-05-21
74,0.02478682651907889,0.07119529677274139,2020-05-22
75,0.19754326412091985,0.23023347322820908,2020-05-26
76,0.03764989935836042,0.09704412244954054,2020-05-27
77,0.2928048483230062,0.2841058381120689,2020-05-28
78,0.4298133459293444,0.3277447069320121,2020-05-29
79,0.0479931506018997,0.10823680261252794,2020-06-01
80,0.3832220584817718,0.3158743801227585,2020-06-02
81,0.02125635619446745,0.07359290883170252,2020-06-03
