model,h,N,seed,nll_train,nll_val,nll_test,delta_marginal
state_cond,1,4,42,1.3452205657958984,1.3553119897842407,1.398789882659912,0.0124955215400215
state_cond,1,4,7,1.3458691835403442,1.3564047813415527,1.4015226364135742,0.0152282752936836
state_cond,1,4,123,1.3424848318099976,1.354607105255127,1.403576135635376,0.0172817745154854
state_free,1,4,42,1.3480652570724487,1.3560336828231812,1.4022599458694458,0.0159655847495552
state_free,1,4,7,1.3509950637817385,1.3575003147125244,1.4039572477340698,0.0176628866141792
state_free,1,4,123,1.3452215194702148,1.35477876663208,1.4073894023895264,0.0210950412696357
state_cond,5,4,42,1.3224434852600098,1.3632549047470093,1.4123989343643188,0.0261045732444282
state_cond,5,4,7,1.3415948152542114,1.365185260772705,1.406830072402954,0.0205357112830635
state_cond,5,4,123,1.323440432548523,1.367052435874939,1.410295009613037,0.0240006484931465
state_free,5,4,42,1.3458532094955444,1.3651763200759888,1.4071459770202637,0.0208516159003731
state_free,5,4,7,1.3473039865493774,1.3619506359100342,1.4068115949630735,0.0205172338431831
state_free,5,4,123,1.317272663116455,1.3611687421798706,1.4150357246398926,0.028741363520002
state_cond,10,4,42,1.3574620485305786,1.392945408821106,1.419941782951355,0.0336474218314644
state_cond,10,4,7,1.3361711502075195,1.3997349739074707,1.4218182563781738,0.0355238952582832
state_cond,10,4,123,1.3513396978378296,1.394453763961792,1.4211641550064087,0.0348697938865181
state_free,10,4,42,1.3617630004882812,1.393972873687744,1.4200050830841064,0.0337107219642158
state_free,10,4,7,1.3588461875915527,1.3958982229232788,1.4210563898086548,0.0347620286887642
state_free,10,4,123,1.3617961406707764,1.3957339525222778,1.4208914041519165,0.0345970430320259
state_cond,21,4,42,1.3558951616287231,1.404906988143921,1.4305977821350098,0.0443034210151191
state_cond,21,4,7,1.3503265380859375,1.40461528301239,1.426375150680542,0.0400807895606514
state_cond,21,4,123,1.3487526178359983,1.4027035236358645,1.426340103149414,0.0400457420295234
state_free,21,4,42,1.3608418703079224,1.4018725156784058,1.4280283451080322,0.0417339839881416
state_free,21,4,7,1.354663610458374,1.404481291770935,1.4363572597503662,0.0500628986304756
state_free,21,4,123,1.3598209619522097,1.4026352167129517,1.4257452487945557,0.039450887674665
state_cond,63,4,42,1.329805850982666,1.419573187828064,1.4377098083496094,0.0514154472297188
state_cond,63,4,7,1.338258147239685,1.416378378868103,1.4273977279663086,0.041103366846418
state_cond,63,4,123,1.3225971460342407,1.4213809967041016,1.4332542419433594,0.0469598808234688
state_free,63,4,42,1.3317888975143433,1.4238358736038208,1.4393516778945925,0.0530573167747017
state_free,63,4,7,1.326749324798584,1.418228030204773,1.4398850202560425,0.0535906591361519
state_free,63,4,123,1.3362550735473633,1.4185041189193726,1.4271067380905151,0.0408123769706245
state_cond,1,10,42,2.176361322402954,2.2130846977233887,2.285150051116944,-0.0174350418771025
state_cond,1,10,7,2.177510023117065,2.211988925933838,2.2885611057281494,-0.0140239872658964
state_cond,1,10,123,2.179415464401245,2.2114603519439697,2.2913360595703125,-0.0112490334237334
state_free,1,10,42,2.1782445907592773,2.2138993740081787,2.288064956665039,-0.0145201363290068
state_free,1,10,7,2.186401844024658,2.2134785652160645,2.298473596572876,-0.0041114964211699
state_free,1,10,123,2.180047512054444,2.2114834785461426,2.288957118988037,-0.0136279740060087
state_cond,5,10,42,2.1706862449646,2.240286350250244,2.299180030822754,-0.0034050621712919
state_cond,5,10,7,2.1583714485168457,2.2429099082946777,2.2957801818847656,-0.0068049111092802
state_cond,5,10,123,2.1845853328704834,2.244449615478516,2.3025174140930176,-6.767890102832297e-05
state_free,5,10,42,2.1914570331573486,2.243471622467041,2.3019769191741943,-0.0006081738198515
state_free,5,10,7,2.185213088989258,2.24295711517334,2.3022286891937256,-0.0003564038003203
state_free,5,10,123,2.147638320922852,2.2398054599761963,2.304669141769409,0.0020840487753632
state_cond,10,10,42,2.21426010131836,2.292604684829712,2.3347408771514893,0.0321557841574433
state_cond,10,10,7,2.2139763832092285,2.2968099117279053,2.338390588760376,0.03580549576633
state_cond,10,10,123,2.211537599563598,2.292742967605591,2.339515924453736,0.0369308314596894
state_free,10,10,42,2.2171852588653564,2.2970528602600098,2.3325228691101074,0.0299377761160615
state_free,10,10,7,2.214104652404785,2.294984817504883,2.340829610824585,0.038244517830539
state_free,10,10,123,2.2182233333587646,2.299914598464966,2.3408524990081787,0.0382674060141328
state_cond,21,10,42,2.22058629989624,2.2989652156829834,2.323286294937134,0.0207012019430878
