timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.0,3.759689,0.0,2020-03-27
1,0.0,3.8304458,0.0,2020-03-30
2,0.0,3.7285259,0.0,2020-03-31
3,0.0,3.5874333,0.0,2020-04-01
4,0.0,3.6722443,0.0,2020-04-02
5,0.0,3.7136202,0.0,2020-04-03
6,0.0,3.8887277,0.0,2020-04-06
7,0.0,3.4351482,0.0,2020-04-07
8,0.0,3.787449,0.0,2020-04-08
9,0.0,3.8757203,0.0,2020-04-09
10,0.0,3.6997252,0.0,2020-04-13
11,0.0,3.5212824,0.0,2020-04-14
12,0.0,3.2807553,0.0,2020-04-15
13,0.0,3.6772783,0.0,2020-04-16
14,0.0,3.6127417,0.0,2020-04-17
15,0.0,3.7457685,0.0,2020-04-20
16,0.0,3.8727539,0.0,2020-04-21
17,0.0,3.7309284,0.0,2020-04-22
18,0.0,3.7068264,0.0,2020-04-23
19,0.0,3.8695982,0.0,2020-04-24
20,0.0,3.8780413,0.0,2020-04-27
21,0.0,3.9168885,0.0,2020-04-28
22,0.0,3.9664798,0.0,2020-04-29
23,0.0,3.8883154,0.0,2020-04-30
24,0.0,3.833927,0.0,2020-05-01
25,0.0,3.8771043,0.0,2020-05-04
26,0.0,3.8933208,0.0,2020-05-05
27,0.0,3.8648949,0.0,2020-05-06
28,0.0,3.9304001,0.0,2020-05-07
29,0.0,3.9238029,0.0,2020-05-08
30,0.0,3.9214058,0.0,2020-05-11
31,0.0,3.833786,0.0,2020-05-12
32,0.0,3.7864025,0.0,2020-05-13
33,0.0,3.8023732,0.0,2020-05-14
34,0.0,3.9081943,0.0,2020-05-15
35,0.0,3.9011421,0.0,2020-05-18
36,0.0,3.9092107,0.0,2020-05-19
37,0.0,3.9780643,0.0,2020-05-20
38,0.0,3.9732628,0.0,2020-05-21
39,0.0,4.0034285,0.0,2020-05-22
40,0.0,3.9504433,0.0,2020-05-26
41,0.0,3.922419,0.0,2020-05-27
42,0.0,3.9167671,0.0,2020-05-28
43,0.0,3.9285517,0.0,2020-05-29
44,0.0,3.9669514,0.0,2020-06-01
45,0.0,3.8699224,0.0,2020-06-02
46,0.0,3.9581351,0.0,2020-06-03
47,0.0,3.9930222,0.0,2020-06-04
48,0.0,4.004593,0.0,2020-06-05
49,0.0,3.971954,0.0,2020-06-08
50,0.0,3.95696,0.0,2020-06-09
51,0.0,3.8776708,0.0,2020-06-10
52,0.0,3.6971996,0.0,2020-06-11
53,0.0,3.6579726,0.0,2020-06-12
54,0.0,3.9273632,0.0,2020-06-15
55,0.0,3.9993222,0.0,2020-06-16
56,0.0,3.8621337,0.0,2020-06-17
57,0.0,3.8963168,0.0,2020-06-18
58,0.0,3.927297,0.0,2020-06-19
59,0.0,3.974313,0.0,2020-06-22
60,0.0,3.994034,0.0,2020-06-23
61,0.0,3.8552139,0.0,2020-06-24
62,0.0,3.9005275,0.0,2020-06-25
63,0.0,3.9044802,0.0,2020-06-26
64,0.0,3.9340973,0.0,2020-06-29
65,0.0,3.9676847,0.0,2020-06-30
66,0.0,3.9932008,0.0,2020-07-01
67,0.0,3.9510062,0.0,2020-07-02
68,0.0,3.931874,0.0,2020-07-06
69,0.0,3.9772072,0.0,2020-07-07
70,0.0,3.973635,0.0,2020-07-08
71,0.0,3.9440446,0.0,2020-07-09
72,0.0,3.9462774,0.0,2020-07-10
73,0.0,3.8200035,0.0,2020-07-13
74,0.0,3.9384675,0.0,2020-07-14
75,0.0,4.00116,0.0,2020-07-15
76,0.0,3.9963784,0.0,2020-07-16
77,0.0,3.9287376,0.0,2020-07-17
78,0.0,4.001784,0.0,2020-07-20
79,0.0,3.9964347,0.0,2020-07-21
80,0.0,4.0044494,0.0,2020-07-22
81,0.0,3.9930856,0.0,2020-07-23
82,0.0,3.9915328,0.0,2020-07-24
83,0.0,4.0034666,0.0,2020-07-27
84,0.0,3.918893,0.0,2020-07-28
85,0.0,3.9661894,0.0,2020-07-29
86,0.0,4.0022264,0.0,2020-07-30
