timestep,ck_kl,ck_tv,date
0,0.02833290375611688,0.0979179717700882,2020-04-17
1,0.03471224352885676,0.09627783311909216,2020-04-20
2,0.039793802933991394,0.1109337388809851,2020-04-21
3,0.0390329986848252,0.10825278855385713,2020-04-22
4,0.016452605590409224,0.06972295196063837,2020-04-23
5,0.10253936790183737,0.17616099429507828,2020-04-24
6,0.017802439237816783,0.07434313541987503,2020-04-27
7,0.02619385219643439,0.09273188341238152,2020-04-28
8,0.008535990928938999,0.0526957138799105,2020-04-29
9,0.15368998333823056,0.23170193488696886,2020-04-30
10,0.025936743275580404,0.0864818674059023,2020-05-01
11,0.033217716362118795,0.09863177366469413,2020-05-04
12,0.22205338646830186,0.2555119246688512,2020-05-05
13,0.017471828796903538,0.07246020649397228,2020-05-06
14,0.06903339261883133,0.15141806711734918,2020-05-07
15,0.010399188107979249,0.056151121188943276,2020-05-08
16,0.03974100060890389,0.10569452271385227,2020-05-11
17,0.060559903251009,0.1417766082817009,2020-05-12
18,0.04368927658094772,0.11276565418218355,2020-05-13
19,0.015245526360938653,0.06556115287729093,2020-05-14
20,0.0868111464451943,0.1565745558596901,2020-05-15
21,0.19732238744678435,0.247416429855209,2020-05-18
22,0.08912073795862505,0.17906870923237353,2020-05-19
23,0.08680989845345513,0.17342590669745803,2020-05-20
24,0.02168261386046,0.08801591231978902,2020-05-21
25,0.16397885796960496,0.25092947456253395,2020-05-22
26,0.0751366942288321,0.14773843182506555,2020-05-26
27,0.14274585270695955,0.20667124395487962,2020-05-27
28,0.03909384648661911,0.11853808542307868,2020-05-28
29,0.03081010164895598,0.09449331332604247,2020-05-29
30,0.005443859394023297,0.04103687425873619,2020-06-01
31,0.021711450547761326,0.08087167887790177,2020-06-02
32,0.2246734541275228,0.2566545355152656,2020-06-03
33,0.011783984185057375,0.061861285039648904,2020-06-04
34,0.4083279906200766,0.37426611262640075,2020-06-05
35,0.23575090080111613,0.28689363017456965,2020-06-08
36,0.11372421395605029,0.21038067859892845,2020-06-09
37,0.033037714811216194,0.09898883662862479,2020-06-10
38,0.23283556494261462,0.27080838535032986,2020-06-11
39,0.013943620467405349,0.06438219225073002,2020-06-12
40,0.018710044572141243,0.07946872290359518,2020-06-15
41,0.04759999770682083,0.11632329835910049,2020-06-16
42,0.09472030016985845,0.17013965172595624,2020-06-17
43,0.03793065247534248,0.10642585223706941,2020-06-18
44,0.04968114381003479,0.12906200057924866,2020-06-19
45,0.043562537128852025,0.12696774070582342,2020-06-22
46,0.06140293269937045,0.1537471034268506,2020-06-23
47,0.03806140228708882,0.10517097465460928,2020-06-24
48,0.1329618796918976,0.2014446245136363,2020-06-25
49,0.06987580734413969,0.14549520354239218,2020-06-26
50,0.021243017573354294,0.08889231992569537,2020-06-29
51,0.14896335878779268,0.19541802083517662,2020-06-30
52,0.010668291121167734,0.0591956869914011,2020-07-01
53,0.014460450604228068,0.07176698427898506,2020-07-02
54,0.11715188940257013,0.1881767420091354,2020-07-06
55,0.031195655233095056,0.10957423332066579,2020-07-07
56,0.01776026076792752,0.07057861426616378,2020-07-08
57,0.009881312107930027,0.057783044412569845,2020-07-09
58,0.010056054389418787,0.05889397206002282,2020-07-10
59,0.10809966067103181,0.18378520053738812,2020-07-13
60,0.12357452223321413,0.18800383735960813,2020-07-14
61,0.020842876790542447,0.0869436148968824,2020-07-15
62,0.5243229234390665,0.34788390525559015,2020-07-16
63,0.07420398212834443,0.14387838341991632,2020-07-17
64,0.053671631970720265,0.14600216023005366,2020-07-20
65,0.12229843652090705,0.17631863964748873,2020-07-21
66,0.11356769792179183,0.20884692124100307,2020-07-22
67,0.03865430452726024,0.12192467505622835,2020-07-23
68,0.10912432082103447,0.1534554173491733,2020-07-24
69,0.008129409822085083,0.05242104217692738,2020-07-27
70,0.0831629605497787,0.14929710598454674,2020-07-28
71,0.02614351133115098,0.06634313701326908,2020-07-29
72,0.013041377359469768,0.06825473302310141,2020-07-30
73,0.007692114228140688,0.05000201689765223,2020-07-31
74,0.007906808843140722,0.046188419118152864,2020-08-03
75,0.005356130161655308,0.03878340623734957,2020-08-04
76,0.016068144053095198,0.0776653917825155,2020-08-05
77,0.13907004955324848,0.16980259639828055,2020-08-06
78,0.020514635310452455,0.08728576037955835,2020-08-07
79,0.07797280606225049,0.126306559176068,2020-08-10
80,0.013634501860030089,0.049335955922775024,2020-08-11
81,0.04206162961714453,0.12516821488372756,2020-08-12
82,0.09607944774069004,0.1933669770815775,2020-08-13
83,0.01677309363784958,0.07887171828066006,2020-08-14
84,0.04409769656084256,0.12833499872088366,2020-08-17
85,0.05377870737854655,0.14535241394168832,2020-08-18
86,0.018016418603878936,0.06317865745168647,2020-08-19
87,0.008679600461894343,0.04282368231590435,2020-08-20
88,0.03854593589311462,0.12196633861399417,2020-08-21
89,0.05229838480188231,0.1051026264949957,2020-08-24
90,0.022410275102779126,0.09130457187378323,2020-08-25
91,0.06194794424093927,0.15143327935814155,2020-08-26
92,0.011254097653319852,0.06286347522195078,2020-08-27
93,0.13676696141578412,0.22973586158053882,2020-08-28
94,0.020265215521107112,0.08872175607079434,2020-08-31
95,0.15648192249201323,0.2471679934425646,2020-09-01
96,0.024612810577929727,0.09669160087264377,2020-09-02
