model,h,N,seed,nll_train,nll_val,nll_test,delta_marginal
state_cond,1,4,42,1.353585124015808,1.3279087543487549,1.413594365119934,0.0273000040000435
state_cond,1,4,7,1.3580420017242432,1.3308900594711304,1.418567419052124,0.0322730579322334
state_cond,1,4,123,1.354028820991516,1.3291140794754028,1.4164159297943115,0.0301215686744209
state_free,1,4,42,1.3631212711334229,1.330353856086731,1.4242912530899048,0.0379968919700142
state_free,1,4,7,1.3491500616073608,1.3263126611709597,1.418157696723938,0.0318633356040474
state_free,1,4,123,1.3545796871185305,1.327280044555664,1.4178009033203125,0.0315065422004219
state_cond,5,4,42,1.3517996072769165,1.34900963306427,1.4197533130645752,0.0334589519446846
state_cond,5,4,7,1.3685141801834106,1.351286768913269,1.4218634366989136,0.035569075579023
state_cond,5,4,123,1.3694788217544556,1.3512253761291504,1.4167959690093994,0.0305016078895088
state_free,5,4,42,1.3720117807388306,1.352713704109192,1.4255259037017822,0.0392315425818916
state_free,5,4,7,1.3618857860565186,1.3494032621383667,1.4180545806884766,0.0317602195685859
state_free,5,4,123,1.3732619285583496,1.3545470237731934,1.416791915893555,0.0304975547736641
state_cond,10,4,42,1.3771454095840454,1.3721821308135986,1.4250813722610474,0.0387870111411567
state_cond,10,4,7,1.372355580329895,1.371645212173462,1.4208810329437256,0.034586671823835
state_cond,10,4,123,1.3740824460983276,1.3721060752868652,1.4199575185775757,0.0336631574576851
state_free,10,4,42,1.375400185585022,1.371893048286438,1.4266068935394287,0.0403125324195381
state_free,10,4,7,1.3700706958770752,1.3700103759765625,1.4297116994857788,0.0434173383658882
state_free,10,4,123,1.377377986907959,1.3733360767364502,1.4203368425369265,0.0340424814170357
state_cond,21,4,42,1.3270483016967771,1.3655866384506226,1.4669179916381836,0.080623630518293
state_cond,21,4,7,1.3736286163330078,1.3776623010635376,1.4414345026016235,0.0551401414817329
state_cond,21,4,123,1.3518197536468506,1.3708213567733765,1.4432264566421509,0.0569320955222603
state_free,21,4,42,1.3590340614318848,1.3715163469314575,1.4368611574172974,0.0505667962974067
