timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.0012497954303398728,2.299787,0.005161077,2020-02-06
1,0.0016951467841863632,2.3018017,0.0067805946,2020-02-07
2,0.0015796429943293333,2.3005478,0.0064474978,2020-02-10
3,0.0014496900839731097,2.3000748,0.0064916424,2020-02-11
4,0.0014175542164593935,2.2998323,0.0060054846,2020-02-12
5,0.0015201971400529146,2.3001504,0.006203335,2020-02-13
6,0.0016872608102858067,2.3012888,0.006781798,2020-02-14
7,0.0017991221975535154,2.3017783,0.00719076,2020-02-18
8,0.0017235918203368783,2.3012083,0.006623544,2020-02-19
9,0.00164296745788306,2.3009286,0.0071553253,2020-02-20
10,0.0016530309803783894,2.3011994,0.006140031,2020-02-21
11,0.0028941468335688114,2.3003821,0.010998681,2020-02-24
12,0.00521494634449482,2.2567046,0.019108068,2020-02-25
13,0.005532262846827507,2.2520623,0.022222217,2020-02-26
14,0.00619892030954361,2.2215862,0.023271367,2020-02-27
15,0.0068479240871965885,2.1422274,0.024021726,2020-02-28
16,0.004832458682358265,2.2759478,0.018807843,2020-03-02
17,0.004775499925017357,2.232317,0.016287087,2020-03-03
18,0.003924114629626274,2.2784011,0.016350668,2020-03-04
19,0.005492651369422674,2.1816082,0.020118196,2020-03-05
20,0.0060999225825071335,2.14052,0.02270481,2020-03-06
21,0.003440504427999258,1.4192107,0.01263587,2020-03-09
22,0.003870612010359764,1.5330005,0.015210155,2020-03-10
23,0.0052746012806892395,1.8642681,0.019919079,2020-03-11
24,0.003996807150542736,1.5294335,0.015299625,2020-03-12
25,0.003732826327905059,1.5731559,0.013959019,2020-03-13
26,0.001444673864170909,1.1910932,0.005356146,2020-03-16
27,0.0034472779370844364,1.4702641,0.0131082665,2020-03-17
28,0.00305966567248106,1.4030823,0.011640617,2020-03-18
29,0.003582729957997799,1.6461011,0.015640642,2020-03-19
30,0.005079596769064665,1.7408471,0.021033362,2020-03-20
31,0.0027514842804521322,1.3857144,0.011027346,2020-03-23
32,0.005470390897244215,2.0553818,0.020862231,2020-03-24
33,0.004345757886767387,1.8076324,0.015248099,2020-03-25
34,0.0036453448701649904,2.246641,0.017250333,2020-03-26
35,0.005775034427642822,2.099377,0.022280926,2020-03-27
36,0.005090384744107723,2.0610912,0.022727355,2020-03-30
37,0.0055813295766711235,1.9881669,0.022257674,2020-03-31
38,0.005678062792867422,1.824474,0.01968966,2020-04-01
39,0.006196219939738512,1.9905076,0.022182837,2020-04-02
40,0.005987720098346472,1.9426315,0.021473594,2020-04-03
41,0.004794546402990818,2.2104573,0.019960916,2020-04-06
42,0.004848949145525694,1.8604692,0.01691602,2020-04-07
43,0.004153591580688953,2.0881677,0.019022048,2020-04-08
44,0.0029210171196609735,2.2993004,0.012261424,2020-04-09
45,0.00551442289724946,2.042053,0.020256411,2020-04-13
46,0.00468667596578598,2.0327117,0.017396081,2020-04-14
47,0.00413754116743803,1.5461117,0.014354763,2020-04-15
48,0.005626038648188114,2.0955703,0.021666849,2020-04-16
49,0.005803456995636225,2.1405175,0.02190416,2020-04-17
50,0.005487152375280857,2.2139323,0.020133631,2020-04-20
51,0.00504412641748786,2.2327397,0.019796629,2020-04-21
52,0.005889859050512314,1.9566433,0.0225879,2020-04-22
53,0.004440919030457735,2.1628337,0.017853148,2020-04-23
54,0.0037785861641168594,2.2821217,0.014631595,2020-04-24
55,0.003382159397006035,2.2876103,0.011826612,2020-04-27
56,0.00343385711312294,2.2886224,0.011850461,2020-04-28
57,0.00191002176143229,2.3020425,0.009236481,2020-04-29
58,0.0037732648197561502,2.2879183,0.015516687,2020-04-30
59,0.006052816286683083,2.139501,0.02292004,2020-05-01
60,0.005565985105931759,2.230451,0.021669652,2020-05-04
61,0.004853817168623209,2.2732897,0.018266536,2020-05-05
62,0.004233117680996656,2.2594497,0.016761407,2020-05-06
63,0.0034873902332037687,2.2955644,0.014875222,2020-05-07
64,0.003022155025973916,2.2969635,0.011021633,2020-05-08
65,0.0029314584098756313,2.2948074,0.012174219,2020-05-11
66,0.0048584407195448875,2.2593474,0.019519001,2020-05-12
67,0.00663511548191309,2.1796606,0.024774496,2020-05-13
68,0.005774420220404863,2.2229664,0.022524908,2020-05-14
69,0.003659632056951523,2.2923045,0.013612449,2020-05-15
70,0.0030876079108566046,2.2932687,0.0120058805,2020-05-18
71,0.0037442343309521675,2.2731059,0.013425764,2020-05-19
72,0.004659753758460283,2.2151957,0.020737195,2020-05-20
73,0.0029315678402781487,2.2995603,0.010879926,2020-05-21
74,0.002131859539076686,2.3021448,0.008500207,2020-05-22
75,0.0019139020005241036,2.3021019,0.0076627694,2020-05-26
76,0.002555599668994546,2.2974327,0.010276079,2020-05-27
