timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.0,2.9469395,0.0,2020-02-06
1,0.0,2.9806974,0.0,2020-02-07
2,0.0,2.9577367,0.0,2020-02-10
3,0.0,2.9587524,0.0,2020-02-11
4,0.0,2.951753,0.0,2020-02-12
5,0.0,2.9619496,0.0,2020-02-13
6,0.0,2.9583187,0.0,2020-02-14
7,0.0,2.979481,0.0,2020-02-18
8,0.0,2.9565067,0.0,2020-02-19
9,0.0,2.9669862,0.0,2020-02-20
10,0.0,2.9608514,0.0,2020-02-21
11,0.0,2.9931154,0.0,2020-02-24
12,0.0,2.9086168,0.0,2020-02-25
13,0.0,2.8925192,0.0,2020-02-26
14,0.0,2.816728,0.0,2020-02-27
15,0.0,2.8223107,0.0,2020-02-28
16,0.0,2.8555443,0.0,2020-03-02
17,0.0,2.8444364,0.0,2020-03-03
18,0.0,2.954254,0.0,2020-03-04
19,0.0,2.7485976,0.0,2020-03-05
20,0.0,2.7914393,0.0,2020-03-06
21,0.0,2.1174576,0.0,2020-03-09
22,0.0,2.3875403,0.0,2020-03-10
23,0.0,2.2633584,0.0,2020-03-11
24,0.0,2.2821686,0.0,2020-03-12
25,0.0,2.347544,0.0,2020-03-13
26,0.0,1.6902553,0.0,2020-03-16
27,0.0,2.2666526,0.0,2020-03-17
28,0.0,1.8572313,0.0,2020-03-18
29,0.0,2.1210177,0.0,2020-03-19
30,0.0,2.1913667,0.0,2020-03-20
31,0.0,2.021279,0.0,2020-03-23
32,0.0,2.5254571,0.0,2020-03-24
33,0.0,2.3177788,0.0,2020-03-25
34,0.0,2.7080176,0.0,2020-03-26
35,0.0,2.5906339,0.0,2020-03-27
36,0.0,2.7081738,0.0,2020-03-30
37,0.0,2.5061862,0.0,2020-03-31
38,0.0,2.4981174,0.0,2020-04-01
39,0.0,2.632325,0.0,2020-04-02
40,0.0,2.386515,0.0,2020-04-03
41,0.0,2.775309,0.0,2020-04-06
42,0.0,2.2244477,0.0,2020-04-07
43,0.0,2.586895,0.0,2020-04-08
44,0.0,2.740345,0.0,2020-04-09
45,0.0,2.3262336,0.0,2020-04-13
46,0.0,2.279956,0.0,2020-04-14
47,0.0,1.953352,0.0,2020-04-15
48,0.0,2.6412055,0.0,2020-04-16
49,0.0,2.3812406,0.0,2020-04-17
50,0.0,2.6539218,0.0,2020-04-20
51,0.0,2.6458611,0.0,2020-04-21
52,0.0,2.5503097,0.0,2020-04-22
53,0.0,2.36291,0.0,2020-04-23
54,0.0,2.913532,0.0,2020-04-24
55,0.0,2.7110226,0.0,2020-04-27
56,0.0,2.8241143,0.0,2020-04-28
57,0.0,2.91073,0.0,2020-04-29
58,0.0,2.8630471,0.0,2020-04-30
59,0.0,2.7311263,0.0,2020-05-01
60,0.0,2.8153405,0.0,2020-05-04
61,0.0,2.8680577,0.0,2020-05-05
62,0.0,2.7857332,0.0,2020-05-06
63,0.0,2.9174006,0.0,2020-05-07
64,0.0,2.8865488,0.0,2020-05-08
65,0.0,2.8718567,0.0,2020-05-11
66,0.0,2.888135,0.0,2020-05-12
67,0.0,2.7881794,0.0,2020-05-13
68,0.0,2.7914069,0.0,2020-05-14
69,0.0,2.863634,0.0,2020-05-15
70,0.0,2.8067265,0.0,2020-05-18
71,0.0,2.8461742,0.0,2020-05-19
72,0.0,2.879193,0.0,2020-05-20
73,0.0,2.9784718,0.0,2020-05-21
74,0.0,2.9939153,0.0,2020-05-22
75,0.0,2.9531298,0.0,2020-05-26
76,0.0,2.914562,0.0,2020-05-27
77,0.0,2.8376946,0.0,2020-05-28
78,0.0,2.935145,0.0,2020-05-29
79,0.0,2.954529,0.0,2020-06-01
80,0.0,2.8495386,0.0,2020-06-02
81,0.0,2.9904172,0.0,2020-06-03
82,0.0,2.9907873,0.0,2020-06-04
83,0.0,2.9830627,0.0,2020-06-05
84,0.0,2.9947011,0.0,2020-06-08
85,0.0,2.9807606,0.0,2020-06-09
86,0.0,2.8314056,0.0,2020-06-10
87,0.0,2.4734173,0.0,2020-06-11
88,0.0,2.6148036,0.0,2020-06-12
89,0.0,2.7629066,0.0,2020-06-15
90,0.0,2.9830935,0.0,2020-06-16
91,0.0,2.770141,0.0,2020-06-17
92,0.0,2.7398481,0.0,2020-06-18
93,0.0,2.9512026,0.0,2020-06-19
94,0.0,2.994814,0.0,2020-06-22
95,0.0,2.9948783,0.0,2020-06-23
96,0.0,2.7831757,0.0,2020-06-24
97,0.0,2.905977,0.0,2020-06-25
98,0.0,2.725306,0.0,2020-06-26
99,0.0,2.954709,0.0,2020-06-29
100,0.0,2.9587142,0.0,2020-06-30
101,0.0,2.968028,0.0,2020-07-01
102,0.0,2.9851823,0.0,2020-07-02
103,0.0,2.8874931,0.0,2020-07-06
104,0.0,2.9530854,0.0,2020-07-07
105,0.0,2.9936168,0.0,2020-07-08
106,0.0,2.9448755,0.0,2020-07-09
107,0.0,2.9393003,0.0,2020-07-10
108,0.0,2.6908112,0.0,2020-07-13
109,0.0,2.9149265,0.0,2020-07-14
110,0.0,2.9936564,0.0,2020-07-15
111,0.0,2.9927065,0.0,2020-07-16
112,0.0,2.9716597,0.0,2020-07-17
113,0.0,2.989026,0.0,2020-07-20
114,0.0,2.9944139,0.0,2020-07-21
115,0.0,2.9931388,0.0,2020-07-22
116,0.0,2.9942882,0.0,2020-07-23
117,0.0,2.983916,0.0,2020-07-24
118,0.0,2.9921017,0.0,2020-07-27
119,0.0,2.936383,0.0,2020-07-28
120,0.0,2.9929485,0.0,2020-07-29
121,0.0,2.9938197,0.0,2020-07-30
122,0.0,2.9881656,0.0,2020-07-31
123,0.0,2.9936652,0.0,2020-08-03
124,0.0,2.9866958,0.0,2020-08-04
125,0.0,2.993978,0.0,2020-08-05
126,0.0,2.9900553,0.0,2020-08-06
127,0.0,2.9835517,0.0,2020-08-07
128,0.0,2.9923708,0.0,2020-08-10
129,0.0,2.977642,0.0,2020-08-11
130,0.0,2.987122,0.0,2020-08-12
131,0.0,2.9942532,0.0,2020-08-13
132,0.0,2.9891038,0.0,2020-08-14
133,0.0,2.9945395,0.0,2020-08-17
134,0.0,2.9905145,0.0,2020-08-18
135,0.0,2.99062,0.0,2020-08-19
136,0.0,2.994788,0.0,2020-08-20
137,0.0,2.9846509,0.0,2020-08-21
138,0.0,2.9948738,0.0,2020-08-24
139,0.0,2.9868822,0.0,2020-08-25
140,0.0,2.984782,0.0,2020-08-26
141,0.0,2.9930978,0.0,2020-08-27
142,0.0,2.9915435,0.0,2020-08-28
143,0.0,2.9945502,0.0,2020-08-31
144,0.0,2.9793444,0.0,2020-09-01
145,0.0,2.9898524,0.0,2020-09-02
146,0.0,2.9946172,0.0,2020-09-03
147,0.0,2.994451,0.0,2020-09-04
148,0.0,2.929133,0.0,2020-09-08
149,0.0,2.9884908,0.0,2020-09-09
150,0.0,2.97592,0.0,2020-09-10
151,0.0,2.991073,0.0,2020-09-11
152,0.0,2.9879405,0.0,2020-09-14
153,0.0,2.9688787,0.0,2020-09-15
154,0.0,2.9948692,0.0,2020-09-16
155,0.0,2.9826267,0.0,2020-09-17
156,0.0,2.9817712,0.0,2020-09-18
157,0.0,2.9803667,0.0,2020-09-21
158,0.0,2.968378,0.0,2020-09-22
159,0.0,2.9226515,0.0,2020-09-23
160,0.0,2.985445,0.0,2020-09-24
161,0.0,2.9940383,0.0,2020-09-25
162,0.0,2.9909723,0.0,2020-09-28
163,0.0,2.9945266,0.0,2020-09-29
164,0.0,2.9944098,0.0,2020-09-30
165,0.0,2.9877877,0.0,2020-10-01
166,0.0,2.9868963,0.0,2020-10-02
167,0.0,2.9914405,0.0,2020-10-05
168,0.0,2.994687,0.0,2020-10-06
169,0.0,2.9946625,0.0,2020-10-07
170,0.0,2.982997,0.0,2020-10-08
171,0.0,2.9809432,0.0,2020-10-09
172,0.0,2.987451,0.0,2020-10-12
173,0.0,2.9842389,0.0,2020-10-13
174,0.0,2.988927,0.0,2020-10-14
