model,h,N,seed,nll_train,nll_val,nll_test,delta_marginal
state_cond_full,1,55,42,,3.8373327255249023,4.1000447273254395,0.09271154209296828
state_cond_full,1,55,7,,3.843618154525757,4.100444316864014,0.0931111316315425
state_cond_full,1,55,123,,3.8350720405578613,4.088394641876221,0.08106145664374953
state_cond_full,21,55,42,,4.04594087600708,4.257239818572998,0.24990663334052687
state_cond_full,21,55,7,,4.063605308532715,4.290351867675781,0.2830186824433101
state_cond_full,21,55,123,,4.0346760749816895,4.255372524261475,0.24803933902900344
state_cond_macro_only,1,55,42,,3.8370602130889893,4.080749034881592,0.07341584964912062
state_cond_macro_only,1,55,7,,3.8343377113342285,4.069726467132568,0.062393281900097186
state_cond_macro_only,1,55,123,,3.833214282989502,4.073915481567383,0.06658229633491164
state_cond_macro_only,21,55,42,,4.035432815551758,4.159999847412109,0.1526666621796382
state_cond_macro_only,21,55,7,,4.0495686531066895,4.186858654022217,0.17952546878974562
state_cond_macro_only,21,55,123,,4.03718376159668,4.142954349517822,0.1356211642853511
state_cond_own_only,1,55,42,,3.859365224838257,4.012182712554932,0.004849527322460467
state_cond_own_only,1,55,7,,3.860863208770752,4.008564472198486,0.0012312869660151549
state_cond_own_only,1,55,123,,3.860048770904541,4.0088605880737305,0.0015274028412592955
state_cond_own_only,21,55,42,,3.9883222579956055,4.062633991241455,0.055300806008983905
state_cond_own_only,21,55,7,,3.9883720874786377,4.059680938720703,0.05234775348823195
state_cond_own_only,21,55,123,,3.989717483520508,4.0589094161987305,0.051576230966259295
state_cond_other_banks_only,1,55,42,,3.857374668121338,4.03408670425415,0.026753519021679217
state_cond_other_banks_only,1,55,7,,3.854175567626953,4.064237594604492,0.056904409372021014
state_cond_other_banks_only,1,55,123,,3.857130289077759,4.047767162322998,0.040433977090526874
state_cond_other_banks_only,21,55,42,,4.000207424163818,4.110846996307373,0.10351381107490187
state_cond_other_banks_only,21,55,7,,3.9998161792755127,4.1064887046813965,0.09915551944892531
state_cond_other_banks_only,21,55,123,,3.9973857402801514,4.118638515472412,0.11130533023994094
