timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.01271728239953518,3.6668112,0.046431195,2020-03-27
1,0.011261397041380405,3.7087877,0.041350245,2020-03-30
2,0.016672274097800255,3.2787836,0.06632438,2020-03-31
3,0.012823631055653095,3.520231,0.049297385,2020-04-01
4,0.01576332189142704,3.5852015,0.06231771,2020-04-02
5,0.012718694284558296,3.4711611,0.050288256,2020-04-03
6,0.010960317216813564,3.6931455,0.042939935,2020-04-06
7,0.010962136089801788,3.3904824,0.043606196,2020-04-07
8,0.011329812929034233,3.6137013,0.0408623,2020-04-08
9,0.014906194061040878,3.7765167,0.0631911,2020-04-09
10,0.013131390325725079,3.7584267,0.04914061,2020-04-13
11,0.01544991135597229,3.4696298,0.06534842,2020-04-14
12,0.011964499950408936,3.2877414,0.052501217,2020-04-15
13,0.014443276450037956,3.572916,0.054791383,2020-04-16
14,0.013939485885202885,3.574209,0.055125475,2020-04-17
15,0.013870743103325367,3.4306571,0.05169445,2020-04-20
16,0.01671673357486725,3.9305263,0.060708888,2020-04-21
17,0.01251168642193079,3.6884904,0.04762306,2020-04-22
18,0.015086456201970577,3.4104905,0.058504015,2020-04-23
19,0.01318412832915783,3.8632348,0.050581247,2020-04-24
20,0.015667889267206192,3.8132303,0.062322345,2020-04-27
21,0.018525458872318268,3.9263904,0.07240424,2020-04-28
22,0.02317250333726406,3.9627326,0.086710006,2020-04-29
23,0.016223488375544548,3.8667903,0.05957824,2020-04-30
24,0.01517716608941555,3.7415156,0.057544827,2020-05-01
25,0.015329070389270782,3.802458,0.06305703,2020-05-04
26,0.015316660515964031,3.8415325,0.06305935,2020-05-05
27,0.014810195192694664,3.786431,0.06050285,2020-05-06
28,0.02156013995409012,3.9332762,0.08824138,2020-05-07
29,0.02051936276257038,3.895882,0.08161066,2020-05-08
30,0.0182128194719553,3.8572195,0.066960044,2020-05-11
31,0.017071137204766273,3.9100242,0.061261166,2020-05-12
32,0.012662162072956562,3.776371,0.04549028,2020-05-13
33,0.010872161015868187,3.8216016,0.043767296,2020-05-14
34,0.01492150966078043,3.8611794,0.06123937,2020-05-15
35,0.016857068985700607,3.9243968,0.07043457,2020-05-18
36,0.01281513087451458,3.8482213,0.049609408,2020-05-19
37,0.016035480424761772,3.9369373,0.060188755,2020-05-20
38,0.02013503760099411,3.892436,0.08289367,2020-05-21
39,0.03580860048532486,3.9999082,0.12817456,2020-05-22
40,0.014588580466806889,3.9328613,0.05985776,2020-05-26
41,0.016328301280736923,3.8964522,0.067545205,2020-05-27
42,0.018396476283669472,3.8931618,0.06214921,2020-05-28
43,0.012867891229689121,3.9251587,0.050046824,2020-05-29
44,0.018535984680056572,3.907462,0.07813156,2020-06-01
45,0.015761639922857285,3.8123288,0.06112066,2020-06-02
46,0.027678560465574265,3.978535,0.10827332,2020-06-03
47,0.03153062239289284,3.998286,0.11823835,2020-06-04
48,0.02875632420182228,4.0003557,0.10735364,2020-06-05
49,0.04071001335978508,3.9905477,0.1495036,2020-06-08
50,0.027820242568850517,3.9811456,0.095004216,2020-06-09
51,0.014087481424212456,3.8535268,0.046868563,2020-06-10
52,0.013664159923791885,3.620899,0.051351666,2020-06-11
53,0.012604429386556149,3.6435392,0.05096887,2020-06-12
54,0.016339808702468872,3.8475416,0.0737851,2020-06-15
55,0.026752492412924767,3.983587,0.100567415,2020-06-16
56,0.015060032717883587,3.7838624,0.05563543,2020-06-17
57,0.012573820538818836,3.7877982,0.04513094,2020-06-18
58,0.011814497411251068,3.928197,0.047135375,2020-06-19
59,0.028715407475829124,3.9691603,0.107373245,2020-06-22
60,0.03482560068368912,3.9943085,0.13570915,2020-06-23
61,0.01686777174472809,3.8138955,0.063243985,2020-06-24
62,0.0173207838088274,3.8948658,0.07185826,2020-06-25
63,0.013945099897682667,3.8129148,0.05171711,2020-06-26
64,0.015264435671269894,3.8466833,0.05689344,2020-06-29
65,0.023846160620450974,3.9380734,0.10938531,2020-06-30
66,0.020818369463086128,3.932336,0.077516966,2020-07-01
67,0.03140191733837128,3.9784653,0.12233286,2020-07-02
68,0.01553650014102459,3.8925385,0.06375432,2020-07-06
69,0.03098994307219982,3.949077,0.1157887,2020-07-07
70,0.02461276575922966,3.955086,0.09861377,2020-07-08
71,0.021855615079402924,3.9083626,0.09083902,2020-07-09
72,0.019901713356375694,3.9260712,0.07834184,2020-07-10
73,0.014020197093486786,3.6909215,0.05904702,2020-07-13
74,0.018673082813620567,3.9301214,0.06732423,2020-07-14
75,0.03847959265112877,3.9902143,0.15951008,2020-07-15
76,0.03152094781398773,3.9721668,0.125273,2020-07-16
77,0.021290527656674385,3.9437492,0.0748463,2020-07-17
78,0.040305424481630325,3.9983582,0.15822446,2020-07-20
79,0.03228655084967613,3.997457,0.13777696,2020-07-21
80,0.04227214679121971,3.9946713,0.1544534,2020-07-22
81,0.03835797682404518,3.9843209,0.13814576,2020-07-23
82,0.03728843107819557,3.9998305,0.14476177,2020-07-24
83,0.04242958500981331,3.9937398,0.16265322,2020-07-27
84,0.02332942932844162,3.9291158,0.089302644,2020-07-28
85,0.03857959806919098,3.9459891,0.16276632,2020-07-29
86,0.04249528422951698,3.9715273,0.15746391,2020-07-30
87,0.03778817132115364,3.9720118,0.14045754,2020-07-31
88,0.04057445004582405,3.9985797,0.17289853,2020-08-03
89,0.04530470073223114,3.9845243,0.17401028,2020-08-04
90,0.038173407316207886,3.9975483,0.14741288,2020-08-05
91,0.039990998804569244,3.9916735,0.15844281,2020-08-06
92,0.037929341197013855,3.9644,0.15388682,2020-08-07
93,0.0382431335747242,3.9582882,0.14886323,2020-08-10
94,0.031991854310035706,3.8947408,0.12206609,2020-08-11
95,0.04513762891292572,3.9497643,0.17177995,2020-08-12
96,0.03954174742102623,3.9891357,0.14779182,2020-08-13
97,0.043838776648044586,3.989689,0.17187741,2020-08-14
98,0.04291337728500366,3.9913113,0.16307716,2020-08-17
99,0.044581059366464615,3.9946547,0.17190397,2020-08-18
100,0.038849249482154846,3.9976733,0.16060384,2020-08-19
101,0.040804147720336914,3.998833,0.15886801,2020-08-20
102,0.03930911794304848,3.935588,0.15911368,2020-08-21
103,0.03545185923576355,3.994291,0.15320598,2020-08-24
104,0.041979122906923294,3.9823687,0.16294312,2020-08-25
105,0.038425058126449585,3.9719868,0.14028743,2020-08-26
106,0.037476036697626114,3.9850092,0.15409587,2020-08-27
107,0.04235764965415001,3.987131,0.16628529,2020-08-28
108,0.03843942657113075,3.9972863,0.13725193,2020-08-31
109,0.03897400200366974,3.999462,0.15221642,2020-09-01
110,0.03621971979737282,3.9993417,0.15123816,2020-09-02
111,0.03849930688738823,3.9980094,0.1394016,2020-09-03
112,0.036041442304849625,3.9997184,0.1320225,2020-09-04
113,0.030232999473810196,3.9741156,0.10980074,2020-09-08
114,0.03216349706053734,3.9935434,0.1242691,2020-09-09
115,0.03263069689273834,3.978436,0.13599958,2020-09-10
116,0.03709149360656738,3.9998915,0.14113113,2020-09-11
117,0.038434725254774094,3.9996789,0.15636998,2020-09-14
118,0.026763586327433586,3.9890037,0.10039944,2020-09-15
119,0.036208078265190125,3.9973855,0.13865434,2020-09-16
120,0.039467766880989075,3.9990528,0.14900506,2020-09-17
121,0.03716571256518364,3.9988234,0.13636173,2020-09-18
122,0.03648141026496887,3.9884934,0.13978198,2020-09-21
123,0.028594037517905235,3.9705272,0.11345479,2020-09-22
124,0.02721434272825718,3.9368238,0.107355006,2020-09-23
125,0.022567767649888992,3.944782,0.09507745,2020-09-24
126,0.03839171305298805,3.998305,0.15986575,2020-09-25
127,0.03093493916094303,4.0008736,0.12773521,2020-09-28
128,0.033174846321344376,3.9954953,0.121413924,2020-09-29
129,0.03165803477168083,3.9972277,0.12163779,2020-09-30
130,0.040763791650533676,3.9991524,0.16303939,2020-10-01
131,0.040207378566265106,3.9982255,0.15299243,2020-10-02
132,0.040542833507061005,3.9652843,0.16484874,2020-10-05
133,0.03678659349679947,3.9989095,0.13656989,2020-10-06
134,0.03629572317004204,3.9996107,0.1354914,2020-10-07
135,0.04128105565905571,3.9972332,0.16603196,2020-10-08
136,0.03850436583161354,3.9582639,0.14588103,2020-10-09
137,0.0405113585293293,3.9810395,0.16022867,2020-10-12
138,0.03374936804175377,3.989268,0.12288078,2020-10-13
139,0.023290814831852913,3.935044,0.08600298,2020-10-14
140,0.04273891821503639,3.9985175,0.17789753,2020-10-15
141,0.03970237448811531,3.9936147,0.16470945,2020-10-16
142,0.04079122468829155,3.9985385,0.14753792,2020-10-19
143,0.03356194496154785,3.9972496,0.13318338,2020-10-20
144,0.03164654225111008,3.98011,0.12585305,2020-10-21
145,0.03868876025080681,3.99762,0.1516263,2020-10-22
146,0.04072241857647896,3.999106,0.16424786,2020-10-23
147,0.03062613122165203,3.987211,0.102769785,2020-10-26
148,0.026236360892653465,3.9473536,0.09871782,2020-10-27
149,0.016744645312428474,3.8818464,0.06659441,2020-10-28
150,0.018192175775766373,3.9198372,0.074517615,2020-10-29
151,0.02775917947292328,3.9597273,0.11611166,2020-10-30
152,0.02436407282948494,3.968072,0.095923044,2020-11-02
153,0.026331298053264618,3.9736598,0.107217655,2020-11-03
154,0.018880704417824745,3.9258876,0.06775609,2020-11-04
155,0.025309687480330467,3.9774606,0.10431018,2020-11-05
156,0.025624990463256836,3.9329357,0.10168724,2020-11-06
157,0.012764081358909607,3.9048371,0.054601587,2020-11-09
158,0.016555218026041985,3.748817,0.068415835,2020-11-10
159,0.021264072507619858,3.9523058,0.07350258,2020-11-11
160,0.0375172421336174,3.9947011,0.1409753,2020-11-12
161,0.0348905511200428,3.999686,0.1416692,2020-11-13
162,0.015939900651574135,3.8438902,0.061475858,2020-11-16
163,0.04039337858557701,3.98604,0.1438152,2020-11-17
164,0.037724561989307404,3.993697,0.13223968,2020-11-18
165,0.035753048956394196,3.9861126,0.13879712,2020-11-19
166,0.04187546297907829,3.9576902,0.16210052,2020-11-20
167,0.0337296798825264,3.9971273,0.13246755,2020-11-23
168,0.03626063093543053,3.9946828,0.15651688,2020-11-24
169,0.03805125877261162,3.9911926,0.1333785,2020-11-25
