timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.02515154518187046,3.3423972,0.1016849,2020-03-27
1,0.02689307928085327,3.5164459,0.110114366,2020-03-30
2,0.02665378898382187,3.6003456,0.10857901,2020-03-31
3,0.026044383645057678,3.328043,0.1073364,2020-04-01
4,0.027674544602632523,3.4898336,0.1145971,2020-04-02
5,0.027846191078424454,3.5848653,0.11518301,2020-04-03
6,0.02790275402367115,3.616117,0.115770735,2020-04-06
7,0.027820086106657982,3.604835,0.11547835,2020-04-07
8,0.027113432064652443,3.6805925,0.112614505,2020-04-08
9,0.026290643960237503,3.7245743,0.109444045,2020-04-09
10,0.025334028527140617,3.7537618,0.10563061,2020-04-13
11,0.023494938388466835,3.8050406,0.098233014,2020-04-14
12,0.02528577856719494,3.760232,0.10577735,2020-04-15
13,0.02478843741118908,3.7744892,0.10380616,2020-04-16
14,0.02370680682361126,3.8027458,0.099412076,2020-04-17
15,0.030834421515464783,3.6455066,0.1320586,2020-04-20
16,0.027849296107888222,3.670976,0.11727403,2020-04-21
17,0.026258572936058044,3.7386384,0.11024407,2020-04-22
18,0.02575557678937912,3.752909,0.10812257,2020-04-23
19,0.02294217422604561,3.827018,0.096529074,2020-04-24
20,0.022395774722099304,3.857196,0.095747754,2020-04-27
21,0.022436508908867836,3.8533213,0.09577009,2020-04-28
22,0.022750644013285637,3.8796728,0.097958185,2020-04-29
23,0.021922927349805832,3.8514364,0.09306565,2020-04-30
24,0.019783739000558853,3.8652482,0.081819996,2020-05-01
25,0.019588690251111984,3.874734,0.08122186,2020-05-04
26,0.0197609756141901,3.896433,0.08262266,2020-05-05
27,0.019333820790052414,3.8923895,0.08034136,2020-05-06
28,0.021280845627188683,3.9115663,0.08926633,2020-05-07
29,0.026810796931385994,3.9424806,0.111115694,2020-05-08
30,0.02733413688838482,3.94458,0.113039546,2020-05-11
31,0.019732562825083733,3.8980255,0.08224994,2020-05-12
32,0.01930522546172142,3.8786743,0.079594366,2020-05-13
33,0.02005336433649063,3.9012296,0.083733805,2020-05-14
34,0.02051304467022419,3.9083235,0.08568343,2020-05-15
35,0.023830914869904518,3.9333127,0.09866794,2020-05-18
36,0.02228439599275589,3.9256823,0.09250799,2020-05-19
37,0.02809634804725647,3.9515946,0.11603639,2020-05-20
38,0.02487136423587799,3.9397528,0.10331102,2020-05-21
39,0.02834421768784523,3.9522076,0.11722211,2020-05-22
40,0.02908601425588131,3.955688,0.120038465,2020-05-26
