timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.0214880108833313,3.7535217,0.113229066,2020-04-22
1,0.023029042407870293,3.3527596,0.10267906,2020-04-23
2,0.024591658264398575,3.6373324,0.11188541,2020-04-24
3,0.025870870798826218,3.489828,0.115912095,2020-04-27
4,0.024893183261156082,3.8472764,0.12478133,2020-04-28
5,0.029234064742922783,3.7557125,0.13477284,2020-04-29
6,0.02904336340725422,3.9384203,0.14084639,2020-04-30
7,0.030341273173689842,3.6552434,0.15611902,2020-05-01
8,0.030027905479073524,3.5534234,0.13502434,2020-05-04
9,0.04619130864739418,3.9193897,0.23137029,2020-05-05
10,0.026610367000102997,3.501904,0.11497258,2020-05-06
11,0.0819602906703949,3.9686973,0.37584275,2020-05-07
12,0.06291455030441284,3.88335,0.29570055,2020-05-08
13,0.07244464010000229,3.985186,0.3305466,2020-05-11
14,0.0331977903842926,3.8097222,0.17422894,2020-05-12
15,0.03245488181710243,3.714896,0.1663927,2020-05-13
16,0.03670228272676468,3.6954553,0.17551398,2020-05-14
17,0.050368621945381165,3.9315114,0.2395428,2020-05-15
18,0.018526889383792877,3.4235606,0.077463314,2020-05-18
19,0.02479780651628971,3.791402,0.1222708,2020-05-19
20,0.02117062173783779,3.7531943,0.10146617,2020-05-20
21,0.051751405000686646,3.9213822,0.24014121,2020-05-21
22,0.0823046937584877,3.9710197,0.38254863,2020-05-22
23,0.01540322694927454,3.4434,0.0652225,2020-05-26
24,0.01100829802453518,3.5478334,0.05667158,2020-05-27
25,0.020359786227345467,3.8208284,0.10498018,2020-05-28
26,0.043705232441425323,3.804622,0.21219794,2020-05-29
27,0.07127182185649872,3.9696414,0.33306777,2020-06-01
28,0.04201073572039604,3.913732,0.19170535,2020-06-02
29,0.025452066212892532,3.632099,0.121598214,2020-06-03
30,0.024771621450781822,3.7118506,0.12164282,2020-06-04
31,0.026927664875984192,3.8427248,0.1252978,2020-06-05
32,0.028188923373818398,3.7001617,0.13333,2020-06-08
33,0.06921741366386414,3.974682,0.3201439,2020-06-09
34,0.028674377128481865,3.7611103,0.15079072,2020-06-10
35,0.017871590331196785,3.091955,0.0860128,2020-06-11
36,0.018586821854114532,3.1731584,0.080704436,2020-06-12
37,0.01678885519504547,3.4409168,0.08304985,2020-06-15
38,0.05312294885516167,3.932964,0.2492689,2020-06-16
39,0.06676715612411499,3.9420166,0.32447952,2020-06-17
40,0.019383756443858147,3.6942244,0.100120254,2020-06-18
41,0.057206083089113235,3.928518,0.2589509,2020-06-19
42,0.07855802774429321,3.916473,0.39425212,2020-06-22
43,0.08457077294588089,3.9450202,0.397412,2020-06-23
44,0.04255599528551102,3.8275993,0.20874628,2020-06-24
45,0.03438111022114754,3.5616834,0.15487385,2020-06-25
46,0.027253417298197746,3.8180954,0.14049383,2020-06-26
47,0.03590438887476921,3.691078,0.16995901,2020-06-29
48,0.03173094987869263,3.7639244,0.15199548,2020-06-30
49,0.07410885393619537,3.9553542,0.35896236,2020-07-01
50,0.07481371611356735,3.928938,0.31726447,2020-07-02
51,0.04403797164559364,3.8152912,0.2313887,2020-07-06
52,0.07661627978086472,3.9675932,0.36200827,2020-07-07
53,0.08327554166316986,3.9518714,0.35599765,2020-07-08
54,0.0555807463824749,3.9573107,0.27628267,2020-07-09
55,0.06465598195791245,3.9310784,0.28933826,2020-07-10
56,0.02051623910665512,3.839952,0.09671067,2020-07-13
57,0.0681769996881485,3.9741755,0.3277911,2020-07-14
58,0.05564916878938675,3.8236718,0.24111159,2020-07-15
59,0.07784091681241989,3.9659674,0.3642377,2020-07-16
60,0.06300782412290573,3.9809074,0.299934,2020-07-17
61,0.08752144128084183,3.975877,0.40284845,2020-07-20
62,0.07778171449899673,3.9707038,0.35609487,2020-07-21
63,0.07441655546426773,3.980481,0.3394454,2020-07-22
64,0.07341482490301132,3.9732018,0.32316744,2020-07-23
65,0.06339516490697861,3.9746454,0.31028444,2020-07-24
66,0.08772113174200058,3.9740105,0.41249624,2020-07-27
67,0.060314249247312546,3.9714115,0.27901074,2020-07-28
68,0.09363063424825668,3.973486,0.42729148,2020-07-29
69,0.07778310775756836,3.9569612,0.3811462,2020-07-30
70,0.0806562602519989,3.98304,0.36324018,2020-07-31
71,0.07907553017139435,3.9697237,0.37537536,2020-08-03
72,0.07321435958147049,3.836797,0.39034632,2020-08-04
73,0.07870859652757645,3.9258325,0.37914994,2020-08-05
74,0.08368714153766632,3.9176452,0.41208744,2020-08-06
75,0.08603827655315399,3.972138,0.39398584,2020-08-07
76,0.08397641777992249,3.98287,0.37765148,2020-08-10
77,0.0778881311416626,3.9720645,0.3349137,2020-08-11
78,0.05451648682355881,3.787453,0.31559625,2020-08-12
79,0.08816391974687576,3.9798062,0.40111235,2020-08-13
80,0.08533244580030441,3.9196296,0.41161844,2020-08-14
81,0.07723236083984375,3.9584584,0.37422153,2020-08-17
82,0.08050080388784409,3.9641323,0.3911335,2020-08-18
83,0.06294205784797668,3.9197576,0.29349518,2020-08-19
84,0.07914596796035767,3.9430625,0.38225555,2020-08-20
85,0.08521691709756851,3.9449644,0.41036844,2020-08-21
86,0.08542975038290024,3.977847,0.39629352,2020-08-24
87,0.08176108449697495,3.9598281,0.3813367,2020-08-25
88,0.07485788315534592,3.929561,0.36699814,2020-08-26
89,0.09569008648395538,3.9744334,0.42569688,2020-08-27
90,0.0778832659125328,3.9348655,0.3708521,2020-08-28
91,0.07448810338973999,3.9839678,0.34910336,2020-08-31
92,0.08216115832328796,3.886768,0.41868,2020-09-01
93,0.08151993155479431,3.910283,0.4026021,2020-09-02
94,0.07662668824195862,3.9784377,0.34778145,2020-09-03
95,0.09076247364282608,3.949171,0.42708084,2020-09-04
96,0.04114288091659546,3.8801146,0.20878692,2020-09-08
