timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.02055331878364086,3.6927934,0.08701657,2020-03-27
1,0.013653628528118134,3.7546065,0.054615334,2020-03-30
2,0.0549691766500473,3.8850837,0.22817537,2020-03-31
3,0.05043407902121544,3.8668737,0.18269287,2020-04-01
4,0.012031215243041515,3.5283842,0.05217076,2020-04-02
5,0.029352523386478424,3.780275,0.11659057,2020-04-03
6,0.06284140795469284,3.9002414,0.2141675,2020-04-06
7,0.012600450776517391,3.584619,0.051770635,2020-04-07
8,0.011271133087575436,3.673689,0.03895379,2020-04-08
9,0.07697582989931107,3.9482744,0.29275587,2020-04-09
10,0.013867341913282871,3.6613057,0.05380673,2020-04-13
11,0.009705056436359882,3.6089437,0.041124005,2020-04-14
12,0.015028373338282108,3.6892972,0.062115483,2020-04-15
13,0.027858158573508263,3.746179,0.11008052,2020-04-16
14,0.01651683822274208,3.6694553,0.069641404,2020-04-17
15,0.020468682050704956,3.7092423,0.09747066,2020-04-20
16,0.026103904470801353,3.7798836,0.097225614,2020-04-21
17,0.01393333449959755,3.7084534,0.051424325,2020-04-22
18,0.021089747548103333,3.7127748,0.10168408,2020-04-23
19,0.031381960958242416,3.7149458,0.12959714,2020-04-24
20,0.012289950624108315,3.6460683,0.05789624,2020-04-27
21,0.07833551615476608,3.9342468,0.29960814,2020-04-28
22,0.096842460334301,3.9660342,0.37081146,2020-04-29
23,0.10346648842096329,3.9735413,0.3697108,2020-04-30
24,0.01779724843800068,3.6845286,0.068899736,2020-05-01
25,0.03005891479551792,3.7301383,0.12500994,2020-05-04
26,0.05772004649043083,3.8931139,0.21096323,2020-05-05
27,0.023106863722205162,3.7142384,0.10611163,2020-05-06
28,0.07505451142787933,3.939174,0.29889795,2020-05-07
29,0.06944452971220016,3.9108577,0.27756104,2020-05-08
30,0.06092188507318497,3.9031203,0.25126174,2020-05-11
31,0.05826910212635994,3.9112341,0.21967238,2020-05-12
32,0.0305302944034338,3.8369524,0.12122854,2020-05-13
33,0.0147732924669981,3.6770616,0.059015043,2020-05-14
34,0.027922840788960457,3.7909913,0.12216702,2020-05-15
35,0.01422269269824028,3.6733515,0.059595324,2020-05-18
36,0.039733391255140305,3.803384,0.16083722,2020-05-19
37,0.01719377189874649,3.740433,0.06823638,2020-05-20
38,0.07805124670267105,3.934814,0.32069463,2020-05-21
39,0.10023598372936249,3.955149,0.39629585,2020-05-22
40,0.06344079226255417,3.908465,0.2420931,2020-05-26
41,0.023221304640173912,3.7385473,0.11251627,2020-05-27
42,0.06450026482343674,3.9132023,0.2415871,2020-05-28
43,0.03372429311275482,3.8472335,0.13611573,2020-05-29
44,0.06358355283737183,3.9040656,0.22373521,2020-06-01
45,0.024137888103723526,3.6947374,0.114694215,2020-06-02
46,0.09155803918838501,3.9723961,0.335973,2020-06-03
47,0.08146411925554276,3.9574113,0.3004396,2020-06-04
48,0.07586449384689331,3.956301,0.2962023,2020-06-05
49,0.08115078508853912,3.9692936,0.32494313,2020-06-08
50,0.09672525525093079,3.9721775,0.37262562,2020-06-09
51,0.03649095818400383,3.7865674,0.14661078,2020-06-10
52,0.017708972096443176,3.7135954,0.07121497,2020-06-11
53,0.01355009712278843,3.5897233,0.05405642,2020-06-12
54,0.02382630854845047,3.7824702,0.12657401,2020-06-15
55,0.09378483146429062,3.971766,0.35790738,2020-06-16
56,0.020043037831783295,3.696838,0.083703086,2020-06-17
57,0.03660077601671219,3.7748766,0.15493207,2020-06-18
58,0.01759827323257923,3.7840474,0.084335364,2020-06-19
59,0.09391118586063385,3.9517422,0.3781515,2020-06-22
60,0.09515891224145889,3.9505718,0.38248113,2020-06-23
61,0.0303226038813591,3.7666585,0.14466313,2020-06-24
62,0.06923692673444748,3.9048152,0.2712074,2020-06-25
63,0.052903249859809875,3.9312012,0.21192119,2020-06-26
64,0.05778210237622261,3.8525984,0.22043021,2020-06-29
