timestep,ck_kl,ck_tv,date
0,0.024965565227017147,0.07490373518461652,2020-04-13
1,0.10090613206176502,0.17192949391690276,2020-04-14
2,0.3717365364420964,0.36453087876713874,2020-04-15
3,0.030756856586803084,0.09518972482130242,2020-04-16
4,0.20128072588417173,0.2502192906572513,2020-04-17
5,0.03277212105067713,0.08398140956135855,2020-04-20
6,0.06132762311134556,0.13346134510572658,2020-04-21
7,0.19898364460215248,0.25261496278363016,2020-04-22
8,0.10312001653693255,0.19512518642608692,2020-04-23
9,0.03339617576869187,0.10415688757324679,2020-04-24
10,0.14767551618899724,0.23296063285590216,2020-04-27
11,0.021357506897604326,0.06722645152729446,2020-04-28
12,0.20067421104872926,0.2672361107025826,2020-04-29
13,0.23082660643401304,0.27977232250079576,2020-04-30
14,0.17719505966442234,0.24241396458777423,2020-05-01
15,0.11179993879846721,0.16835393213026087,2020-05-04
16,0.16824776008736955,0.23717290306416644,2020-05-05
17,0.03173571754868305,0.10487457548411401,2020-05-06
18,0.04687030127045509,0.12573632388425568,2020-05-07
19,0.01455533069261472,0.07167019503214667,2020-05-08
20,0.02337789294347919,0.07876410218861701,2020-05-11
21,0.1822877500094259,0.2514486962367507,2020-05-12
22,0.08637256475785152,0.15278004064022346,2020-05-13
23,0.02878242142914153,0.0969980866886695,2020-05-14
24,0.07690249419947745,0.16174450190449124,2020-05-15
25,0.03229114904052989,0.0903414003992743,2020-05-18
26,0.15359210431916695,0.2003433778212837,2020-05-19
27,0.10146424553309803,0.19288922665696523,2020-05-20
28,0.10432996577575697,0.18967039846968742,2020-05-21
29,0.06810707930427597,0.15577378536146289,2020-05-22
30,0.04215698084949459,0.12077192326742643,2020-05-26
31,0.10489571176464227,0.1595720941728802,2020-05-27
32,0.024376511652507697,0.09010995342959689,2020-05-28
33,0.4535918742740238,0.38024929769894844,2020-05-29
34,0.20168862633448997,0.2574948180512293,2020-06-01
35,0.135871436141674,0.21320941217693665,2020-06-02
36,0.046424677861378695,0.1245791308654948,2020-06-03
37,0.035386028651303414,0.11181772464005682,2020-06-04
38,0.17083455645934711,0.24883010604708009,2020-06-05
39,0.4952099597747283,0.4234366997139558,2020-06-08
40,0.04543244248263003,0.12832491668386992,2020-06-09
41,0.0898840544643661,0.15361925530542497,2020-06-10
42,0.14914172329646366,0.21617650257652027,2020-06-11
43,0.04689620811131237,0.115323346898276,2020-06-12
44,0.037497379335610856,0.11552658096718468,2020-06-15
45,0.1424954906337885,0.2308733438652503,2020-06-16
46,0.08018306981216447,0.1659945376554311,2020-06-17
47,0.1545174607931496,0.19820214902790406,2020-06-18
48,0.04737091850902822,0.13245890667424776,2020-06-19
49,0.08475160096165353,0.17543943057725372,2020-06-22
50,0.055182784052056455,0.10600810377470954,2020-06-23
51,0.011484896032235183,0.06281698190126231,2020-06-24
