model,h,N,seed,nll_train,nll_val,nll_test,delta_marginal
state_cond,1,4,42,1.3421310186386108,1.3278145790100098,1.416232347488403,0.0299379863685127
state_cond,1,4,7,1.339948654174805,1.3294321298599243,1.417332887649536,0.0310385265296455
state_cond,1,4,123,1.3370230197906494,1.3291511535644531,1.4172309637069702,0.0309366025870796
state_free,1,4,42,1.349228858947754,1.3270552158355713,1.4167282581329346,0.0304338970130439
state_free,1,4,7,1.332083821296692,1.3305379152297974,1.4190294742584229,0.0327351131385322
state_free,1,4,123,1.337460994720459,1.328510284423828,1.4194546937942505,0.0331603326743599
state_cond,5,4,42,1.323760747909546,1.3490232229232788,1.43006432056427,0.0437699594443794
state_cond,5,4,7,1.3418693542480469,1.3503429889678955,1.4255410432815552,0.0392466821616646
state_cond,5,4,123,1.3421202898025513,1.3451294898986816,1.4236090183258057,0.037314657205915
state_free,5,4,42,1.3481730222702026,1.347478270530701,1.4247126579284668,0.0384182968085762
state_free,5,4,7,1.3451861143112185,1.347579836845398,1.4244903326034546,0.038195971483564
state_free,5,4,123,1.3462613821029663,1.347928166389465,1.4246670007705688,0.0383726396506782
state_cond,10,4,42,1.3405052423477173,1.3729937076568604,1.4304850101470947,0.0441906490272041
state_cond,10,4,7,1.3449041843414309,1.3726911544799805,1.4255132675170898,0.0392189063971992
state_cond,10,4,123,1.3438893556594849,1.3732187747955322,1.4264637231826782,0.0401693620627876
state_free,10,4,42,1.3487211465835571,1.3720369338989258,1.4287903308868408,0.0424959697669502
state_free,10,4,7,1.3419030904769895,1.3716307878494265,1.4308006763458252,0.0445063152259346
state_free,10,4,123,1.3495930433273315,1.373199701309204,1.431201696395874,0.0449073352759834
state_cond,21,4,42,1.3007887601852417,1.368633270263672,1.5011850595474243,0.1148906984275337
state_cond,21,4,7,1.34199857711792,1.3712952136993408,1.4452497959136963,0.0589554347938057
state_cond,21,4,123,1.32862389087677,1.3692322969436646,1.4652868509292605,0.0789924898093696
state_free,21,4,42,1.3373665809631348,1.373037815093994,1.4550940990447998,0.0687997379249092
state_free,21,4,7,1.3352895975112915,1.3750388622283936,1.4560480117797852,0.0697536506598945
state_free,21,4,123,1.3263810873031616,1.3745139837265017,1.467495083808899,0.0812007226890083
state_cond,63,4,42,1.263074517250061,1.34944486618042,1.5371679067611694,0.1508735456412788
state_cond,63,4,7,1.2897024154663086,1.34642493724823,1.4656589031219482,0.0793645420020576
state_cond,63,4,123,1.2822717428207395,1.3464829921722412,1.466423511505127,0.0801291503852363
state_free,63,4,42,1.2958917617797852,1.343829870223999,1.4717295169830322,0.0854351558631416
state_free,63,4,7,1.265378713607788,1.3538728952407837,1.5486361980438232,0.1623418369239326
state_free,63,4,123,1.280605673789978,1.3482754230499268,1.5046674013137815,0.1183730401938911
state_cond,1,10,42,2.141818761825561,2.1651883125305176,2.3530497550964355,0.0504646621023896
state_cond,1,10,7,2.155582904815674,2.164853096008301,2.349728345870972,0.0471432528769257
