timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.0,2.6343377,0.0,2020-04-22
1,0.0,2.343819,0.0,2020-04-23
2,0.0,2.4992645,0.0,2020-04-24
3,0.0,2.5125632,0.0,2020-04-27
4,0.0,2.8391008,0.0,2020-04-28
5,0.0,2.842451,0.0,2020-04-29
6,0.0,2.9060793,0.0,2020-04-30
7,0.0,2.5658262,0.0,2020-05-01
8,0.0,2.7050006,0.0,2020-05-04
9,0.0,2.9012177,0.0,2020-05-05
10,0.0,2.4398096,0.0,2020-05-06
11,0.0,2.8164947,0.0,2020-05-07
12,0.0,2.8455186,0.0,2020-05-08
13,0.0,2.9895623,0.0,2020-05-11
14,0.0,2.701734,0.0,2020-05-12
15,0.0,2.695514,0.0,2020-05-13
16,0.0,2.7641194,0.0,2020-05-14
17,0.0,2.855942,0.0,2020-05-15
18,0.0,2.4590437,0.0,2020-05-18
19,0.0,2.8103771,0.0,2020-05-19
20,0.0,2.73289,0.0,2020-05-20
21,0.0,2.9219353,0.0,2020-05-21
22,0.0,2.9664657,0.0,2020-05-22
23,0.0,2.6446009,0.0,2020-05-26
24,0.0,2.720958,0.0,2020-05-27
25,0.0,2.8696887,0.0,2020-05-28
26,0.0,2.7700188,0.0,2020-05-29
27,0.0,2.935503,0.0,2020-06-01
28,0.0,2.9394233,0.0,2020-06-02
29,0.0,2.821748,0.0,2020-06-03
30,0.0,2.8792272,0.0,2020-06-04
31,0.0,2.9737403,0.0,2020-06-05
32,0.0,2.9070685,0.0,2020-06-08
33,0.0,2.967595,0.0,2020-06-09
34,0.0,2.906494,0.0,2020-06-10
35,0.0,2.314158,0.0,2020-06-11
36,0.0,2.5966048,0.0,2020-06-12
37,0.0,2.4659135,0.0,2020-06-15
38,0.0,2.913103,0.0,2020-06-16
39,0.0,2.915483,0.0,2020-06-17
40,0.0,2.5934455,0.0,2020-06-18
41,0.0,2.5494995,0.0,2020-06-19
42,0.0,2.9518006,0.0,2020-06-22
43,0.0,2.931417,0.0,2020-06-23
44,0.0,2.8638012,0.0,2020-06-24
45,0.0,2.595636,0.0,2020-06-25
46,0.0,2.7547727,0.0,2020-06-26
47,0.0,2.7995336,0.0,2020-06-29
48,0.0,2.752913,0.0,2020-06-30
49,0.0,2.9665437,0.0,2020-07-01
50,0.0,2.8488874,0.0,2020-07-02
51,0.0,2.726986,0.0,2020-07-06
52,0.0,2.9879494,0.0,2020-07-07
53,0.0,2.8773377,0.0,2020-07-08
54,0.0,2.9141893,0.0,2020-07-09
55,0.0,2.9710677,0.0,2020-07-10
56,0.0,2.8506286,0.0,2020-07-13
57,0.0,2.9738512,0.0,2020-07-14
58,0.0,2.8325803,0.0,2020-07-15
59,0.0,2.9486053,0.0,2020-07-16
60,0.0,2.9620485,0.0,2020-07-17
61,0.0,2.9640598,0.0,2020-07-20
62,0.0,2.8977983,0.0,2020-07-21
63,0.0,2.943998,0.0,2020-07-22
64,0.0,2.9659715,0.0,2020-07-23
65,0.0,2.9519281,0.0,2020-07-24
66,0.0,2.9780526,0.0,2020-07-27
67,0.0,2.971881,0.0,2020-07-28
68,0.0,2.9763494,0.0,2020-07-29
69,0.0,2.9463172,0.0,2020-07-30
70,0.0,2.9792514,0.0,2020-07-31
71,0.0,2.9801178,0.0,2020-08-03
72,0.0,2.9663754,0.0,2020-08-04
73,0.0,2.9711146,0.0,2020-08-05
74,0.0,2.9831913,0.0,2020-08-06
75,0.0,2.9803503,0.0,2020-08-07
76,0.0,2.9383726,0.0,2020-08-10
77,0.0,2.9766788,0.0,2020-08-11
78,0.0,2.9042141,0.0,2020-08-12
79,0.0,2.982915,0.0,2020-08-13
80,0.0,2.9761028,0.0,2020-08-14
81,0.0,2.968633,0.0,2020-08-17
82,0.0,2.9791696,0.0,2020-08-18
83,0.0,2.925593,0.0,2020-08-19
84,0.0,2.9804523,0.0,2020-08-20
85,0.0,2.9826324,0.0,2020-08-21
86,0.0,2.965918,0.0,2020-08-24
87,0.0,2.9823782,0.0,2020-08-25
88,0.0,2.9834597,0.0,2020-08-26
89,0.0,2.9548092,0.0,2020-08-27
90,0.0,2.975846,0.0,2020-08-28
