model,h,seed,nll_train,nll_val,nll_test,delta_marginal
state_cond,1,42,,,,
state_free,1,42,,,,
state_cond,2,42,,,,
state_free,2,42,,,,
state_cond,5,42,,,,
state_free,5,42,,,,
state_cond,10,42,,,,
state_free,10,42,,,,
state_cond,1,42,,,,
state_free,1,42,,,,
state_cond,2,42,,,,
state_free,2,42,,,,
state_cond,5,42,,,,
state_free,5,42,,,,
state_cond,10,42,,,,
state_free,10,42,,,,
state_cond,1,42,3.835243225097656,3.919963598251343,3.975084543228149,-0.0322486420043217
state_free,1,42,3.841953039169312,3.9208693504333496,3.994077444076538,-0.013255741155933
state_cond,2,42,3.8045151233673096,3.950130224227905,3.9845495223999023,-0.0227836628325688
state_free,2,42,3.861517190933228,3.9484219551086426,3.9956419467926025,-0.0116912384398686
state_cond,5,42,3.937546014785767,3.9706778526306152,3.992388248443604,-0.0149449367888676
state_free,5,42,3.931304454803467,3.969060182571411,3.991816520690918,-0.0155166645415532
state_cond,10,42,3.945356845855713,3.991471767425537,3.978755474090576,-0.028577711141895
state_free,10,42,3.9428210258483887,3.994222402572632,3.987536668777466,-0.0197965164550053
state_cond,1,42,3.8352432250976562,3.9199635982513428,3.9750845432281494,-0.03224864200432176
state_free,1,42,3.8419530391693115,3.9208693504333496,3.994077444076538,-0.013255741155933087
state_cond,2,42,3.8045151233673096,3.9501302242279053,3.9845495223999023,-0.02278366283256883
state_free,2,42,3.8615171909332275,3.9484219551086426,3.9956419467926025,-0.011691238439868634
state_cond,5,42,3.937546491622925,3.9706778526306152,3.9923882484436035,-0.014944936788867658
state_free,5,42,3.931304454803467,3.969060182571411,3.991816520690918,-0.015516664541553205
state_cond,10,42,3.945356845855713,3.991471767425537,3.978755474090576,-0.028577711141895
state_free,10,42,3.9428210258483887,3.994222402572632,3.987536668777466,-0.019796516455005353
