timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.0068980674259364605,3.4785686,0.022497075,2020-04-17
1,0.0060587008483707905,3.7958405,0.025437282,2020-04-20
2,0.005413819570094347,3.9393487,0.022332514,2020-04-21
3,0.007520484272390604,3.3937533,0.026456522,2020-04-22
4,0.004663295112550259,3.8249493,0.01663662,2020-04-23
5,0.004663826897740364,3.985358,0.016964376,2020-04-24
6,0.003937454894185066,3.9918025,0.0148998145,2020-04-27
7,0.005168803036212921,3.9668698,0.02180364,2020-04-28
8,0.0026714238338172436,4.0063624,0.011255948,2020-04-29
9,0.005788782611489296,3.9645689,0.021297256,2020-04-30
10,0.006408332847058773,3.8232658,0.02335355,2020-05-01
11,0.007185767870396376,3.8437324,0.024147287,2020-05-04
12,0.007927590981125832,3.8198342,0.028728975,2020-05-05
13,0.005116400308907032,3.9614718,0.018834742,2020-05-06
14,0.006772857625037432,3.9629703,0.027001344,2020-05-07
15,0.004980961326509714,3.9845858,0.020271942,2020-05-08
16,0.0040727946907281876,3.9923668,0.0153433075,2020-05-11
17,0.006887840572744608,3.9117908,0.024987135,2020-05-12
18,0.008058209903538227,3.614533,0.029577937,2020-05-13
19,0.007340613752603531,3.6524017,0.024276163,2020-05-14
20,0.006802630145102739,3.944165,0.027402608,2020-05-15
21,0.003320381511002779,3.9996355,0.014463109,2020-05-18
22,0.005077517591416836,3.9132652,0.019984476,2020-05-19
23,0.004911645781248808,3.9280818,0.020937761,2020-05-20
24,0.005557117983698845,3.9972537,0.021631699,2020-05-21
25,0.003618309972807765,4.006312,0.013768688,2020-05-22
26,0.003816392971202731,4.00319,0.013079777,2020-05-26
27,0.0038584619760513306,3.974621,0.0171927,2020-05-27
28,0.0032596238888800144,3.9973912,0.012975556,2020-05-28
29,0.0039417739026248455,3.9964485,0.014162279,2020-05-29
30,0.007207734510302544,3.9377403,0.024956461,2020-06-01
31,0.0053528957068920135,3.9849355,0.02090243,2020-06-02
32,0.0032732593826949596,4.006158,0.0110796,2020-06-03
33,0.004178526811301708,4.0026846,0.01682213,2020-06-04
34,0.0033188052475452423,4.0031767,0.015039762,2020-06-05
35,0.0025339259300380945,4.0019875,0.010958629,2020-06-08
36,0.0028933617286384106,4.00633,0.010357748,2020-06-09
37,0.005584441125392914,3.9347105,0.018974464,2020-06-10
38,0.007416391745209694,3.1088676,0.026021091,2020-06-11
39,0.0070215072482824326,2.9903383,0.022294581,2020-06-12
40,0.0066988845355808735,3.8698478,0.02569628,2020-06-15
41,0.0036711804568767548,4.006067,0.015952533,2020-06-16
42,0.004066163673996925,3.9507499,0.015972938,2020-06-17
43,0.0064620040357112885,3.6795514,0.026589055,2020-06-18
44,0.006360526196658611,3.9884,0.021921419,2020-06-19
45,0.004768490791320801,4.005279,0.017032726,2020-06-22
46,0.004463073797523975,4.0063176,0.016666723,2020-06-23
47,0.005565671715885401,3.917882,0.017977266,2020-06-24
48,0.0052794585935771465,3.9924474,0.018570468,2020-06-25
49,0.00706774927675724,3.7599318,0.027557937,2020-06-26
50,0.006407144479453564,3.926642,0.022816615,2020-06-29
51,0.00696053309366107,3.9732897,0.025978351,2020-06-30
52,0.0049497466534376144,3.9959316,0.020015236,2020-07-01
53,0.003635767148807645,4.006334,0.013230122,2020-07-02
54,0.0056621418334543705,3.951151,0.023015235,2020-07-06
55,0.003925157245248556,4.0055075,0.013823723,2020-07-07
56,0.004393070004880428,4.003775,0.014499867,2020-07-08
57,0.007247181609272957,3.9178996,0.027529014,2020-07-09
58,0.006506547797471285,3.9507604,0.025219077,2020-07-10
59,0.00639605987817049,3.8878853,0.024967799,2020-07-13
60,0.004158359952270985,3.9862993,0.01814329,2020-07-14
61,0.0040228841826319695,4.006206,0.015568696,2020-07-15
62,0.004757492803037167,4.002065,0.020496666,2020-07-16
63,0.004013260826468468,4.00321,0.014074987,2020-07-17
64,0.0054512363858520985,4.002675,0.019440932,2020-07-20
65,0.0060319844633340836,3.9968212,0.02241015,2020-07-21
66,0.003395954379811883,4.0050097,0.014260333,2020-07-22
67,0.002890076255425811,4.0048304,0.011398109,2020-07-23
68,0.006444082595407963,3.9855986,0.024472985,2020-07-24
69,0.0036906995810568333,4.0062943,0.01329821,2020-07-27
70,0.0061519937589764595,3.974063,0.023844074,2020-07-28
71,0.00403140252456069,4.0058246,0.016252201,2020-07-29
72,0.004201044328510761,4.006284,0.015954748,2020-07-30
73,0.004519393667578697,4.005589,0.017746402,2020-07-31
74,0.005698828957974911,4.003372,0.021899268,2020-08-03
75,0.0037311736959964037,4.0053906,0.014210844,2020-08-04
76,0.004431511741131544,4.0061173,0.01633127,2020-08-05
77,0.004342493135482073,4.0062027,0.017904863,2020-08-06
78,0.003919423092156649,4.00622,0.016069515,2020-08-07
79,0.0031290645711123943,4.0055385,0.011291221,2020-08-10
80,0.002717289375141263,4.0028725,0.0112829115,2020-08-11
81,0.0036181893665343523,4.0043573,0.016440682,2020-08-12
82,0.002884208457544446,4.0045743,0.010266168,2020-08-13
83,0.004385245498269796,4.0062723,0.0153579675,2020-08-14
84,0.005441098473966122,4.003315,0.021919247,2020-08-17
85,0.005016298498958349,4.003841,0.018189764,2020-08-18
86,0.00478156004101038,4.005388,0.015784688,2020-08-19
87,0.005804859567433596,3.9994276,0.022405652,2020-08-20
88,0.004383845720440149,4.0063143,0.015878584,2020-08-21
89,0.004794088192284107,4.00592,0.018442761,2020-08-24
90,0.004055348690599203,4.0062976,0.017218716,2020-08-25
91,0.002765387762337923,4.003509,0.0112218,2020-08-26
92,0.003358558751642704,4.004511,0.013102425,2020-08-27
93,0.004464752972126007,4.006232,0.0187122,2020-08-28
94,0.003400842659175396,4.005897,0.012519905,2020-08-31
95,0.004365044180303812,4.0063243,0.016527694,2020-09-01
96,0.005204291548579931,4.005287,0.01999087,2020-09-02
97,0.0037119975313544273,4.0060115,0.014184307,2020-09-03
98,0.003916217479854822,4.0063157,0.016169548,2020-09-04
99,0.005954176187515259,3.974414,0.022213638,2020-09-08
100,0.00545856449753046,3.9968455,0.019112643,2020-09-09
101,0.006782677955925465,3.9863827,0.023349132,2020-09-10
102,0.0052477214485406876,4.0036507,0.020703431,2020-09-11
103,0.005102324765175581,4.0054793,0.019537857,2020-09-14
104,0.004928666166961193,4.0003414,0.019269172,2020-09-15
105,0.004196649417281151,4.0062304,0.016765593,2020-09-16
106,0.0062028164975345135,3.9924946,0.025054768,2020-09-17
107,0.005241500213742256,4.000223,0.0190477,2020-09-18
108,0.006622095592319965,3.9830723,0.025547829,2020-09-21
109,0.00690811313688755,3.9670463,0.02527373,2020-09-22
110,0.007331997621804476,3.9345896,0.02365621,2020-09-23
111,0.007245749235153198,3.9661837,0.025616158,2020-09-24
112,0.005953255109488964,3.9994085,0.024141103,2020-09-25
113,0.0037076238077133894,4.006333,0.014064664,2020-09-28
114,0.003620040835812688,4.006334,0.014221148,2020-09-29
115,0.0051527065224945545,3.9985812,0.020147897,2020-09-30
116,0.004638312384486198,4.0062985,0.018893056,2020-10-01
117,0.0027214703150093555,4.001388,0.010525675,2020-10-02
118,0.00326990126632154,4.0029535,0.0114838295,2020-10-05
119,0.0034481273032724857,4.006206,0.013060085,2020-10-06
120,0.004351752810180187,4.0055733,0.016106836,2020-10-07
121,0.00351726938970387,4.0032578,0.014581345,2020-10-08
122,0.0028674122877418995,4.0031877,0.0116212275,2020-10-09
123,0.002507040509954095,4.0000343,0.009439771,2020-10-12
124,0.004021721892058849,4.004853,0.014626545,2020-10-13
125,0.005650126840919256,3.9903448,0.020463556,2020-10-14
126,0.007026572246104479,3.9857776,0.02464448,2020-10-15
127,0.006902623921632767,3.988864,0.028033804,2020-10-16
128,0.004076236858963966,4.0063186,0.0164037,2020-10-19
129,0.006445762701332569,3.9816957,0.024726626,2020-10-20
130,0.006241093389689922,3.9921455,0.025610834,2020-10-21
131,0.004593281541019678,4.005492,0.016384976,2020-10-22
132,0.0035725741181522608,4.0048094,0.013483913,2020-10-23
133,0.00374775193631649,4.006076,0.014020421,2020-10-26
134,0.006054277066141367,3.9835846,0.020353418,2020-10-27
135,0.007889097556471825,3.8119094,0.029059405,2020-10-28
136,0.007002364844083786,3.9561937,0.023969376,2020-10-29
137,0.005580887198448181,4.0038877,0.02209428,2020-10-30
138,0.004155696369707584,4.00578,0.016772568,2020-11-02
139,0.003360012313351035,4.006202,0.013974955,2020-11-03
140,0.005067658144980669,3.994412,0.019713344,2020-11-04
141,0.0037212478928267956,4.0053396,0.012973072,2020-11-05
142,0.005416698753833771,3.9975197,0.020657431,2020-11-06
143,0.004261646885424852,3.9491203,0.01626356,2020-11-09
144,0.004380540456622839,3.9808266,0.015682612,2020-11-10
145,0.003539603902027011,3.9613748,0.01637485,2020-11-11
146,0.005329418927431107,3.998148,0.019634213,2020-11-12
147,0.00565551919862628,4.0021305,0.019680595,2020-11-13
148,0.003982500173151493,3.966605,0.015224239,2020-11-16
149,0.0028802265878766775,4.003928,0.011703115,2020-11-17
150,0.003082934534177184,4.006018,0.01123737,2020-11-18
151,0.00525903794914484,4.0031557,0.021027995,2020-11-19
152,0.003578242613002658,4.005745,0.0121622095,2020-11-20
153,0.0033542064484208822,4.0057335,0.011523707,2020-11-23
154,0.004914165008813143,4.0049596,0.02135595,2020-11-24
155,0.002937011420726776,4.0057974,0.012735711,2020-11-25
156,0.0028862750623375177,4.0055246,0.011122521,2020-11-27
157,0.005472775548696518,4.0008006,0.01994331,2020-11-30
158,0.004756108857691288,4.0056014,0.015757466,2020-12-01
159,0.00363873690366745,4.0055976,0.013946431,2020-12-02
160,0.0025491442065685987,4.0035143,0.010723313,2020-12-03
161,0.00414275424554944,4.005686,0.017811386,2020-12-04
162,0.003281430574133992,4.00634,0.01282472,2020-12-07
163,0.0036397359799593687,4.005674,0.014502906,2020-12-08
164,0.0042276531457901,3.9901416,0.016687136,2020-12-09
