timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.0,1.3842609,0.0,2020-03-27
1,0.0,1.3838178,0.0,2020-03-30
2,0.0,1.3763138,0.0,2020-03-31
3,0.0,1.3824081,0.0,2020-04-01
4,0.0,1.3779135,0.0,2020-04-02
5,0.0,1.3854076,0.0,2020-04-03
6,0.0,1.3855238,0.0,2020-04-06
7,0.0,1.3843611,0.0,2020-04-07
8,0.0,1.3842001,0.0,2020-04-08
9,0.0,1.3853292,0.0,2020-04-09
10,0.0,1.3859702,0.0,2020-04-13
11,0.0,1.3814933,0.0,2020-04-14
12,0.0,1.3800839,0.0,2020-04-15
13,0.0,1.3847667,0.0,2020-04-16
14,0.0,1.3825512,0.0,2020-04-17
15,0.0,1.3831772,0.0,2020-04-20
16,0.0,1.3860475,0.0,2020-04-21
17,0.0,1.3857017,0.0,2020-04-22
18,0.0,1.382799,0.0,2020-04-23
19,0.0,1.3859191,0.0,2020-04-24
20,0.0,1.3850148,0.0,2020-04-27
21,0.0,1.3837264,0.0,2020-04-28
22,0.0,1.3848408,0.0,2020-04-29
23,0.0,1.3855882,0.0,2020-04-30
24,0.0,1.3857486,0.0,2020-05-01
25,0.0,1.386212,0.0,2020-05-04
26,0.0,1.385314,0.0,2020-05-05
27,0.0,1.3841938,0.0,2020-05-06
28,0.0,1.3838187,0.0,2020-05-07
29,0.0,1.3842012,0.0,2020-05-08
30,0.0,1.3840576,0.0,2020-05-11
31,0.0,1.385839,0.0,2020-05-12
32,0.0,1.3860475,0.0,2020-05-13
33,0.0,1.3860006,0.0,2020-05-14
34,0.0,1.385442,0.0,2020-05-15
35,0.0,1.3859398,0.0,2020-05-18
36,0.0,1.3854914,0.0,2020-05-19
37,0.0,1.386212,0.0,2020-05-20
38,0.0,1.3860253,0.0,2020-05-21
39,0.0,1.3804557,0.0,2020-05-22
40,0.0,1.3856832,0.0,2020-05-26
41,0.0,1.3845459,0.0,2020-05-27
42,0.0,1.3854444,0.0,2020-05-28
43,0.0,1.3845229,0.0,2020-05-29
44,0.0,1.3843722,0.0,2020-06-01
45,0.0,1.386157,0.0,2020-06-02
46,0.0,1.3848628,0.0,2020-06-03
47,0.0,1.3833952,0.0,2020-06-04
48,0.0,1.3827647,0.0,2020-06-05
49,0.0,1.3843334,0.0,2020-06-08
50,0.0,1.3819063,0.0,2020-06-09
51,0.0,1.3862127,0.0,2020-06-10
52,0.0,1.3816777,0.0,2020-06-11
53,0.0,1.3844241,0.0,2020-06-12
54,0.0,1.3842556,0.0,2020-06-15
55,0.0,1.382087,0.0,2020-06-16
56,0.0,1.3846306,0.0,2020-06-17
57,0.0,1.3855318,0.0,2020-06-18
58,0.0,1.3862381,0.0,2020-06-19
59,0.0,1.3827957,0.0,2020-06-22
60,0.0,1.3837271,0.0,2020-06-23
61,0.0,1.3858293,0.0,2020-06-24
62,0.0,1.3855102,0.0,2020-06-25
63,0.0,1.386165,0.0,2020-06-26
64,0.0,1.3861927,0.0,2020-06-29
65,0.0,1.3854066,0.0,2020-06-30
66,0.0,1.3812884,0.0,2020-07-01
67,0.0,1.3850783,0.0,2020-07-02
68,0.0,1.383472,0.0,2020-07-06
69,0.0,1.3851879,0.0,2020-07-07
70,0.0,1.3848094,0.0,2020-07-08
71,0.0,1.383513,0.0,2020-07-09
72,0.0,1.3851842,0.0,2020-07-10
73,0.0,1.3857169,0.0,2020-07-13
74,0.0,1.3830156,0.0,2020-07-14
75,0.0,1.3832089,0.0,2020-07-15
76,0.0,1.3830123,0.0,2020-07-16
77,0.0,1.3840537,0.0,2020-07-17
78,0.0,1.3819598,0.0,2020-07-20
79,0.0,1.3836689,0.0,2020-07-21
80,0.0,1.3835065,0.0,2020-07-22
81,0.0,1.3813959,0.0,2020-07-23
82,0.0,1.3820642,0.0,2020-07-24
83,0.0,1.3789593,0.0,2020-07-27
84,0.0,1.3847528,0.0,2020-07-28
85,0.0,1.3812664,0.0,2020-07-29
86,0.0,1.3818604,0.0,2020-07-30
87,0.0,1.3822006,0.0,2020-07-31
88,0.0,1.378402,0.0,2020-08-03
89,0.0,1.3792701,0.0,2020-08-04
90,0.0,1.3813493,0.0,2020-08-05
91,0.0,1.3784955,0.0,2020-08-06
92,0.0,1.3808829,0.0,2020-08-07
93,0.0,1.3836998,0.0,2020-08-10
94,0.0,1.3807372,0.0,2020-08-11
95,0.0,1.3775638,0.0,2020-08-12
96,0.0,1.3800459,0.0,2020-08-13
97,0.0,1.378469,0.0,2020-08-14
98,0.0,1.3789475,0.0,2020-08-17
99,0.0,1.3809413,0.0,2020-08-18
100,0.0,1.3830438,0.0,2020-08-19
101,0.0,1.3797159,0.0,2020-08-20
102,0.0,1.3793995,0.0,2020-08-21
103,0.0,1.3808266,0.0,2020-08-24
104,0.0,1.3799269,0.0,2020-08-25
105,0.0,1.3783967,0.0,2020-08-26
106,0.0,1.381441,0.0,2020-08-27
107,0.0,1.3793862,0.0,2020-08-28
108,0.0,1.3824897,0.0,2020-08-31
109,0.0,1.3794323,0.0,2020-09-01
110,0.0,1.3805628,0.0,2020-09-02
111,0.0,1.3840114,0.0,2020-09-03
112,0.0,1.3836272,0.0,2020-09-04
113,0.0,1.3850325,0.0,2020-09-08
114,0.0,1.3836457,0.0,2020-09-09
115,0.0,1.385565,0.0,2020-09-10
116,0.0,1.3803322,0.0,2020-09-11
117,0.0,1.3802233,0.0,2020-09-14
118,0.0,1.3810011,0.0,2020-09-15
119,0.0,1.3828297,0.0,2020-09-16
