timestep,ck_kl,ck_tv,date
0,0.012169924355018612,0.06690737887542657,2020-03-27
1,0.06136034953039337,0.13029810113777673,2020-03-30
2,0.08486304932018637,0.16450453387246589,2020-03-31
3,0.06320854790878325,0.13722002551742973,2020-04-01
4,0.09453474829576913,0.1770444999911194,2020-04-02
5,0.037904403652540525,0.11476332241196108,2020-04-03
6,0.049407985883892544,0.1308438192604711,2020-04-06
7,0.03199695431947515,0.10624209244115967,2020-04-07
8,0.02570194028360648,0.09298203194972222,2020-04-08
9,0.014686118959698765,0.07046133116834498,2020-04-09
10,0.0391354036258981,0.11573279195603924,2020-04-13
11,0.10076852830425814,0.18477267961994875,2020-04-14
12,0.050519072769339604,0.1302611888030084,2020-04-15
13,0.10290925370120253,0.19707043947761224,2020-04-16
14,0.04091177135889044,0.11816126307514688,2020-04-17
15,0.015380491633318902,0.07484660916836634,2020-04-20
16,0.029869137614994674,0.09909303069504828,2020-04-21
17,0.03545768334269646,0.10807091391313157,2020-04-22
18,0.08620481540774183,0.1662703104286966,2020-04-23
19,0.03425267453170389,0.09668587555200782,2020-04-24
20,0.12590009064916088,0.20968897910277037,2020-04-27
21,0.14556996559515012,0.230940687001427,2020-04-28
22,0.23609014106104487,0.2911457661903381,2020-04-29
23,0.04409544318674779,0.12171290406519902,2020-04-30
24,0.03377115532464693,0.10598981953660198,2020-05-01
25,0.017704091042103357,0.07490799145638762,2020-05-04
26,0.019955539239293132,0.07600937970779507,2020-05-05
27,0.0201821832521847,0.08206457476487353,2020-05-06
28,0.024933037486985273,0.08722340963118266,2020-05-07
29,0.06664389438452052,0.14978566352110165,2020-05-08
30,0.0188662905808267,0.07854540693885738,2020-05-11
31,0.09372388831287254,0.1806137045636876,2020-05-12
32,0.5721350134811738,0.41956525465872213,2020-05-13
33,0.20332822386219712,0.28153793622995804,2020-05-14
34,0.14668354974792888,0.2339701064231725,2020-05-15
35,0.014899830319646905,0.07027530743994514,2020-05-18
36,0.0672422714319071,0.15928378530425227,2020-05-19
37,0.17518076106657302,0.2555398219864871,2020-05-20
38,0.23078952501536812,0.29258936356479726,2020-05-21
39,0.05307027114508659,0.13544392797479268,2020-05-22
40,0.026184841041343665,0.09288720392972599,2020-05-26
41,0.13257218154934525,0.22405951235258129,2020-05-27
42,0.04229122101530475,0.1275305734372713,2020-05-28
43,0.17497375802178364,0.2549532190543337,2020-05-29
44,0.10257312204424618,0.19593873843710435,2020-06-01
45,0.10006803644069003,0.19602738786675528,2020-06-02
46,0.016472079134470012,0.0705110737293147,2020-06-03
47,0.06774043171216793,0.1571461691305368,2020-06-04
48,0.056565920594448704,0.14492023744461635,2020-06-05
49,0.05277171762367152,0.13551780842370822,2020-06-08
50,0.018111020546126493,0.07515132938701426,2020-06-09
51,0.03552757133546709,0.1077194238392784,2020-06-10
52,0.023090931476509192,0.08514348040849037,2020-06-11
53,0.022559340074473667,0.08685133815929745,2020-06-12
54,0.08305981046999303,0.1743109867113442,2020-06-15
55,0.084984120665989,0.17823626320302055,2020-06-16
56,0.025795815695773095,0.08818000397083342,2020-06-17
57,0.02571682451870948,0.08771526185533748,2020-06-18
58,0.02697536776822365,0.0861900288230172,2020-06-19
59,0.035942060551896964,0.11050654557166664,2020-06-22
60,0.010650560461252161,0.057824663588532055,2020-06-23
61,0.07439281784316785,0.13936333287281333,2020-06-24
62,0.021657084780355974,0.0799963340322727,2020-06-25
63,0.04674231419324605,0.10900750323726031,2020-06-26
64,0.012953865579019775,0.06396642126309614,2020-06-29
65,0.010699028600138777,0.06040102647326391,2020-06-30
66,0.018429493975772163,0.07185027311600417,2020-07-01
67,0.015249224991430504,0.06926755487616926,2020-07-02
68,0.0256023803331554,0.0834262289409343,2020-07-06
69,0.14373969379387685,0.20389003974095962,2020-07-07
70,0.028786013026756832,0.08947403218593958,2020-07-08
71,0.05371861616382651,0.12150905218037952,2020-07-09
72,0.05504518664715652,0.12466981187504174,2020-07-10
73,0.02670471955545166,0.08777364377625684,2020-07-13
74,0.027509838029521495,0.08949964647372168,2020-07-14
75,0.06675567457363861,0.13445193881041637,2020-07-15
76,0.013895069849972092,0.06647272960911031,2020-07-16
77,0.07766065049757626,0.14426315273924825,2020-07-17
78,0.02219318914465237,0.08587457602227576,2020-07-20
79,0.08757960460158043,0.14145306497288107,2020-07-21
80,0.11157620880756226,0.20341955822836172,2020-07-22
81,0.020974167233541778,0.08308225454935267,2020-07-23
82,0.05863021281075568,0.11947980297565065,2020-07-24
83,0.02188022740705091,0.08152476356590552,2020-07-27
84,0.08530713894678706,0.16090386561528564,2020-07-28
85,0.01528949742090501,0.0660673535398486,2020-07-29
86,0.02493113398803317,0.08747368280470219,2020-07-30
87,0.06487165695463509,0.12504062152886997,2020-07-31
88,0.014871851353290118,0.0693524425437487,2020-08-03
89,0.03395749859149637,0.10611197599494195,2020-08-04
90,0.03317537306478173,0.10404238008734319,2020-08-05
91,0.20753115145518955,0.27913784357912513,2020-08-06
92,0.10315322152545774,0.19389459558432368,2020-08-07
93,0.14966107918730148,0.23772168309358774,2020-08-10
94,0.11160665872072889,0.20235272483181319,2020-08-11
95,0.2931404261584438,0.3346901242877123,2020-08-12
96,0.012680907780310741,0.06427845746753735,2020-08-13
97,0.13146748059101557,0.22080729878999922,2020-08-14
98,0.038871135579230984,0.11166046810158606,2020-08-17
99,0.197235391141916,0.2717190152032922,2020-08-18
100,0.013137318539266035,0.0632272264982625,2020-08-19
101,0.276371052280365,0.32223962910935383,2020-08-20
102,0.348229577958205,0.36275191926866057,2020-08-21
103,0.258557090081831,0.3119418021347297,2020-08-24
104,0.3098018260717833,0.3426083516005782,2020-08-25
105,0.3035397522581902,0.3390636153797707,2020-08-26
106,0.01129980016924571,0.06041336986448575,2020-08-27
107,0.03039806432780435,0.0995011077901398,2020-08-28
108,0.03421890320593464,0.10513900450423798,2020-08-31
109,0.0558359801295053,0.13858278802194868,2020-09-01
110,0.01188853013209489,0.061871537875272525,2020-09-02
111,0.027241374284424576,0.09392311790059024,2020-09-03
112,0.013813037157288871,0.06693819505737211,2020-09-04
113,0.018544983433768245,0.07655845178456672,2020-09-08
114,0.010344332461679222,0.0584836254824352,2020-09-09
115,0.024495058236839794,0.08486182364759116,2020-09-10
116,0.013985763479677503,0.057585649294295715,2020-09-11
117,0.009846501249017892,0.05590285524012897,2020-09-14
118,0.07765357856008887,0.13883350723433321,2020-09-15
119,0.09431691639150967,0.18482861890813695,2020-09-16
120,0.17936149217462496,0.2632151322231314,2020-09-17
121,0.04209006223770118,0.1192378937244466,2020-09-18
122,0.03068521727829348,0.0995672522358344,2020-09-21
123,0.0448893160893026,0.12410128426083634,2020-09-22
124,0.024291015014770666,0.08167771962471322,2020-09-23
125,0.013699767212447964,0.06678549991181863,2020-09-24
126,0.008803266063961217,0.05431776950486317,2020-09-25
127,0.07298647037263999,0.15983183102642937,2020-09-28
128,0.16049788371310003,0.2441868844784591,2020-09-29
129,0.41801024514490004,0.3927354075128572,2020-09-30
130,0.28202353971059135,0.3288489141080677,2020-10-01
131,0.3039113426565085,0.34047156983043164,2020-10-02
