model,h,N,seed,nll_train,nll_val,nll_test,delta_marginal
state_cond_full,1,55,42,,3.9342315196990967,3.9848151206970215,-0.02251806453544969
state_cond_full,1,55,7,,3.93666672706604,3.99634051322937,-0.010992672003101056
state_cond_full,1,55,123,,3.934717893600464,3.9940922260284424,-0.01324095920402879
state_cond_full,21,55,42,,4.186177730560303,3.966555595397949,-0.040777589834521955
state_cond_full,21,55,7,,4.208220958709717,4.012203216552734,0.004870031320263202
state_cond_full,21,55,123,,4.151945114135742,3.982269525527954,-0.02506365970451707
state_cond_macro_only,1,55,42,,3.974290132522583,4.013863563537598,0.006530378305126483
state_cond_macro_only,1,55,7,,3.9972949028015137,4.029780387878418,0.022447202645946795
state_cond_macro_only,1,55,123,,3.9699435234069824,4.008405685424805,0.0010725001923335142
state_cond_macro_only,21,55,42,,4.476078510284424,4.0991082191467285,0.09177503391425734
state_cond_macro_only,21,55,7,,4.472046852111816,4.119096755981445,0.11176357074897414
state_cond_macro_only,21,55,123,,4.387570381164551,4.039036750793457,0.03170356556098586
state_cond_own_only,1,55,42,,3.9232053756713867,3.977799415588379,-0.029533769644092267
state_cond_own_only,1,55,7,,3.9237029552459717,3.969142198562622,-0.0381909866698491
state_cond_own_only,1,55,123,,3.920877695083618,3.9733359813690186,-0.03399720386345262
state_cond_own_only,21,55,42,,4.020420551300049,3.9491474628448486,-0.05818572238762254
state_cond_own_only,21,55,7,,4.0221381187438965,3.9471309185028076,-0.060202266729663556
state_cond_own_only,21,55,123,,4.021670341491699,3.9468908309936523,-0.06044235423881883
state_cond_other_banks_only,1,55,42,,3.931648015975952,4.027651786804199,0.020318601571728045
state_cond_other_banks_only,1,55,7,,3.931546926498413,4.039494514465332,0.03216132923286086
state_cond_other_banks_only,1,55,123,,3.9361636638641357,4.032736778259277,0.02540359302680617
state_cond_other_banks_only,21,55,42,,4.078751087188721,3.998194694519043,-0.009138490713428205
state_cond_other_banks_only,21,55,7,,4.09157657623291,3.9922683238983154,-0.015064861334155744
state_cond_other_banks_only,21,55,123,,4.090502738952637,3.989295482635498,-0.018037702596973126
