timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.008144992403686047,3.817903,0.034033753,2020-03-27
1,0.00797218456864357,3.810471,0.034291133,2020-03-30
2,0.01394673716276884,3.583529,0.055749603,2020-03-31
3,0.01079487893730402,3.764631,0.042753562,2020-04-01
4,0.010776099748909473,3.7203026,0.048736077,2020-04-02
5,0.012042053043842316,3.703052,0.052509144,2020-04-03
6,0.006657704245299101,3.8077817,0.026129132,2020-04-06
7,0.011993448249995708,3.2400372,0.048570644,2020-04-07
8,0.006865408271551132,3.824644,0.029245038,2020-04-08
9,0.005572328809648752,3.8953874,0.020425243,2020-04-09
10,0.01218870934098959,3.5915534,0.04670603,2020-04-13
11,0.012932304292917252,3.1845615,0.05245822,2020-04-14
12,0.011410881765186787,2.6961057,0.045245744,2020-04-15
13,0.01002803910523653,3.8025994,0.042790823,2020-04-16
14,0.00793357565999031,3.7670062,0.030148836,2020-04-17
15,0.010623660869896412,3.7892592,0.04170188,2020-04-20
16,0.005877044517546892,3.8847165,0.023386262,2020-04-21
17,0.010316673666238785,3.7108598,0.04118832,2020-04-22
18,0.01330780889838934,3.3643453,0.049649592,2020-04-23
19,0.005200284067541361,3.8924394,0.021500107,2020-04-24
20,0.00918501615524292,3.8172524,0.034429237,2020-04-27
21,0.00845092162489891,3.9297726,0.03396093,2020-04-28
22,0.014703555032610893,3.9770558,0.06748107,2020-04-29
23,0.007056964561343193,3.896349,0.028607002,2020-04-30
24,0.010326286777853966,3.779237,0.040217463,2020-05-01
25,0.007156814448535442,3.8843334,0.030606199,2020-05-04
26,0.009710266254842281,3.9229562,0.04026881,2020-05-05
27,0.011259371414780617,3.7309415,0.045985185,2020-05-06
28,0.012410151772201061,3.9373376,0.05456703,2020-05-07
29,0.01046044286340475,3.9239285,0.040520296,2020-05-08
30,0.007931247353553772,3.8847165,0.03420333,2020-05-11
31,0.007598580326884985,3.9006314,0.03277625,2020-05-12
32,0.007677137386053801,3.8726134,0.033864524,2020-05-13
33,0.006505421828478575,3.8678796,0.025340348,2020-05-14
34,0.008107420057058334,3.9142485,0.03365602,2020-05-15
35,0.008003553375601768,3.8047588,0.032017145,2020-05-18
36,0.007889838889241219,3.8625348,0.031309642,2020-05-19
37,0.00578496465459466,3.8763185,0.02407926,2020-05-20
38,0.01765212044119835,3.9585264,0.0700039,2020-05-21
39,0.03719514235854149,3.9976385,0.16758431,2020-05-22
40,0.004924565088003874,3.900829,0.019387335,2020-05-26
41,0.0068122916854918,3.8730476,0.025761286,2020-05-27
42,0.0054321582429111,3.8808618,0.021770172,2020-05-28
43,0.007826462388038635,3.9285007,0.037207764,2020-05-29
44,0.013680029660463333,3.9510098,0.05324939,2020-06-01
45,0.006315946578979492,3.885105,0.024441652,2020-06-02
46,0.006580479443073273,3.925736,0.026429793,2020-06-03
47,0.019659601151943207,3.9795246,0.08041248,2020-06-04
48,0.01155192218720913,3.9587555,0.050092384,2020-06-05
