timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.0,3.8777556,0.0,2020-02-06
1,0.0,3.9087896,0.0,2020-02-07
2,0.0,3.8675282,0.0,2020-02-10
3,0.0,3.8708305,0.0,2020-02-11
4,0.0,3.8639326,0.0,2020-02-12
5,0.0,3.8339655,0.0,2020-02-13
6,0.0,3.8567593,0.0,2020-02-14
7,0.0,3.8995416,0.0,2020-02-18
8,0.0,3.8782823,0.0,2020-02-19
9,0.0,3.9244661,0.0,2020-02-20
10,0.0,3.8836484,0.0,2020-02-21
11,0.0,4.001178,0.0,2020-02-24
12,0.0,3.9717605,0.0,2020-02-25
13,0.0,3.9635682,0.0,2020-02-26
14,0.0,3.9444764,0.0,2020-02-27
15,0.0,3.9278772,0.0,2020-02-28
16,0.0,3.9369562,0.0,2020-03-02
17,0.0,3.9342532,0.0,2020-03-03
18,0.0,3.9478776,0.0,2020-03-04
19,0.0,3.9321458,0.0,2020-03-05
20,0.0,3.9099014,0.0,2020-03-06
21,0.0,3.6526184,0.0,2020-03-09
22,0.0,3.473825,0.0,2020-03-10
23,0.0,3.804147,0.0,2020-03-11
24,0.0,3.2176244,0.0,2020-03-12
25,0.0,3.1906097,0.0,2020-03-13
26,0.0,2.751689,0.0,2020-03-16
27,0.0,2.65935,0.0,2020-03-17
28,0.0,3.3780553,0.0,2020-03-18
29,0.0,3.510846,0.0,2020-03-19
30,0.0,3.4561343,0.0,2020-03-20
31,0.0,3.468774,0.0,2020-03-23
32,0.0,3.2743008,0.0,2020-03-24
33,0.0,3.339822,0.0,2020-03-25
34,0.0,3.7468145,0.0,2020-03-26
35,0.0,3.8765104,0.0,2020-03-27
36,0.0,3.6830916,0.0,2020-03-30
37,0.0,3.6311967,0.0,2020-03-31
38,0.0,3.7218785,0.0,2020-04-01
39,0.0,3.529175,0.0,2020-04-02
40,0.0,3.7715185,0.0,2020-04-03
41,0.0,3.5877485,0.0,2020-04-06
42,0.0,3.3870344,0.0,2020-04-07
43,0.0,3.678219,0.0,2020-04-08
44,0.0,3.7803774,0.0,2020-04-09
45,0.0,3.8253772,0.0,2020-04-13
46,0.0,3.024778,0.0,2020-04-14
47,0.0,3.4127185,0.0,2020-04-15
48,0.0,3.7389169,0.0,2020-04-16
49,0.0,3.175607,0.0,2020-04-17
50,0.0,3.8911102,0.0,2020-04-20
51,0.0,3.851954,0.0,2020-04-21
52,0.0,3.7622895,0.0,2020-04-22
53,0.0,3.8506145,0.0,2020-04-23
54,0.0,3.8800807,0.0,2020-04-24
55,0.0,3.9313493,0.0,2020-04-27
56,0.0,3.9264185,0.0,2020-04-28
57,0.0,3.8852146,0.0,2020-04-29
58,0.0,3.9310026,0.0,2020-04-30
59,0.0,3.8958101,0.0,2020-05-01
60,0.0,3.9190977,0.0,2020-05-04
61,0.0,3.9197488,0.0,2020-05-05
62,0.0,3.8712292,0.0,2020-05-06
63,0.0,3.9354048,0.0,2020-05-07
64,0.0,3.9466574,0.0,2020-05-08
65,0.0,3.9447477,0.0,2020-05-11
66,0.0,3.9115171,0.0,2020-05-12
67,0.0,3.88112,0.0,2020-05-13
68,0.0,3.7944033,0.0,2020-05-14
69,0.0,3.9142241,0.0,2020-05-15
70,0.0,3.9272172,0.0,2020-05-18
71,0.0,3.9324374,0.0,2020-05-19
72,0.0,3.9142308,0.0,2020-05-20
73,0.0,3.9337327,0.0,2020-05-21
74,0.0,3.9940646,0.0,2020-05-22
75,0.0,3.8925843,0.0,2020-05-26
76,0.0,3.931885,0.0,2020-05-27
77,0.0,3.9205897,0.0,2020-05-28
78,0.0,3.9295235,0.0,2020-05-29
79,0.0,3.917875,0.0,2020-06-01
80,0.0,3.9258893,0.0,2020-06-02
81,0.0,3.9372208,0.0,2020-06-03
82,0.0,3.9234614,0.0,2020-06-04
83,0.0,3.92549,0.0,2020-06-05
84,0.0,3.9396029,0.0,2020-06-08
85,0.0,3.9539037,0.0,2020-06-09
86,0.0,3.906554,0.0,2020-06-10
87,0.0,3.837877,0.0,2020-06-11
88,0.0,3.7023892,0.0,2020-06-12
89,0.0,3.9092777,0.0,2020-06-15
90,0.0,3.9389205,0.0,2020-06-16
91,0.0,3.9383984,0.0,2020-06-17
92,0.0,3.9084113,0.0,2020-06-18
93,0.0,3.923091,0.0,2020-06-19
94,0.0,3.9810667,0.0,2020-06-22
95,0.0,3.9642117,0.0,2020-06-23
96,0.0,3.928677,0.0,2020-06-24
97,0.0,3.937941,0.0,2020-06-25
98,0.0,3.916287,0.0,2020-06-26
99,0.0,3.9017336,0.0,2020-06-29
100,0.0,3.9392152,0.0,2020-06-30
101,0.0,3.9724548,0.0,2020-07-01
102,0.0,3.9477391,0.0,2020-07-02
103,0.0,3.9564087,0.0,2020-07-06
104,0.0,3.9532268,0.0,2020-07-07
105,0.0,3.9534576,0.0,2020-07-08
106,0.0,3.947474,0.0,2020-07-09
107,0.0,3.8851893,0.0,2020-07-10
108,0.0,3.866858,0.0,2020-07-13
109,0.0,3.9267156,0.0,2020-07-14
110,0.0,3.9645941,0.0,2020-07-15
111,0.0,3.9618874,0.0,2020-07-16
112,0.0,3.9800231,0.0,2020-07-17
113,0.0,3.9992814,0.0,2020-07-20
114,0.0,3.9413605,0.0,2020-07-21
115,0.0,3.9962177,0.0,2020-07-22
116,0.0,4.0005746,0.0,2020-07-23
117,0.0,3.9671462,0.0,2020-07-24
118,0.0,4.0040483,0.0,2020-07-27
119,0.0,3.9606776,0.0,2020-07-28
120,0.0,3.9986262,0.0,2020-07-29
121,0.0,4.0024467,0.0,2020-07-30
122,0.0,3.9924521,0.0,2020-07-31
123,0.0,4.004439,0.0,2020-08-03
124,0.0,4.0041146,0.0,2020-08-04
125,0.0,3.9958227,0.0,2020-08-05
126,0.0,4.0028567,0.0,2020-08-06
127,0.0,3.9912825,0.0,2020-08-07
128,0.0,3.9943268,0.0,2020-08-10
129,0.0,4.00174,0.0,2020-08-11
130,0.0,4.0018525,0.0,2020-08-12
131,0.0,4.0005736,0.0,2020-08-13
132,0.0,4.0007787,0.0,2020-08-14
133,0.0,4.0028214,0.0,2020-08-17
134,0.0,4.0034823,0.0,2020-08-18
135,0.0,3.9917583,0.0,2020-08-19
136,0.0,4.0031734,0.0,2020-08-20
137,0.0,3.9915347,0.0,2020-08-21
138,0.0,3.9874687,0.0,2020-08-24
139,0.0,3.9905224,0.0,2020-08-25
140,0.0,4.0021415,0.0,2020-08-26
141,0.0,4.002139,0.0,2020-08-27
142,0.0,3.994432,0.0,2020-08-28
143,0.0,3.991693,0.0,2020-08-31
144,0.0,4.0039153,0.0,2020-09-01
145,0.0,3.9770849,0.0,2020-09-02
146,0.0,3.9728057,0.0,2020-09-03
147,0.0,3.9735782,0.0,2020-09-04
148,0.0,3.9738164,0.0,2020-09-08
149,0.0,3.979907,0.0,2020-09-09
150,0.0,3.9653795,0.0,2020-09-10
151,0.0,4.0011415,0.0,2020-09-11
152,0.0,3.9983957,0.0,2020-09-14
153,0.0,3.9973512,0.0,2020-09-15
154,0.0,3.9579709,0.0,2020-09-16
155,0.0,3.9870844,0.0,2020-09-17
156,0.0,3.9409435,0.0,2020-09-18
157,0.0,3.955734,0.0,2020-09-21
158,0.0,3.971268,0.0,2020-09-22
159,0.0,3.9544406,0.0,2020-09-23
160,0.0,3.9571264,0.0,2020-09-24
161,0.0,3.9852571,0.0,2020-09-25
162,0.0,3.9823604,0.0,2020-09-28
163,0.0,3.978684,0.0,2020-09-29
164,0.0,3.97295,0.0,2020-09-30
165,0.0,3.9903102,0.0,2020-10-01
166,0.0,3.99039,0.0,2020-10-02
167,0.0,3.9964995,0.0,2020-10-05
168,0.0,3.9978065,0.0,2020-10-06
169,0.0,3.9968858,0.0,2020-10-07
170,0.0,3.9994085,0.0,2020-10-08
171,0.0,3.9922774,0.0,2020-10-09
172,0.0,3.9889133,0.0,2020-10-12
173,0.0,4.000554,0.0,2020-10-13
174,0.0,3.9275224,0.0,2020-10-14
175,0.0,3.9539883,0.0,2020-10-15
176,0.0,3.9734292,0.0,2020-10-16
177,0.0,3.9975176,0.0,2020-10-19
178,0.0,3.9568172,0.0,2020-10-20
179,0.0,3.9876237,0.0,2020-10-21
180,0.0,3.999891,0.0,2020-10-22
181,0.0,4.0039334,0.0,2020-10-23
182,0.0,3.9763045,0.0,2020-10-26
183,0.0,3.9574063,0.0,2020-10-27
184,0.0,3.9253592,0.0,2020-10-28
185,0.0,3.9349852,0.0,2020-10-29
186,0.0,3.9578996,0.0,2020-10-30
187,0.0,3.988512,0.0,2020-11-02
188,0.0,3.9694166,0.0,2020-11-03
189,0.0,3.9696336,0.0,2020-11-04
190,0.0,3.9452825,0.0,2020-11-05
191,0.0,3.96452,0.0,2020-11-06
192,0.0,3.8638523,0.0,2020-11-09
193,0.0,3.8959305,0.0,2020-11-10
194,0.0,3.9026093,0.0,2020-11-11
195,0.0,3.9870405,0.0,2020-11-12
196,0.0,3.993347,0.0,2020-11-13
197,0.0,3.8958704,0.0,2020-11-16
198,0.0,3.9997647,0.0,2020-11-17
199,0.0,3.9987705,0.0,2020-11-18
200,0.0,4.004283,0.0,2020-11-19
201,0.0,3.9938266,0.0,2020-11-20
202,0.0,3.9877324,0.0,2020-11-23
203,0.0,3.9445817,0.0,2020-11-24
204,0.0,3.9843767,0.0,2020-11-25
205,0.0,4.003556,0.0,2020-11-27
206,0.0,4.004028,0.0,2020-11-30
207,0.0,4.0008354,0.0,2020-12-01
208,0.0,3.9767013,0.0,2020-12-02
209,0.0,4.002496,0.0,2020-12-03
210,0.0,3.9725184,0.0,2020-12-04
