timestep,ck_kl,ck_tv,date
0,0.03787083858263975,0.10386900884914776,2020-03-24
1,0.023486012092278682,0.07909276058090149,2020-03-25
2,0.09892273565486895,0.18066407953230332,2020-03-26
3,0.17286970464082363,0.24291671592728198,2020-03-27
4,0.14671296223305594,0.2229397431536319,2020-03-30
5,0.131267661385879,0.21141511441115543,2020-03-31
6,0.08890526871087664,0.171019521588026,2020-04-01
7,0.03173121366123076,0.0955341008813044,2020-04-02
8,0.014200773541894281,0.06269137364200149,2020-04-03
9,0.01496259282079967,0.06472455458805264,2020-04-06
10,0.06224429247679917,0.140109265686697,2020-04-07
11,0.13679656215439476,0.21465697255040075,2020-04-08
12,0.13267629138646758,0.2125346276010964,2020-04-09
13,0.12071817641680697,0.20233551088601934,2020-04-13
14,0.028348981081498664,0.09052322021837228,2020-04-14
15,0.022626850312679168,0.07842153494601933,2020-04-15
16,0.016356129337228523,0.06690977809723966,2020-04-16
17,0.024114623816345004,0.08259569129083066,2020-04-17
18,0.027252241812097188,0.08948004859671353,2020-04-20
19,0.02200862535907968,0.07927574749585424,2020-04-21
20,0.030995529454820075,0.0968102993280748,2020-04-22
21,0.03154140580388514,0.09758942619213734,2020-04-23
22,0.03347839329628348,0.10129942700377054,2020-04-24
23,0.04255017799764858,0.11602667007462894,2020-04-27
24,0.0360721885580594,0.10630860597534919,2020-04-28
25,0.018035079152285357,0.07400933460659131,2020-04-29
26,0.018620547391064834,0.07590379772617084,2020-04-30
27,0.01395899054131552,0.06528066489152798,2020-05-01
28,0.015623353898593526,0.0707526203075533,2020-05-04
29,0.037009043651350285,0.10993217877979741,2020-05-05
30,0.04945657832307746,0.1284641015090815,2020-05-06
31,0.44255447566440614,0.39370034703087453,2020-05-07
32,0.30769069368649926,0.3288475086560637,2020-05-08
33,0.21787961036380268,0.27569268143438397,2020-05-11
34,0.17168486395522334,0.24365911027514958,2020-05-12
35,0.02592819459320281,0.08369290031860029,2020-05-13
36,0.0518275175166483,0.12665770592138,2020-05-14
37,0.10087977862954783,0.18262606285060531,2020-05-15
38,0.060635623366611345,0.1393096962677053,2020-05-18
39,0.054500767160593426,0.1318691792652828,2020-05-19
40,0.0974057603400859,0.1799659217245196,2020-05-20
41,0.05409076392157688,0.13005763353844935,2020-05-21
42,0.13603482634017078,0.21493732692299386,2020-05-22
43,0.09146127925025077,0.17429699931627696,2020-05-26
44,0.04295120243642661,0.11551569167299806,2020-05-27
45,0.028012821981253187,0.09120552043775994,2020-05-28
