timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.05256006121635437,3.200105,0.25323632,2020-03-27
1,0.0519179031252861,3.1882658,0.24948749,2020-03-30
2,0.05528624728322029,3.2411249,0.2702698,2020-03-31
3,0.05060313269495964,3.1565902,0.24232697,2020-04-01
4,0.046509306877851486,3.1339097,0.22041255,2020-04-02
5,0.04814140871167183,3.1579003,0.22924562,2020-04-03
6,0.051250774413347244,3.20431,0.24841866,2020-04-06
7,0.051291149109601974,3.2079344,0.2479847,2020-04-07
8,0.053903620690107346,3.2574089,0.26562238,2020-04-08
9,0.05689818412065506,3.3357856,0.2886328,2020-04-09
10,0.057166337966918945,3.347031,0.29078165,2020-04-13
11,0.05185873061418533,3.2071884,0.25148752,2020-04-14
12,0.048116493970155716,3.140671,0.22940487,2020-04-15
13,0.0517614483833313,3.19898,0.2512092,2020-04-16
14,0.05268676578998566,3.211523,0.25700352,2020-04-17
15,0.05616607144474983,3.2860334,0.28077513,2020-04-20
16,0.05503125488758087,3.262441,0.27294213,2020-04-21
17,0.057411860674619675,3.3263147,0.29150343,2020-04-22
18,0.056223027408123016,3.294322,0.28238925,2020-04-23
19,0.05727183446288109,3.3256884,0.2908489,2020-04-24
20,0.05754723772406578,3.335002,0.2930316,2020-04-27
21,0.05772050470113754,3.3497531,0.2949493,2020-04-28
22,0.0571487732231617,3.3336046,0.29053277,2020-04-29
23,0.05800654739141464,3.3491452,0.29660827,2020-04-30
24,0.05749347805976868,3.3350945,0.29271424,2020-05-01
25,0.05861238017678261,3.3643458,0.30071157,2020-05-04
26,0.059624359011650085,3.4064503,0.306494,2020-05-05
27,0.05957562103867531,3.4136126,0.30638173,2020-05-06
28,0.061107832938432693,3.4544005,0.3180719,2020-05-07
29,0.06000266596674919,3.4362795,0.3107856,2020-05-08
30,0.058680325746536255,3.3994248,0.3005908,2020-05-11
31,0.058602504432201385,3.382216,0.3006305,2020-05-12
32,0.041202664375305176,3.0421665,0.19383602,2020-05-13
33,0.04923783242702484,3.1679177,0.23724914,2020-05-14
34,0.05150555819272995,3.2046733,0.2510976,2020-05-15
35,0.05277286097407341,3.2292569,0.2591648,2020-05-18
36,0.053193140774965286,3.2405784,0.2619815,2020-05-19
37,0.053644970059394836,3.2466698,0.26512238,2020-05-20
38,0.05051713436841965,3.1841617,0.24522944,2020-05-21
39,0.05496225506067276,3.2700868,0.2739984,2020-05-22
40,0.055446647107601166,3.2829027,0.2774353,2020-05-26
41,0.05224990099668503,3.2179673,0.25601137,2020-05-27
42,0.05420055612921715,3.2538252,0.26868078,2020-05-28
43,0.05050669610500336,3.1821105,0.24530521,2020-05-29
44,0.05443551391363144,3.252725,0.27020848,2020-06-01
45,0.056016236543655396,3.2932622,0.28159502,2020-06-02
46,0.05772349610924721,3.3444304,0.2946295,2020-06-03
47,0.05852389708161354,3.367174,0.30010262,2020-06-04
48,0.05839145556092262,3.3684816,0.29930437,2020-06-05
49,0.05717157572507858,3.330188,0.29078552,2020-06-08
50,0.05838458240032196,3.3695502,0.29924333,2020-06-09
51,0.057346161454916,3.343348,0.29252204,2020-06-10
52,0.05903572589159012,3.3888583,0.30288202,2020-06-11
53,0.05469371750950813,3.2725825,0.27288583,2020-06-12
54,0.05726555362343788,3.3432717,0.29193318,2020-06-15
55,0.05874357745051384,3.379902,0.30129582,2020-06-16
56,0.05853235349059105,3.375386,0.30009198,2020-06-17
57,0.060686931014060974,3.430521,0.31401145,2020-06-18
58,0.06211632490158081,3.4506097,0.3227651,2020-06-19
59,0.06188352033495903,3.4467146,0.32131037,2020-06-22
60,0.06262030452489853,3.4568214,0.32524347,2020-06-23
61,0.06065027043223381,3.4254794,0.31316432,2020-06-24
62,0.06093466281890869,3.4321344,0.31521654,2020-06-25
63,0.062340255826711655,3.4565299,0.3235008,2020-06-26
64,0.06140265241265297,3.4415574,0.3182521,2020-06-29
65,0.06285697966814041,3.4617527,0.3263427,2020-06-30
66,0.061981555074453354,3.4511025,0.32174167,2020-07-01
67,0.06237037852406502,3.456038,0.3238244,2020-07-02
68,0.062488358467817307,3.4559855,0.32462588,2020-07-06
69,0.0632738545536995,3.4609442,0.32860735,2020-07-07
70,0.06469763815402985,3.4784746,0.3340059,2020-07-08
71,0.06543412804603577,3.4857025,0.33635125,2020-07-09
72,0.06619714200496674,3.4925659,0.33964497,2020-07-10
73,0.0665009543299675,3.4944267,0.3411481,2020-07-13
74,0.0631067082285881,3.4663243,0.32731652,2020-07-14
75,0.06641633808612823,3.4979699,0.34060267,2020-07-15
76,0.06630013883113861,3.4983556,0.3402298,2020-07-16
77,0.06625640392303467,3.4992743,0.34007457,2020-07-17
78,0.06730660796165466,3.503353,0.34526706,2020-07-20
79,0.06698059290647507,3.5002253,0.34388787,2020-07-21
80,0.06505121290683746,3.4867163,0.33491176,2020-07-22
81,0.06472474336624146,3.4829354,0.33375454,2020-07-23
82,0.06505937874317169,3.4836392,0.33515465,2020-07-24
83,0.06546726822853088,3.4890559,0.3365988,2020-07-27
84,0.06613361835479736,3.4949405,0.33978242,2020-07-28
85,0.06384443491697311,3.4738429,0.33090073,2020-07-29
86,0.0620206780731678,3.454064,0.32251635,2020-07-30
87,0.06396269798278809,3.4800556,0.33090502,2020-07-31
88,0.0601835660636425,3.4233563,0.31043032,2020-08-03
89,0.060461774468421936,3.4251423,0.3122125,2020-08-04
90,0.06011616438627243,3.4161584,0.3093573,2020-08-05
91,0.053568679839372635,3.2519448,0.2652455,2020-08-06
92,0.056476447731256485,3.335008,0.28656793,2020-08-07
93,0.055721085518598557,3.3224452,0.281494,2020-08-10
94,0.05781301483511925,3.3797286,0.29582804,2020-08-11
95,0.05705071613192558,3.3572807,0.29105756,2020-08-12
96,0.05931925028562546,3.417028,0.3049806,2020-08-13
97,0.06036025658249855,3.4398477,0.3126612,2020-08-14
98,0.06062348186969757,3.4406438,0.31426358,2020-08-17
99,0.06035005301237106,3.431374,0.31210822,2020-08-18
100,0.060073889791965485,3.425359,0.30998605,2020-08-19
101,0.06065830588340759,3.4360013,0.31412876,2020-08-20
102,0.05874377861618996,3.3984373,0.30066183,2020-08-21
103,0.0595695823431015,3.4178293,0.3064301,2020-08-24
104,0.058108288794755936,3.3773284,0.29753646,2020-08-25
105,0.05813175439834595,3.3743,0.2977089,2020-08-26
106,0.059814438223838806,3.415525,0.30777228,2020-08-27
107,0.05995689332485199,3.4148235,0.30856347,2020-08-28
108,0.05984140932559967,3.4209325,0.30848145,2020-08-31
109,0.059803228825330734,3.417085,0.30786103,2020-09-01
