timestep,ck_kl,ck_tv,date
0,0.0340725293548387,0.10436702393112361,2020-03-26
1,0.014504063874243934,0.06509904648718819,2020-03-27
2,0.009463346940185097,0.05221674904818326,2020-03-30
3,0.06643392000367448,0.14762213302343385,2020-03-31
4,0.08687551266954224,0.1686798367498322,2020-04-01
5,0.3124257016005899,0.33027863912875177,2020-04-02
6,0.14303305961690196,0.20596248087990576,2020-04-03
7,0.03219565635203726,0.09970780440083793,2020-04-06
8,0.04981776986533765,0.12408062059109157,2020-04-07
9,0.07601367275557469,0.16882609703009704,2020-04-08
10,0.11100022954013489,0.20701036289249092,2020-04-09
11,0.1421532598768877,0.22402639834062393,2020-04-13
12,0.4031265781375737,0.3739049760454957,2020-04-14
13,0.16718186682549285,0.2272554641712698,2020-04-15
14,0.01931027936030526,0.07313213201983616,2020-04-16
15,0.05674569273268619,0.1327830631254704,2020-04-17
16,0.045214121461705836,0.12128848413097089,2020-04-20
17,0.015741958084379136,0.0712269993572621,2020-04-21
18,0.027835735920122773,0.09484524034721667,2020-04-22
19,0.1409436722860908,0.20518664914530305,2020-04-23
20,0.3635776325204945,0.3579140579927285,2020-04-24
21,0.026808934197112774,0.08854513445777398,2020-04-27
22,0.04129600672206644,0.11754285320301588,2020-04-28
23,0.09788239745870829,0.17226687985219516,2020-04-29
24,0.1511250380488298,0.21943055264628802,2020-04-30
25,0.05194290266704098,0.13609765952024586,2020-05-01
26,0.019368667282358632,0.0782266949458426,2020-05-04
27,0.014458419730944957,0.06561112923852516,2020-05-05
28,0.011626517444240399,0.0600479329633857,2020-05-06
29,0.041304063038202,0.11744727612866884,2020-05-07
30,0.02717979683199168,0.0963552309174524,2020-05-08
31,0.2577161485112314,0.3006538845530138,2020-05-11
32,0.2772526425059548,0.29316231137311766,2020-05-12
33,0.04487345297654412,0.10000241457243211,2020-05-13
34,0.05264532421379364,0.12154253019098901,2020-05-14
35,0.1883234288657668,0.2403318485339039,2020-05-15
36,0.3067158978886674,0.33512289756955727,2020-05-18
37,0.04363677043203821,0.11100610469579489,2020-05-19
38,0.016125874437099123,0.06524447857950552,2020-05-20
39,0.08139467130361012,0.15098247337202333,2020-05-21
40,0.034270875388394836,0.10889857269376048,2020-05-22
41,0.013413320060994187,0.0633592457066358,2020-05-26
42,0.015449871714123915,0.06781593147642692,2020-05-27
43,0.054375408525102704,0.13578339387882465,2020-05-28
44,0.013554339774505415,0.06243308572237247,2020-05-29
45,0.026441550339081556,0.09297948838612943,2020-06-01
46,0.2236622657133588,0.2766607087042647,2020-06-02
47,0.01437869061271872,0.0664107228456328,2020-06-03
48,0.013074276634094868,0.06417268580918092,2020-06-04
49,0.21003739006085298,0.28234370102015455,2020-06-05
50,0.013180317522034973,0.06595310218361825,2020-06-08
51,0.0447285082798357,0.12492940090202768,2020-06-09
52,0.015582427153348233,0.06381944655461226,2020-06-10
53,0.03660020124798904,0.10381373126111308,2020-06-11
54,0.02798923490758252,0.09160720745215614,2020-06-12
55,0.012536340371960804,0.061581150198159816,2020-06-15
56,0.011049728984693873,0.05932900090643465,2020-06-16
57,0.08875006292303628,0.17477141951234956,2020-06-17
58,0.09859478085793186,0.1690071869116784,2020-06-18
59,0.046900260864049186,0.12494629161658691,2020-06-19
60,0.012839745219685818,0.06393756380546979,2020-06-22
61,0.014325653508941221,0.060964716693428636,2020-06-23
62,0.033921543965218307,0.10151394994123945,2020-06-24
63,0.018510115762491272,0.07143060538000397,2020-06-25
64,0.018935316786791685,0.06365986951858038,2020-06-26
65,0.018655952721754715,0.07686649110027878,2020-06-29
66,0.0405764706346216,0.11748445962124984,2020-06-30
67,0.0738789901433784,0.14207711033221385,2020-07-01
68,0.01264346406069262,0.05587126102023252,2020-07-02
69,0.01817499309190298,0.07146828431188572,2020-07-06
70,0.024960880653921307,0.07031578113979658,2020-07-07
71,0.012898505469112654,0.05206144093708583,2020-07-08
72,0.01239979579755995,0.05571026106336433,2020-07-09
73,0.014707593068852888,0.0627862104499274,2020-07-10
74,0.07788973405991428,0.16441568100630138,2020-07-13
75,0.013150565690747759,0.054720865077622166,2020-07-14
76,0.010792343318698085,0.053069435163395254,2020-07-15
77,0.01993749501447459,0.06638440057954696,2020-07-16
78,0.02449275527055234,0.0731194653972286,2020-07-17
79,0.0224606203940884,0.06997832641548228,2020-07-20
80,0.018792569305404693,0.07749911291727445,2020-07-21
81,0.008479002760775664,0.04801879722805374,2020-07-22
82,0.023757079756519927,0.08156036162484248,2020-07-23
83,0.05064013683220889,0.13290887012521183,2020-07-24
84,0.01685977398560295,0.06940851760007993,2020-07-27
85,0.01486742879250331,0.059516750966899734,2020-07-28
86,0.022420431630931933,0.08211114052807418,2020-07-29
87,0.08188931902897623,0.1580674044026092,2020-07-30
88,0.21583909286133063,0.28203729638737324,2020-07-31
89,0.07000330594628074,0.136163075725154,2020-08-03
90,0.011398797814568526,0.05755845917786921,2020-08-04
91,0.18550258612004075,0.2589960741490107,2020-08-05
92,0.011741744625445945,0.06174985395518345,2020-08-06
93,0.025829546855865734,0.0911761883930501,2020-08-07
94,0.011863100307959399,0.05782215797666579,2020-08-10
95,0.09922308433264967,0.18649871856227743,2020-08-11
96,0.137133445803697,0.21804542385952846,2020-08-12
97,0.0681955671803228,0.14228416957162843,2020-08-13
